title,authors,publishedDate,categories,description,averageRating,textSnippet,language
China's New Confucianism,['Daniel A. Bell'],2008,['History'],"What is it like to be a Westerner teaching political philosophy in an officially Marxist state? Why do Chinese sex workers sing karaoke with their customers? And why do some Communist Party cadres get promoted if they care for their elderly parents? In this entertaining and illuminating book, one of the few Westerners to teach at a Chinese university draws on his personal experiences to paint an unexpected portrait of a society undergoing faster and more sweeping changes than anywhere else on earth. With a storyteller's eye for detail, Daniel Bell observes the rituals, routines, and tensions of daily life in China. China's New Confucianism makes the case that as the nation retreats from communism, it is embracing a new Confucianism that offers a compelling alternative to Western liberalism. Bell provides an insider's account of Chinese culture and, along the way, debunks a variety of stereotypes. He presents the startling argument that Confucian social hierarchy can actually contribute to economic equality in China. He covers such diverse social topics as sex, sports, and the treatment of domestic workers. He considers the 2008 Olympics in Beijing, wondering whether Chinese overcompetitiveness might be tempered by Confucian civility. And he looks at education in China, showing the ways Confucianism impacts his role as a political theorist and teacher. By examining the challenges that arise as China adapts ancient values to contemporary society, China's New Confucianism enriches the dialogue of possibilities available to this rapidly evolving nation.",N/A,N/A,en
???,"['Confucius', 'E. Bruce Brooks', 'A. Taeko Brooks']",1998,['History'],"""Bruce and Taeko Brooks have returned this wide-ranging text to its full historical and intellectual setting, organizing the sayings in their original chronological sequence, and permitting the Analects to be read for maximum understanding, not as a closed system of thought but as a richly revealing record of the interaction of life and thought as it evolved over almost the entire Warring States period."".",N/A,N/A,en
Illustrated World's Religions,['Huston Smith'],1994-09-03,['Religion'],"Retaining all the beloved qualities of Huston Smith's classic The World's Religions, this stunning pictorial presentation refines the text to its wonderful essentials. In detailed, absorbing, richly illustrated, and highly readable chapters on Hinduism, Buddhism, Confucianism, Taoism, Islam, Judaism, Christianity, and primal religions, we find refreshing and fascinating presentations of both the differences and the similarities among the worldwide religious traditions. The approach is at once classic and contemporary, retaining all the empathy, eloquence, and erudition that millions of readers love about the earlier edition, while being edited and designed for a contemporary general readership. This delightful marriage of engaging text and remarkable pictures vividly brings to life the scope and vision of Huston Smith's expertise and insight.",N/A,N/A,en
The Analects of Confucius,['Confucius'],1997,['Philosophy'],"Through ethical debate, defining for ages to come the public mission of the intellectual.",N/A,N/A,en
The Rise of Modern Chinese Thought,['Hui Wang'],2023-07-18,['History'],"Wang Hui asks what it means for China to be modern and for modernity to be Chinese. Is there a rupture between tradition and modernity in China? How has Confucian thought evolved? Did China become modern in the Middle Ages? A deep intellectual history, The Rise of Modern Chinese Thought revises our senses of both modernity and Chinese philosophy.",N/A,N/A,en
Confucianism and the Family,"['Walter H. Slote', 'George A. De Vos']",1998-07-10,['Social Science'],"An interdisciplinary exploration of the Confucian family in East Asia which includes historical, psychocultural, and gender studies perspectives.",N/A,N/A,en
The Land of Scholars,['Chae-ŏn Kang'],2006,['History'],"This book discusses the historical development of Korean Confucianism in terms of its social functions. It also examines the types of transfiguration Confucianism underwent and the role it played in each period of Korean history. The Land of Scholars spans from the Three Kingdoms period in 18 BC to the Joseon dynasty in 1910. The book not only gives a comprehensive and in-depth survey of the history of Korean Confucian thought but also touches on the transmission of Buddhism, Confucianism, and Christianity in Korea. Kang Jae-eun approaches the significance of Confucianism from the perspective of its cultural and social context. He explains Confucianism from a viewpoint that reflects on exchanges between Korea and Japan and the broader context of East Asian relationships. Kang also challenges the views of some Korean academics whose works on Confucianism are considered to be distortions and misinterpretations. ABOUT THE AUTHOR Born in 1926 in Korea, Kang Jae-eun earned his PhD in literature from Kyoto University in Japan. For twenty-two years, he has been the editor of Samcheolli (Three thousand li) and Cheonggu (Korea), quarterly magazines that act as a forum and compass for Korean residents in Japan. Professor Kang is regarded as one of the foremost historians that led the Japanese academia after the liberation of Korea. His other books include Modern Thoughts of Korea and A Study of the Modern History of Korea in Japanese. ABOUT THE TRANSLATOR A Korean-American, Suzanne Lee graduated from University of California, Los Angeles with a degree in psychology. She is interested in Korean studies and her current study/research focus is Korean philosophy.",N/A,N/A,en
The Analects of Confucius,"['Confucius', 'Arthur Waley']",2005,['Philosophy'],"First published in 1938. Previous translations of the Analects of Confucius are based upon a medieval interpretation which reflects the philosophy of the 12th century A.D rather than of the 5th century B.C., when Confucius lived. This book detaches the Analects from the Scholastic interpretation and lets these famous sayings speak for themselves.",N/A,N/A,en
"Women and Confucian Cultures in Premodern China, Korea, and Japan","['Dorothy Ko', 'JaHyun Kim Haboush', 'Joan R. Piggott']",2003-08-28,['History'],"This book rewrites the history of East Asia by rethinking the contentious relationship between ""Confucianisms"" and ""women.""",N/A,N/A,en
Confucian Analects,['Confucius'],1970,['Confucianism'],N/A,N/A,N/A,en
Religion in China,['Jan Jakob Maria Groot'],1912,['China'],N/A,N/A,N/A,en
The Illustrated Encyclopedia of Confucianism: N-Z,"['Rodney Leon Taylor', 'Howard Yuen Fung Choy']",2005,['Juvenile Nonfiction'],"Covers topics related to the understanding of Chinese Confucianism. Includes entries in the following categories: arts, architecture, and iconography; astrology, cosmology, and mythology; biographical entries; ceremonies, practices, and rituals; concepts; dynasties, official titles, and rulers; geography and historical events; groups and schools; literature, language, and symbols; and texts.",N/A,N/A,en
Confucianism,"['Dorothy Hoobler', 'Thomas Hoobler', ""Joanne O'Brien""]",2009,['Juvenile Nonfiction'],"Examines Cufucianism in conjunction with its resurgence in China a nd the rest of the world. Presents its history, basic beliefs, and evolutionin response to historical events in China.",N/A,N/A,en
Confucianism and Its Rivals,['Herbert Allen Giles'],1915,['Buddhism'],N/A,N/A,N/A,en
The Analects,['Confucius'],1998,['Literary Collections'],"The Analects has been translated many times -- by Ezra Pound, Arthur Waley, Lin Yutang, Raymond Dawson, D.C. Lau, and most recently Simon Leys -- and the translations vary widely in style and substance. Waley's Analects, translated in 1938, has dominated the academic marketplace but today seems dated. Hinton's translation breathes new life into Confucius's majestic vision of the human community nestled in the primal ecology of a harmonious cosmos.",N/A,N/A,en
礼记,['Confucio'],2013-10-10,['Confucianism'],"The Book of Rites, literally the Record of Rites, is a collection of texts describing the social forms, administration, and ceremonial rites of the Zhou Dynasty as they were understood in the Warring States and the early Han periods. The Book of Rites, along with the Rites of Zhou (Zhouli) and the Book of Etiquette and Rites (Yili), which are together known as the ""Three Li (San li),"" constitute the ritual (li) section of the Five Classics which lay at the core of the traditional Confucian canon (Each of the ""five"" classics is a group of works rather than a single text). As a core text of the Confucian canon, it is also known as the Classic of Rites, which some scholars believe this was the original title before it was changed by Dai Sheng.",N/A,N/A,en
The Analects,"['Confucius', 'William Edward Soothill']",1995,['Confucianism'],N/A,N/A,N/A,en
Confucianism and Chinese Civilization,['Arthur F. Wright'],1975,['History'],A Stanford University Press classic.,N/A,N/A,en
An Introduction to Confucianism,['Xinzhong Yao'],2000-02-13,['Religion'],Introduces the many strands of Confucianism in a style accessible to students and general readers.,5,N/A,en
The Four Books,['Daniel K. Gardner'],2007-01-01,['Philosophy'],"This compact volume shows how the Four Books -- the Greater Learning, the Analects, the Mencius, and the Doctrine of the Mean -- have been read and understood by the Chinese since the twelfth century. Included are selected passages in translation, accompanied by Daniel Gardner's comments and the selected commentary of Zhu Xi (1130-1200), the renowned Neo-Confucian thinker. The book provides an introduction to the later imperial Confucian tradition; introduces the reader to Zhu Xi's commentarial understanding of the Four Books; suggests how Neo-Confucians, like Zhu Xi, through commentary, gave coherence and meaning to the Four Books collectively; and illustrates the nature of the standard educational curriculum.",N/A,N/A,en
Confucius: A Guide for the Perplexed,['Yong Huang'],2013-01-03,['Religion'],"A clear and thorough account of Confucius and his ideas, underscoring his relevance to both Chinese people and to people in the West.",N/A,N/A,en
Mencius,['Mencius'],1984,['Conduct of life'],N/A,N/A,N/A,en
Basic Writings,['Xunzi'],1996,['History'],"Hsun Tzu (born ca. 312 B.C.) provided the dominant philosophical system of his day. Although basically Confucian, he differed with Mencius by asserting that the original nature of man is evil, and also expounded on such subjects as good government, military affairs, Heaven, and music.",N/A,N/A,en
Little Journeys to the Homes of Great Teachers...,['Elbert Hubbard'],1908,['Confucianism'],N/A,N/A,N/A,en
The Essential Confucius,['Confucius'],1992,['Philosophy'],Gathers selections from the Analects of Confucius grouped by subject following the order of the I Ching.,N/A,N/A,en
Confucius,['Herrlee Glessner Creel'],1951,['China'],N/A,N/A,N/A,en
The Lun Yu,['Confucius'],19??,['Confucianism'],N/A,N/A,N/A,zh-CN
Three Ways of Thought in Ancient China,['Arthur Waley'],2005,['Literary Collections'],"First published in 1939. This book consists chiefly of extracts from Chuang Tzu, Mencius and Han Fei Tzu. Chuang Tzu's appeal is to the imagination; the appeal of mencius is to the moral feelings; realism, as expounded by Han Fei Tzu, finds a close parallel in modern Totalitarianism and as a result these extracts from a book of the third century B.C. nonetheless have a very contemporary connection.",N/A,N/A,en
The Trouble with Confucianism,"['William Theodore De Bary', 'Wm. Theodore de Bary']",1996-02,['Religion'],"This text looks at the role and meaning of Confucianism in modern Asia. For some, Confucius is the symbol of a reactionary and repressive past, whilst for others he is a humanist, admired for his ethical system and discipline",N/A,N/A,en
Confucianism for the Modern World,"['Daniel A. Bell', 'Chae-bong Ham']",2003-09-08,['History'],"While Confucian ideals continue to inspire thinkers and political actors, discussions of concrete Confucian practices and institutions appropriate for the modern era have been conspicuously absent from the literature thus far. This volume represents the most cutting edge effort to spell out in meticulous detail the relevance of Confucianism for the contemporary world. The contributors to this book--internationally renowned philosophers, lawyers, historians, and social scientists--argue for feasible and desirable Confucian policies and institutions as they attempt to draw out the political, economic, and legal implications of Confucianism for the modern world.",5,N/A,en
Ethical Know-How,['Francisco J. Varela'],1999,['Philosophy'],"How can science be brought to connect with experience? This book addresses two of the most challenging problems facing contemporary neurobiology and cognitive science: understanding how we unconsciously execute habitual actions as a result of neurological and cognitive processes, and creating an ethic adequate to our present awareness that there is no such thing as a transcendental self, a stable subject, or a soul.",N/A,N/A,en
Confucianism,['Ronnie Littlejohn'],2011,['Philosophy'],"It is arguably Confucianism, not Communism, which lies at the core of China's deepest sense of self. Although reviled by Chinese intellectuals of the 1950s-1990s, who spoke of it as 'yellow silt clotting the arteries of the country', Confucianism has defied eradication, remaining a fundamental part of the nation's soul for 2500 years. And now, as China assumes greater ascendancy on the world economic stage, it is making a strong comeback as a pragmatic philosophy of personal as well as corporate transformation, popular in both home and boardroom. What is this complex system of ideology that stems from the teachings of a remarkable man called Confucius (Kongzi), who lived in the distant sixth century BCE? Though he left no writings of his own, the oral teachings recorded by the founder's disciples in the 'Analects' left a profound mark on later Chinese politics and governance. They outline a system of social cohesiveness dependent upon personal virtue and self-control. For Confucius, society's harmony relied upon the appropriate behaviour of each individual within the social hierarchy; and its emphasis on practical ethics has led many to think of Confucianism as a secular philosophy rather than a religion. In this new, comprehensive introduction, Ronnie Littlejohn argues rather that Confucianism is profoundly spiritual, and must be treated as such. He offers full coverage of the tradition's sometimes neglected metaphysics, as well as its varied manifestations in education, art, literature and culture.",N/A,N/A,en
