title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Evangelical Mind,['Marguerite Van Die'],1989,['Biography & Autobiography'],"Through an in-depth study of the thought and intellectual formation of Nathanael Burwash (1839-1918), a little-known but highly influential Canadian educator and Methodist theologian, Marguerite Van Die presents a picture of one of the most unsettling periods in the Christian church. During Burwash's life, Canadian Methodist thought and education had to deal with the impact of biblical criticism, idealist thought, and the evolutionary theory of Darwin. Burwash saw himself as following in the footsteps of an earlier generation of Methodists, led by Edgar Ryerson. This vision was reflected in his views on childhood nurture and moral nationalism and his support of university federation in Ontario.",N/A,N/A,en
"Minutes of the Montana Annual Conference, Methodist Episcopal Church, South","['Methodist Episcopal Church, South. Montana Conference']",1884,['Methodist'],N/A,N/A,N/A,en
"Michigan Methodism, Methodists & More",['Ronald A. Brunger'],2008,['Methodist'],N/A,N/A,N/A,en
Fruits of Obedience,['Adegoke Arimoro'],2003,['Methodist'],N/A,N/A,N/A,en
"Glade View Cemetery (formerly Bethel Methodist Cemetery) Lower Burrell City, Westmoreland County, Pa",[],N/A,['Gravestone inscriptions'],N/A,N/A,N/A,en
"North Penn Methodist Mission, 29th and Dauphin Streets, Philadelphia, Pa",[],N/A,['Methodist'],N/A,N/A,N/A,en
"Wesley Methodist Mission, Philadelphia, Pa",[],N/A,['Methodist'],N/A,N/A,N/A,en
"Cookman Methodist Episcopal Church, 12th Street and Lehigh Avenue, Philadelphia, Pa",[],N/A,['Methodist'],N/A,N/A,N/A,en
"Tombstone Inscriptions from the St. Marks Lutheran Church Cemetery, Yeager Lutheran Cemetery at Rainsburg, Cove Methodist Protestant Cemetery, Charlesville Methodist Church Cemetery and Trinity Reformed Cemetery at Friends Cove, All in Colerain Twp., Bedford Co., Pa",[],N/A,['Bedford County (Pa.)'],N/A,N/A,N/A,en
"Gravestone Inscriptions Gloucester County, New Jersey",[],N/A,['Church records'],N/A,N/A,N/A,en
Methodist Worship,['R. Matthew Sigler'],2018-07-04,['History'],"What makes Methodist worship ""Methodist"" or ""Wesleyan?"" How do Methodists evaluate emerging forms of worship in light of their own liturgical heritage? This book considers these questions by bringing to light the work and significance of three Methodist liturgists who have until now received precious little scholarly focus: Thomas O. Summers (1812-1882), Nolan B. Harmon (1892-1993), and James F. White (1932-2004). Exploring each one's contribution to the Methodist movement, it evaluates their continuing legacies as scholars and practitioners of Methodist worship. Importantly, the work of all these men occurred during times of cultural change, which gave rise to new ways of worship within the landscape of American Methodism. Addressing them in chronological order, this study shows how each figure enacted liturgical reform and renewal by drawing from the liturgical textual tradition inherited directly from John Wesley's Sunday Service of the Methodist in North America as well as the hymnody of Charles Wesley. It also demonstrates how they sought to inculturate the Wesleyan liturgical tradition in the midst of these significant changes. Evaluating historic and emerging trends in Methodist liturgical praxis, this is a book that will be of great interest to scholars of Methodism, the History of Religion, Liturgical Studies and Theology.",N/A,N/A,en
"Recueil factice de documents concernant la ""Revue de Jean Boyer"" à la Lune Rousse, 1933",[],N/A,[],N/A,N/A,N/A,en
"Asbury, a History",['Gordon A. Cotton'],1994,['Asbury Cemetery (Miss.)'],"Family histories of the Hynes, Lum, Gibson, Kline, Luckett, Selser, Whitaker, Nailer, Buell, Barrow, Dollard, and related families.",N/A,N/A,en
Pastoral Records of the Rev. Joseph Carlisle,[],N/A,['Church records'],N/A,N/A,N/A,en
"Central Methodist Episcopal Church, Philadelphia, Pa",[],N/A,['Methodist'],N/A,N/A,N/A,en
East Coventry Mennonite Cemetery,[],N/A,['Baptist'],N/A,N/A,N/A,en
Penns Park Methodist Episcopal Church,[],N/A,['Church records'],N/A,N/A,N/A,en
"Gravestone Inscriptions Cape May County, New Jersey",[],N/A,['Cape May County (N.J.)'],N/A,N/A,N/A,en
"Court Street Methodist Church, 1851-1951",['Alfred Allan Kern'],1951,[],N/A,N/A,N/A,en
"Marriages (1861-1884) Performed by Rev. Anthony Atwood, While Pastor of the Union M.E. Church, N. 4th and Arch Streets; St. Paul's M.E. Church, S. 6th and Catharine Streets; and the 16th Or Hedding M.E. Church, 809 N. 17th Street, Philadelphia, Pa",[],N/A,['Church records'],N/A,N/A,N/A,en
"Mantua Methodist Episcopal Church, Philadelphia, Pa",[],N/A,['Methodist'],N/A,N/A,N/A,en
"Marriage and Baptisms, 1826-1874",[],N/A,['Church records'],N/A,N/A,N/A,en
"Histories, Alphabetical List of Members (1915-1916) and Pastors of the Mount Pleasant Methodist Church and The Wesley Methodist Episcopal Church, Both in Pleasantville, Atlantic County, New Jersey",[],N/A,['Atlantic County (N.J.)'],N/A,N/A,N/A,en
"Baptisms, 1822-1851",[],N/A,['Church records'],N/A,N/A,N/A,en
"Methodist Episcopal Union Cemetery, 10th and Washington, Philadelphia, Pa",[],N/A,['Church records'],N/A,N/A,N/A,en
"Sunday School Members, 1839-1845",[],N/A,['Church records'],N/A,N/A,N/A,en
"Marriages, Baptisms, Burials 1785-1856",[],N/A,['Church records'],N/A,N/A,N/A,en
"Membership Book, 1815-1837",[],N/A,['Church records'],N/A,N/A,N/A,en
"Interments, 1829-1868",[],N/A,['Church records'],N/A,N/A,N/A,en
Miscellaneous Deeds (original),[],N/A,['Church records'],N/A,N/A,N/A,en
"Probationers, 1878-1906",[],N/A,['Church records'],N/A,N/A,N/A,en
"Calvary Methodist Episcopal Church, Philadelphia, Pa",[],N/A,['Methodist'],N/A,N/A,N/A,en
A Goodly Fellowship,"['Frederick Harold Buss', 'Richard George Burnett']",1949,"[""Local preachers' magazine""]",N/A,N/A,N/A,en
"Tombstone Inscriptions from the Cedar Grove Lutheran Cemetery, Mount Pleasant Lutheran Cemetery, Dunkard Cemetery, Graceville Lutheran Church Cemetery, Rays Cove Christian Church Cemetery, and Asbury Methodist Episcopal Church Cemetery, All in East Providence Twp., Bedford Co., Pa",[],N/A,['Bedford County (Pa.)'],N/A,N/A,N/A,en
"Bible Records, Chester County, Pa",[],N/A,['Chester County (Pa.)'],N/A,N/A,N/A,en
Bringing the Gospel to Texas,['Pat Baker Parsons'],2009,['Methodists'],N/A,N/A,N/A,en
"Marriage Register 1825-1874 Methodist Episcopal Church Philadelphia, Pa",[],N/A,['Church records'],N/A,N/A,N/A,en
"Class Records and Membership Lists, 1851-1939",[],N/A,['Church records'],N/A,N/A,N/A,en
"History of New York Street United Methodist Church, Indianapolis, Marion County, Indiana",[],N/A,['Church records'],N/A,N/A,N/A,en
History,[],N/A,['Church records'],N/A,N/A,N/A,en
Co. Down Gravestone Inscriptions,['Richard Clarke'],1972-01-01,['History'],N/A,N/A,N/A,en
Relative Progress of Methodists and Freewill Baptists,[],1855,['Freewill Baptists'],N/A,N/A,N/A,en
A Catechism for little children and for use on the missions to the slaves,['William Capers'],1996,['Methodist'],N/A,N/A,N/A,en
"Cohocksink Methodist Episcopal Church, Germantown Ave. and 5th St., Philadelphia, Pa",[],N/A,['Methodist'],N/A,N/A,N/A,en
The Experience and Spiritual Letters,"['Hester Ann Rogers', 'Thomas Coke', 'James Rogers']",1835,[],N/A,N/A,N/A,en
"Marriage Register of the Rev. C.C. McDowell, 1898-1927, While Serving in Deerfield and Mead Townships, Warren County, Pa. and Greenville Townshiop, Mercer County, Pa. [Methodist].",[],N/A,['Church records'],N/A,N/A,N/A,en
Gravestone Inscriptions,[],N/A,['Gravestone inscriptions'],N/A,N/A,N/A,en
"Church and Cemetery Records Cumberland County, Pa",[],N/A,"['Churchtown (Cumberland County, Pa.)']",N/A,N/A,N/A,en
Gravestone Inscriptions,[],N/A,"['Allen Township (Cumberland County, Pa.)']",N/A,N/A,N/A,en
"Central Methodist Episcopal Church, Roxborough (21st Ward), Philadelphia, Pa",[],N/A,['Methodist'],N/A,N/A,N/A,en
