title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Scientology,['La Fayette Ron Hubbard'],2007,"['Body, Mind & Spirit']","What are your goals? Where are you going? Why are you here? What are you? Scientology has answers to these questions, good answers that are true, answers that work for you. For the subject matter of Scientology is you. Includes index.",N/A,N/A,en
The Problems of Work,['La Fayette Ron Hubbard'],2007,['Business & Economics'],Outlines the principles and laws of scientology that apply to problems encountered in the workplace.,N/A,N/A,en
Among the Scientologists,['Donald A. Westbrook'],2019,['Biography & Autobiography'],"The Church of Scientology is one of the most recognizable American-born new religions, but perhaps the least understood. With academic and popular interest on the rise, many books have been written about Scientology and surely more will follow. Although academics have begun to pay more attention to Scientology, the subject has received remarkably little qualitative attention. Indeed, no work has systematically addressed such questions as: what do Scientologists themselves have to say about their religion's history, theology, and practices? How does Scientology act as a religion for them? What does ""lived religion"" look like for a Scientologist? This is not so much a book about the Church of Scientology, its leaders, or its controversies, as it is a compilation of narratives and histories based on the largely unheard or ignored perspectives of Scientologists themselves. Drawing on six years of interviews, fieldwork, and research conducted among members of the Church of Scientology, this groundbreaking work examines features of the new religion's history, theology, and praxis in ways that move discussion beyond apostate-driven and expos� accounts.",5,N/A,en
Self Analysis,['L. Ron Hubbard'],2008-02,"['Body, Mind & Spirit']","The fact is, up to now the mysteries of the mind have not been fully understood and certainly not with any scientific precision. The fields of mental healing have been prone to ""best guesses"" while depression and anxiety still have no clear answer--until now. A simple, easy technique has been developed which allows you to address a range of undesirable emotions, reactions and attitudes toward life. It is by far the easiest and most enjoyable self betterment technique available and most importantly, it works. In fact, it was originally released in 1951 but is still relevant in today's modern age. Before you begin on your path of self discovery, it's important to gauge your current emotional condition. This next section will show you how. How to Measure Your Potential for Success Contrary to popular belief, your youthful and energetic attitude toward life never actually goes away. Rather, it is buried by the physical and emotional pain and stresses of your past. Each negative incident you run into through life will drive your emotional condition lower, and each success will move it up. When you have too much negativity and not enough success in your past, you wind up deeply depressed and unable to function in life. The events of the past have an affect on your present emotional state. By using the Self Analysis program, you will begin to remove this negative energy. Your outlook and happiness will grow as you unburden past emotional trauma and losses. You also gain a more positive attitude toward yourself and your abilities. Thus, you will get back in control of your life and future, instead of being stuck in the shadows of your past. With the Self Analysis program, there is a simple and effective technique that anyone can use to systematically relieve the negative emotional energy that has built up in your mind and rise up on the chart. The program is composed of self processing. What is Self Processing? The technique we are discussing here is not ""positive thinking,"" brain exercises, meditation or self-hypnosis. You may have tried some of these techniques before, and even achieved some benefit. But they do not get to the source of the problem--often the gains fade and you find yourself in the same place you started. It is possible to desensitize the harmful ""charge"" from incidents in your past. One way this is done is by moving your attention to pleasurable incidents by using the self processing technique below. Unlike positive affirmations or mantras, your concentration will be in recalling actual incidents in your past. It is remarkably simple to do yet quite powerful. In addition to discharging the negative emotional effects of the past, your personal abilities can also dramatically increase. Imagine being able to finally step out of the shadows of the past and into the vibrant light of the present with sharper senses and renewed vigor for life Begin the Adventure of Self Discovery How does one go about the self processing technique? The full regimen and instructions are contained in the book, Self Analysis by L. Ron Hubbard. L. Ron Hubbard began Self Analysis with these lines: ""Self Analysis cannot revive the dead. ""Self Analysis will not empty insane asylums or stop war. ... ""But Self Analysis will conduct you on the most interesting adventure in your life. The adventure of you."" Self Analysis has sold millions of copies in 50 languages across the globe. It starts with a series of short essays written in simple terms to get you to fully understand what it is, how it works and how to use the techniques in the book. Then, there are 12 target areas of your life that the processes cover which you will be able to",N/A,N/A,en
Blown for Good,['Marc Headley'],2010-03-31,['Biography & Autobiography'],"Marc Headley started working for the Scientology organization in 1989. After leaving in 2005, Marc posted bits and pieces of what went on at the Scientology headquarters (known from inside as the International Base). Marc posted anonymously under the screen name of Blownforgood aka BFG. In September 2008 Marc was invited to speak to an international conference of European government representatives regarding the Scientology organization and their abuses. It was at this time that Marc revealed his identity as Blownforgood. By 2009, the internet posts Marc had written over the years had been viewed hundreds of thousands of times, but still there were people who questioned their validity. Stories of grown men being thrown into dirty lakes and pools as punishment? Physical abuse never reported to authorities? How could this happen in modern day America? Two years after Marc wrote about these things and posted them on the internet, a Pulitzer Prize winning U.S. newspaper printed accounts from former staff member who worked at the Int Base that matched and confirmed what Marc had written about. Not only that, Scientology officials admitted that these things had taken place! Find out what they did not talk about in Blown for Good.",3,N/A,en
Understanding Scientology: the Demon Cult,['Margery Wakefield'],2010-02-24,['Religion'],Understanding Scientology: The Demon Cult,N/A,N/A,en
Scientology,['La Fayette Ron Hubbard'],1971,['Religion'],"Drug addiction, rising divorce rates, increasing crime and illiteracy. Why are people unable to solve some of the most pressing problems of society today? In this book, L. Ron Hubbard gives readers a practical means to overcome personal problems, become more at peace with themselves, improve communication in the family, and find greater happiness. Copyright © Libri GmbH. All rights reserved.",N/A,N/A,en
The Church of Scientology,['Hugh B. Urban'],2011-08-22,['History'],"Hugh Urban tells the real story of Scientology from its cold war-era beginnings in the 1950s to its prominence today as the religion of Hollywood's celebrity elite. Urban paints a vivid portrait of Hubbard, the enigmatic founder who once commanded his own private fleet and an intelligence apparatus rivaling that of the U.S. government. One FBI agent described him as ""a mental case,"" but to his followers he is the man who ""solved the riddle of the human mind."" Urban details Scientology's decades-long war with the IRS, which ended with the church winning tax-exempt status as a religion; the rancorous cult wars of the 1970s and 1980s; as well as the latest challenges confronting Scientology, from attacks by the Internet group Anonymous to the church's efforts to suppress the online dissemination of its esoteric teachings.",5,N/A,en
Dianetics,['La Fayette Ron Hubbard'],1970,['Dianetics'],N/A,N/A,N/A,en
Dianetics,['La Fayette Ron Hubbard'],2007,"['Body, Mind & Spirit']","Provides a full description of the ""reactive mind"" and explains how to achieve the ""state of clear"".",N/A,N/A,en
Dianetics,['La Fayette Ron Hubbard'],1950,['Dianetics'],N/A,N/A,N/A,en
"Dianetics, the Evolution of a Science",['La Fayette Ron Hubbard'],2007,"['Body, Mind & Spirit']","Originally written and published in national magazines to coincide with the release of Dianetics: The Modern Science of Mental Health, here is L. Ron Hubbard's own story of his developmental trail and two-decade journey to the discovery of the Reactive Mind. Evolution of a Science contains the only account of: How the optimum computing machine--the mind--works How Mr. Hubbard discovered Basic Personality How the Dynamic Principle of Existence--SURVIVE --was first isolated How wrong answers enter into the mind and are held down, giving further wrong answers How there seem to be ""Demons"" of the mind How the engram was discovered How Dianetics techniques were developed That's why Evolution of a Science is the story of the greatest adventure of all--the exploration that discovered the Reactive Mind and the technology to conquer it. He wrote it so you would know.",N/A,N/A,en
Dianetics 55!,['La Fayette Ron Hubbard'],2007,['Religion'],"""Knowledge, Truth, Secrets -- the are the guts and anatomy of life. They must not then be owned. They must not then be hidden or bent. They must be permitted to stand out in the bold sunlight for all to see. For only when they are to be seen are they safe things to have, to hold, to know. This is the Second Book of Dianetics. It could mean a new Earth. It could mean a new Freedom. But whatever it means, it cannot mean nothing in the sense Man uses that word. For you cannot unveil the SECRET and have it ever be quite so secret ever agian.""--Leaf Ron Hubbard.",5,N/A,en
The Way to Happiness,['La Fayette Ron Hubbard'],2007,['Religion'],"English Edition - SYNOPSIS: The choice of actions and decisions requires skill and wisdom, not just self-interest or just group interest. Containing 21 precepts, The Way to Happiness helps guide one in those choices encountered in life. This might be the first nonreligious moral code based wholly on common sense. FULL DESCRIPTION: True joy and happiness are valuable. If one does not survive, no joy and no happiness are obtainable. Trying to survive in a chaotic, dishonest and generally immoral society is difficult. Any individual or group seeks to obtain from life what pleasure and freedom from pain that they can. Your own survival can be threatened by the bad actions of others around you. Your own happiness can be turned to tragedy and sorrow by the dishonesty and misconduct of others. I am sure you can think of instances of this actually happening. Such wrongs reduce ones survival and impair ones happiness. You are important to other people. You are listened to. You can influence others. The happiness or unhappiness of others you could name is important to you. Without too much trouble, using this book, you can help them survive and lead happier lives. While no one can guarantee that anyone else can be happy, their chances of survival and happiness can be improved. And with theirs, yours will be. It is in your power to point the way to a less dangerous and happier life.",N/A,N/A,en
Bare-faced Messiah,['Russell Miller'],1987,['Biography & Autobiography'],N/A,N/A,N/A,en
