title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Innovations in Governmental Accounting,"['Vicente Montesinos', 'José Manuel Vela']",2013-06-29,['Business & Economics'],"New Accounting and Management challenges for Public Entities require a continuous introduction of innovations and reforms in accordance with new international trends, techniques and experiences. In order to carry this out, extensive knowledge of Innovations in Government Accounting and Reporting, International Standards, Performance Evaluation Developments and relevant national experiences will without doubt be indispensable. The purpose of this book is to present an updated overview of the most useful and innovative International Experiences in Governmental Accounting, Reporting and Control. The content of the volume is the result of high-quality contributions from prestigious researchers and public sector professionals, presenting a perspective on the current state and foreseeable evolution of International Government Accounting. The book is primarily aimed at public sector managers, accountants and researchers, although financial analysts, administrators, auditors, and graduate students will also find it highly relevant.",N/A,N/A,en
A Dictionary of Accounting,['Jonathan Law'],2010-04-29,['Business & Economics'],"This authoritative A-Z covers over 3,700 clear and concise entries on all aspects of accounting, from financial accounting and direct taxation to auditing and corporate finance. It includes feature entries on key areas (e.g. bankruptcy law and the FTSE share indexes), as well as recommended web links for many entries.",N/A,N/A,en
Financial Accounting and Reporting,"['Barry Elliott', 'Jamie Elliott']",2006,['Business & Economics'],This edition of 'Financial Accounting and Reporting' features chapters on foreign currency transactions and ethics for accountants. It addresses the theory and conceptual underpinnings of the topic in great depth.,N/A,N/A,en
Introduction to Financial Accounting,"['Charles T. Horngren', 'Gary L. Sundem', 'John A. Elliott']",1999,['Business & Economics'],"For one-term courses in financial accounting, this work offers real-world theory, terminology and procedures.",N/A,N/A,en
The Portfolio Theorists,['C. Read'],2011-12-07,['Business & Economics'],"Read examines probability, risk, and uncertainty through the contributions of John von Neumann, Leonard Jimmie Savage, Kenneth Arrow and Harry Markowitz. These Portfolio Theorists provided us with a dramatic leap forward in our understanding of and insights into financial rewards under risk and uncertainty.",N/A,N/A,en
Global Financial Meltdown,['C. Read'],2008-11-27,['Business & Economics'],"In easy to understand terms and journalistic style, Read describes the reasons for global financial unrest arising from the sub-prime mortgage crisis and economic meltdowns. He walks the reader through a number of topics in economics and connects these topics to real world financial problems concluding with recommendations for the future.",N/A,N/A,en
Economic Rationalism and Rural Society in Third-Century AD Egypt,['Dominic Rathbone'],1991-09-12,['Business & Economics'],"This book reconstructs the life and workings of the Appianus estate in the Fayum district of Egypt under Roman rule in the third century AD. Basing his study on the extensive documentary evidence of the Heroninos archive, consisting of hundreds of letters and accounts on papyrus, Dr Rathbone examines the nature of rural society at the time.",N/A,N/A,en
International Financial Reporting Standards,"['Hennie van Greuning', 'Darrel Scott', 'Simonet Terblanche']",2011,['Business & Economics'],"This title gives private or public sector executives, managers, and financial analysts without a strong background in accounting the tools they need to participate in discussions and decisions on the appropriateness or application of International Financial Reporting Standards.",N/A,N/A,en
Global Asset Management,"['M. Pinedo', 'I. Walter']",2013-08-29,['Business & Economics'],"This book focuses on all major aspects of the asset management industry including its regulations, strategies, processes, applied technologies and risks. It provides a serious resource for readers seeking greater depth and alternative opinions on specific industry developments, and breadth for specialists interested in the dynamics of the industry.",N/A,N/A,en
Social Accounting for Sustainability,"['José Luis Retolaza', 'Leire San-José', 'Maite Ruíz-Roqueñi']",2015-10-16,['Business & Economics'],"This book deals with the limitations of economic and financial accounting as an appropriate instrument to reflect the real value created or destroyed by an organization. The authors present a sustainable social accounting approach that considers both the social and economic value – Blended Value – generated by an organization for all of its stakeholders. This approach is based on four major theories – Stakeholder Theory, Action Research, Phenomenological Perspective and Fuzzy Logic – and was developed on the basis of a cost-benefit analysis.",N/A,N/A,en
Encyclopedia of Finance,['Cheng-Few Lee'],2006-07-27,['Business & Economics'],"This is a major new reference work covering all aspects of finance. Coverage includes finance (financial management, security analysis, portfolio management, financial markets and instruments, insurance, real estate, options and futures, international finance) and statistical applications in finance (applications in portfolio analysis, option pricing models and financial research). The project is designed to attract both an academic and professional market. It also has an international approach to ensure its maximum appeal. The Editors' wish is that the readers will find the encyclopedia to be an invaluable resource.",5,N/A,en
Accounting Reform in Transition and Developing Economies,['Robert W. McGee'],2008-11-16,['Business & Economics'],"Much has been written about the economic and political problems of countries that are in the process of changing from centrally planned systems to market systems. Most studies have focused on the economic, legal, political, and sociological pr- lems these economies have had to face during the transition period. However, not much has been written about the dramatic changes that have to be made to the accounting and financial system of a transition economy. This book was written to help fill that gap. Accounting Reform in Transition and Developing Economies is the fourth in a series to examine accounting and financial system reform in transition and devel- ing economies. The first volume used Russia as a case study. The second volume in the series examined some additional aspects of the reform in Russia and also looked at the accounting and financial system reform efforts that are being made in Ukraine, Bosnia & Herzegovina, Armenia, Eastern Europe, and Central Asia. The third volume examined taxation and public finance in transition and developing economies.",N/A,N/A,en
Environmental Accounting and Reporting,"['Maria-Gabriella Baldarelli', 'Mara Del Baldo', 'Ninel Nesheva-Kiosseva']",2017-04-05,['Business & Economics'],"This book discusses the foundations of social and environmental accounting and highlights local differences in countries like Italy and Bulgaria. It also describes the institutional environment, which affects the development and application of environmental accounting and reporting, as a basis for evaluating current achievements and the future steps that need to be taken to develop and spread environmental accounting. The book is unique in presenting exemplary cases from different emerging and developed countries. It is a valuable resource for theorists in the field, practitioners in companies, as well as investors and other stakeholders. Moreover, it provides students with the necessary theoretical constructs, empirical studies as well as practical and managerial tools to allow for a quick orientation in the methodology, techniques and selected practices used in environmental accounting and reporting.",N/A,N/A,en
A History of Accounting and Accountants,['Richard Brown'],1968,['Accountants'],N/A,N/A,N/A,en
Accounting and Finance for Non-specialists,"['Peter Atrill', 'E. J. McLaney']",2008,['Business & Economics'],"Now in its sixth edition, this successful text introduces the basic principles and underlying concepts of accounting and finance. It adopts a practical, non-technical approach, making it the ideal text for students from non-accounting disciplines. The text is written from a 'user' perspective, demonstrating ways in which accounting statements and financial information can be used to improve the quality of decision making.",N/A,N/A,en
Corporate Reporting,"['G. K. Everingham', 'Suresh Parbhoo Kana']",2004,['Business & Economics'],N/A,N/A,N/A,en
Advances in Quantitative Analysis of Finance and Accounting,['Cheng F. Lee'],2006,['Business & Economics'],"An annual publication to disseminate developments in the quantitative analysis of finance and accounting. This publication is a forum for statistical and quantitative analyses of issues in finance and accounting as well as applications of quantitative methods to problems in financial management, financial accounting, and business management.",N/A,N/A,en
Theory of Accounts for Accountant Students,['Edward M. Hyans'],1916,['Accounting'],N/A,N/A,N/A,en
Accounting,"['Robert F. Meigs', 'Walter B. Meigs', 'Wai P. Lam']",1991,['Accounting'],N/A,N/A,N/A,en
