title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Parsifal Mosaic,['Robert Ludlum'],1982,['Fiction'],Thriller,N/A,N/A,en
The Bourne Identity,['Robert Ludlum'],2004,['Amnesia'],"He was dragged from the sea, his body riddled with bullets. There are a few clues: a frame of microfilm surgically implanted beneath the skin of his hip; evidence that plastic surgery has altered his face; strange things he says in his delirium, which could be code words. And a number on the film negative that leads to a bank account in Zurich, four million dollars, and a name for the amnesiac: Jason Bourne. Now he is running for his life. A man with an unknown past and an uncertain future, the target of assassins and at the heart of a deadly puzzle. He's fighting for survival and no one can help him - except the one woman who once wanted to escape him... Read by Jeff Harding",N/A,N/A,en
That Hideous Strength,['Clive Staples Lewis'],1996,['Fiction'],"The third and final book in the Space Trilogy, concludes the adventures of the matchless Dr. Ransom whose quest for truth is a journey filled with intrigue and suspense.",N/A,N/A,en
That Hideous Strength,['Clive Staples Lewis'],1979,['Fiction'],"The final book in C. S. Lewis's acclaimed Space Trilogy, which includes Out of the Silent Planet and Perelandra, That Hideous Strength concludes the adventures of the matchless Dr. Ransom. The dark forces that were repulsed in Out of the Silent Planet and Perelandra are massed for an assault on the planet Earth itself. Word is on the wind that the mighty wizard Merlin has come back to the land of the living after many centuries, holding the key to ultimate power for that force which can find him and bend him to its will. A sinister technocratic organization is gaining power throughout Europe with a plan to ""recondition"" society, and it is up to Ransom and his friends to squelch this threat by applying age-old wisdom to a new universe dominated by science. The two groups struggle to a climactic resolution that brings the Space Trilogy to a magnificent, crashing close. Book jacket.",N/A,N/A,en
Silk Road to Ruin,['Ted Rall'],2014,"['Asia, Central']",Place of publication transcribed from publisher's website.,N/A,N/A,en
The Matlock Paper,['Robert Ludlum'],1974,['Fiction'],"James Barbout Matlock is a Vietnam veteran and college professor, but now the US government has an assignment for him. They want him to investigate what seems to be a large-scale drugs and prostitution business; and they'll go to any lengths to find the answers they need. Matlock is soon trapped in a maze of unrelenting terror, as the people he cares for most are under threat. Would he have accepted the job if he'd known just what it would mean?",N/A,N/A,en
Moonraker,['Ian Fleming'],2002,['Fiction'],"The club where James Bond is asked to settle a dispute over ungentlemanly behaviour is embarrassed. The accused is the unimpeachable Sir Hugo Drax, head of the multi-million-pound Moonraker missile programme on which Britain's future depends.",N/A,N/A,en
The Scarlatti Inheritance,['Robert Ludlum'],1972,['Fiction'],Een Amerikaanse geheime agent tracht een complot te verijdelen van grote financiers die voor de tweede wereldoorlog steun willen verlenen aan nazi-Duitsland.,N/A,N/A,en
That Time I Got Reincarnated as a Slime,"['Fuse (Manga author)', 'Taiki Kawakami']",2018-06-19,['Action/Adventure'],N/A,N/A,N/A,en
Red Sonja - She Devil with a Sword,"['Mike Avon Oeming', 'Michael Avon Oeming']",2007,['Comics & Graphic Novels'],The greatest threat Hyboria has ever faced is the return of the villainous Kulan Gath. Gath's true plans are revealed and Sonja and her companions are left bloody and broken before it's all over.--From back cover.,N/A,N/A,en
