title,authors,publishedDate,categories,description,averageRating,textSnippet
Adult Neurogenesis,"['Gerd Kempermann', 'Professor for Genomics of Regeneration and Site Speaker Gerd Kempermann']",2025-09-03,['Medical'],"Adult Neurogenesis is the creation of new neurons in the adult brain, and its role in brain function and diseases like Alzheimer disease. Dr Kempermann provides an overview of current research, detailing the development, regulation, and function of new neurons in the brain, and discusses the medical implications of impaired neurogenesis.",N/A,N/A
Adult Hydrocephalus,['Daniele Rigamonti'],2014-02-06,['Medical'],"Provides guidelines for managing this grossly underdiagnosed and undertreated condition, focusing on early detection and timely, effective interventions.",N/A,N/A
The Oxford Handbook of Adult Cognitive Disorders,"['Robert A. Stern (Ph. D.)', 'Michael L. Alosco']",2019,['Medical'],"The Oxford Handbook of Adult Cognitive Disorders is an up-to-date, scholarly, and comprehensive volume that covers most diseases, conditions, and injuries resulting in impairments in cognitive function in adults. The Handbook is appropriate for both clinicians and clinical researchers, from advanced trainees to seasoned professionals.",N/A,N/A
Textbook of Adult Emergency Medicine,"['George Jelinek', 'Peter Cameron', 'Anthony F. T. Brown', 'Anne-Maree Kelly', 'Mark Little (Emergency physician)']",2014,['Adulthood'],"2015 BMA Medical Book Awards Highly Commended in Surgery Category! Now fully revised and updated, Textbook of Adult Emergency Medicine provides clear and consistent coverage of this rapidly evolving specialty. Building on the success of previous editions, it covers all the major topics that present to the trainee doctor in the emergency department. It will also prove invaluable to the range of other professionals working in this setting - including nurse specialists and paramedics - who require concise, highly practical guidance, incorporating latest best practice and current guidelines. For the first time this edition now comes with a complete and enhanced electronic version, providing a richer learning experience and making rapid reference easier than ever before, anytime, anywhere. . Updates throughout reflect latest practice developments, curricula requirements and essential guidelines Key point boxes highlight topic 'essentials' as well as controversial areas of treatment An expanded list of leading international contributors ensures comprehensive coverage and maximizes worldwide relevance New and enhanced coverage of important and topical areas - including latest imaging in emergency medicine; organ donation; massive transfusion protocols; medico legal issues; patient safety and quality measures All new accompanying electronic version, including procedure videos and self-assessment materials to check your understanding and aid exam preparation New and enhanced coverage of important and topical areas - including latest imaging in emergency medicine; organ donation; massive transfusion protocols; medico legal issues; patient safety and quality measures All new accompanying electronic version, including emergency procedure videos and self-assessment materials to check your understanding and aid exam preparation Elsevier I ExpertConsult.com Enhanced eBooks for medical professionals Compatible with PC, Mac(R), most mobile devices and eReaders, browse, search, and interact with this title - online and offline. Redeem your PIN at expertconsult.com today! Straightforward navigation and search across all Elsevier titles Seamless, real-time integration between devices Adjustable text size and brightness Notes and highlights sharing with other users through social media Interactive content",N/A,N/A
Adult Neurogenesis and Neural Stem Cells in Mammals,['Philippe Taupin'],2006,['Medical'],"This title contains a book and CD. The brain has a number of nerve cells estimated at a magnitude of 10 to 100 billion, and 1014 to 1015 synapses, and therefore is the most complex organ of the human body. During fetal development the foundations of the brain are laid as billions of neurons form appropriate connections and patterns. In the adult mammalian brain, most neurons are post-mitotic, and therefore at risk for irreversible damage. As we age, atrophy of the brain occurs. As brain weight declines the volume of the brain in the 8th decade is reduced by 6 per cent -10 per cent versus the third decade, and neuronal loss occurs, up to 10,000 to 100,000 neurons are lost per day, though this estimation is being revised downward with the advance of more sophisticated measurements.",N/A,N/A
"Cardiac Surgery in the Adult, Fourth Edition",['Lawrence H. Cohn'],2012,['Medical'],"Accompanying DVD contains ... ""video clips to supplement the text descriptions of operations and procedures.""-p-P. xxi.",N/A,N/A
Autism Spectrum Conditions,"['Sven Bölte', 'Joachim Hallmayer']",2011,['Adulthood'],"Autism Spectrum Conditions (ASC), which include autism, Asperger syndrome, and atypical autism, are puzzling, controversial, and a challenge - and the subject of both increasing interest and a multitude of myths. While many questions about ASC remain unanswered to date, our knowledge of the roots, characteristics, outcome, and effective intervention options has improved hugely in recent years.In this unique book, leading clinical and research authorities help explode myths and answer frequently asked questions on ASC: What are ASC? What are their causes? How prevalent are they? How are ASC dia.",N/A,N/A
Autism and Other Neurodevelopmental Disorders,"['Robin L. Hansen', 'Sally J. Rogers']",2013,['Medical'],"Autism and Other Neurodevelopmental Disorders gathers and organizes the most recent information in this important and rapidly expanding field into a clinically useful volume that will enable clinicians, patients, and families to understand these disorders and make sound treatment decisions in light of recent research. The editors, as well as most of the chapter authors, are faculty or former trainees at the prestigious Medical Investigation of Neurodevelopmental Disorders (MIND) Institute at UC-Davis, a collaborative international research center committed to the awareness, understanding, prevention, care, and cure of neurodevelopmental disorders, including autism spectrum disorders, ADHD, learning disorders, and more. Each chapter presents signs and symptoms; epidemiology and etiology; diagnostic approaches; evidence based interventions; and reviews of promising research. By focusing on the range of neurodevelopmental disorders commonly seen and managed by both primary and subspecialist health care professionals. Autism and Other Neurodevelopmental Disorders explains cutting-edge research and advances in clinical care, and assembles them into a single, indispensable volume.",N/A,N/A
Emergency Neurology,['Morris Levin'],2013-04-25,['Medical'],"What Do I Do Now? Emergency Medicine is designed as a resource for clinicians at all levels of training in all fields of medicine who treat patients with urgent and emergent neurological syndromes. It uses a novel approach focusing on the ""clinical impasse"" that so often occurs in complex cases, and emphasizes the creative intellectual process clinicians relish. Authored by Morris Levin, along with colleagues from the Dartmouth-Hitchcock Medical Center, this volume presents 32 common urgent/emergent cases divided in to four distinct sections: (1) Diagnostic Questions (ADULT), (2) Treatment Considerations (ADULT), (3) Ethical, Neuropsychiatric and Legal issues and 4) Pediatric issues. The chapters are short and to the point, bearing in mind the increasing work demands on physicians. Thus, the approach in this book, as in the ""What Do I Do Now?"" series in general, is highly practical, logical and fun.",N/A,N/A
Rockwood and Green's Fractures in Adults,"['Paul Tornetta (III)', 'William M.. Ricci', 'Margaret M. McQueen', 'Charles M.. Court-Brown']",2019,['Adulthood'],"This exhaustive reference includes new chapters and pedagogical features, as well as--for the first time--content on managing fragility factures. To facilitate fast, easy absorption of the material, this edition has been streamlined and now includes more tables, charts, and treatment algorithms than ever before. Experts in their field share their experiences and offer insights and guidance on the latest technical developments for common orthopaedic procedures, including their preferred treatment options. New videos--accessible via the eBook--offering instruction and guidance on clinical procedures. New chapters on caring for obese patients, preoperative planning, and pain management. Deep-dive discussion and up-to-date content on how to manage fragility fractures. Easy-to-read tables outlining nonoperative treatments, adverse outcomes, and operative techniques. Time-saving preoperative planning checklists, as well as key steps for each surgical procedure. Potential pitfalls, preventive measures, and common adverse outcomes highlighted for all procedures. Numerous diagnostic and treatment algorithms for common orthopaedic procedures. Enhance Your eBook Reading Experience Read directly on your preferred device(s), such as computer, tablet, or smartphone. Easily convert to audiobook, powering your content with natural language text-to-speech.",N/A,N/A
