title,authors,publishedDate,categories,description,averageRating,textSnippet,language
De beste geweldigste meest fantastische opa's ter wereld / druk 1,['Jan Paul Schutten'],2015-10-02,[],N/A,N/A,N/A,nl
Fantastic Mr. Fox,['Roald Dahl'],1998,['Juvenile Fiction'],The adventures of Mr. Fox and three mean farmers who want to destroy the fox and his family.,4,N/A,en
Treasure Island,['Robert Louis Stevenson'],1895,['Adventure'],"While going through the possessions of a deceased guest who owed them money, the mistress of the inn and her son find a treasure map that leads them to a pirate's fortune.",N/A,N/A,en
River Boy,['Tim Bowler'],2001,['Fiction'],"A new mass-market edition of this Carnegie Medal-winner. One of the classic teenage novels of the nineties, ""River Boy"" is an emotional, moving book which has had a profound influence on its readers. Following the story of Jess's dying grandfather, and the marathon river swim Jess becomes caught up in, it uses poetic and surreal images of water andswimming to deal with the difficult subjects of death and loss in an accessible and affecting way. * Winner of the Carnegie Medal and the Angus Book Prize * A moving poetic exploration of grief and loss. * Internationally successful - foreign rights have so far been sold to America, Denmark, Sweden, Germany, Belgium, Italy, Poland and Portugal. A film option has been agreed. * New cover treatment to match Tim Bowler's wonderful new novel, ""Storm Catchers"". * Author was born and brought up in Leigh-on-Sea, Essex, and now lives in Totnes, Devon.",4.5,N/A,en
Robinson Crusoe,"['Daniel Defoe', 'Anthony Masters']",2014,['Fiction'],"Following a terrible storm, Crusoe finds himself stranded alone on a desert island off the coast of South America, all of his companions from his ship dead. Over the next 27 years, he builds a life for himself on the island, but is terribly lonely until he saves a Native American, who Crusoe calls Friday, from certain death at the hands of cannibal captors. The two men become friends, and eventually work together to save an English ship whose crew has mutinied. When Crusoe and Friday thwart the mutineers, the captain of the ship takes Crusoe home to England, with Friday as a loyal companion. Text Type: Classic FictionTheme/Topic: Human History, Connections with Native People",N/A,N/A,en
Treasure Island,['Robert Louis Stevenson'],2004,['Fiction'],"While going through the possessions of a deceased guest who owed them money, the mistress of the inn and her son find a treasure map that leads them to a pirate's fortune.",5,N/A,en
Emil and the Detectives,"['Cyrus Harry Brooks', 'Erich Kästner']",1933,['Adventure'],"On his way to Berlin to visit his grandmother Emil fell asleep and had his money stolen by the man who shared his compartment. Although he came from the country Emil was not stupid, and he determined to get that money back. He followed the man, met the boy with the auto horn, who summoned his friends, and among them all they caught a very clever thief.",N/A,N/A,en
Hans Brinker,[],1988,['Juvenile Fiction'],"A Dutch boy and girl work toward two goals, finding the doctor who can restore their father's memory and winning the competition for the silver skates.",N/A,N/A,en
Life of Pi,['Yann Martel'],2001,['Action and adventure fiction'],"After the sinking of a crago ship, a solitary lifeboat remains bobbing on the wild blue Pacific. The only survivors from the wreck are a sixteen-year-old boy named Pi, a hyena, a wounded zebra, and orangutan-and a 450-pound Royal Bengel tiger.",N/A,N/A,en
Ark Angel,['Anthony Horowitz'],2006,['Juvenile Fiction'],"After recovering from a near fatal gunshot wound, teenage spy Alex Rider embarks on a new mission to stop a group of eco-terrorists from sabotaging the launch of the first outer space hotel.",N/A,N/A,en
Harry Potter and the Chamber of Secrets,['J. K. Rowling'],1998,['Adventure'],"Sequel to Harry Potter and the sorcerer's stone. When the chamber of secrets is opened again at the Hogswart School for witchcraft and wizardry, second-year student Harry Potter finds himself in danger from a dark power that has once more been released on the school.",N/A,N/A,en
The Adventures of Tom Sawyer,['Mark Twain'],1965,['Adventure'],"""It's a lazy Mississippi River town, a place where a boy can learn magical cures for warts, turn a fence-painting job into a leisurely con game, get lost in a cave, escape to an island, or attend his own funeral. It's a time when hooky is punished with a simple swatting and pockets bulge with firecrackers and dead rats; a time when graves are dug up, and boys are fearful of murderous Injuns, when treasures are found, and hearts are won; a time when a prank can lead to a hero's world. It's a fantasy world, this world of Tom Sawyer--a tribute to boyhood, a chance to dream of idle days or skip off on high adventure. It's a warm and scary and funny and unforgettable experience""--Page 4 of cover.",N/A,N/A,en
Robinson Crusoe,['Daniel Defoe'],2004,['Adventure'],N/A,N/A,N/A,en
Swiss Family Robinson,['Johann David Wyss'],1994,['Adventure'],N/A,N/A,N/A,en
Treasure Island,['Robert Louis Stevenson'],1993,['Adventure'],N/A,N/A,N/A,en
