title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Encyclopedia of Soil Science,['Ward Chesworth'],2007-11-22,['Nature'],"The Encyclopedia of Soil Science provides a comprehensive, alphabetical treatment of basic soil science in a single volume. It constitutes a wide ranging and authorative collection of some 160 academic articles covering the salient aspects of soil physics, chemistry, biology, fertility, technology, genesis, morphology, classification and geomorphology. With increased usage of soil for world food production, building materials, and waste repositories, demand has grown for a better global understanding of soil and its processes. longer articles by leading authorities from around the world are supplemented by some 430 definitions of common terms in soil sciences.",N/A,N/A,en
The Manners and Customs of the Ancient Egyptians,['John Gardner Wilkinson'],2012-06-03,[],"Hardcover reprint of the original 1837 edition - beautifully bound in brown cloth covers featuring titles stamped in gold, 8vo - 6x9. No adjustments have been made to the original text, giving readers the full antiquarian experience. For quality purposes, all text and images are printed as black and white. This item is printed on demand. Book Information: Wilkinson, John Gardner, Sir. The Manners And Customs of The Ancient Egyptians, Volume 3. Indiana: Repressed Publishing LLC, 2012. Original Publishing: Wilkinson, John Gardner, Sir. The Manners And Customs of The Ancient Egyptians, Volume 3. London: J. Murray, 1837.",N/A,N/A,en
Weapons of the Weak,['James C. Scott'],1985-01-01,['Political Science'],"Weapons of the Weak is an ethnography by James C. Scott that studies the effects of the Green Revolution in rural Malaysia. One of the main objectives of the study is to make an argument that the Marxian and Gramscian ideas of false consciousness and hegemony are incorrect. He develops this conclusion throughout the book, through the different scenarios and characters that come up during his time of fieldwork in the village. This publication, based on 2 years of fieldwork (1978-1980), focuses on the local class relations in a small rice farming community of 70 households in the main paddy-growing area of Kedah in Malaysia. Introduction of the Green Revolution in 1976 eliminated 2/3 of the wage-earning opportunities for smallholders and landless laborers. The main ensuing class struggle is analyzed being the ideological struggle in the village and the practice of resistance itself consisting of: foot-dragging, dissimulation, desertion, false compliance, pilfering, feigned ignorance and sabotage acts. Rich and poor are engaged in an unremitting if silent struggle to define changes in land tenure, mechanization and employment to advance their own interests, and to use values that they share to control the distribution of status, land, work and grain.",N/A,N/A,en
Georgicks of Virgil,['Virgil'],1741,['Agriculture'],N/A,N/A,N/A,en
History of the Italian Agricultural Landscape,['Emilio Sereni'],1997,['History'],"From his perspective in the Italian tradition of cultural Marxism, Sereni guides the reader through the millennial changes that have affected the agriculture and ecology of the regions of Italy, as well as through the successes and failures of farmers and technicians in antiquity, the middle ages, the Renaissance, and the Industrial Revolution.",N/A,N/A,en
The Farmer's Magazine,[],1840,['Agriculture'],N/A,N/A,N/A,en
"Foure Bookes of Husbandry,",['Conrad Heresbach'],1578,['Agriculture'],N/A,N/A,N/A,en
Ultra-High-Temperature Processing of Milk and Milk Products,['H. Burton'],2012-12-06,['Technology & Engineering'],"This book attempts to explain the scientific basis for UHT sterilization and aseptic filling, as well as describe the processes and equipment used. I have tried to avoid producing merely a catalogue of sterilizers and aseptic fillers. Instead I have attempted to explain the principles on which the different types of plant operate, and discuss the factors which influence performance, so that information given by manufac turers may be assessed by readers in relation to their own processing requirements. Statements are generally supported by references. Where no re ference is given, personal experience or my interpretation of the work of others is my justification. Although the book deals mainly with milk and milk products, I hope that the information it contains will be useful to those dealing with other products, since the principles of processing are in general the same. The book is based on more than 30 years' involvement with research into UHT processing and aseptic filling. During this time I have been fortunate to work with and to talk to many people from whom I have learned a great deal. I benefited from conta.cts with Dr T. R. Ashton (England) and Professor H. Hostettler. (Switzerland), who were pioneers in the commercial development of UHT milk. More recently I have been privileged to know and work with research workers in many countries having a common interest in UHT processing. Of these, I should mention particularly Professors E. L. Thomas, V. A.",5,N/A,en
Five Hundred Pointes of Good Husbandrie,['Thomas Tusser'],1878,['Agriculture'],N/A,N/A,N/A,en
Biocommunication of Fungi,['Günther Witzany'],2012-05-31,['Science'],"Fungi are sessile, highly sensitive organisms that actively compete for environmental resources both above and below the ground. They assess their surroundings, estimate how much energy they need for particular goals, and then realise the optimum variant. They take measures to control certain environmental resources. They perceive themselves and can distinguish between ‘self’ and ‘non-self’. They process and evaluate information and then modify their behaviour accordingly. These highly diverse competences show us that this is possible owing to sign(aling)-mediated communication processes within fungal cells (intraorganismic), between the same, related and different fungal species (interorganismic), and between fungi and non-fungal organisms (transorganismic). Intraorganismic communication involves sign-mediated interactions within cells (intracellular) and between cells (intercellular). This is crucial in coordinating growth and development, shape and dynamics. Such communication mustfunction both on the local level and between widely separated mycelium parts. This allows fungi to coordinate appropriate response behaviors in a differentiated manner to their current developmental status and physiological influences.",N/A,N/A,en
