title,authors,publishedDate,categories,description,averageRating,textSnippet,language
American Antiquities and Researches Into the Origin and History of the Red Race,['Alexander W. Bradford'],1841,[],N/A,N/A,N/A,en
"An Exhibition of One Hundred American First Editions Paralleling the History of Mount Holyoke College, 1837-1937",['Williston Memorial Library'],1937,['American'],N/A,N/A,N/A,en
The Viking Discovery of America,"['Helge Ingstad', 'Anne Stine Ingstad']",2000,['History'],"Faced with harsh conditions in their Greenland home, a group of Vikings took the reins of fate into their own hands. With incredible luck, skill and fortitude, they discovered lands filled with a profusion of wood, wild game and fertile land. In the sagas that grew from this discovery, the lands were given names that resonated with hope and promise. Almost 1000 years later, a husband and wife team united their talents. Intrigued by allusions in the ancient sagas to fabled Vinland, they considered the scholarship on Viking culture and technology; they studied maps and they researched intensively the prominent theories on Vinland's location. And finally their efforts bore fruit when a remote Newfoundland peninsula yielded up a soapstone spindle-whorl, a Viking ring pin, and what had to be the overgrown remnants of over a dozen Viking buildings.",N/A,N/A,en
A Cultural Citizen of the World,['Siegbert Salomon Prawer'],2009,['Literary Criticism'],"Based on an intensive study of the original German text of Freud's writings, letters and journals, S. S. Prawer's new book is the first to make a full and systematic map of Freud's use of English literature. The great psychoanalyst has long been acclaimed as a polymath, as a practical doctor who was also a theoretician, as a writer of non-fiction which was also a counterpoint to the great novels of the early twentieth century, and as an essayist who, like Montaigne, absorbed all of the cultural world around him. Freud was fascinated by writings from many nations and languages, and his use of English shows the great range of his reading: from Shakespeare to Bernard Shaw, Henry Fielding to George Eliot, Mark Twain to Thornton Wilder; from scientific works by Maxwell and Darwin to the economics of Adam Smith, Malthus and Keynes, and from psychology and anthropology to the origins of religion. Though Freud's genius was unique, his sense of being a citizen of a world far wider than Vienna was not, and it can tell us much about the exchange of ideas across national and linguistic frontiers. Though he was a reader par excellence, he was also a case study in how world literature can be used by men and women who are not professional literary scholars or critics -- and of how much it can come to mean to them, and for their sense of who they are.",N/A,N/A,en
Bibliotheca Americana,['Henry Stevens (Jr.)'],1861,['America'],N/A,N/A,N/A,en
Manila Men in the New World,['Floro L. Mercene'],2007,['Business & Economics'],"The Filipino diaspora is at least four hundred years old. For two-and-a-half centuries, Filipinos by the hundreds traveled yearly to Mexico and the Americas, with many electing to stay and find a new life. The chief means for migration was the Manila galleon that sailed between the Philippines and Mexico to carry on a lively trade in Asian goods in exchange for silver from the Americas and the trappings of civilization from the West. The end of the galleon trade in 1815 did not stop the exodus of Filipinos to foreign lands as they began to discover the lure of other exotic ports in Asia and Europe. This book attempts to answer the question often asked: What happened to those Filipinos who started the diaspora? The answers are important because they fill a gap in the long history of this adventurous race.",5,N/A,en
The Odyssey of the Abraham Lincoln Brigade,['Peter N. Carroll'],1994,['History'],Looks at the role of the United States in the Spanish Civil War,N/A,N/A,en
Sir Ferdinando Gorges and His Province of Maine,['James Phinney Baxter'],1890,['America'],N/A,N/A,N/A,en
英語國家社會與文化讀本:英國、澳洲、紐西蘭,[],2002,['American'],N/A,N/A,N/A,en
The Coming of the Gringo,['Antonio S. Vigil'],1970,['American'],N/A,N/A,N/A,en
