title,authors,publishedDate,categories,description,averageRating,textSnippet
Maigret and the Spinster,['Georges Simenon'],1977,['Fiction'],A young woman who shares an apartment with an elderly aunt returns to police headquarters repeatedly to complain of strange shifts in the position of her furniture during the night. On a particularly busy day the Inspector puts her off just long enough for disaster to strike. Translated by Eileen Ellenbogen. Maigret is a registered trademark of the Estate of Georges Simenon.,N/A,N/A
Ice Station,['Matthew Reilly'],2000-09-15,['Fiction'],"On Antarctica, special forces from several countries battle each other for control of what is believed to be an alien space ship buried in the ice. Non-stop action and treachery galore. A first novel.",4,N/A
The Viking Discovery of America,"['Helge Ingstad', 'Anne Stine Ingstad']",2000,['History'],"Faced with harsh conditions in their Greenland home, a group of Vikings took the reins of fate into their own hands. With incredible luck, skill and fortitude, they discovered lands filled with a profusion of wood, wild game and fertile land. In the sagas that grew from this discovery, the lands were given names that resonated with hope and promise. Almost 1000 years later, a husband and wife team united their talents. Intrigued by allusions in the ancient sagas to fabled Vinland, they considered the scholarship on Viking culture and technology; they studied maps and they researched intensively the prominent theories on Vinland's location. And finally their efforts bore fruit when a remote Newfoundland peninsula yielded up a soapstone spindle-whorl, a Viking ring pin, and what had to be the overgrown remnants of over a dozen Viking buildings.",N/A,N/A
The Terrorists,"['Maj Sjöwall', 'Per Wahlöö']",1976,['Fiction'],"The final novel in the Martin Beck mystery series by Maj Sjöwall and Per Wahlöö is a masterful, all consuming tale that rushes toward a thrilling, unexpected climax. An American senator is visiting Stockholm and Martin Beck must lead a team to protect him from an international gang of terrorists. However, in the midst of the fervor created by the diplomatic visit, a young, peace-loving woman is accused of robbing a bank. Beck is determined to prove her innocence, but gets trapped in the maze of police bureaucracy. To complicate matters a millionaire pornographer has been bludgeoned to death in his own bathtub. Filled with the twists and turns and the pulse pounding excitement that are the hallmarks of the Martin Beck novels, The Terrorists is the stunning conclusion to the incredible series that changed crime fiction forever""--P. [4] of cover.",N/A,N/A
英語國家社會與文化讀本:英國、澳洲、紐西蘭,[],2002,['American'],N/A,N/A,N/A
"The Journal of Christopher Columbus During His First Voyage, 1492-93 and Documents Relating the Voyages of John Cabot and Gaspar Corte Real",['Christopher Columbus'],1981,['American'],N/A,N/A,N/A
"Assessing Financing, Education, Management and Policy Context for Strategic Planning of Human Resources for Health",['Thomas J. Bossert'],2007-12-15,['Law'],This book contains a method for assessing the financial educational and management systems and policy context essential for strategic planning and policy-development for human resources for health. This tool has been developed as an evidence-based comprehensive diagnostic aid to inform policy-making in low and middle income countries in regards to human resources for health. It does so in three stages by assessing the current status of the health workforce and capacities for health workforce policy implementation with a particular focus on four aspects - finance education management and policy-making; by identifying priority requirements and actions based on the current status of the health workforce and by showing how to sequence policies and draw up a prioritized action plan for human resources for health. This tool is designed as an initial diagnostic instrument to be used in a process of developing a national strategic plan on human resources for health. It helps to provide a rapid initial assessment and a preliminary strategic plan as part of a longer-term and sustained process of human resources planning. It is not intended to assess the appropriateness of a workforce's skills mix or the technical quality of pre-service curricula which are the subjects of several other assessment tools. Rather it focuses on determining - and providing sequenced recommendations to improve upon- system capacities to increase the effectiveness of the health workforce.,N/A,N/A
Maigret and the Hotel Majestic,['Georges Simenon'],1977-01-01,"['Maigret, Jules (Fictitious character)']",N/A,N/A,N/A
Where the Wild Cherries Grow,['Laura Madeleine'],2018-02-13,['Fiction'],"""A novel of the south of France""--Jacket.",N/A,N/A
American Pacificism,['Paul Lyons'],2006,['Literary Collections'],"This powerful critique of American-Islander relations draws upon extensive resources, including literary works and government documents to explore the ways in which conceptions of Oceania have been entwined in the American imagination.",N/A,N/A
