title,authors,publishedDate,categories,description,averageRating,textSnippet
Color Atlas of Human Anatomy,['Werner Platzer'],2009,['Medical'],"A well-balanced combination of a clinical text, reference material and multicolor illustrations make this review of musculoskeletal anatomy eminently useful for students and practitioners alike. The new edition features abundant clinical notes to help grasp the essentials of morphology in patient care, overviews of anatomical terms and their Latin equivalents, and an index of proper names explaining many of the eponyms used in anatomy today.",5,N/A
Surgical Anatomy and Technique,"['John E. Skandalakis', 'Panajiotis N. Skandalakis', 'Lee J. Skandalakis']",2012-12-06,['Medical'],"From the renowned Centers for Surgical Anatomy and Technique of Emory University, here is the revised and updated, defintive memory refresher for the practicing surgeon and the surgical resident entering the operating room. Featuring clear, practical explanations of anatomy as it pertains to most operations in general surgery, this book helps avoid complications and develop masterful surgical technique. With new sections on the esophagus, inquinal hernia and laparoscopic procedures, plus 100 new illustrations this is now more than ever a must-have for every resident and general surgeon.",N/A,N/A
On Growth and Form,"[""D'Arcy Wentworth Thompson""]",1992-07-31,['Science'],D'Arcy Thompson's classic On Growth and Form looks at the way things grow and the shapes they take.,3.5,N/A
Anatomy of the Human Body,"['Henry Gray', 'Carmine D. Clemente']",1985,['Medical'],ANATOMY OF THE HUMAN BODY.,N/A,N/A
Atlas of Human Anatomy,['Frank Henry Netter'],1997,['Medical'],"A collection of labeled, color illustrations pertinent to gross anatomy, organized in the categories of head and neck, back and spinal cord, thorax, abdomen, pelvis and perineum, upper limb, lower limb, and cross-sectional anatomy.",N/A,N/A
Anatomy of the Human Body,['Henry Gray'],1918,['Anatomy'],N/A,5,N/A
Principles of Anatomy and Physiology,"['Gerard J. Tortora', 'Nicholas Peter Anagnostakos']",1987,['Medical'],"The art and illustration program make explanations and concepts easier to comprehend. * ""Clinical Application"" sections demonstrate the clinical or professional significance of the discussion. * Coverage of scientific research and breakthroughs in understanding the human body keep the book on the cutting edge.",N/A,N/A
Clinically Oriented Anatomy,"['Keith L. Moore', 'Arthur F. Dalley', 'A. M. R. Agur']",2010,['Medical'],"Presents first-year medical and allied health students with the clinically oriented anatomical information. This textbook provides anatomy as it relates to the practice of medicine, dentistry, and physical therapy. It features the clinical Blue Boxes that are categorized with icons to promote easier comprehension of clinical information.",5,N/A
Zoonomia,['Erasmus Darwin'],1794,['Anatomy'],N/A,N/A,N/A
The Human Central Nervous System,"['Rudolf Nieuwenhuys', 'Jan Voogd', 'Christiaan van Huijzen']",2007-12-31,['Science'],"The present edition of The Human Central Nervous System differs considerably from its predecessors. In previous editions, the text was essentially confined to a section dealing with the various functional systems of the brain. This section, which has been rewritten and updated, is now preceded by 15 newly written chapters, which introduce the pictorial material of the gross anatomy, the blood vessels and meninges and the microstructure of its various parts and deal with the development, topography and functional anatomy of the spinal cord, the brain stem and the cerebellum, the diencephalon and the telencephalon. Great pains have been taken to cover the most recent concepts and data. As suggested by the front cover, there is a focus on the evolutionary development of the human brain. Throughout the text numerous correlations with neuropathology and clinical n- rology have been made. After much thought, we decided to replace the full Latin terminology, cherished in all previous editions, with English and Anglicized Latin terms. It has been an emotional farewell from beautiful terms such as decussatio hipposideriformis W- nekinkii and pontes grisei caudatolenticulares. Not only the text, but also the p- torial material has been extended and brought into harmony with the present state of knowledge. More than 230 new illustrations have been added and many others have been revised. The number of macroscopical sections through the brain has been extended considerably. Together, these illustrations now comprise a complete and convenient atlas for interpreting neuroimaging studies.",4,N/A
Stahl's Essential Psychopharmacology,['Stephen M. Stahl'],2013-04-11,['Medical'],"The single most readily readable source of information on psychopharmacology, covering disease and drug mechanisms in one highly illustrated volume.",N/A,N/A
A Textbook of Anatomy and Physiology,['William Arnould-Taylor'],1998,['Business & Economics'],"The third edition of this popular introduction to human anatomy and physiology has been revised, enlarged and redesigned to make it even more accessible. By using glossaries, tables, clear illustrations and well structured text, the book describes and explains the eight body systems, histology, and the accessory organs. William Arnould-Taylor MSc PhD (Physiology) has a distinguished record in the field of physiology. His contributions to promotion of education have been considerable, as an international examiner, author and broadcaster. This book will prove invaluable for anyone requiring an understanding of the structure and function of the human body. It will be particularly useful for students of courses related to sport, physical therapy or beauty therapy.",5,N/A
Principles of Frontal Lobe Function,"['Donald T. Stuss', 'Robert T. Knight']",2013,['Medical'],"Principles of Frontal Lobe Function, Second Edition is an expanded volume, divided into 9 sections representing major research and clinical disciples, including new topics such as social neuroscience. This book will provide clinicians, researchers, and students with the most current information as the mystery of the frontal lobes is unraveled.",N/A,N/A
"Handbook of Cardiac Anatomy, Physiology, and Devices",['Paul A. Iaizzo'],2007-11-08,['Medical'],"the Lillehei Heart Institute in their funding of illustrator Martin Finally, I would like to thank my family and friends for their Finch, who prepared several of the original figures; Gary support of my career and their assistance over the years. Without Williams for his computer expertise and assistance with such encouragement, I would not have even dreamed of taking on numerous figures; William Gallagher and Charles Soule, who such an ambitious project. Specifically, I would like to thank my made sure the laboratory kept running smoothly while many of wife Marge, my three daughters, Maria, Jenna, and Hanna, my us were busy writing or editing; Dick Bianco for his support of morn Irene, and siblings, Mike, Chris, Mark, and Susan, for always our lab and this book project; the Chairman of the Department being there for me. On a personal note, some of my motivation for of Surgery, Dr. David Dunn, for his support and encouragement; working on this project comes from the memory of my father and the Biomedical Engineering Institute at the University of Anthony, who succumbed to sudden cardiac death at too early an Minnesota, headed by Dr. Jeffrey McCullough, who supported age, and from the positive encouragement of my uncle Tom Halicki, this project by funding the Cardiovascular Physiology Interest who is doing well seven years after a heart transplant. Group (most of whose members contributed chapters). Paul A. laizzo, PhD Preface . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . V Blood Pressure, Heart Tones, and Diagnoses Contributors . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ix George Bojanov . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",N/A,N/A
