title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Everyday Life in Ancient Mesopotamia,"['Jean Bottéro', 'André Finet', 'Bertrand Lafont', 'Georges Roux']",2001-09-05,['History'],"Described by the editor as unpretentious roamings on the odd little byways of the history of ancient Mesopotamia, these 15 articles were originally published in the French journal L'Histoire and are designed to serve as an introductory sampling of the historical research on the lost civilization. Chapters explore cuisine, sexuality, women's rights, architecture, magic and medicine, myth, legend, and other aspects of Mesopotamian life. Originally published as Initiation a l'Orient ancien . Annotation copyrighted by Book News, Inc., Portland, OR",N/A,N/A,en
Huns,['Kathryn Hinds'],2010,['Juvenile Nonfiction'],Learn all there is to know about the Huns who played a compelling but often overlooked role in ancient history.,N/A,N/A,en
"Antiquitates Proponticae, Circumponticae Et Caucasicae II","['John M. Fossey', 'P.J. Smith']",2023-11-27,['History'],"Fossey, J.M. & Smith, P.J. (Ed.) Antiquitates Proponticae, Circumponticae et Caucasicae II 1997 Proceedings of the First International Conference on the Archaeology and History of the Black Sea (McGill University, November 1994). Contributors: R. Doneva, J.M. Fossey, G. Gauvin, D. Kacharava, L. Kamperídis, S.A. Krebs, V. Licheli, J. Morin, G. Tsetskhladze, K. Tuite. MUMCAH 19 (1997), 190 p. + pocket map. 21x29 cm. - 66.00 EURO, ISBN: 9050634788",N/A,N/A,en
Sacred Geometry and Numerology,['Moustafa Gadalla'],2016,"['Body, Mind & Spirit']","This small e-Document covers topics such as: what is Sacred Geometry. how it works, general layout of sample geometric shapes, squaring the circle, the two primary numbers in numerology, the summation(so-called Fibonacci) Series, irrational numbers, the pentagon, the (whirling squares)spirals, examples of sacred geometry in Egyptian artwork, and the harmonic design elements.",N/A,N/A,en
The Quest for the Lost Roman Legions,['Tony Clunn'],2009,['History'],"'The Quest for the Lost Roman Legions' documents the author's search to discover the Varus battlefield, where three Roman legions vanished in 9 AD, ambushed by Arminius, a Roman-trained German warrior determined to stop Rome's advance East beyond the Rhine.",N/A,N/A,en
The Slavic Myths,"['Noah Charney', 'Svetlana Slapšak']",2023,['Religion'],A Pulitzer-nominated author and one of the great public intellectuals of Slavic culture bring to life the unfamiliar myths and legends of the Slavic world.,N/A,N/A,en
An Introduction to Hadrian's Wall: One Hundred Questions About the Roman Wall Answered,['M. C. Bishop'],2011-12-02,['History'],"This book provides a friendly and accessible introduction to Hadrian's Wall in the form of 100 questions and their answers. Designed to appeal to all who have heard of (but do not necessarily know much about) this important monument, the themes covered include Building the Wall, Using the Wall, After the Wall, Visiting the Wall, and Understanding the Wall. It includes a select bibliography. Written by an archaeologist who has walked, driven, cycled, flown, illustrated, photographed and even excavated on Hadrian's Wall, this is the first of a new series of accessible guides to 'that famous wall'.",N/A,N/A,en
Meztli- Sacrificial Maiden,['Ross Richdale'],2015-11-16,['Fiction'],"In 1530 AD Spanish Time, Meztli and Cualli are saved from an Inca human sacrificial site where virgins are left to die to appease their gods because conquistadors invaded their lands. Zolin, Meztli's childhood friend has been sent by Hermit Tupac to rescue them, which he does. They must now follow a perilous journey along ancient Inca trails through the mountains to interior lands and the safety of free Inca towns. Etalpalli, one of the seven priests who brought the virgins to the sacrificial site has an agenda with loyalty to nobody but himself. He murders the six other priests who accompanied him to the site and on learning that two of the three virgins are still alive, attempts to find them. Conquistador Capitán Buena Giraldo, commander of the sector of the Inca Empire where Meztli and her friends live has more interest than just converting locals from their heathen ways. He wants to find a rumoured lost gold mine in the area. He teams up with Etalpalli who lies about his knowledge of where the mine is when really his aim is to find Meztli to enslave. On their way to the east, Meztli and her two friends are met at a junction in the trail by Urco from Cualli's village. He has been sent by Tupac to tell them that all the lands have been conquered by the conquistadors and there is no safe haven through the mountains. Instead they must follow the strings and knots that Incas use to communicate instead of a written language, to a secret cave that goes under the mountains to a hidden valley and golden pyramid. There they will be safe. But are they? A far greater threat catches up with them. It is smallpox, a plague brought by the conquistadors that is devastating the local population. Only a few adults survive. For some unknown reason the conquistadors are immune and Inca children also have a high survival rate. After travelling through the cave, Meztli and her friends arrive in the secret valley of Ehuraythak and golden pyramid to find that the entire population of adults have died from the plague and only children have survived. These are led by two twelve-year-olds, Palia and Ekko who soon welcome the four adults and the tiny community becomes self-sufficient. Meanwhile, Tupac learns that a new order of fanatical priests have arrived to replace the original ones in the local temple who died with the plague. Their solution is to sacrifice all the children and the few remaining mothers at the next full moon. Tupac is too old to be able to stop this latest sacrifice himself so sets out to find Zolin, Urco and the maidens to ask them to return to the sacrificial site and rescue the latest victims. On the way he is attacked, not by the conquistadors but by rogue priests including Etalpalli. His llama is killed and he is shot by a musket that the conquistadors have brought to their land but manages to fight them off by using his slingshot. His one thought now is to get to the pyramid but with a musket ball in his shoulder he is weak and knows that if the ball is not removed he will die. Only sheer willpower keeps him going through the cave. Back at Ehuraythak, Palia and Ekko notice someone coming down the trail. They alert Meztli and Tupac is rescued. Though extremely weak he survives and tells the four that they must return to the sacrificial site to rescue the mothers and children before the next full moon due to rise in only two weeks. Meztli and her friends begin a new journey back in a race against time through hostile territory controlled by the conquistadors and rogue priests. Their success depends on the help of others and sometimes the enemy become almost friends. The cost though, is gold and a lost gold mine that Capitán Giraldo believes is still in the area. Does this mean that the pyramid at Ehuraythak must be surrendered or is there another gold mine somewhere? Do they reach the forty children and adults about to be sacrificed in time? All will be revealed in this latest Ancient Ancestors novel.",N/A,N/A,en
Warriors of Anatolia,['Trevor Bryce'],2022-11-17,['History'],"In this lively treatment of one of antiquity's most mysterious civilizations, whose history disappeared from the records over 3,000 years ago, Trevor Bryce sheds fresh light on Hittite warriors as well as on the Hittites' social, religious and political culture and offers new solutions to many unsolved questions. Revealing them to have been masters of chariot warfare, who almost inflicted a disastrous defeat on Rameses II at the Battle of Qadesh (1274 BCE), he shows the Hittites also to have been devout worshippers of a pantheon of storm-gods and many other gods, and masters of a new diplomatic system which bolstered their authority for centuries. Drawing authoritatively both on texts and on ongoing archaeological discoveries, while at the same time offering imaginative reconstructions of the Hittite world, Bryce argues that while the development of a warrior culture was essential, not only for the Empire's expansion but for its very survival, this by itself was not enough. The range of skills demanded of the Hittite ruling class went way beyond mere military prowess, while there was much more to the Hittites themselves than just skill in warfare. This engaging volume reveals the Hittites in their full complexity, including the festivals they celebrated; the temples and palaces they built; their customs and superstitions; the crimes they committed; their social hierarchy, from king to slave; and the marriages and pre-nuptial agreements they contracted. It takes the reader on a journey which combines epic grandeur, spectacle and pageantry with an understanding of the intimacies and idiosyncrasies of Hittite daily life.",N/A,N/A,en
Kyla's Fate,['Ross Richdale'],2017-12-21,['Fiction'],"In 450 AD there was no United Kingdom, the Romans had left Britannia a generation before and the land was ruled by dozens of waring pagan kingdoms. This left the way open for different invaders from across the sea. Saxons arrived and violently overran Glouvia Kingdom in the southwest where nurse Kyla O'Knife was helping survivors of a recent plague, wounded warriors and civilians in distress. However, fate was about to deal Kyla a hand. Whether it was good or bad was still to be determined when Kyla was summoned to the dying king's bed and informed that she was his daughter by one of his wives. The entire royal family had been assassinated so after the king's death she became Crown Princess Kyla and ruler of Glouvia. This was a pyrrhic position for the Saxons now ruled the kingdom. They wanted her dead to discontinue the royal family line and she became a refugee. After rescuing enslaved women, Kyla who was helped by independent forest people, headed towards the hill country and sanctuary at a Christian monastery. Her troubles were not over for Llandover Monastery had been hit by the plague and only one monk survived. He was Brother Anthony who declared that the sacred building was for males only and women were not permitted. How did Kyla persuade Brother Anthony to let the women and herself in? What problems were there with a clash of beliefs and personalities? And what of the land left behind? Kyla was determined to help and set about to do just that. This is her story.",N/A,N/A,en
