title,authors,publishedDate,categories,description,averageRating,textSnippet
Doctor Dolittle,['Hugh Lofting'],1922,['Juvenile Fiction'],This treasury contains selections from eight of the original Dr. Dolittle books in which readers meet the lovable man who can talk to the animals.,N/A,N/A
The Wind in the Willows,['Kenneth Grahame'],1908,['Family & Relationships'],"The escapades of four animal friends who live along a river in the English countryside--Toad, Mole, Rat, and Badger.",4,N/A
The Jungle Book,['Rudyard Kipling'],1894,['Animals'],"Presents the adventures of Mowgli, a boy reared by a pack of wolves, and the wild animals of the jungle.",N/A,N/A
The Wind in the Willows: Mr. Toad,['Kenneth Grahame'],1997,['Comics & Graphic Novels'],"Kenneth Grahame's beloved classic, brought many times to the silver screen, finds its first adaptation into sumptuous comic art. His highly colourful characters, inimitable madness and love of nature which emanates from every page have appealed to countless generations both old and young. With illustrations by Michael Plessix.",N/A,N/A
Animal Farm,['George Orwell'],1946,['Animals'],"A satire on dictatorship fueled by Orwell's intense disillusionment with Soviet Communism. When the downtrodden beasts of Manor Farm oust their drunken human master and take over management of the land, all are awash in collectivist zeal.",N/A,N/A
Olivia,[],2000-10,['Juvenile Fiction'],Have fun with Olivia... dressing up singing songs building sand castles napping (maybe) dancing painting on walls and -- whew! -- going to sleep at last.,N/A,N/A
Super Safari Level 1 Pupil's Book with DVD-ROM,"['Herbert Puchta', 'Günter Gerngross', 'Peter Lewis-Jones']",2015-01-08,['Foreign Language Study'],"Super Safari British English edition is a three-level pre-primary course that welcomes very young children to English through stories, songs and plenty of playtime while supporting their cognitive, motor-sensory and social development.",N/A,N/A
The Wind in the Willows,['Kenneth Grahame'],2002,['Juvenile Fiction'],A fun retelling of Kenneth Grahame's classic tale for beginning chapter book readers! The classic tale!,3,N/A
The Wind in the Willows,['Kenneth Grahame'],2005,['Fiction'],".0000000000When Mole tires of spring-cleaning his home, he takes a stroll to the riverbank. There he meets a new friend, Ratty, who introduces him to the delightful world of the river and all its residents. Beyond the river, which has now lured Mole away from home, lies the Wild Wood, where the reclusive Badger has made his home. The three animals become firm friends that winter when Ratty and Mole take refuge from the snow in Badgers house. Together they have many thrilling adventures with the irrepressible Mr Toad, who, try as he might, simply cannot help getting into trouble. Illustrated by Arthur Rackham, with an Afterword by David Stuart Davies",N/A,N/A
Just So Stories,['Rudyard Kipling'],2004,['Fiction'],"Twelve short stories, most of which tell how such things as the alphabet, the camel's hump, and the elephant's trunk came to be.",N/A,N/A
"Black Beauty, His Groom and Companions",['Anna Sewell'],1894,['Animals'],N/A,4,N/A
The Wonky Donkey,['Craig Smith'],2010,['Juvenile Nonfiction'],"While walking down the road, the narrator sees a donkey that he shares more about as the story progresses.",N/A,N/A
The Story of Doctor Doolittle,['Hugh Lofting'],1920,['Animals'],"Doctor Doolittle, a humble country doctor who can understand the language of animals, has the first of many extraordinary adventures: finding a cure for the ailing monkeys in Africa.",N/A,N/A
Zoological Mythology,['Angelo De Gubernatis'],1872,['Animals'],N/A,N/A,N/A
