title,authors,publishedDate,categories,description,averageRating,textSnippet
A Century of Model Animation,"['Ray Harryhausen', 'Tony Dalton']",2008,['Art'],"This edition features the exact same content as the traditional book in a convenient, three-hole- punched, loose-leaf version. Books a la Carte also offer a great value--this format costs significantly less than a new textbook. The Tobey/Slater/Blair/Crawford series builds essential skills one at a time by breaking the mathematics down into manageable pieces. This practical ""building block"" organization makes it easy for students to understand each topic and gain confidence as they move through each section. Students will find many opportunities to check and reinforce their understanding of concepts throughout the book. With this revision, the author team has added a new Math Coach feature that provides students with an office hour experience by helping them to avoid commonly made mistakes. With Tobey/Slater/Blair/Crawford, students have a tutor, a study companion, and now a coach, with them every step of the way. This package contains: Books a la Carte for Beginning Algebra: Early Graphing, Third Edition",N/A,N/A
Animation,['Giannalberto Bendazzi'],2015-05-01,['Performing Arts'],"A continuation of 1994's groundbreaking Cartoons, Giannalberto Bendazzi's Animation: A World Historyis the largest, deepest, most comprehensive text of its kind, based on the idea that animation is an art form that deserves its own place in scholarship. Bendazzi delves beyond just Disney, offering readers glimpses into the animation of Russia, Africa, Latin America, and other often-neglected areas and introducing over fifty previously undiscovered artists. Full of first-hand, never before investigated, and elsewhere unavailable information, Animation: A World Historyencompasses the history of animation production on every continent over the span of three centuries. Volume I traces the roots and predecessors of modern animation, the history behind Émile Cohl's Fantasmagorie, and twenty years of silent animated films.Encompassing the formative years of the art form through its Golden Age, this book accounts for animation history through 1950 and covers everything from well-known classics like Steamboat Willieto animation in Egypt and Nazi Germany. With a wealth of new research, hundreds of photographs and film stills, and an easy-to-navigate organization, this book is essential reading for all serious students of animation history.",N/A,N/A
Animating the Unconscious,['Jayne Pilling'],2012,['Performing Arts'],"As critical interest has grown in the unique ways in which art animation explores and depicts subjective experience - particularly in relation to desire, sexuality, social constructions of gender, confessional modes, fantasy, and the animated documentary - this volume offers detailed analysis of both the process and practice of key contemporary filmmakers, while also raising more general issues around the specificities of animation. Combining critical essays with interview material, visual mapping of the creative process, consideration of the neglected issue of how the use of sound differs from that of conventional live-action, and filmmakers' critiques of each others' work, this unique collection aims to both provoke and illuminate via an insightful multi-faceted approach.",N/A,N/A
Acting and Character Animation,"['Rolf Giesen', 'Anna Khan']",2018,['Acting'],"Acting and animation are highly creative processes. This book is divided into two parts: From film history we learn about the importance of actors and the variety of acting that goes into animation; then, we turn to the actor's point of view to describe the various techniques involved.",N/A,N/A
The Art of Walt Disney,['Christopher Finch'],2004,['Animated films'],"This book is the official, extensively illustrated history of Disney, from Mickey Mouse to The Lion King and beyond.",N/A,N/A
Stop Motion,['Susannah Shaw'],2004,['Art'],"Shaw provides the first truly practical introduction to the craft skills of model animation. This is a vital book in the development of model animation, following the success of ""Chicken Run,"" which has put this genre at the forefront of today's animation.",4.5,N/A
Acting and Performance for Animation,"['Derek Hayes', 'Chris Webster']",2013,['Art'],"Unique, believable characters that think, feel, and captivate your audience are ones that involve emotion, personality, and story. Successful animators balance all of these elements within a single character and narrative. With Acting and Performance for Animation, discover how to create dynamic, dramatic performances and believable character interaction for 2D and 3D animation and motion capture. An invaluable resource, Acting and Performance for Animation is a practical guide to the variety of performance techniques relevant to animators. Develop believable character interactions with chapters detailing the principles of performance, performance types, character emotion and personality, physical and psychological performance, and scene composition. Analyze scripts, sound, acting, action and performance with hints, tips, and animated examples featured in an extensive guide for animators working in film, TV, games, and commercials. Explore different performance techniques based upon the experiences of seasoned animators and actors with case studies featuring Peter Lord, John Stevenson, Marco Marenghi, Mark Baker, Neville Astley, Joanna Quinn, and more.",N/A,N/A
Understanding Macromedia Flash 8 ActionScript 2,"['Andrew Rapo', 'Alex Michael']",2006,['Art'],"Andrew Rapo and Alex Michael explain all the important programming concepts from a designer's point of view, making them completely accessible to non-programmers. Completely revised and rewritten this second edition will help you develop professional ActionScript 2 applications, and communicate knowledgably about current, Object Oriented ActionScript 2 techniques.Divided into four sections to take you from novice to professional results:* Flash Fundamentals: Introduces the Flash authoring environment and basic core Flash concepts.* ActionScript 2 Fundamentals: Explains basic programming concepts and terminology, and shows how ActionScript 2 classes are constructed and used.* Built-in Classes: Describes the built-in ActionScript classes that are available for use in applications, including the MovieClip class, Key class, Sound class, etc.* Using ActionScript to Build a Game: Describes the development process for creating a complex Flash application and presents commercial-quality game coding examples.",N/A,N/A
The Foley Grail,['Vanessa Theme Ament'],2009,['Computers'],"Helps to create custom sound effects that are the mainstay of soundtracks for films, broadcast, animation and games. This title also demonstrates how Foley is designed, crafted and edited for any project - right down to the nuts and bolts of spotting, cueing, and performing sounds.",5,N/A
The Animator's Workbook,['Tony White'],1988,['Design'],"The Animator's Workbookoffers a complete course on the principles and techniques of drawn animation. Stressing that animation is a subtle and exacting art form which breathes life into inanimate drawings, Tony White, an award-winning animator, covers every aspect of the process. He provides technical information and explains in easy-to-follow text and step-by-step illustrations, how to capture movement, expression, and emotion. He shows you how to convncingly animate birds and animals and explores special effects - wind, water, fire, and solid objects - that can add realism, drama, and atmosphere to animation. This book takes the mystery out of the animation process and provides sound, reliable guidance and information. Topics include: Content The Process of Animation The Animator's Toolkit Inbetweening Head Turns Walks Runs Realistic Touches Technical Information Exaggerated Action The Animal Kingdom Dialogue Animated Effects Backgrounds",N/A,N/A
