title,authors,publishedDate,categories,description,averageRating,textSnippet
The Gift,['Marcel Mauss'],2000,['History'],"Since its first publication in English in 1954, The Gift, Marcel Mauss's groundbreaking study of the relation between forms of exchange and social structure, has been acclaimed as a classic among anthropology texts.",5,N/A
After the Fact,['Clifford Geertz'],1996-10,['Biography & Autobiography'],"In looking back on four decades of anthropology in the field, Clifford Geertz creates a personal history that is also a retrospective reflection on developments in the human sciences amid political, social, and cultural changes in the world.",5,N/A
Pre-historic Times,['Sir John Lubbock'],1872,['Anthropology'],N/A,N/A,N/A
Prehistory of the Indo-Malaysian Archipelago,['Peter Bellwood'],2007-03-01,['Social Science'],"Since its publication in 1985, Peter Bellwood's Prehistory of the Indo-Malaysian Archipelago has been hailed as the sole authoritative work on the subject by the leading expert in the field. Now that work has been fully revised and includes a complete up-to-date summary of the archaeology of the region (and relevant neighboring areas of China and Oceania), as well as a comprehensive discussion of new and important issues (such as the ""Eve-Garden of Eden"" hypothesis and its relevance to the Indo-Malaysian region) and recent advances in macrofamily linguistic classification. Moving north to south from northern Peninsular Malaysia to Timor and west to east from Sumatra to the Moluccas, Bellwood describes human prehistory from initial hominid settlement more than one million years ago to the eve of historical Hindu-Buddhist and Islamic cultures of the region. The archaeological record provides the central focus, but chapters also incorporate essential information from the paleoenvironmental sciences, biological anthropology, linguistics, and social anthropology. Bellwood approaches questions about past cultural and biological developments in the region from a multidisciplinary perspective. Historical issues given extended treatment include the significance of the Homo erectus populations of Java, the dispersal of the present Austronesian-speaking peoples of the region within the past 4,000 years, and the spread of metallurgy since 500 B.C. Bellwood also discusses relationships between the prehistoric populations of the archipelago and those of neighboring regions such as Australia, New Guinea, and mainland Asia.",N/A,N/A
Toward an Anthropological Theory of Value,['D. Graeber'],2001-12-13,['Social Science'],"Now a widely cited classic, this innovative book is the first comprehensive synthesis of economic, political, and cultural theories of value. David Graeber reexamines a century of anthropological thought about value and exchange, in large measure to find a way out of ongoing quandaries in current social theory, which have become critical at the present moment of ideological collapse in the face of Neoliberalism. Rooted in an engaged, dynamic realism, Graeber argues that projects of cultural comparison are in a sense necessarily revolutionary projects: He attempts to synthesize the best insights of Karl Marx and Marcel Mauss, arguing that these figures represent two extreme, but ultimately complementary, possibilities in the shape such a project might take. Graeber breathes new life into the classic anthropological texts on exchange, value, and economy. He rethinks the cases of Iroquois wampum, Pacific kula exchanges, and the Kwakiutl potlatch within the flow of world historical processes, and recasts value as a model of human meaning-making, which far exceeds rationalist/reductive economist paradigms.",N/A,N/A
After the Ice,['Steven J. Mithen'],2006,['History'],"""Drawing on the latest research in archaeology, human genetics, and environmental science, After The Life takes the reader on a sweeping tour of 15,000 years of human history.""--Cover.",5,N/A
Taking Sides,"['Heidi Armbruster', 'Anna Lærke']",2008,['Political Science'],"This volume, written by a younger generation of scholars engaged with the new global movements for social justice and peace, reflects their efforts of trying to integrate their scholarly pursuits with their understanding of the ethics, politics and fieldwork in anthropology.",N/A,N/A
Shamanism in Siberia,['A.A. Znamenski'],2013-03-14,['Religion'],"This book takes you to the ""classical academy of shamanism"", Siberian tribal spirituality that gave birth to the expression ""shamanism."" For the first time, in this volume Znamenski has rendered in readable English more than one hundred books and articles that describe all aspects of Siberian shamanism: ideology, ritual, mythology, spiritual pantheon, and paraphernalia. It will prove valuable to anthropologists, historians of religion, psychologists and practitioners of shamanism.",N/A,N/A
Ancient Law,['Henry Sumner Maine'],1861,['Anthropology'],N/A,N/A,N/A
"Ancient Law; Its Connection with the Early History of Society, and Its Relation to Modern Ideas",['Sir Henry Sumner Maine'],1888,['Comparative law'],N/A,N/A,N/A
