title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Archaeology of Ancient Greece,['James Whitley'],2001-10-04,['Art'],A synthesis of research on the material culture of Greece in the Archaic and Classical periods.,N/A,N/A,en
Israel's Exodus in Transdisciplinary Perspective,"['Thomas E. Levy', 'Thomas Schneider', 'William H.C. Propp']",2015-03-28,['Social Science'],"The Bible's grand narrative about Israel's Exodus from Egypt is central to Biblical religion, Jewish, Christian, and Muslim identity and the formation of the academic disciplines studying the ancient Near East. It has also been a pervasive theme in artistic and popular imagination. Israel's Exodus in Transdisciplinary Perspective is a pioneering work surveying this tradition in unprecedented breadth, combining archaeological discovery, quantitative methodology and close literary reading. Archaeologists, Egyptologists, Biblical Scholars, Computer Scientists, Geoscientists and other experts contribute their diverse approaches in a novel, transdisciplinary consideration of ancient topography, Egyptian and Near Eastern parallels to the Exodus story, the historicity of the Exodus, the interface of the Exodus question with archaeological fieldwork on emergent Israel, the formation of biblical literature, and the cultural memory of the Exodus in ancient Israel and beyond. This edited volume contains research presented at the groundbreaking symposium ""Out of Egypt: Israel’s Exodus Between Text and Memory, History and Imagination"" held in 2013 at the Qualcomm Institute of the University of California, San Diego. The combination of 44 contributions by an international group of scholars from diverse disciplines makes this the first such transdisciplinary study of ancient text and history. In the original conference and with this new volume, revolutionary media, such as a 3D immersive virtual reality environment, impart innovative, Exodus-based research to a wider audience. Out of archaeology, ancient texts, science and technology emerge an up-to-date picture of the Exodus for the 21st Century and a new standard for collaborative research.",N/A,N/A,en
Methods and Aims in Archaeology,['William Matthew Flinders Petrie'],2013-09-05,['Social Science'],"Petrie's classic work of 1904 outlines his rigorous archaeological processes, including excavation techniques and the management of workers.",N/A,N/A,en
Thinking from Things,['Alison Wylie'],2002-11-13,['Philosophy'],"""No other work in this field covers the history of important conceptual issues in archaeology in such a deep and knowledgable way, bringing both philosophical and archeological sophistication to bear on all of the issues treated. Wylie’s work in Thinking from Things is original, scholarly, and creative. This book is for anyone who wants to understand contemporary archaeological theory, how it came to be as it is, its relationship with other disciplines, and its prospects for the future.""—Merrilee Salmon, author of Philosophy and Archaeology ""Wylie is a reasonable and astute thinker who lucidly and persuasively makes genuinely constructive criticisms of archaeological thought and practice and very useful suggestions for how to proceed. She commands both philisophy and archaeology to an unusual degree. Having her articles together in Thinking from Things, with much new material extending and integrating them, is a major contribution that will be widely welcomed among archaeologists—both professionals and students, philosophers and historians of science, and social scientists.""—George L. Cowgill, Arizona State University",N/A,N/A,en
Human Skeletal Remains,['Douglas H. Ubelaker'],1989,['Science'],"Ubelaker's awareness of problems and inadequacies in the excavation procedures and preservation of osteological remains spurred him to publish this book. His aim was to produce a manual which would enhance the appreciation of all kinds of human remains and to outline the procedures for excavating, processing and analysing them. He deals with both the familiar and common problems and issues which arise and many of the anomalies which may be encountered. Technical terms are used and explained in an attempt to encourage use of correct terminology. Contents: Introduction; Skeletal recovery; Sex, stature, and age; Cultural and pathological alterations; Race, identity and time since death; Prehistoric population dynamics.",N/A,N/A,en
The Prehistory of Africa,['International Union of Prehistoric and Protohistoric Sciences'],1996,['Art'],N/A,N/A,N/A,en
Archaeology,['Bjørnar Olsen'],2012-11-19,['Social Science'],"“This book exhorts the reader to embrace the materiality of archaeology by recognizing how every step in the discipline’s scientific processes involves interaction with myriad physical artifacts, ranging from the camel-hair brush to profile drawings to virtual reality imaging. At the same time, the reader is taken on a phenomenological journey into various pasts, immersed in the lives of peoples from other times, compelled to engage their senses with the sights, smells, and noises of the publics and places whose remains they study. This is a refreshingly original and provocative look at the meaning of the material culture that lies at the foundation of the archaeological discipline.”—Michael Brian Schiffer, author of The Material Life of Human Beings “This volume is a radical call to fundamentally rethink the ontology, profession, and practice of archaeology. The authors present a closely reasoned, epistemologically sound argument for why archaeology should be considered the discipline of things, rather than its more commonplace definition as the study of the human past through material traces. All scholars and students of archaeology will need to read and contemplate this thought-provoking book.”—Wendy Ashmore, Professor of Anthropology, UC Riverside ""A broad, illuminating, and well-researched overview of theoretical problems pertaining to archaeology. The authors make a calm defense of the role of objects against tedious claims of 'fetishism.'""—Graham Harman, author of The Quadruple Object",N/A,N/A,en
Domestic Architecture and Power,['Ross W. Jamieson'],2005-12-08,['Social Science'],"Historical archaeology, one of the fastest growing of archaeology’s sub fields in North America, has developed more slowly in Central and p- ticularly South America. Happily, this circumstance is ending as a gr- ing number of recent projects are successfully integrating textual and material culture data in studies of the events and processes of the last 500 years. This interval and this region–often called Ibero-America–have been studied for a century or more by historians with traditional perspectives and emphases focusing on colonial elites and large-scale politico-economic events. Such inclinations fit well into world-system and other core-peri- ery models that have had a major impact on historical thought since the 1970s. Over the past 20 years or so, however, world-system models have come under fire from historians, anthropologists, and others, in part because the emphasis on global trends and the growth of capitalism - nies the importance of understanding variability in local histories and circumstances. Historians have increasingly turned their attention to lo cal, rural, and domestic contexts, thereby illuminating the great diversity of responses to colonial domination that were played out in the vast arena of the Americas. It is not coincidental that this is the intellectual climate in which historical archaeology is establishing itself in Central and South America.",N/A,N/A,en
Experiencing the Past,['Michael Shanks'],1992,['Art'],In Experiencing the Past Michael Shanks presents an animated exploration of the character of archaeology and reclaims the sentiment and feeling which are so often lost in purely academic approaches.,N/A,N/A,en
The Near East,['Charles Keith Maisels'],1993,['History'],"Charles Maisels follows the course of discovery of 'the land between the rivers' over more than a century, to our present conclusions - very different from the first discoveries.",N/A,N/A,en
