title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Architects' Data,['Ernst Neufert'],2019-08-05,['Architecture'],"An indispensable tool for the beginning stages of designing and planning a building project This new edition of a classic, bestselling text provides, in one concise volume, the essential information needed to form the framework for the more detailed design and development of any building project. Organized largely by building type, it covers planning criteria and considerations of function and siting—and with over 6200 diagrams, it provides a mass of data on spatial requirements. Most of the featured illustrations are dimensioned and each building type includes plans, sections, site layouts, and design details. The book also includes an extensive bibliography and detailed set of metric/imperial conversion tables. Architects' Data starts with the basics of designing for a new building project, before moving on to covering everything an architect needs to know. It also looks at the design styles and specifications for creating different types of structures, such as those made for residential, religious, cultural, sports, medical, and other types of occupation. Covers user requirements, planning criteria, basic dimensions, and considerations of function and siting Includes numerous examples and over 6200 illustrations and tables 5th English edition of the classic, international reference for architects Architects' Data is an excellent resource for architects, building surveyors, space planners, and design and build contractors everywhere.",N/A,N/A,en
Van Gogh in Saint-Rémy and Auvers,['Ronald Pickvance'],1986,['Architecture'],"Van Gogh in Saint-Remy and Auvers is the sequel to the highly acclaimed exhibition catalogue Van Gogh in Arles. The seventy paintings, eighteen drawings, and one etching selected for the present volume--drawn from public and private collections throughout Europe, the United States, and Asia for exhibition at the Metropolitan Museum of Art--include some of Vincent van Gogh's most famous images. Remarkable for their intensity and clarity of expression, they trace the development of van Gogh as an artist from May 1889, when he left Arles for a private asylum in Saint-Remy-de-Provence, some fifteen miles northeast of Arles, to his death in Auvers-sur-Oise, near Paris, in July 1890.",N/A,N/A,en
The Ten Books on Architecture,['Vitruvius Pollio'],2025-05-13,['Architecture'],"The Ten Books on Architecture by Vitruvius Pollio stands as a monumental work that not only captures the essence of ancient architectural wisdom but also serves as a foundational text for the field of architecture itself. Written in the first century B.C., this treatise has transcended time, providing invaluable insights into the principles and practices of architecture that shaped the Roman world. Vitruvius meticulously outlines the essential elements that contribute to sound architectural design, emphasizing the interplay between functionality, aesthetics, and the environment. Each of the ten books is a rich treasure trove of knowledge, beginning with the significance of architectural theory and the principles of design. Vitruvius elucidates the importance of proportionality and symmetry, asserting that these elements are essential for achieving beauty and harmony in structures. His famous maxim that “architecture should be sturdy, useful, and beautiful” encapsulates his holistic approach to building design. This foundational concept has influenced countless architects and thinkers throughout history, as it emphasizes that architecture is not merely the construction of buildings but an art form that reflects culture and society. Delving into various topics, Vitruvius also examines the engineering aspects of architecture, discussing materials necessary for construction, methods of building, and the design of various structures from temples to aqueducts. His analysis of public buildings, residential architecture, and urban planning reveals his forward-thinking perspective and profound understanding of the needs of society. With detailed descriptions of functional aspects such as stair design and the importance of positioning buildings in relation to sunlight, the text serves as a practical guide as well as a theoretical one. What makes *The Ten Books on Architecture* particularly remarkable is how Vitruvius integrates historical context with design theory. He passionately argues for the significance of architecture in shaping public life and the collective well-being of society. His exploration of how architecture can enhance the human experience, harmonizing spaces for utility and beauty, remains relevant today as architects strive to create environments conducive to social interactions and comfort. Vitruvius’ work is not only for architects and builders; it is also a compelling narrative for anyone interested in the confluence of art and engineering across the ages. Readers will find themselves inspired by the stories of ancient construction techniques and the intricate relationships between structures and their environments. As such, his work stands at the intersection of history, art, and practical application, providing insights that resonate even in contemporary discussions about sustainability and design. In conclusion, *The Ten Books on Architecture* is a groundbreaking text that invites readers to explore the world of ancient architecture while uncovering the timeless principles that govern it. Vitruvius Pollio’s eloquent exposition and profound insights challenge us to consider the beauty and significance of the built environment around us. This illustrious treatise is essential for architects, historians, and enthusiasts alike, making it a timeless work that continues to inspire and educate. Encounter the wisdom of one of history's greatest architectural minds and appreciate the foundations laid for modern design in this enduring classic.",N/A,N/A,en
The Hunchback of Notre Dame - Victor Hugo,['Victor Hugo'],2021-06-15,['Literary Criticism'],"Hidden deep within the confines of Notre Dame, Quasimodo lives in solitude, shunned by the outside world because of his hideous appearance. His only joy is the appearance of a woman by the name of Esmerelda who takes pity on him because of his circumstances. Esmerelda, after attracting unwanted attention from members of the Church finds herself in a battle for her life, and seemingly only Quasimodo, the man she has taken pity on can save her.A mad priest, a vagabond playwright, a social-climbing soldier, and a deformed bell-ringer all are captivated by a gypsy girl's beauty and charm. Two of them will betray her, but the others will remain loyal, even in the shadow of the gallows. These outlaws find sanctuary within the walls of medieval Paris' greatest monument, the grand Cathedral of Notre Dame.""What a beautiful thing Notre-Dame is!"" declared Gustave Flaubert of Victor Hugo's 1837 novel. Originally published as Notre-Dame de Paris (Our Lady of Paris), it was conceived as a story of the cathedral itself, which functioned as the passionate heart of fifteenth-century city life. But Hugo's human drama rivals the Gothic masterpiece for dominance. Drawn with humor and compassion, his characters endure, both in literary history and in readers' imaginations: Frollo, the sinister archdeacon; Quasimodo, the hideous hunchback; and the enchanting outcast, Esmeralda.",N/A,N/A,en
Solar Energy Pocket Reference,"['Christopher L. Martin', 'D. Yogi Goswami']",2019-01-04,['Nature'],"Drawing on the experience of some of the foremost experts in the field, this easy-to-use and affordable pocket reference includes a wealth of information relating to solar energy and solar energy technologies. Topics covered range from solar angles, sun path diagrams, solar radiation and radiative properties of materials through to thermal collectors, thermal energy storage, photovoltaics and daylighting. The book also includes conversion factors and constants and is peppered throughout with helpful illustrations, equations and explanations. Anyone with an interest in solar energy, including professional architects and engineers, home builders, academic researchers, students and energy consultants will find a host of answers in this book – a practical assimilation of data, fundamentals and guidelines for application.",N/A,N/A,en
Modern Architecture Since 1900,['William J. R. Curtis'],1983,['Architecture'],"A penetrating analysis of the modern architectural tradition and its origins. Since its first publication in 1982, Modern Architecture Since 1900 has become established as a contemporary classic. Worldwide in scope, it combines a clear historical outline with masterly analysis and interpretation. Technical, economic, social and intellectual developments are brought together in a comprehensive narrative which provides a setting for the detailed examination of buildings. Throughout the book the author's focus is on the individual architect, and on the qualities that give outstanding buildings their lasting value.For the third edition, the text has been radically revised and expanded, incorporating much new material and a fresh appreciation of regional identity and variety. Seven chapters are entirely new, including expanded coverage of recent world architecture.Described by James Ackerman of Harvard University as ""immeasurably the finest work covering this field in existence"", this book presents a penetrating analysis of the modern tradition and its origins, tracing the creative interaction between old and new that has generated such an astonishing richness of architectural forms across the world and throughout the century.",5,N/A,en
5000 Years of Tiles,['Hans Van Lemmen'],2013-10-22,['Design'],"A comprehensive, full-color exploration of tile art and production worldwide, from earliest times to the present day. The book is both an authoritative work of reference and a visual delight, ranging from ancient Greece, where the first fired roof tiles date from as early as the third millennium BC, to twentieth-century Mexico. Along the way we encounter stunning examples of the tiler's art: the enormous English medieval floor pavements from Byland Abbey and Clarendon Palace; figural tiles from China, intended to adorn roofs and ward off evil; the famous Iznik tiles from the Islamic world, with their richly decorative patterns; the highly stylised ceramic tiles of the Arts and Crafts movement; and the tiles created by some of the finest ceramic artists and potters of the twenty-first century. Placing the tiles firmly in their historical and cultural context, the book highlights both continuity and diversity, the dissemination of techniques and designs, and how tile art in one time and place has inspired and rejuvenated those in others. Tiles are also studied in terms of function as well as form, and the full range of architectural and practical purposes for which they have been used - from floors to roofs, stoves to bathrooms, cathedrals to metro stations - will be explored, along with the various techniques employed to create such versatile pieces. 5000 Years of Tiles is the essential, most comprehensive single volume for anyone interested in the ceramic, decorative, and architectural arts.",N/A,N/A,en
The Lost World of Old Europe,"['David W. Anthony', 'Jennifer Chi']",2010,['Architecture'],"In the prehistoric Copper Age, long before cities, writing, or the invention of the wheel, Old Europe was among the most culturally rich regions in the world. Its inhabitants lived in prosperous agricultural towns. The ubiquitous goddess figurines found in their houses and shrines have triggered intense debates about women's roles. The Lost World of Old Europe is the accompanying catalog for an exhibition at New York University's Institute for the Study of the Ancient World. This superb volume features essays by leading archaeologists as well as breathtaking color photographs cataloguing the objects, some illustrated here for the first time. The heart of Old Europe was in the lower Danube valley, in contemporary Bulgaria and Romania. Old European coppersmiths were the most advanced metal artisans in the world. Their intense interest in acquiring copper, Aegean shells, and other rare valuables gave rise to far-reaching trading networks. In their graves, the bodies of Old European chieftains were adorned with pounds of gold and copper ornaments. Their funerals were without parallel in the Near East or Egypt. The exhibition represents the first time these rare objects have appeared in the United States. An unparalleled introduction to Old Europe's cultural, technological, and artistic legacy, The Lost World of Old Europe includes essays by Douglass Bailey, John Chapman, Cornelia-Magda Lazarovici, Ioan Opris and Catalin Bem, Ernst Pernicka, Dragomir Nicolae Popovici, Michel Séfériadès, and Vladimir Slavchev.",N/A,N/A,en
The Great Wall of China 221 BC–AD 1644,['Stephen Turnbull'],2012-10-20,['History'],"The most famous example of fortification in the world, the Great Wall of China stretches for more than 6,000km across inhospitable terrain. Charting its development from its earliest origins in the 7th century BC through to the present day, this account reveals the true history of the wall, and explores the myths that surround it. Included are details of what it was like to live within the wall, how it was garrisoned and patrolled, and a discussion of how effective it was against attack. Through extensive examination of both ancient and modern sources, colour maps, artwork and photographs, this book illustrates why the wall is one of the great wonders of the world.",N/A,N/A,en
Sustainability and Cities,"['Peter Newman', 'Jeffrey Kenworthy']",1999-02,['Architecture'],Our dependence on cars is a huge problem - but the authors argue that it can be overcome and a new form of urban organisation developed. They examine the trends which shape global cities and establishes transport priorities within this framework.,4,N/A,en
