title,authors,publishedDate,categories,description,averageRating,textSnippet,language
History Museums in the United States,"['Warren Leon', 'Roy Rosenzweig']",1989,['Art'],"Every year 100 million visitor's tour historic houses and re-created villages, examine museum artifacts, and walk through battlefields. But what do they learn? What version of the past are history museums offering to the public? And how well do these institutions reflect the latest historical scholarship? Fifteen scholars and museum staff members here provide the first critical assessment of American history museums, a vital arena for shaping popular historical consciousness. They consider the form and content of exhibits, ranging from Gettysburg to Disney World. They also examine the social and political contexts on which museums operate.",N/A,N/A,en
The Tales of History's Artists,['Pasquale De Marco'],2025-03-17,['Art'],"Embark on a captivating journey through the ages with this comprehensive and engaging book that explores the diverse artistic traditions that have flourished across cultures and civilizations. From the earliest cave paintings to the latest digital creations, discover the hidden meanings, marvel at the breathtaking beauty, and gain insights into the revolutionary movements that have transformed the art world. With vivid prose and insightful analysis, this book takes you on an immersive journey through the history of art. Witness the birth of creativity in prehistoric times, where humans first expressed themselves through cave paintings and sculptures. Trace the development of art through the ancient world, encountering the iconic works of ancient Egypt, Greece, and Rome. Explore the profound influence of religion on art, from the grandeur of Gothic cathedrals to the exquisite artistry of illuminated manuscripts. Delve into the Renaissance, a period of renewed appreciation for classical learning and humanism, which produced some of the most renowned works of art in history. Discover the theatricality and exuberance of the Baroque and Rococo periods, and the rise of reason and order during the Enlightenment and Neoclassicism. Witness the Romantic and Individualist movements challenge traditional conventions, leading to a profound shift in artistic expression. Follow the evolution of art through Realism and Impressionism, which paved the way for the radical experimentation of Modernism and the avant-garde. Explore the contemporary art scene, where artists embrace new technologies and concepts, pushing the boundaries of what is considered art. From Pop Art to Performance Art, Conceptual Art to Digital Art, discover how contemporary art reflects the rapidly changing world we live in. Throughout this journey, you will encounter a diverse cast of characters, from renowned masters like Leonardo da Vinci and Michelangelo to lesser-known artists who have made significant contributions to the art world. Gain insights into the role of art in society, examining how it has been used to convey messages, influence opinion, and challenge authority. Whether you are an art enthusiast, a history buff, or simply someone curious about the human spirit, this book will provide you with a deeper understanding and appreciation for the rich and diverse world of art. If you like this book, write a review!",N/A,N/A,en
Historical Film,['Jonathan Stubbs'],2013-03-28,['Art'],"Although precise definitions have not been agreed on, historical cinema tends to cut across existing genre categories and establishes an intimidatingly large group of films. In recent years, a lively body of work has developed around historical cinema, much of it proposing valuable new ways to consider the relationship between cinematic and historical representation. However, only a small proportion of this writing has paid attention to the issue of genre. In order to counter this omission, this book combines a critical analysis of the Hollywood historical film with an examination of its generic dimensions and a history of its development since the silent period. Historical Film: A Critical Introduction is concerned not simply with the formal properties of the films at hand, but also the ways in which they have been promoted, interpreted and discussed in relation to their engagement with the past.",N/A,N/A,en
Art and the Historical Film,['Gillian McIver'],2022-11-17,['Performing Arts'],"Art and the Historical Film provides an important examination of fine art's impact on filmmaking, grappling with the question of authenticity. From Eugene Delacroix's interpretation of the 1830 French revolution to Uli Edel's version of the Baader-Meinhof Gang, artistic representations of historical subjects are appealing and pervasive. Movies often adapt imagery from art history, including paintings of historical events. Films and art shape the past for us and continue to affect our interpretation of history. While historical films are often argued over for their adherence to ""the facts,"" their real problem is realism: how can the past be convincingly depicted? Realism in the historical film genre is often nourished and given credibility by its use of painterly references. This book examines how art-historical images affect historical films by going beyond period detail and surface design to look at how profound ideas about history are communicated through pictures. Art and the Historical Film: Between Realism and the Sublime is based on case studies that explore the links between art and cinema, including American independent Western Meek's Cutoff (Kelly Reichardt, 2010), British heritage film Belle (Amma Asante, 2013), and Dutch national epic Admiral (Roel Reiné, 2014). The chapters create immersive worlds that communicate distinct ideas about the past through cinematography, production design, and direction, as the films adapt, reference, and transpose paintings by artists such as Rubens, Albert Bierstadt, and Jacques-Louis David.",N/A,N/A,en
History and Its Theories,['Dr. Rajendra Raskar'],2023-08-01,['Art'],"History is the study of past events, evolving through various theories like Marxist, Great Man, and Annales, shaping our understanding of human civilization's development.",N/A,N/A,en
Public History,['Faye Sayer'],2019-01-24,['History'],"The 2nd edition of Public History: A Practical Guide provides a fresh examination of history as practiced in its various worldly guises and contexts. It analyses the many skills that historians require in the practice of public history and looks at how a range of actors, including museums, archives, government agencies, community history societies and the media/digital media, make history accessible to a wider audience in a variety of ways. Faye Sayer's exciting new edition includes: * Brand new chapters on 'Restoration and Preservation' and history and the working world * Substantial additions covering the growing fields of digital history and history in politics * More images, figures and international case studies from the US, Australia, the UK, Europe and Asia * 'Personal Reflection' sections from a range of industry experts from around the world * Historiographical updates and significant revisions throughout the text * Expanded online 'Public History Toolkit' resource, with a range of new features Public History: A Practical Guide delivers a comprehensive outline of this increasingly prevalent area of the discipline, offering a distinctly global approach that is both accessible and engaging in equal measure. Finally, it explores future methodological possibilities and can be used as a reference point for professional development planning in the sectors discussed. This is the essential overview for any student wanting to know what history means beyond the classroom.",N/A,N/A,en
The Design History Reader,"['Grace Lees-Maffei', 'Rebecca Houze']",2024-12-12,['Design'],"This revised and updated edition addresses the international history and practice of design from the 17th century to the present day. Covering both primary texts by social theorists, designers and design reformers, and secondary texts in the form of key works of design history and design thinking, the Reader provides an essential resource for understanding the history of design, the development of the discipline, and contemporary issues in design history and practice, including decolonization, sustainability, historiography, gender and globalization. Extracts are grouped into thematic sections, each with a contextualizing introduction by the editors, and a guide to further reading. The updated edition of The Design History Reader expands upon its original content and features numerous significant voices from across the globe. Authors include William Morris, Karl Marx, Roland Barthes, Victor Margolin, Penny Sparke, Judy Attfield, Ellen Lupton, and many more.",N/A,N/A,en
Historical Narratives of Global Modern Art,"['Irina D. Costache', 'Clare Kunny']",2023-07-31,['Art'],"Diversifying the current art historical scholarship, this edited volume presents the untold story of modern art by exposing global voices and perspectives excluded from the privileged and uncontested narrative of “isms.” This volume tells a worldwide story of art with expanded historical narratives of modernism. The chapters reflect on a wide range of issues, topics, and themes that have been marginalized or outright excluded from the canon of modern art. The goal of this book is to be a starting point for understanding modern art as a broad and inclusive field of study. The topics examine diverse formal expressions, innovative conceptual approaches, and various media used by artists around the world and forcefully acknowledge the connections between art, historical circumstances, political environments, and social issues such as gender, race, and social justice. The book will be of interest to scholars working in art history, imperial and colonial history, modernism, and globalization.",N/A,N/A,en
Preparatory Architectural Investigation in the Restoration of Historical Buildings,"['Krista de Jonge', 'K. van Balen']",2002,['Architecture'],N/A,N/A,N/A,en
The Visual Arts in Post-Historical Perspective,['Arthur C. Danto'],1998-11-03,['Art'],This essays explore how conceptions of art -and resulting historical narrativesdiffer according to culture.,N/A,N/A,en
