title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Art as Experience,['John Dewey'],2005-07-05,['Philosophy'],"Based on John Dewey's lectures on esthetics, delivered as the first William James Lecturer at Harvard in 1932, Art as Experience has grown to be considered internationally as the most distinguished work ever written by an American on the formal structure and characteristic effects of all the arts: architecture, sculpture, painting, music, and literature.",N/A,N/A,en
Letters of Vincent Van Gogh,['Vincent van Gogh'],2008-11-18,['Art'],"A literary classic, The Letters of Vincent van Gogh Captures the voice of one of the most beloved and important artists of all time. Though Vincent van Gogh is often thought of as a mad genius, in The Letters of Vincent van Gogh the thoughtful, effervescent, and sensitive man is revealed to readers through his own voice. This collection of letters, arranged in chronological order and written to Vincent's closest confidant, his brother and art dealer, Theo, provide a riveting narrative of van Gogh's life. The letters expose Vincent's creative process; his joy and inspiration derived from literature, Japanese art, and nature; as well as his many romantic disappointments and constant poverty. Also documented are Vincent's close relationships with fellow artists, especially Paul Gauguin. Van Gogh's tender and often ebullient letters provide a sharp contrast to the devastating and frequently violent mental breakdowns that plagued and eventually destroyed him. Collected and edited by art historian Mark Roskill, this volume also includes a chronology, a short memoir by van Gogh's sister-in-law that fills in many of the blanks of Vincent's early years, and reproductions of selected artwork discussed in van Gogh's letters. An epistolary classic, The Letters of Vincent van Gogh is not just an important historical collection but also a captivating treasure.",N/A,N/A,en
The Handbook of Tibetan Buddhist Symbols,[],2003,['Art'],"Based on the author's previous publication The Encyclopedia of Tibetan Symbols and Motifs', this handbook contains an array of symbols and motifs, accompanied by succinct explanations. It provides treatment of the essential Tibetan religious figures, themes and motifs, both secular and religious. Robert Beer offers a compact, concise reference work based on his previous publication 'The Encyclopedia of Tibetan Symbols and Motifs'. This handbook contains an extensive array of symbols and motifs, accompanied by succinct explanations. It provides treatment of the most'",5,N/A,en
Leonardo da Vinci,['Martin Kemp'],2007-10-18,['Art'],"This masterly account of Leonardo da Vinci and his vision of the world is now widely recognized as the classic treatment of Leonardo's art, science, and thought, giving an unparalleled insight into the broadening and deepening of Leonardo's intellect and vision throughout his artistic career. Martin Kemp, one of the world's leading authorities on Leonardo, takes us on a journey through the whole span of the great man's career. From his early training in Florence, through masterpieces such as The Last Supper and the Mona Lisa, to the work of Leonardo's last years, this book gives a fully integrated picture of his artistic, scientific, and technological achievements. Generously illustrated, and now including a new introductory chapter setting Leonardo's work in its historical context, this fully updated new edition provides an unparalleled insight into the marvellous works of this central figure in western art.",5,N/A,en
Companion to Medieval and Renaissance Music,"['Tess Knighton', 'David Fallows']",1997,['Art'],"With contributions from a range of internationally known early music scholars and performers, Tess Knighton and David Fallows provide a lively new survey of music and culture in Europe from the beginning of the Christian era to 1600. Fifty essays comment on the social, historical, theoretical, and performance contexts of the music and musicians of the period to offer fresh perspectives on musical styles, research sources, and performance practices of the medieval and Renaissance periods.",N/A,N/A,en
The Man who Planted Trees,['Jean Giono'],1989,['Art'],"Jean Giono's beautiful allegorical tale is legendary. Written in the 1950's, its message was ahead of its time, inspiring readers to rediscoverthe harmonies of the countryside and prevent its willful destruction. The narrator, journeying by foot across the barren plains of the lower Alps, has his thirst assuaged by the well water drawn by the shepherd Elzeaerd Bouffier. Here begins the subtle parable which Giono weaves of the life-giving shepherd who chooses to live alone and carry out the work of God. Over forty years the desolate hills and lifeless villages which sooppressed the traveler are transformed by the dedication of one man. All with the help of a few acorns. Giono's hope was to set in motion a worldwide reforestation program that would rejuvenate the earth. ""The Man Who Planted Trees"" is a hymn to creation and a purveyor of confidence in man's ability to change his-indeed the world's-lot. Review Citations: Ingram Advance 05/01/2005 pg. 77 (ISBN 1931498725, Hardcover)",N/A,N/A,en
Dead Souls,['Gogol Google Translate'],2018-05-31,['Art'],"This is the famed Gogol's unfinished novel as translated by google translate, which is to say that it's total gibberish, which, in its turn, is to say that you don't really have to read it (I didn't although I should one day because I brought it into being after all, and it might be fun) but you certainly want to have it. Think of it as a coffee table book to be casually picked up and as casually put back where it belongs.",N/A,N/A,en
The Society of the Spectacle,['Guy Debord'],2024-09-03,['Philosophy'],"The Society of the Spectacle is a carefully considered effort to clarify the most fundamental tendencies and contradictions of the society in which we find ourselves—in order to facilitate its overthrow. Guy Debord was the founder of the Situationist International, the notorious avant-garde group that helped trigger the May 1968 revolt in France, which brought the entire country to a standstill for several weeks. His book The Society of the Spectacle, originally published in Paris in 1967, has been translated into more than twenty other languages and is arguably the most important radical work of the twentieth century. Ken Knabb’s meticulous new translation is the first edition in any language to include extensive annotations, clarifying the historical allusions and revealing the sources of Debord’s quotations and “détournements.” Contrary to popular misconceptions, Debord’s book is neither an ivory tower “philosophical” discourse nor a mere expression of “protest.” This makes the book more of a challenge, but it is also why it remains so pertinent more than half a century after its original publication, while countless other social theories and intellectual fads have come and gone. It has, in fact, become even more pertinent than ever, because the spectacle has become more all-pervading and glaringly obvious than ever. As Debord noted in his follow-up work, Comments on the Society of the Spectacle (1988), “spectacular domination has succeeded in raising an entire generation molded to its laws.” Debord’s book remains the best guidebook to understanding that mold and breaking it.",N/A,N/A,en
Man and Superman,['George Bernard Shaw'],2022-06-13,['Art'],"Man and Superman, subtitled ""A Comedy and a Philosophy"", is a four-act drama written in 1903, in response to a call for Shaw to write a play based on the Don Juan theme. This book conveys the conflict between man as spiritual creator and woman as guardian of the biological continuity of the human race. It was written by George Bernard Shaw, an Irish playwright, critic, polemicist, and political activist.",N/A,N/A,en
The Oxford Handbook of the Archaeology and Anthropology of Rock Art,"['Bruno David', 'Ian J. McNiven']",2018-10-17,['Social Science'],"Rock art is one of the most visible and geographically widespread of cultural expressions, and it spans much of the period of our species' existence. Rock art also provides rare and often unique insights into the minds and visually creative capacities of our ancestors and how selected rock outcrops with distinctive images were used to construct symbolic landscapes and shape worldviews. Equally important, rock art is often central to the expression of and engagement with spiritual entities and forces, and in all these dimensions it signals the diversity of cultural practices, across place and through time. Over the past 150 years, archaeologists have studied ancient arts on rock surfaces, both out in the open and within caves and rock shelters, and social anthropologists have revealed how people today use art in their daily lives. The Oxford Handbook of the Archaeology and Anthropology of Rock Art showcases examples of such research from around the world and across a broad range of cultural contexts, giving a sense of the art's regional variability, its antiquity, and how it is meaningful to people in the recent past and today - including how we have ourselves tended to make sense of the art of others, replete with our own preconceptions. It reviews past, present, and emerging theoretical approaches to rock art investigation and presents new, cutting-edge methods of rock art analysis for the student and professional researcher alike.",N/A,N/A,en
