title,authors,publishedDate,categories,description,averageRating,textSnippet,language
A History of Horoscopic Astrology,['James H. Holden'],2006,['History'],"This thoroughly researched book is a history of the development of Western horoscopic astrology from its origin among the Babylonians and its subsequent creation in its present form by the Alexandrians down to modern times. Special attention is given to background history and to the working conditions and techniques used by astrologers during the last two thousand years. Numerous footnotes provide additional information and bibliographic references. A separate bibliography lists reference sources of particular importance. Two comprehensive indices containing more than 2,800 individual entries enable the reader to locate persons, publishers, topics, and book and periodical titles that are mentioned in the history. The book also contains discussions of several questions and topics relating to astrology. James Herschel Holden is Research Director of the American Federation of Astrologers and has been especially interested in the history of astrology.",4,N/A,en
The Labours of Hercules,['Alice A. Bailey'],2010,"['Body, Mind & Spirit']","The Labours of Hercules - an astrological interpretation by Alice Bailey, gives a vivid account of the journey of the soul as it incarnates progressively through the twelve signs of the Zodiac. The labours that Hercules is required to perform symbolise the specific challenges that face all disciples as they seek to equip themselves to better serve their fellow human beings. It is an excellent introduction to a more esoteric understanding of astrology.",N/A,N/A,en
Christian Astrology,['William Lilly'],2005-03,"['Body, Mind & Spirit']","Named ""Christian"" to avoid hassles (some things never change), this is the most famous, the most celebrated astrology book in the English language. It has been prized by students ever since its first publication in 1647. The Horary Astrology in these pages, in the hands of a master, is no mere parlour game. It is demanding and precise, combining science and art. Properly used, it will give answer to any well-defined question. William Lilly, famous throughout England for his almanacs & forecasts (he predicted London's Great Fire of 1666), lived during the English Civil War & was a minor historical figure in it. Into his studio came the rich and poor, nobles and commoners, with problems great and small. This new edition restores Lilly's original page layouts, with marginalia. Modern spelling throughout, this edition includes Lilly's bibliography, his original index & a new glossary. Also includes his original woodblock charts, and their modern versions. This is Lilly's great work as he himself knew it. In this volume: Book 1, An Introduction to Astrology, containing the use of an ephemeris; the erecting of a scheme of heaven; nature of the twelve signs of the Zodiac, of the planets; with a most easy introduction to the whole art of astrology. Book 2, The Resolution of All Manner of Questions, by a most methodical way, instructs the student how to judge or resolve all manner of questions contingent unto man, viz, of health, sickness, riches, marriage, preferment, journeys, etc. Some 35 questions inserted and judged.",N/A,N/A,en
Simplified Scientific Astrology,['Max Heindel'],1919,['Astrology'],N/A,N/A,N/A,en
"Ptolemy's Tetrabiblos, Or Quadripartite","['Ptolemy', 'Proclus']",1822,['Astrology'],N/A,5,N/A,en
The Astrological Neptune and the Quest for Redemption,['Liz Greene'],2000-12-01,"['Body, Mind & Spirit']","The longing for redemption is a many-headed daimon that dwells within the most earthbound and prosaic of souls. Neptune is the astrological symbol that describes this energy. Liz Greene, an internationally known astrologer, has given us the most complete and accessible book about Neptune ever written! She explores Neptune themes in literature, myth, politics, religion, fashion, and art to show how this energy manifests.",5,N/A,en
Karmic Astrology,['Ruth Aharoni'],2007,"['Body, Mind & Spirit']","Is there a karmic connection that binds us to the closest people in our lives? If so, how can we gain insight from past incarnations? Perhaps the answers to these mind-boggling riddles lie in the stars. In ""Karmic Astrology,"" Ruth Aharoni demonstrates how to learn from the karmic footprints visible in an astrological birth chart. She identifies the distinctive karmic characteristics found in the astrological signs, planets, aspects, houses, nodes, and elements. This groundbreaking book can help readers identify karmic partners, understand why a particular mate was chosen, and improve current relations with friends, family members, and spouses. In addition to valuable relationship insight, this book also provides advice and meditations for attracting a soul mate.",3,N/A,en
A History of Magic and Experimental Science: The first thirteen centuries of our era,['Lynn Thorndike'],1923,['Technology & Engineering'],"Vols. 1-2 concern the first 13 centuries of the Christian era; vols. 3-4, the 14th and 15th centuries, vols. 5-6, the 16th century, and vols. 7-8, the 17th century.",N/A,N/A,en
Astrology for Lovers,['Liz Greene'],2009-02-01,"['Body, Mind & Spirit']","Looks at the characteristics, mythology and sensuality of each sign of the zodiac and offers advice on finding one's true love. Reissue.",1,N/A,en
Cosmic Perspectives,"['S. K. Biswas', 'D. C. V. Mallik', 'C. V. Vishveshwara']",1989-09-14,['Science'],"Modern cosmology and its relationship to the development of human civilization is the subject of this book. Astronomers, cosmologists and historians have contributed fourteen essays covering a wide range of subjects. These include the place of astronomy in China by Joseph Needham, frontiers in cosmology by Fred Hoyle, the dark matter problem by Bernard Carr and the origin of life by Cyril Ponnamperuma. There are also contributions on astrology, science fiction and science.",N/A,N/A,en
