title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Kosmos,"['Alexander von Humboldt', 'Friedrich Wilhelm Heinrich Alexander Humboldt']",1858,['Astronomy'],The full text of volume 3(1852) is available at: http://books.google.nl/books?id=2N5EAQAAIAAJ&pg=PA1&dq=#v=onepage&q&f=false. The full text of volume 4 (1858) is available at: http://books.google.nl/books?id=lFJNAAAAcAAJ&pg=PA1&dq=#v=onepage&q&f=false,N/A,N/A,nl
Astrophysical Techniques,['Christopher R. Kitchin'],1984,['Science'],N/A,N/A,N/A,en
Fundamental Astronomy,"['Hannu Karttunen', 'Pekka Kröger', 'Heikki Oja', 'Markku Poutanen', 'Karl J. Donner']",2013-04-17,['Science'],"Fundamental Astronomy gives a well-balanced and comprehensive introduction to the various fields of classical and modern astronomy. While emphasizing both the astronomical concepts and the underlying physical principles, the text provides a sound basis for more profound studies in the astronomical sciences. The present corrected printing of the revised and enlarged third edition of this successful textbook includes a host of new knowledge acquired in recent years. In particular the chapters on observations and on the physics of the Sun have been thoroughly revised.",N/A,N/A,en
Historical Encyclopedia of Natural and Mathematical Sciences,['Ari Ben-Menahem'],2009-03-06,['Biography & Autobiography'],"The 5800-page Encyclopedia surveys 100 generations of great thinkers, offering 2070 detailed biographies of scientists, engineers, explorers and inventors, who left their mark on the history of science and technology. This six-volume masterwork also includes 380 articles summarizing the time-line of ideas in the leading fields of science, technology, mathematics and philosophy, plus useful tables, figures and photos, and 20 ‘Science Progress Reports’ detailing scientific setbacks. Interspersed throughout are quotations, gathered from the wit and wisdom of sages, savants and scholars throughout the ages from antiquity to modern times. The Encyclopedia represents 20 years’ work by the sole author, Ari Ben-Menahem, of Israel’s Weizmann Institute of Science",N/A,N/A,en
Cosmos,['Alexander von Humboldt'],1850,['Astronomy'],N/A,N/A,N/A,en
The Interstellar Medium,['James Lequeux'],2005-08-29,['Science'],"Describing interstellar matter in our galaxy in all of its various forms, this book also considers the physical and chemical processes that are occurring within this matter. The first seven chapters present the various components making up the interstellar matter and detail the ways that we are able to study them. The following seven chapters are devoted to the physical, chemical and dynamical processes that control the behaviour of interstellar matter. These include the instabilities and cloud collapse processes that lead to the formation of stars. The last chapter summarizes the transformations that can occur between the different phases of the interstellar medium. Emphasizing methods over results, The Interstellar Medium is written for graduate students, for young astronomers, and also for any researchers who have developed an interest in the interstellar medium.",N/A,N/A,en
A Short History of Astronomy,['Arthur Berry'],1898,['Astronomy'],N/A,N/A,N/A,en
Astronomy,['Michael Zeilik'],1976,['Science'],The ninth edition of this successful textbook describes the full range of the astronomical universe and how astronomers think about the cosmos.,N/A,N/A,en
Organizations and Strategies in Astronomy,['Andre Heck'],2012-12-06,['Science'],"Research and publications in the field of Astronomy have undergone dramatic changes in the last half-century. While activities just slowed down during World War II in the US and in Latin America, they were very strongly affected by the difficult conditions prevailing among the European belligerent nations. Half a century ago, re search activities were mostly confined to observatories (linked or not to universities) and usually separated from the teaching of physical sciences. Hence, directors of observatories played an important role in the choice of the research fields, and ""schools"" of research appeared at various places, de veloping specific instrumentation, reduction techniques and mathematical methods to achieve their scientific goals. Reorganising the research activities after the war was no minor under taking, specially because communications were interrupted for over five years and isolated continental Europe from overseas activities. Scarcity of observing instruments (some of them being requisitioned by occupy ing armies) , enormous gaps in the available litterature led to local research activities, conducted independently of similar efforts undertaken elsewhere.",N/A,N/A,en
The American Ephemeris and Nautical Almanac,['United States Naval Observatory. Nautical Almanac Office'],1924,['Astronomy'],N/A,N/A,N/A,en
Letters of Euler on Different Subjects in Natural Philosophy,"['Leonhard Euler', 'David Brewster']",1833,['Astronomy'],N/A,N/A,N/A,en
Seven Wonders of the Cosmos,['Jayant Vishnu Narlikar'],1999-04-15,['Science'],"This book conveys the thrill of observing strange and surprising features of the Universe, and the satisfaction gained by understanding them through modern science. Using simple analogies and a wealth of illustrations, Professor Narlikar skilfully steers us through a cosmic journey of discovery, starting from the Earth and Solar System and stepping out to the farthest reaches of the Universe. The seven wonders represent a range of mysterious phenomena, a class of spectacular events, or remarkable cosmic objects that have challenged human curiosity and explanation. They concern the giants and dwarfs of the stellar world, the catastrophic explosion of massive stars, pulsars - the ultimate timekeepers of the cosmos, the strange effects of gravity, illusions of space, and the majestic expansion of the Universe as a whole. With lucid prose and humorous anecdotes, the author weaves together a host of exciting recent discoveries in astronomy and shows us how these motivate astronomers to unravel the wonders of tomorrow.",5,N/A,en
An Account of Sir Isaac Newton's Philosophical Discoveries,"['Colin MacLaurin', 'Patrick Murdoch']",1748,['Astronomy'],A comprehensive treatment of Newton's works.,N/A,N/A,en
Cassini at Saturn,['David M. Harland'],2007-03-08,['Science'],"*Brings the story of the Cassini-Huygens mission and their joint exploration of the Saturnian system right up to date. *Combines a review of previous knowledge of Saturn, its rings and moons, including Titan, with new spacecraft results in one handy volume. *Provides the latest and most spectacular images, which will never have appeared before in book form. *Gives a context to enable the reader to more easily appreciate the stream of discoveries that will be made by the Cassini-Huygens mission. *Tells the exciting story of the Huygens spacecraft’s journey to the surface of Titan.",N/A,N/A,en
Tycho Brahe,['John Louis Emil Dreyer'],1890,['Astronomers'],N/A,5,N/A,en
