title,authors,publishedDate,categories,description,averageRating,textSnippet
Bestellungen beim Universum,['Bärbel Mohr'],1998,['Quality of life'],N/A,N/A,N/A
Soziale Einstellungen,"['Hans Dieter Schmidt', 'Hans Dieter Mummendey', 'Ewald Johannes Brunner', 'Amélie Mummendey']",1975-01,['Attitude (Psychology)'],N/A,N/A,N/A
Einstellung als Determination individuellen Verhaltens,['Erwin Roth'],1967,['Attitude'],"Inhaltsübersicht: I. Einleitung, II. Der Einstellungsbegriff und seine Geschichte, III. Die Abgrenzung des Einstellungsbegriffs von verwandten Begriffen, IV. Die Strukturierung des Einstellungsbegriffs, V. Folgerungen für das Phänomen Einstellung und Neuformulierung des Einstellungsbegriffs, VI. Die Möglichkeit einer Persönlichkeitspsychologie als Theorie von Einstellungen und ihr Vergleich mit anderen theoretischen Ansätzen, Literaturverzeichnis, Autoren-Register, Sach-Register.",N/A,N/A
"The Ace Of Soft Skills: Attitude, Communication And Etiquette For Success",['Gopalaswamy Ramesh'],2010-09,['Attitude'],"Our world is witnessing a major change in communication patterns, with expanding social spheres, openness in communication and professionals working in multicultural environments. It is crucial, therefore, that India's workforce remains world-class, through re-training and continuous improvement, to remain competent, competitive and successful. To create and nurture successful professionals, the acquisition, cultivation and fine-tuning of soft skills are highly essential in the given business paradigm. The ACE of Soft Skills is a part of this educational process that produces top-notch professionals. Divided into three parts-Attitude, Communication and Etiquette-this unique book provides a broad-based coverage of what constitute soft skills. The foundations of soft skills lie in a strong attitude; this attitude gets manifested as communication, which gets further refined as etiquette. This book covers a wide range of topics-a gamut of nearly 40 essential soft skills-including personal accountability, listening skills, business proposals, and the role of small talk and humour at work. The numerous case studies, cartoons, figures, tables and quotations not only offer an insightful, practical and well-rounded perspective into soft skills, but also make reading a joyful experience.",3.5,N/A
Measures of Personality and Social Psychological Attitudes,"['John Paul Robinson', 'Phillip R. Shaver', 'Lawrence S. Wrightsman']",1991-01-11,['Education'],"This volume is sponsored by Division 9 of the American Psychological Association: The Society for the Psychological Study of Social Issues.****This is an essential reference book for any social scientist or student who uses measuresof attitude or personality in his or her research. The earlier version, published twenty years ago, was to be found on the shelf of virtually everyone who worked in the field. Serves as an update and extension of a highly useful book published twenty years ago Employs a systematic standardized evaluation of 150 scales Chapters on specific types of scales are written by experts in those subfields",5,N/A
"Attitudes, Personality and Behaviour",['I Ajzen'],2005-11,['Psychology'],Attitudes and personality traits are key concepts used by psychologists to explain and predict human social behaviour. Readers are exposed to the major lines of research and theoretical frameworks that inform our current understanding of the ways in which attitudes and personality guide human behaviour.,N/A,N/A
The Handbook of Attitudes,"['Dolores Albarracin', 'Blair T. Johnson']",2018-08-21,[],"Attitudes are evaluations of people, places, things, and ideas. They help us to navigate through a complex world. They provide guidance for decisions about which products to buy, how to travel to work, or where to go on vacation. They color our perceptions of others. Carefully crafted interventions can change attitudes and behavior. Yet, attitudes, beliefs, and behavior are often formed and changed in casual social exchanges. The mere perception that other people favor something, say, rich people, may be sufficient to make another person favor it. People's own actions also influence their attitudes, such that they adjust to be more supportive of the actions. People's belief systems even change to align with and support their preferences, which at its extreme is a form of denial for which people lack awareness. These two volumes provide authoritative, critical surveys of theory and research about attitudes, beliefs, persuasion, and behavior from key authors in these areas. The first volume covers theoretical notions about attitudes, the beliefs and behaviors to which they are linked, and the degree to which they are held outside of awareness. It also discusses motivational and cultural determinants of attitudes, influences of attitudes on behavior, and communication and persuasion. The second volume covers applications to measurement, behavior prediction, and interventions in the areas of cancer, HIV, substance use, diet, and exercise, as well as in politics, intergroup relations, aggression, migrations, advertising, accounting, education, and the environment.",N/A,N/A
On the Other Hand,['Howard I. Kushner'],2017-09-25,['Education'],"Genes and kangaroos -- Criminals or victims? Cesare Lombroso vs. Robert Hertz -- By the numbers : measuring handedness -- Ambiguous attitudes -- Changing hands, tying tongues -- From genes to populations : the search for a cause -- The geschwind hypothesis -- Genetic models and selective advantage -- Uniquely human? -- A gay hand? -- Disability, ability, and the left hand -- Conclusion : does left-handedness matter?",N/A,N/A
Scaling methods,['Peter Dunn-Rankin'],1983-08,['Psychology'],Includes indexes.,N/A,N/A
Attitudes and Decisions,"['J. Richard Eiser', 'Joop van der Pligt']",2015-07-22,['Attitude'],"The concept of attitude has long been a central part of social psychological theories. It is important in other disciplines too, such as economics, business studies, politics and sociology. Originally published in 1988, the authors of this text show how attitudes and motives are crucial in human decision-making, and explore the relationship between them. They look closely at the real context of people's attitudes and behaviour, pointing out that attitudes are both a social product and an intrinsic part of social action. The authors show that theories of judgment, attitudes, attribution and decision-making can make important contributions to social issues such as the employment of nuclear energy, the storage of nuclear waste, health behaviour and medical decision-making. They emphasize that social psychology is relevant to a wide variety of social issues, deriving from the theoretical and distinctive methods that social psychology has developed.",N/A,N/A
Temporal Asymmetries in Philosophy and Psychology,"['Christoph Hoerl', 'Teresa McCormack', 'Alison Fernandes']",2022,['Philosophy'],"Our attitudes towards an event may vary depending on whether the event has happened or has yet to take place. Philosophers and psychologists explore such psychological past/future asymmetries to reveal what kinds of asymmetries we exhibit, and under what conditions, and how they may reflect particular beliefs about time, or features of time itself.",N/A,N/A
Kiss That Frog!,"['Brian Tracy', 'Christina Tracy Stein']",2012-03-05,['Business & Economics'],Offers ways to delete negativity in life and start being happier and more successful.,N/A,N/A
Social Psychology,['J. Richard Eiser'],1986-08-14,['Psychology'],This text provides a broad critical review of the various empirical and theoretical traditions in social psychology.,5,N/A
Making a Difference by Being Yourself,['Gregory E. Huszczo'],2008-10,['Business & Economics'],Use the natural strengths of your personality to make a difference.,N/A,N/A
Sinners and Citizens,['Jens Rydström'],2001,['Tidelag'],N/A,N/A,N/A
The Wealth Paradox,"['Frank Mols', 'Jolanda Jetten']",2017-05-25,['Business & Economics'],"This book presents compelling evidence of the 'wealth paradox', where economic prosperity can also fuel prejudice, social unrest, and intergroup hostility.",5,N/A
Horse Show Setback,['Mari Bolte'],2024,['Juvenile Fiction'],"Dot eagerly anticipates her first horse show with her new pony, Mojo, but when Mojo injures his leg, Dot shifts her focus to supporting her friends Lily and Bess which leads to a surprise for her at the show.",N/A,N/A
Attitudes,"['Russell H. Fazio', 'Richard E. Petty']",2008,['Psychology'],"The study of likes and dislikes - what social psychologists refer to as ""attitudes"" - has been a central focus of the field for decades. What are attitudes? How can we study and measure them scientifically? How are they formed and changed? Of what functional value, if any, are they? How do they come to influence our attention, perception, judgments, and behavior? These are among the questions that have spurred social psychological research on attitudes, and they are among the issues addressed in this volume. The articles reprinted in this collection represent noteworthy developments in the field's understanding of attitudes. Together, the readings provide a representative and broad coverage of the literature, illustrating well what the field has come to learn about the structure, function, and consequences of attitudes.",N/A,N/A
The Expression of Attitude,['J. Richard Eiser'],1987,['Medical'],"The Expression of Attitude deals with a number of broad but interrelated questions: what are attitudes, how do they relate to behavior, how are they acquired, and in what ways can they be shared? The author argues that consistency, within attitude structure and between attitudes and behavior, arises primarily from interpersonal rather than intrapersonal processes. Emphasis is placed on how people interpret behavior as an expression of attitude, and what they demand of such behavior before they treat it as decodable in a particular way.",N/A,N/A
Change the Way You See Everything Through Asset-Based Thinking,"['Kathryn D. Cramer', 'Hank Wasiak']",2006-03-07,['Business & Economics'],How to instil success-oriented thought habits in both your business and personal life in order to increase your self-confidence and expand your power of influence.,N/A,N/A
The Cultural Career of Coolness,"['Ulla Haselstein', 'Irmela Hijiya-Kirschnereit', 'Catrin Gersdorf', 'Elena Giannoulis']",2013,['History'],"Cool is a word of American English that has been integrated into the vocabulary of numerous languages around the globe. Today it is a term most often used in advertising trendy commodities, or, more generally, in promoting urban lifestyles in our postmodern age. But what is the history of the term ""cool?"" When has coolness come to be associated with certain modes of contemporary self-fashioning? On what grounds do certain nations claim a privilege to be recognized as ""cool?"" These are some of the questions that served as a starting-point for a comparative cultural inquiry which brought together specialists from American Studies and Japanese Studies, but also from Classics, Philosophy and Sociology. The conceptual grid of the volume can be described as follows: (1) Coolness is a metaphorical term for affect-control. It is tied in with cultural discourses on the emotions and the norms of their public display, and with gendered cultural practices of subjectivity. (2) In the course of the cultural transformations of modernity, the term acquired new importance as a concept referring to practices of individual, ethnic, and national difference. (3) Depending on cultural context, coolness is defined in terms of aesthetic detachment and self-irony, of withdrawal, dissidence and even latent rebellion. (4) Coolness often carries undertones of ambivalence. The situational adequacy of cool behavior becomes an issue for contending ethical and aesthetic discourses since an ethical ideal of self-control and a strategy of performing self-control are inextricably intertwined. (5) In literature and film, coolness as a character trait is portrayed as a personal strength, as a lack of emotion, as an effect of trauma, as a mask for suffering or rage, as precious behavior, or as savvyness. This wide spectrum is significant: artistic productions offer valid insights into contradictions of cultural discourses on affect-control. (6) American and Japanese cultural productions show that twentieth-century notions of coolness hybridize different cultural traditions of affect-control.",N/A,N/A
The Outward Mindset,['Arbinger Institute'],2016,['Business & Economics'],"Presenting compelling true stories to illustrate the gaps that individuals and organizations typically experience between their actual inward mindsets and their needed outward mindsets, this book provides simple yet profound guidance and tools to help bridge this mindset gap. --",N/A,N/A
Attitude Research in Transition,['Russell I. Haley'],1972,['Attitude'],N/A,N/A,N/A
An Investigation of the Effects of Selected Simulated Classrom Situations on Student Teacher Attitude and Empathy,['Harold Wesley Huber'],1972,['Attitude'],N/A,N/A,N/A
Your Greatest Power,['J. Martin Kohe'],2004,['Attitude'],N/A,N/A,N/A
Junior High School Pupils' Attitudes Toward Mathematics as a Predictor of Senior High School Scholastic Achievement,['Gerald Lawrence Ericksen'],1962,['Attitude'],N/A,N/A,N/A
Attitudes and Opinions,"['Stuart Oskamp', 'P. Wesley Schultz']",2005,['Psychology'],"Intended as a main or supplementary text in courses on attitudes, opinion, survey research, or persuasion taught in departments of psychology, communication, marketing, sociology, and political science.",N/A,N/A
Personal Correlates of Teacher Militancy Isolated by the Teacher Militancy Attitude Scale (TMAS).,['William Harold Davis'],1972,['Attitude'],N/A,N/A,N/A
The Psychology of Influence,"['Joop van der Pligt', 'Michael Vliek']",2016-10-18,['Attitude'],"The Psychology of Influence provides an up-to-date student-oriented overview of how people are persuaded to change their attitudes, preferences or behavior. It uses international examples from contemporary written texts, TV commercials and social media, and provides an ideal core text for courses on consumer behavior and the psychology of attitudes and persuasion.",N/A,N/A
Effects of the Number and Type of Attributes Included in an Attitude Model: More is Not Better,"['William L. Wilkie', 'Rolf P. Weinreich']",1973,['Attitude'],N/A,N/A,N/A
The Role of Attitudes in Schooling,['Barbara Duer Chambers'],1965,['Attitude'],N/A,N/A,N/A
Attitudes and Attitude Change,"['Gerd Bohner', 'Michaela Wänke']",2002,['Medical'],"This work provides the student with a comprehensive and accessible introduction to the basic issues in the psychological study of attitudes. It includes topics such as attitude formation and change, functions of attitudes, attitude measurement, and attitudes as temporary constructs.",N/A,N/A
Perspectives on Attitude Assessment,['H. Wallace Sinaiko'],1976,['Attitude'],N/A,N/A,N/A
Attitudes of Gratitude,['M. J. Ryan'],2000-11,['Self-Help'],"Arguing that gratitude can promote optimism and invoke a powerful state of happiness, an inspirational guide shares brief, evocative essays that encourage readers to distill a sense of gratitude and satisfaction in every aspect of life.",N/A,N/A
"Understanding Publics, the Relationship Between what They Say and what They Do","['Alan D. Bright', 'Daniel J. Decker', 'David C. Fulton', 'Harry C. Zinn', 'Jennifer Pate', 'Jerry J. Vaske', 'John F. Smeltzer', 'Linda Sikorowski', 'Mark R. Peterson', 'Mary E. McAfee', 'Mary Lloyd', 'Michael J. Manfredo', 'Patsy Goodman', 'Steven J. Bissell', 'Cynthia A. Loker', 'Glenn E. Haas', 'James Lipscomb', 'Jody W. Enck', 'Maureen P. Donnelly', 'Richard A. Larson', 'Michelle Lyon', 'Tommy Lee Brown']",1993,['Animal rights'],N/A,N/A,N/A
Measuring Media Use and Exposure,"['Christina Peter', 'Teresa Naab', 'Rinaldo Kühne']",2017,[],N/A,N/A,N/A
Attitude Research Bridges the Atlantic,['Philip Levine'],1975,['Business & Economics'],N/A,N/A,N/A
Attitude,['Elwood N. Chapman'],2004,['Achievement'],N/A,N/A,N/A
The Psychology of Influence,"['Joop van der Pligt', 'Michael Vliek']",2017,['Business & Economics'],"Whether it's our choice of a new car or what we think about our neighbours, our opinions and attitudes are a way of negotiating the world around us. The Psychology of Influence explores how these preferences and behaviours are influenced and affected by the messages we receive in daily life. From consumer choices to political, lifestyle and financial decisions, the book examines how and why we may be influenced by a range of sources, from written text and television to social media and interpersonal communication. In a field that has fascinated scholars since Plato, the book addresses the key questions across cognitive, social and emotional domains: When do arguments become persuasive? What influence do role models have? What role do simple rules of thumb, social norms or emotions play? Which behaviours are difficult to influence, and why? Covering topics from attraction, prejudice and discrimination to reward, punishment and unconscious bias, The Psychology of Influence will be invaluable reading for students and researchers across a range of areas within applied and social psychology, as well as those in political science, communications, marketing and business and management.",N/A,N/A
Routledge Handbook of Well-being,['Kathleen Galvin'],2018,['Attitude (Psychology)'],"This book explores established conceptualisations of wellbeing, providing an overview of the key debates and drawing attention to current issues and critiques. Taken as a whole, this important reference work offers new clarification of the widely used notion of wellbeing, focusing particularly on experiential perspectives.",N/A,N/A
Attitude,"['Elwood N. Chapman', 'Wil McKnight']",2001-10-01,['Business & Economics'],"Polish people skills, energize your outlook, and retain a healthy perspective. This course will help you stay positive and focused in today's busy, pressure-filled world. Recognize how attitude affects your work. Use the eight attitude-adjustment techniques. Spread the magic of a positive attitude.",N/A,N/A
Bodies in Transition in the Health Humanities,"['Lisa DeTora', 'Stephanie Mathilde Hilger']",2019,['Attitude (Psychology)'],"In recent years, the transitioning body has become the subject of increasing scholarly, medical, and political interest. Yet sexual transition is only one possible type of transformation, and this interdisciplinary collection seeks to enable productive dialogue about bodily transformation and its meanings.",N/A,N/A
Ageing in South Africa,['Monica Ferreira'],1989,['Aging'],N/A,N/A,N/A
Conversations that Matter,"['Zapolski', 'DiMaggio']",2011-02-07,['Self-Help'],"Landmark Essays, Volume 1, takes us on a wonderful journey to the heart of the matter of our lives, to what matters most. It points out what's possible if we step outside of what we know, and recognize and embrace our capacity to bring forth an entirely new possibility for living-not because it is better, but simply because that is what human beings can do. Coauthors Nancy Zapolski and Joe DiMaggio push boundaries and bring forth what's possible in being human in this book of essays. Juxtaposing distinctions, literary nuggets, and contemporary science with the stuff of our everyday lives, they suggest that our lives and the way we know ourselves are open to being invented.",N/A,N/A
The Relationships of the Attitudes of Teachers in Racially Differentiated Urban Schools to Perceptions of Educational Issues and Socio-economic Status Factors,['Lance Lee Beutel'],1971,['Attitude'],N/A,N/A,N/A
Good Feelings,['Salman Akhtar'],2009,['Psychology'],"This tightly edited volume opens a new vista in psychoanalysis by focusing upon positive and life-enhancing emotions and attitudes. The realms it covers include love, friendship, enthusiasm, courage, tact, resilience, and forgiveness, among others. Seminal papers on these topics have existed but remain scattered throughout the psychoanalytic literature. This book brings them together in a harmonious gestalt. It is more than on anthology, however. Each paper is followed by a freshly written commentary that critically evaluates the paper and brings it in consonance with up-to-date, contemporary psychoanalytic knowledge. Issues of development, adaptation, psychopathology, and analytic technique, as these pertain to the positive dimension of affective experience, are elucidated. The book also deals with the broader and overarching issue of the 'goodness' that accompanies, causes, and is enhanced by the positive emotions in consideration here. Thus the ever-elusive and puzzling issue of psychoanalytic morality finds a place in the discourse, with all its rich and complex theoretical and technical implications. The fact that the contributors to this volume come from all around the globe (Argentina, Australia, Brazil, Britain, Canada, Germany, Israel, Mexico, Netherlands, Norway, and the United States) and represent a variety of psychoanalytic cultures adds flux and spice to the optimistic message of the text. Together the voices of these gifted psychoanalysts create an intelligent symphony of wisdom, listening to which is not only instructive to the mind but a joy to the senses as well.",N/A,N/A
Kindness Rocks,['Megan Murphy'],2025-03-11,['Juvenile Fiction'],"A picture book from the founder of The Kindness Rocks Project to celebrate the power of kind words and actions One message at just the right moment can change someone's entire day, outlook, or even life! From Megan Murphy, the founder of The Kindness Rocks Project, comes a picture book about the power of kindness. Follow a diverse group of children, strangers to each other but each dealing with their own very bad day. When they each find a painted rock with a positive message, they pick up their paint brushes to pass along their kind message, and so the chain of kindness heals one heart after another. With sweet illustrations by Jiajia Hamner, Kindness Rocks is perfect for library and classroom reading time to inspire everyone to plant a little extra kindness in the world.",N/A,N/A
Social Psychology,['J. Richard Eiser'],1986,['Psychology'],This text provides a broad critical review of the various empirical and theoretical traditions in social psychology.,N/A,N/A
Why Aren't We Saving the Planet?,['Geoffrey Beattie'],2010,['Psychology'],Educational psychology.,N/A,N/A
Fish!,"['Stephen C. Lundin', 'Harry Paul', 'John Christensen']",2003,['Business & Economics'],"'Tiene algo que ofrecer un mercado callejero a una multinacional con problemas? Mary Jane, una ejecutiva de esa empresa, descubrira que si, y mucho. El departamento en que ella trabaja es temido y odiado por todos los demas empleados de la empresa. ?Por que? Porque en el todo se atasca y se retrasa. Ademas, el personal que trabaja ahi parece perpetuamente malhumorado o desinteresado en hacer bien su tarea. Sin embargo, Lonnie el pescadero o cualquiera de los demas vendedores no solo parece que esten pasandoselo bien, sino que, ademas, los clientes estan encantados y es la pescaderia que mas vende. Siguiendo los consejos de Lonnie, Mary Jane lograra infundir motivacion a su departamento y lograra que deje de ser el “basurero toxico”, como lo calificaban el resto de companeros. La historia de Fish! y los principios en ella expuestos muestran como renovar el interes de los empleados que realizan funciones administrativas, de tipo logistico y de apoyo a los departamentos “estrella” de la empresa. Los autores conocen y aplican la profunda necesidad que todos tenemos de sentir que lo que hacemos importa, que contribuye al exito de la empresa y al deseo de disfrutar de nuestro trabajo. Este libro va a ser una gran ayuda para quien desee redefinir como siente y opina acerca de su trabajo; porque gracias a estos consejos descubrira que puede encontrar satisfaccion y diversion en su vida laboral cotidiana.",N/A,N/A
世界最完美的心態學,['田書偉'],2009-07-01,['Attitude'],人與人之間只有很小的差異，但這種很小的差異卻造成了巨大的差別！很小的差異就是所具備的心態，是積極還是消極的，巨大的差別就是由此種心態所決定的人生。如果想改變自己的世界，改變自己的命運，首先應改變自己的心態，我們無法改變人生，但可以改變人生觀，我們無法調整環境來適應自己的生活，但可以調整態度來適應一切的環境。,N/A,N/A
Attitudes of Entitlement,['Vamik D. Volkan'],1988-01-01,['Entitlement attitudes'],N/A,N/A,N/A
L'Autobus Infernal,['Gail Anderson-Dargatz'],2023-02-14,['Juvenile Fiction'],"Dans ce roman destiné aux jeunes adolescents, Marc, treize ans, doit s'habituer aux longs trajets en autobus scolaire après avoir déménagé chez sa grand-mère à la campagne.",N/A,N/A
