title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Seven Storey Mountain,['Thomas Merton'],1999,['Biography & Autobiography'],A celebration of Merton's spiritual autobiography is accompanied by an introduction from the editor and a note from Merton's biographer.,4,N/A,en
Miles,"['Miles Davis', 'Quincy Troupe']",1990-09-15,['Biography & Autobiography'],Miles discusses his life and music from playing trumpet in high school to the new instruments and sounds from the Caribbean.,5,N/A,en
The Brooklyn Follies,['Paul Auster'],2006,['Fiction'],"Retired life insurance salesman Nathan Glass moves to Brooklyn to find anonymity and solitude through his declining years, but a chance meeting with Tom Wood, his long-lost nephew, forces him to come to terms with his past.",3.5,N/A,en
Clapton,['Eric Clapton'],2007,['Biography & Autobiography'],"The legendary guitarist recounts the story of his life and his career, recalling his work with the Yardbirds, Cream, and as a solo artist; years of drug and alcohol abuse; failed marriage to Patti Boyd; and the accidental death of his young son.",N/A,N/A,en
Interpreting the Self,['Kristen Brustad'],2001-06-18,['Education'],"A comprehensive work on the autobiographical tradition in Arabic letters, which includes a detailed introduction to the genre and a selection of autobiographical texts ranging from the 9th to the 19th centuries.",N/A,N/A,en
Memory and Narrative,['James Olney'],1998,['Education'],"""At a time when the memoir has never been more popular, Memory and Narrative presents an account of how the weave of life-writing has altered over time to arrive at its present form. James Olney, tells the story of an evolving literary form that originated in the autobiographical writings of St. Augustine, underwent profound and disruptive changes in Jean-Jacques Rousseau's life-writing trilogy, and found its momentary conclusion in the body of Samuel Beckett's work."" ""Among other issues, Olney considers the rejection of the pronoun ""I"" by many post-Rousseau writers; the uses of narrative in the works of Beckett, Franz Kafka, and the sculptor Alberto Giacometti, and the role of literary memory in light of recent ""memory work"" from a variety of scientific disciplines. Giambattista Vico, Henry Adams, Gertrude Stein, Richard Wright, and Christa Wolf are some of the many writers examined in this monumental study."" --Book Jacket.",N/A,N/A,en
Total Recall,"['Arnold Schwarzenegger', 'Peter Petre']",2012-10,['Biography & Autobiography'],"One of the most anticipated autobiographies of this generation, Schwarzenegger's ""Total Recall"" is the candid story by one of the world's most remarkable actors, businessmen, and world leaders. Proud of his accomplishments and honest about his regrets, Schwarzenegger spares nothing in sharing his amazing story.",N/A,N/A,en
Charles Darwin,['Charles Darwin'],1892,['Autobiography'],N/A,N/A,N/A,en
The Life and Letters of Charles Darwin,['Charles Darwin'],1887,['Autobiography'],N/A,N/A,N/A,en
Autobiography of Mark Twain,['Mark Twain'],2012,"['Authors, American']","""The Autobiography of Mark Twain [is] a lengthy set of reminiscences, dictated, for the most part, in the last few years of American author Mark Twain's life and left in typescript and manuscript at his death. The Autobiography comprises a rambling collection of anecdotes and ruminations rather than a conventional autobiography. Twain never compiled these writings and dictations into a publishable form in his lifetime. Despite indications from Twain that he did not want his autobiography to be published for a century, he serialised some Chapters from My Autobiography during his lifetime and various compilations were published during the 20th century. However it was not until 2010, in the 100th anniversary year of Twain's death, that the first volume of a comprehensive collection, compiled and edited by The Mark Twain Project of the Bancroft Library at University of California, Berkeley, was published."" Wikipedia.com viewed 8/7/2020",5,N/A,en
Foreign Correspondent,['H.D.S. Greenway'],2014-08-19,['Biography & Autobiography'],"David Greenway, a journalist’s journalist in the tradition of Michael Herr, David Halberstam, and Dexter Filkins. In this vivid memoir, he tells us what it’s like to report a war up close. Reporter David Greenway was at the White House the day Kennedy was assassinated. He was in the jungles of Vietnam in that war’s most dangerous days, and left Saigon by helicopter from the American embassy as the city was falling. He was with Sean Flynn when Flynn decided to get an entire New Guinea village high on hash, and with him hours before he disappeared in Cambodia. He escorted John le Carre around South East Asia as he researched The Honourable Schoolboy. He was wounded in Vietnam and awarded a Bronze Star for rescuing a Marine. He was with Sidney Schanberg and Dith Pran in Phnom Penh before the city descended into the killing fields of the Khmer Rouge. Greenway covered Sadat in Jerusalem, civil war and bombing in Lebanon, ethnic cleansing and genocide the Balkans, the Gulf Wars (both), and reported from Afghanistan and Iraq as they collapsed into civil war. This is a great adventure story—the life of a war correspondent on the front lines for five decades, eye-witness to come of the most violent and heroic scenes in recent history.",N/A,N/A,en
The Sum of Our Days,['Isabel Allende'],2008-04,['Biography & Autobiography'],"In this heartfelt memoir, Isabel Allende reconstructs the painful reality of her own life in the wake of tragic loss—the death of her daughter, Paula. Recalling the past thirteen years from the daily letters the author and her mother, who lives in Chile, wrote to each other, Allende bares her soul in a book that is as exuberant and full of life as its creator. She recounts the stories of the wildly eccentric, strong-minded, and eclectic tribe she gathers around her that becomes a new kind of family. Throughout, Allende shares her thoughts on love, marriage, motherhood, spirituality and religion, infidelity, addiction, and memory. Here, too, are the amazing stories behind Allende’s books, the superstitions that guide her writing process, and her adventurous travels. Ultimately, The Sum of Our Days offers a unique tour of this gifted writer’s inner world and of the relationships that have become essential to her life and her work. Narrated with warmth, humor, exceptional candor, and wisdom, The Sum of Our Days is a portrait of a contemporary family, bound together by the love, fierce loyalty, and stubborn determination of a beloved, indomitable matriarch.",2,N/A,en
The Diary of a Young Girl,['Anne Frank'],1997,['Amsterdam (Netherlands)'],"In 1942, Anne Frank and her family fleeing the horrors of Nazi occupation, hid in the back of an Amsterdam warehouse. Over the next two years, Anne describes in her diary her frustrations at being confined, hungry, bored and the threat of discovery. Her diary ends when they are discovered in 1944.",N/A,N/A,en
A Moveable Feast: The Restored Edition,['Ernest Hemingway'],2009-07-14,['Biography & Autobiography'],Sketches of the author's early life in Paris in the twenties provide nostalgic reminiscences of his first marriage and the discipline of developing his own literary craft.,N/A,N/A,en
My Life,"['Ignacio Ramonet', 'Fidel Castro']",2009-06-09,['Biography & Autobiography'],"Fidel Castro is perhaps the most charismatic and controversial head of state in modern times. A dictatorial pariah to some, he has become a hero and inspiration for many of the world's poor, defiantly charting an independent and revolutionary path for Cuba over nearly half a century. Numerous attempts have been made to get Castro to tell his own story, but only now, in the twilight of his years, has he been prepared to set out the details for the world to read. Drawing on more than one hundred hours of interviews with journalist Ignacio Ramonet, a knowledgeable and trusted interlocutor, this spoken autobiography will stand as the definitive record of an extraordinary life lived in turbulent times.--From publisher description.",3.5,N/A,en
My Life,['Richard Wagner'],1911,[],N/A,N/A,N/A,en
The Phenomenology of Autobiography,['Arnaud Schmitt'],2017-05-08,['Biography & Autobiography'],"Taking a fresh look at the state of autobiography as a genre, The Phenomenology of Autobiography: Making it Real takes a deep dive into the experience of the reader. Dr. Schmitt argues that current trends in the field of life writing have taken the focus away from the text and the initial purpose of autobiography as a means for the author to communicate with a reader and narrate an experience. The study puts autobiography back into a communicational context, and putting forth the notion that one of the reasons why life writing can so often be aesthetically unsatisfactory, or difficult to distinguish from novels, is because it should not be considered as a literary genre, but as a modality with radically different rules and means of evaluation. In other words, not only is autobiography radically different from fiction due to its referentiality, but, first and foremost, it should be read differently.",N/A,N/A,en
Zeitverschwendung,['Paul Feyerabend'],1997,[],Der Philosoph (1924-94) erzählt heiter und gelassen aus seinem bewegten und von Schicksalsschlägen gezeichneten Leben.,N/A,N/A,de
A Tale of Love and Darkness,['Amos Oz'],2004,['Biography & Autobiography'],Sample Text,5,N/A,en
