title,authors,publishedDate,categories,description,averageRating,textSnippet
Textual Scholarship,['David C. Greetham'],1992,['Language Arts & Disciplines'],"Originally published in 1992 in hardcover, this paperback features a newly corrected text and a revised and expanded bibliography, which is updated to 1994. The book is the first to address the entire spectrum of textual scholarship: enumerative and research bibliography; descriptive and analytical bibliography; paleography and typography; historical and textual bibliography; textual criticism and textual theory; scholarly editing Designed for editors, literary and textual critics, and students, this historical and methodological survey is richly illustrated with line drawings and photographs. There is a bibliography of scholarship (including a list of standard editions in various fields), an appendix of illustrated types of scholarly editions with interpretive commentary, and a full index. The text is suitable for courses in research methods, critical editing, philology, paleography, manuscript studies, publishing, publishing history, and the history of the book and is an essential aid to graduate students in language and literature.",N/A,N/A
The Care of Fine Books,['Jane Greenfield'],1988,['Bibliography'],N/A,N/A,N/A
"A Descriptive Catalogue of the Manuscripts and Scarce Books in the Library of St. John's College, Cambridge","['i.e. Benjamin Morgan Cowie', ""St. John's College (University of Cambridge). Library""]",1843,['Bibliography'],N/A,N/A,N/A
The Soviet Union and Eastern Europe,['Stephan M. Horak'],1985,['Reference'],"Intended to aid librarians in small- and medium-sized libraries and media centers, this annotated bibliography lists 1,555 books focusing on the Soviet Union and Eastern Europe. The book is divided into four parts: (1) ""General and Interrelated Themes--Union of the Soviet Socialist Republics and Eastern European Countries""; (2) ""Russian Empire Prior to 1917 and the USSR""; (3) ""USSR--Non-Russian Republics, Jews, Other Peoples""; and (4) ""Eastern European Countries."" Each part is arranged by subject, with priority given to general studies, followed by special studies sections where appropriate. Titles in Part 1 focus on economics; government and law; political theory and communism; international relations; history; language and literature; dissent, nationalism, and religion; sociology and social conditions; and military affairs. Titles in Part 2 deal with anthropology and folklore; the arts, fine arts, and architecture; economics; education and culture; geography, demography, and population; government, state, and politics; diplomacy and foreign relations; history; military affairs; Russian language; Russian literature; philosophy and political theory; psychology and psychiatry; religion; science and research; and sociology. Part 3 presents titles related to the Baltic Republics; Belorussia; Ukraine; Caucasian Republics and peoples; Central Asian Republics and peoples; Jews; Moldavians; Germans and Tartars; and the peoples of Siberia and the Volga Basin. The last part focuses on Albania; Bulgaria; Czechoslovakia; Hungary; Poland; Romania; Yugoslavia; National minorities and dissent; and language and literature. (LH)",N/A,N/A
"An Introduction to the Study of Bibliography. To which is Prefixed, a Memoir on the Public Libraries of the Antients. Illustrated with Engravings",['Thomas Hartwell Horne'],1814,['Bibliographical literature'],N/A,N/A,N/A
ABC for Book Collectors,['John Carter'],1995,['Antiques & Collectibles'],"John Carter's ABC for Book Collectors has long been established as the most enjoyable as well as the most informative reference book on the subject. Here, in over 450 alphabetical entries, ranging in length from a single line to several pages, may be found definition and analysis of the technical terms of book collecting and bibliography, interspersed with salutory comment on such subjects as auctions, condition, facsimiles and fakes, 'points', rarity, etc. This seventh edition, revised and with a new introduction by Nicolas Barker, editor of The Book Collector, incorporates additions and amendments which he has accumulated since the last edition was updated fourteen years ago. Nicolas Barker worked with his friend John Carter revising the ABC up to the latter's death in 1975 and has faithfully preserved the spirit of the original. The ABC thus retains its character as an indispensable guide to book collecting.",N/A,N/A
An Introduction to the Study of Bibliography,['Thomas Hartwell Horne'],1814,['Bibliographical literature'],N/A,N/A,N/A
A Guide to Historical Method,['Gilbert Joseph Garraghan'],1974,['History'],N/A,N/A,N/A
Critical & Bibliographical Notes on Early Spanish Music,['Juan Facundo Riaño'],1887,['Bibliography'],N/A,N/A,N/A
A Manual of Bibliography,['Walter Thomas Rogers'],1891,['Bibliography'],N/A,N/A,N/A
