title,authors,publishedDate,categories,description,averageRating,textSnippet,language
A Dictionary of Biology,['Robert Hine'],2019,['Biochemistry'],Originally published in 1985 as A concise dictionary of biology.,N/A,N/A,en
Biology,"['Peter H. Raven', 'George Brooks Johnson']",1996-01-01,['Science'],"Take a New Look at Raven! ""BIOLOGY"" is an authoritative majors textbook focusing on evolution as a unifying theme. In revising the text, McGraw-Hill consulted with numerous users, noted experts and professors in the field. ""Biology"" is distinguished from other texts by its strong emphasis on natural selection and the evolutionary process that explains biodiversity. The new 8th edition continues that tradition and advances into modern biology by featuring the latest in cutting edge content reflective of the rapid advances in biology. That same modern perspective was brought into the completely new art program offering readers a dynamic, realistic, and accurate, visual program. To view a sample chapter, go to www.ravenbiology.com",N/A,N/A,en
An Essay on Classification,['Louis Agassiz'],1859,['Biology'],N/A,N/A,N/A,en
Human Biology,['Sylvia S. Mader'],1998,['Biology'],"This text emphasizes the relationship of human beings to other organisms. The text emphasizes key terms and concepts, and shows students how the human population can become more fully integrated into the biosphere.",N/A,N/A,en
A Source-book of Biological Names and Terms,['Edmund Carroll Jaeger'],1955,['Science'],Discusses origin and significance of biological names and words.,N/A,N/A,en
Man Stands Alone,['Julian Huxley'],1941,['Philosophy'],N/A,N/A,N/A,en
"Discourses, Biological and Geological",['Thomas Henry Huxley'],1894,['Biology'],N/A,N/A,N/A,en
Biology,"['Michael Roberts', 'Neil Ingram']",2001,['Juvenile Nonfiction'],"Developed by leading and highly experienced authors, this series provides complete coverage of all the major GCSE science specifications.",N/A,N/A,en
Edible Medicinal and Non-Medicinal Plants,['Lim T. K.'],2012-01-03,['Technology & Engineering'],"This multi-compendium is a comprehensive, illustrated and scientifically up-to-date work covering more than a thousand species of edible medicinal and non-medicinal plants. This work will be of significant interest to scientists, researchers, medical practitioners, pharmacologists, ethnobotanists, horticulturists, food nutritionists, agriculturists, botanists, herbalogists, conservationists, teachers, lecturers, students and the general public. Topics covered include: taxonomy (botanical name and synonyms); common English and vernacular names; origin and distribution; agro-ecological requirements; edible plant part and uses; botany; nutritive and medicinal/pharmacological properties, medicinal uses and current research findings; non-edible uses; and selected/cited references. Each volume covers about a hundred species arranged according to families and species. Each volume has separate scientific and common names indices and separate scientific and medical glossaries.",N/A,N/A,en
Edible Medicinal And Non-Medicinal Plants,['T. K. Lim'],2013-02-15,['Science'],"This book continues as volume 6 of a multi-compendium on Edible Medicinal and Non-Medicinal Plants. It covers edible fruits/seeds used fresh, cooked or processed into other by-products, or as vegetables, cereals, spices, stimulant, edible oils and beverages. It covers selected species from the following families: Sapindaceae, Sapotaceae, Schisandraceae, Solanaceae, Thymelaeaceae, Urticaceae, Vitaceae and Winteraceae. This work will be of significant interest to scientists, researchers, medical practitioners, pharmacologists, ethnobotanists, horticulturists, food nutritionists, agriculturists, botanists, conservationists, lecturers, students and the general public. Topics covered include: taxonomy; common/English and vernacular names; origin and distribution; agroecology; edible plant parts and uses; botany; nutritive and pharmacological properties, medicinal uses and research findings; nonedible uses; and selected references.",4.5,N/A,en
Pedigree,"['Stephen Potter', 'Laurens Sargent']",1973,['Language Arts & Disciplines'],N/A,N/A,N/A,en
The Ontogeny of Information,['Susan Oyama'],1985,['Psychology'],Susan Oyama explores the many facets of the nature-nurture debate.,N/A,N/A,en
The Principles of Biology,['Herbert Spencer'],1864,['Biology'],N/A,N/A,N/A,en
What is Life?,['Addy Pross'],2016,['Science'],"Seventy years ago, Erwin Schrodinger posed a profound question: 'What is life, and how did it emerge from non-life?' Scientists have puzzled over it ever since. Addy Pross uses insights from the new field of systems chemistry to show how chemistry can become biology, and that Darwinian evolution is the expression of a deeper physical principle.",N/A,N/A,en
Wissen - Prinzip und Ressource,['Hans Mohr'],1999-09-17,['Science'],"In seinem neuen Buch stellt der bekannte Biologe und Erkenntnistheoretiker Prof. Dr. Hans Mohr die Bedeutung des Wissens für die moderne Welt in den Brennpunkt seiner Betrachtungen. Von den Formen des Wissens - das handlungsrelevante und das Verfügungs-Wissen - geht er über auf den Sonderstatus des wissenschaftlichen Wissens und dessen Eigenschaft als Kulturgut und Produktionsfaktor, die Verwandlung von Information in Wissen und Innovation bis hin zu den ethischen, technischen und politischen Dimensionen.",4,N/A,de
Greek Biology and Medicine,['Henry Osborn Taylor'],1922,['Biology'],"Thor is caught between titanic forces of good and evil, as Andronicus and Rafi use all of their dark sorcery to attempt to crush Thor's identity and take control of his very soul. Under their spell, Thor will have to battle a greater fight than he has ever known, as he struggles to cast off his father and free himself from their chains. Gwendolyn, with Alistair, Steffen and Aberthol, ventures deep into the Netherworld, on her quest to find Argon and free him from his magical trap. She sees him as the only hope to save Thor and to save the Ring, but the Netherworld is vast and treacherous, and even finding Argon may be a lost cause. Reece leads the Legion members as they embark on a near-impossible quest to do what has never been done before: to descend into the depths of the Canyon and find and retrieve the lost Sword. As they descend, they enter another world, filled with monsters and exotic races-all of them bent on keeping the Sword for their own purposes. Romulus, armed with his magical cloak, proceeds with his sinister plan to cross into the Ring and destroy the Shield; Kendrick, Erec, Bronson and Godfrey fight to free themselves from their betrayal; Tirus and Luanda learn what it means to be traitors and to serve Andronicus; Mycoples struggles to break free; and in a final, shocking twist, Alistair's secret is finally revealed.",N/A,N/A,en
Slanted Truths,"['Lynn Margulis', 'Dorion Sagan']",1997-06-20,['Medical'],"""Lynn Margulis is one of the most successful synthetic thinkers in modern biology. This collection of her work, enhanced by essays co-authored with Dorion Sagan, is a welcome introduction to the full breadth of her many contributions."" EDWARD O. WILSON, AUTHOR OF THE DIVERSITY OF LIFE ""An important contribution to the history of the 20th century. Read it and you will taste the flavor of real science."" JAMES LOVELOCK, AUTHOR OF GAIA: A NEW LOOK AT LIFE ON EARTH ""Truly inspirational and of fundamental importance. This thoughtful series of essays on some of the largest questions concerning the nature of life on earth deserves careful study.""PETER RAVEN, MISSOURI BOTANICAL GARDEN",N/A,N/A,en
