title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Mastering Ethereum,"['Andreas M. Antonopoulos', 'Gavin Wood']",2018-12,['Business & Economics'],"Ethereum represents the gateway to a worldwide, decentralized computing paradigm. This platform enables you to run decentralized applications (DApps) and smart contracts that have no central points of failure or control, integrate with a payment network, and operate on an open blockchain. With this practical guide, Andreas M. Antonopoulos and Gavin Wood provide everything you need to know about building smart contracts and DApps on Ethereum and other virtual-machine blockchains. Discover why IBM, Microsoft, NASDAQ, and hundreds of other organizations are experimenting with Ethereum. This essential guide shows you how to develop the skills necessary to be an innovator in this growing and exciting new industry. Run an Ethereum client, create and transmit basic transactions, and program smart contracts Learn the essentials of public key cryptography, hashes, and digital signatures Understand how ""wallets"" hold digital keys that control funds and smart contracts Interact with Ethereum clients programmatically using JavaScript libraries and Remote Procedure Call interfaces Learn security best practices, design patterns, and anti-patterns with real-world examples Create tokens that represent assets, shares, votes, or access control rights Build decentralized applications using multiple peer-to-peer (P2P) components",5,N/A,en
The Science of Cryptocurrencies,['Quawsi Samuel'],2018-01-12,[],"Learn the Science of Cryptocurrency in this short yet impactful book. Being a generic trader or investor in today's world is simply not enough.Are you ready to understand a scientific and practical concept of investing or trading the latest phenomenon in the investment market known as Cryptocurrencies and avoid the pitfalls that many common investor faces? Not so long ago, the Internet was an alien concept. However, now it is virtually impossible to imagine life without the Internet. Likewise, cryptocurrency was a foreign term used until a decade ago. Digital currency has revolutionized the world of commerce as we know it. Cryptocurrencies are radically different from the paper money standard that we make use of and are faster, cheaper, easier to use, and more democratic than any other monetary standard in existence at present. Statistics show that if you were to put a $40 investment in August 2013, you would have been able to cash out at least $19,000 in December 2017. (Don't take my word for it, check it out yourself) If you are curious and eager to learn this new way of investing in this new wave of this mind blowing asset class to take action in. Then this is the book for you.The Science of Cryptocurrencies is your solution for making your Investing journey easier to help you be a profitable trader or investor. In The Science of Cryptocurrencies you will learn: The systematic and practical direction of investing in Cryptocurrencies. How to efficiently and effectively invest in Ethereum, Bitcoin, Litecoin , Auroracoin ,Emercoin A great way to build your portfolio by adding productive assets to your list of investments How to strategically utilize blockchain technology in the blockchain revolution The various advantages and disadvantages of Cryptocurrencies A simple way of mining and investing in cryptocurrencies Excellent tips for Trading Cryptocurrencies- Understanding the power of Cryptocurrencies, knowing the initial investment, Getting into the game and Some of the mistakes to avoid. Essential Strategies for Risk Minimization. And many more important lessonFind out why ""The Science of Cryptocurrencies is your solution to investing or trading the various type of Cryptocurrencies effectively to avoid the pitfalls ! Scroll Up & Click the Buy Button to Get Your Copy Right Now!",N/A,N/A,en
Rechtshandbuch Legal Tech,"['Stephan Breidenbach', 'Florian Glatz']",2020,[],N/A,N/A,N/A,de
La révolution blockchain,['Philippe Rodriguez'],2017-03-08,[],"Depuis plus d'une décennie, nous vivons de multiples révolutions : économiques, sociales et environnementales. Ces révolutions sont portées par de nouvelles technologies qui ont l'ambition de participer à la construction d'un monde meilleur. L'émergence de la blockchain a suscité analyses prophétiques et commentaires enthousiastes. Ce protocole inspire une réflexion sur une société plus équilibrée, plus juste et interroge la fabrique de la confiance. Cet essai questionne les transformations portées par la blockchain, en explique le fonctionnement et les prochaines évolutions. Ouvrage de découverte autant que large panorama des travaux accomplis, il permet d'explorer cet écosystème. L'innovation est la clé de réussite des nouvelles stratégies entrepreneuriales et la blockchain est une technologie à même de rebattre les cartes. Elle interroge aussi le rôle des institutions, les opposant, dans les faits, aux algorithmes.",N/A,N/A,fr
Creating Smart Healthcare with Blockchain and Advanced Digital Technology,"['Rishabha Malviya', 'Sonali Sundram']",2025,['Medical'],"""Blockchain in healthcare is a recent breakthrough and is redefining the information architecture that underpins all healthcare services. Blockchain can make health information systems safer, more efficient, more accessible, and more dependable. This new book introduces the basic concepts of blockchain in relation to the healthcare sector and offers solutions for enhanced healthcare services, management, and administration. The book deals with the use of blockchain in remotely monitoring patients, in creating medical contracts, and in enhancing data transmission security in healthcare. It covers the role of blockchain in patient selection and treatment strategies, in tracking diseases and pandemics, in managing supply chains, and in the health insurance sector. Finally, the book also presents the challenges that may occur due to digital transformation and looks at how blockchain technology can transform healthcare in the future. Creating Smart Healthcare with Blockchain and Advanced Digital Technology is a comprehensive book that explores different aspects of blockchain in revolutionizing healthcare. It will be especially useful for researchers, medical personnel, academicians, industrial practitioners, and students in IT and healthcare""--",N/A,N/A,en
Unlocking XRP: the Future of Digital Finance,['Mike Ike'],2025-02-12,['Business & Economics'],"Traditional financial systems are plagued by inefficiencies--slow, costly, and outdated. XRP, the digital asset from Ripple Labs, is engineered for instant, low-cost, scalable cross-border transactions. It is leading the charge in blockchain-driven financial transformation.This book offers a concise, insightful analysis of XRP's origins, technology, and real-world applications. Beyond its role as a cryptocurrency, XRP is a catalyst for change in global payments and financial inclusion, extending its influence into decentralized finance (DeFi), non-fungible tokens (NFTs), and institutional finance.Inside, you'll discover The XRP Ledger (XRPL) and its unparalleled efficiency; How RippleNet and On-Demand Liquidity (ODL) are revolutionizing global payments; Strategic partnerships with financial leaders like Santander, SBI Holdings and MoneyGram; XRP's journey through regulatory landscapes, investment prospects, and future innovations; The power of decentralization, smart contracts, and AI integration; and The strength of the XRP Community--a dedicated global network driving adoption and innovation.Amid skepticism and regulatory scrutiny, XRP continues to demonstrate resilience and potential. This book guides understanding and leveraging XRP in the rapidly evolving digital economy. The future of finance is being rewritten--will you be part of it?",N/A,N/A,en
Blockchain and IoT Approaches for Secure Electronic Health Records (EHR),"['Kavita Saini', 'J. N. Singh']",2024,['Computers'],"""This book covers the applications of Block chain in securing patient data and payments and smart contracts in healthcare systems""--",N/A,N/A,en
Tokenizing college courses using the XRPL blockchain,['Angel Gutierrez'],2023,['Blockchain'],"In recent years, blockchain technology has gained significant attention from the education sector due to its potential to improve various aspects of the learning experience, such as the maintenance of records or ensuring accuracy. Blockchain technology can be used to streamline the verification process of these records as blocks are stored in chronological order, thus making it a simpler process to verify the origin of data. This study proposes a web-based technique that allows one to receive an NFT minted on the XRPL blockchain algorithm representing details of a college course they have completed. Such a solution and designed algorithm would allow students to not be bound by a school, and instead receive course NFTs from the desired institution. There are certain elements of the project that depend on industry adoption, so the proposed solution focuses on the reception of a token and how an institution could adopt the new technology.",N/A,N/A,en
Blockchain,['Jack Nolan'],2017-07-13,[],"You may have been baffled with the technological advancements that you have seen today, but nothing stands close to the blockchain technology that is currently evolving the world in ways that have captured the attention of governments and institutions. If you want to understand what blockchain technology is, then this is the book that you have been looking for. How business is being done in our society today is going to change immensely with Blockchain. If you have heard about Bitcoins, this is the technology that is the innovation behind Bitcoin, not the Bitcoin currency. The best part about this technology is that it transcends every industry we have today. The opportunities it is opening up are huge, and companies are lining up to prepare for this paradigm shift. The blockchain is being researched on and implemented by companies who want to be first in the oncoming revolution of businesses. Governments have different opinions, and they have set up regulations on cryptocurrencies which run on the blockchain, but there is no stopping this innovation; it is a force that cannot be stopped, and its adoption is growing faster than it is anticipated. You need to understand what this technology is all about to plan and position yourself on how you are going to invest or find ways to benefit from this innovation. To furnish you with the appropriate information about the blockchain technology, in this book, you will find a lot of detail about its history, its applications, regulations and transparency levels that the technology offers. Currently, there is a huge adoption of the cryptocurrencies and the blockchain technology in businesses. The traditional payment system is going to be transcended with virtual cash in ways we cannot fathom. The simplicity and the benefits this technology will bring to businesses and people is huge. You need to understand how the future is going to change, that is why I recommend you to buy this book today to understand the basic of the future that is already here. Inside you will find: A deeper understanding of the blockchain technology How Bitcoin has become the first real worldwide success story of blockchain technology You will learn about real life traders who are making a living out of bitcoin You will get to understand how accountable and different the blockchain system is compared to the traditional financial intermediaries. You will get to learn about the developments in blockchain and how the future is going to change with it. And more... Also, every paperback comes with a free eBook!",N/A,N/A,en
The Ultimate Guide to Cryptocurrency,['Mike Ike'],2024-04-26,['Business & Economics'],"The Ultimate Guide to Cryptocurrency: From Beginner to Trader serves as your comprehensive roadmap through the dynamic world of digital assets. Whether you are new to cryptocurrencies or a seasoned trader, this book is your essential companion. We begin with Understanding Cryptocurrency Basics, unraveling foundational concepts and exploring the core principles of blockchain technology. Getting Started guides you through choosing your first digital asset, setting up a secure wallet, and understanding asset storage and security. In Exploring the Cryptocurrency Landscape, we explore various exchange types and digital currencies, from Bitcoin to altcoins. Trading Strategies and Advanced Trading Concepts equip you with the knowledge to navigate the market confidently, while Cryptocurrency Investment covers long-term strategies and portfolio management. Security and Safety emphasizes best practices for protecting digital assets, and the Regulatory Landscape explores global regulations and their impact. Decentralized Finance (DeFi) delves into its transformative potential, and the Future of Cryptocurrency offers insights into blockchain technology's possibilities. Case Studies provides real-world examples, and 'Cryptocurrency Terminologies' offers a comprehensive glossary. Whether driven by investment opportunities or curiosity, this guide equips you to embark on a transformative journey through the world of cryptocurrencies.",N/A,N/A,en
