title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Joyful Path of Good Fortune,['Geshe Kelsang Gyatso'],1990-01-01,['Religion'],"Joyful Path of Good Fortune presents the complete Buddhist path to enlightenment in a form that is easy to understand and put into practice. Enriched with stories and illuminating analogies, it presents the essential meaning of all Buddha`s teachings in the order in which they are to be practised, giving step-by-step guidance on all the meditations leading to full enlightenment.",5,N/A,en
What the Buddha Taught,['Walpola Rāhula'],1974,['Religion'],"This indispensable volume is a lucid and faithful account of the Buddha's teachings. ""For years,"" says the ""Journal of the Buddhist Society,"" ""the newcomer to Buddhism has lacked a simple and reliable introduction to the complexities of the subject. Dr. Rahula's ""What the Buddha Taught"" fills the need as only could be done by one having a firm grasp of the vast material to be sifted. It is a model of what a book should be that is addressed first of all to 'the educated and intelligent reader.' Authoritative and clear, logical and sober, this study is as comprehensive as it is masterly."" This edition contains a selection of illustrative texts from the ""Suttas"" and the ""Dhammapada"" (specially translated by the author), sixteen illustrations, and a bibliography, glossary, and index.",N/A,N/A,en
The Impact of Buddhism on Chinese Material Culture,['John Kieschnick'],2003-04-06,['History'],"Buddhism had a profound effect not only on Chinese philosophy and ritual, but also on the material culture of China. Examining the impact of books, bridges, sugar, tea and the chair, amongst other things, this text looks at how attitudes to such novelties affected the history of Chinese Buddhism.",3,N/A,en
Being Peace,['Nhất Hạnh (Thích.)'],2008,['Buddhism'],N/A,N/A,N/A,en
Buddhism: Buddhist origins and the early history of Buddhism in South and Southeast Asia,['Paul Williams'],2005,['Religion'],"This eight-volume set brings together seminal papers in Buddhist studies from a vast range of academic disciplines published over the last forty years. With a new introduction by the editor, this collection is a unique and unrivalled research resource for both student and scholar. Coverage includes: - Buddhist origins; early history of Buddhism in South and Southeast Asia - early Buddhist Schools and Doctrinal History; Theravada Doctrine - the Origins and nature of Mahayana Buddhism; some Mahayana religious topics - Abhidharma and Madhyamaka - Yogacara, the Epistemological tradition, and Tathagatagarbha - Tantric Buddhism (Including China and Japan); Buddhism in Nepal and Tibet - Buddhism in South and Southeast Asia, and - Buddhism in China, East Asia, and Japan.",N/A,N/A,en
The Teachings of Buddha,['Diana St. Ruth'],1998,['Religion'],"This text brings together the essence of Buddhist thought (the most important teaching being that spirtual truth is the only guiding principle) and narrates and explains fundamental Buddhist ideas through a collection of sayings, parables, and stories complied under the guidance of monks.",N/A,N/A,en
"The light of Asia; or, The great renunciation, Mahâbhinishkramana, being the life and teaching of Gautama, in verse",['Sir Edwin Arnold'],1886,['Buddha and Buddhism'],N/A,N/A,N/A,en
Among Tibetan Texts,['E. Gene Smith'],2001-06-15,['History'],"For three decades, E. Gene Smith ran the Library of Congress's Tibetan Text Publication Project of the United States Public Law 480 (PL480) - an effort to salvage and reprint the Tibetan literature that had been collected by the exile community or by members of the Bhotia communities of Sikkim, Bhutan, India, and Nepal. Smith wrote prefaces to these reprinted books to help clarify and contextualize the particular Tibetan texts: the prefaces served as rough orientations to a poorly understood body of foreign literature. Originally produced in print quantities of twenty, these prefaces quickly became legendary, and soon photocopied collections were handed from scholar to scholar, achieving an almost cult status. These essays are collected here for the first time. The impact of Smith's research on the academic study of Tibetan literature has been tremendous, both for his remarkable ability to synthesize diverse materials into coherent accounts of Tibetan literature, history, and religious thought, and for the exemplary critical scholarship he brought to this field.",N/A,N/A,en
The Gospel of Buddha According to Old Records,['Paul Carus'],1905,['Buddhism'],N/A,N/A,N/A,en
The Light of Asia,['Sir Edwin Arnold'],1925,['Buddhism'],N/A,N/A,N/A,en
The Life of the Buddha and the Early History of His Order,[],1884,['Buddhism'],N/A,N/A,N/A,en
Esoteric Buddhism,['Alfred Percy Sinnett'],1887,['Buddha (The concept)'],N/A,N/A,N/A,en
Sherpas Through Their Rituals,['Sherry B. Ortner'],1978-04-14,['Religion'],Professor Ortner examines the Sherpas of the Himalayas.,4,N/A,en
Siddhartha,['Hermann Hesse'],2006,['Fiction'],Siddhartha chronicles the spiritual evolution of a man living in India at the time of the Buddha.,N/A,N/A,en
"The Light of Asia, Or, The Great Renunciation (Mahâbhinishkramana)",['Sir Edwin Arnold'],1887,['Buddha and Buddhism'],N/A,N/A,N/A,en
Si-yu-ki: Ta-T'ang-si-yu-ki. Books 6-12,['Xuanzang'],1906,"['Asia, Central']",N/A,N/A,N/A,en
Buddhism: Its History and Literature,['Thomas W. Rhys Davids'],1896,['Buddhism'],N/A,N/A,N/A,en
The Legend of Queen Cāma,"['Bodhiraṃsi', 'Donald K. Swearer', 'Sommai Premchit']",1998-01-01,['Religion'],"An English translation and a commentary on the chronicle of Queen Cama, an important but neglected female monarch who founded a dynasty in Northern Thailand.",N/A,N/A,en
The Gospel of Buddha,[],1915,['Religion'],This Is A New Release Of The Original 1915 Edition.,N/A,N/A,en
The Life of the Buddha,['William Woodville Rockhill'],1884,['Buddha (The concept)'],N/A,N/A,N/A,en
The Edicts of Asoka,['Aśoka (King of Magadha)'],1966,['Buddha (The concept)'],N/A,N/A,N/A,en
