title,authors,publishedDate,categories,description,averageRating,textSnippet
Building Construction Handbook,"['R. Chudley', 'Roger Greeno']",2006,['Business & Economics'],"This 6th edition includes numerous revisions, amendments and additions in line with ongoing practice and legislative changes in building construction. Included are features of construction that are designed to economise and manage the use of fuel energy in buildings and limit the effect on atmospheric pollution.",N/A,N/A
Dictionary of Architecture and Construction,['Cyril M. Harris'],1975,['Architecture'],Reprint of the 1975 original ($55.00). Cited in Sheehy.,N/A,N/A
Architects' Data,['Ernst Neufert'],1970,['Architecture'],N/A,5,N/A
"Construction Planning, Equipment, and Methods","['Robert Leroy Peurifoy', 'William Burl Ledbetter', 'Cliff J. Schexnayder']",1956,['Technology & Engineering'],"A careful revision of one of the best-selling texts in the McGraw-Hill Construction Engineering Series, Construction Planning, Equipment, and Methods continues to reflect the very latest engineering practices, and proceeds to effectively tie in theory with current trends in this dynamic industry. Completely updated throughout, the book provides readers with comprehensive coverage involving: equipment cost; engineering fundamentals of moving earth; tractors and related equipment; trucks and wagons; compressed air; drilling rock and earth; blasting rock; concrete; and so much more. This newly updated edition contains more comprehensive material on cranes - including tower cranes - as well as brand new chapters on pumping equipment and asphalt. Furthermore, all the book's problems have been updated throughout, and new case studies have been included to reflect current construction trends.",5,N/A
Building Construction Handbook,"['Roy Chudley', 'Roger Greeno']",2008-03-11,['Architecture'],"This handbook provides extensive coverage of building construction practice, processes and techniques, representing both traditional procedures and modern developments. It has been revised and updated to take into account changes in standards and regulations, and developments in industry practice.",N/A,N/A
Architect's Illustrated Pocket Dictionary,"['Nikolas Davies', 'Erkki Jokiniemi']",2011,['Architecture'],"This pocket-sized Dictionary offers huge coverage for the 40,000+ people studying or working in architecture, construction or any of the built environment fields. From Abaciscus to Zophorus, the reader is able to quickly track down precisely the term they are looking for. The book is illustrated with stunning drawings that provide a visual as well as a textual definition of both key concepts and subtle differences in meaning. Compact and affordable; Davies and Jokiniemi's work is the miniature version of the Dictionary of Architecture and Building Construction. The Architect's Illustrated Pocket Dictionary can be used on site or quickly at the desk and is suitable for all those interested in the buildings that surround us.",N/A,N/A
The Builder,[],1846,['Architecture'],N/A,N/A,N/A
Dictionary of Architecture and Building Construction,"['Nikolas Davies', 'Erkki Jokiniemi']",2008,['Architecture'],"With more than 20,000 words and terms individually defined, the Dictionary offers huge coverage for anyone studying or working in architecture, construction or any of the built environment fields. The innovative and detailed cross-referencing system allows readers to track down elusive definitions from general subject headings. Starting from only the vaguest idea of the word required, a reader can quickly track down precisely the term they are looking for. The book is illustrated with stunning drawings that provide a visual as well as a textual definition of both key concepts and subtle differences in meaning. Davies and Jokiniemi's work sets a new standard for reference books for all those interested in the buildings that surround us. To browse the book and to see how this title is an invaluable resource for both students and professionals alike, visit www.architectsdictionary.com.",N/A,N/A
Introduction to Building,"['Derek Osbourn', 'Roger Greeno']",2007,['Juvenile Nonfiction'],"Provides an overview of the design and practical considerations associated with the creation and maintenance of buildings. This edition includes legislation and government guidelines, and it presents an introduction to the various aspects of building and development from initial planning and design through contract procurement to construction.",5,N/A
Elementary Principles of Carpentry,['Thomas Tredgold'],1871,['Bridges'],N/A,N/A,N/A
