title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Research Methods for Business Students,"['Mark Saunders', 'Philip Lewis', 'Adrian Thornhill']",2009,['Business & Economics'],"Brings the theory, philosophy and techniques of research to life and enables students to understand the relevance of the research methods. This book helps you learn from worked examples and case studies based on real student research, illustrating what to do and what not to do in your project.",4.5,N/A,en
Iran,['United States. Bureau of International Commerce'],1977,['Business'],N/A,N/A,N/A,en
La meta,"['Eliyahu M. Goldratt', 'Jeff Cox']",1999-12,['Business & Economics'],"La meta es una novela ágil y cautivante, que transcurre en el mundo de los negocios, a través de una entretenida narración describe un método infalible para mejorar los resultados de la empresa. En esta obra se desarrolla",4,N/A,es
The Economics of Science and Technology,"['M.P. Feldman', 'Albert N. Link', 'Donald S. Siegel']",2012-12-06,['Business & Economics'],"Science and technology have long been regarded as important determinants of economic growth. Edwin Mansfield (1971, pp. 1- 2), a pioneer in the economics of technological change, noted: Technological change is an important, if not the most important, factor responsible for economic growth . . . without question, [it] is one of the most important determinants of the shape and evolution of the American economy. Science and technology are even more important in the ""new economy,"" with its greater emphasis on the role of intellectual property and knowledge transfer. Therefore, it is unfortunate that most individuals rarely have the opportunity to explore the economic implications of science and technology. As a result, the antecedents and consequences of technological change are poorly understood by many in the general public. This lack of understanding is reflected in a recent survey conducted by the National Science Board (2000), summarized in Science & Engineering Indicators. ' As shown in Table 1. 1, the findings of the survey indicated that many Americans, despite a high level of interests in such matters, are not as well-informed about technological issues as they are about other policy issues. As shown in the table, individuals self assess, based on a scale from 1 to 100, their interest in science and technology policy issues as being relatively high, yet they self assess their knowledge or informedness about these issues relatively lower.",N/A,N/A,en
Accounting for Sustainability,"['Anthony G. Hopwood', 'Jeffrey Unerman']",2010,['Business & Economics'],"If businesses and other organizations are to meet the many and complex challenges of sustainable development, then they all, both public and private, need to embed sustainability considerations into their decision-making and reporting. However, the translation of this aspiration into effective action is often inhibited by the lack of systems and procedures that take sustainability into account.Accounting for Sustainability: Practical Insights will help organizations to address these issues. The book sets out a number of tools and approaches that have been developed and applied by leading organizations to:- embed sustainability into decision-making, extending beyond an organization's boundaries to take into account suppliers, customers and other stakeholders;- measure and link sustainability and financial performance;- integrate sustainability into 'mainstream' reporting, both to management and external stakeholders.In-depth cases studies from Aviva, BT, the Environment Agency, EDF Energy, HSBC, Novo Nordisk, Sainsbury's and West Sussex County Council show in detail how accounting for sustainability works in practice in a wide range of organizational contexts.Published with The Prince's Charities: Accounting for Sustainability",N/A,N/A,en
The New Palgrave Dictionary of Money and Finance,"['John Eatwell', 'Murray Milgate', 'Peter Newman']",1992-10-14,['Business & Economics'],"The first reference work ever to be awarded the Eccles Prize for Excellence in Economic Writing from Columbia Business School. Continuing in the tradition of The New Palgrave , this 3-volume set provides an unparalleled guide to modern money, banking and finance. In over 1,000 substantial essays by leading academic and professional authorities, it provides the most comprehensive analysis available of contemporary theory and the fast-evolving global monetary and financial framework. In its scope and depth of coverage, it is indispensable for the academic and practitioner alike.",N/A,N/A,en
Microsoft Outlook Programming,['Sue Mosher'],2002-10-10,['Computers'],"-- A one-minute-manager approach to issues-- Explanation of how following each principle can save money or time-- Step-by-step instructions on how to accomplish objectives This book shows people how to overcome the social crisis that has resulted from the wide-spread use of information technology by responsibly managing security threats, protecting individual privacy, reducing hazardous waste, and minimizing other negative effects on IT staff and computer users, as well as ordinary citizens around the world.",4,N/A,en
Doing Business with Lithuania,"['Marat Terterov', 'Jonathan Reuvid']",2005,['Business & Economics'],"Originally published in the pre-EU-accession period, this E-Book edition of Doing Business with Lithuania has been updated to take account of the post-accession changes to the legal and fiscal environment. It remains a definitive appraisal of the economic system and investment climate, including an examination of the legal structure and business regulation, information on the financial sector and unique best practice on all aspects of trading with and investing in Lithuania. The guide also provides an overview of key sectors of trade and investment.",N/A,N/A,en
Silk and Insight,['Yukio Mishima'],1998,['Fiction'],"A novel on a strike at a silk plant in 1950s Japan, illustrating the true face of the much-touted Japanese paternalism. The company operated a network of spies and anyone falling ill was fired. The strike led to better working conditions throughout Japan.",N/A,N/A,en
Understanding Business,['David Barnes'],2001,['Business & Economics'],"Taking a systems perspective, this book enables the student to make sense of business behaviour by demonstrating how interrelated business processes determine the success of an organisation.",2,N/A,en
Resilience Engineering,"['Erik Hollnagel', 'David D. Woods', 'Nancy Leveson']",2006,['Business & Economics'],"Annotation ""The aim of this book is to provide an introduction to resilience engineering of systems, covering both the theoretical and practical aspects. It is written for people who, as part of their work, are responsible for system safety on managerial or operational levels alike. Resilience Engineering will be directly relevant to professionals such as safety managers and engineers (line and maintenance), security experts, risk and safety consultants, human factors professionals and accident investigators.""--BOOK JACKET. Title Summary field provided by Blackwell North America, Inc. All Rights Reserved.",N/A,N/A,en
Inspection Errors for Attributes in Quality Control,"['Norman Lloyd Johnson', 'Samuel Kotz', 'Xizhi Wu']",1991-01-01,['Business & Economics'],"Every book should have a motivation and a goal. We would like to share with our readers some reasons which have led us to allot a considerable part of our time and effort to the production of this monograph. We believe this book to originate from two 'godfathers'. The first took the form of the following, apparently straightforward, problem posed to us in 1979 by Horton L. Sorkin (at that time in the Department of Accounting, University of Maryland at College Park). 'There are N accounts, D with mistakes and N - D mistake-free. The probability that an accountant detects that an account is erroneous is p (",N/A,N/A,en
The Real Wealth of Nations,"['Riane Eisler', 'Riane Tennenhaus Eisler']",2008-11-10,['Business & Economics'],"Bestselling author Riane Eisler (The Chalice and the Blade, which has sold more than 500,000 copies sold) shows that at the root of all of society's big problems is the fact that we don't value what matters. She then presents a radical reformulation of economics priorities focused on the home.",2,N/A,en
Successful Management by Motivation,"['Bruno S. Frey', 'Margit Osterloh']",2001-10-02,['Business & Economics'],"Motivated employees play a crucial role in creating a companys sustainable competitive advantage. Successful Management by Motivation shows that in a knowledge-based society, this goal cannot be achieved by extrinsic motivation alone. Pay for performance often even hurts because it crowds out intrinsic motivation. To succeed, companies have to find ways of fostering and sustaining intrinsic motivation. With the help of in-depth case studies, representative surveys, and analysis based on a large number of firms and employees, this work identifies the various aspects of motivation in companies and shows how the right combination of intrinsic and extrinsic motivation can be achieved.",4,N/A,en
Business and Management Education in Transitioning and Developing Countries,"['John R. McIntyre', 'Ilan Alon']",2005,['Business & Economics'],"Business education is a critical ingredient in establishing a viable middle class of managers in transitioning and developing economies. This book is a comprehensive examination of business and management education, pedagogical models, and curricula innovations in institutions.",N/A,N/A,en
Elements of Mathematics for Economics and Finance,"['Vassilis C. Mavron', 'Timothy N. Phillips']",2023-11-20,['Mathematics'],"Based on over 15 years’ experience in the design and delivery of successful first-year courses, this book equips undergraduates with the mathematical skills required for degree courses in economics, finance, management, and business studies. The book starts with a summary of basic skills and takes its readers as far as constrained optimisation helping them to become confident and competent in the use of mathematical tools and techniques that can be applied to a range of problems in economics and finance.Designed as both a course text and a handbook, the book assumes little prior mathematical knowledge beyond elementary algebra and is therefore suitable for students returning to mathematics after a long break. The fundamental ideas are described in the simplest mathematical terms, highlighting threads of common mathematical theory in the various topics. Features of the book include: a systematic approach: ideas are touched upon, introduced gradually and thenconsolidated through the use of illustrative examples; several entry points to accommodate differing mathematical backgrounds; numerous problems, with full solutions, and exercises to illustrate the theory and applications; key learning objectives and self-assessment questions provided for each chapter; full solutions to exercises, available to lecturers via the Springer Nature Extramaterial - Lecturer Material website. Vass Mavron is Emeritus Professor of Mathematics at Aberystwyth University. Tim Phillips is Professor of Applied Mathematics in the School of Mathematics at Cardiff University.",N/A,N/A,en
Economics,"['Campbell R. McConnell', 'Stanley L. Brue']",2005,['Business & Economics'],"This best-selling textbook has been teaching students in a clear, unblased way for 40 years. The latest edition continues the clear and careful treatment of principles of economics concepts, with balanced coverage and patient explanations. More students have learned their principles of economics from McConnell-Brue than any other text: 12 million of them. The new edition is a substantial revision that delivers a tighter, modern, Internet-savvy book.",N/A,N/A,en
