title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Principles of Mathematical Analysis,['Walter Rudin'],1976,['Mathematics'],"The third edition of this well known text continues to provide a solid foundation in mathematical analysis for undergraduate and first-year graduate students. The text begins with a discussion of the real number system as a complete ordered field. (Dedekind's construction is now treated in an appendix to Chapter I.) The topological background needed for the development of convergence, continuity, differentiation and integration is provided in Chapter 2. There is a new section on the gamma function, and many new and interesting exercises are included. This text is part of the Walter Rudin Student Series in Advanced Mathematics.",4,N/A,en
The History of the Calculus and Its Conceptual Development,['Carl B. Boyer'],1959-01-01,['Mathematics'],Traces the development of the integral and the differential calculus and related theories since ancient times,N/A,N/A,en
A Course of Pure Mathematics Centenary Edition,['G. H. Hardy'],2008-03-13,['Mathematics'],"There are few textbooks of mathematics as well-known as Hardy's Pure Mathematics. Since its publication in 1908, this classic book has inspired successive generations of budding mathematicians at the beginning of their undergraduate courses. In its pages, Hardy combines the enthusiasm of the missionary with the rigour of the purist in his exposition of the fundamental ideas of the differential and integral calculus, of the properties of infinite series and of other topics involving the notion of limit. Celebrating 100 years in print with Cambridge, this edition includes a Foreword by T. W. Körner, describing the huge influence the book has had on the teaching and development of mathematics worldwide. Hardy's presentation of mathematical analysis is as valid today as when first written: students will find that his economical and energetic style of presentation is one that modern authors rarely come close to.",4.5,N/A,en
Real and Complex Analysis,['Walter Rudin'],1974,['Mathematics'],"This is an advanced text for the one- or two-semester course in analysis taught primarily to math, science, computer science, and electrical engineering majors at the junior, senior or graduate level. The basic techniques and theorems of analysis are presented in such a way that the intimate connections between its various branches are strongly emphasized. The traditionally separate subjects of 'real analysis' and 'complex analysis' are thus united in one volume. Some of the basic ideas from functional analysis are also included. This is the only book to take this unique approach. The third edition includes a new chapter on differentiation. Proofs of theorems presented in the book are concise and complete and many challenging exercises appear at the end of each chapter. The book is arranged so that each chapter builds upon the other, giving students a gradual understanding of the subject. This text is part of the Walter Rudin Student Series in Advanced Mathematics.",N/A,N/A,en
The Method of Fluxions and Infinite Series,['Isaac Newton'],1736,['Calculus'],N/A,5,N/A,en
The Historical Development of the Calculus,['C.H.Jr. Edwards'],1979,['History'],"This is a lucid account of the highlights in the historical development of the calculus from ancient to modern times - from the beginnings of geometry in antiquity to the nonstandard analysis of the twentieth century. It emphasizes the genesis and evolution of both fundamental concepts and computational techniques. The intended audience includes not only students of the history of mathematics, but also the wider mathematical community, specifically those who study, teach and use calculus. Among the distinctive features of this exposition are historically motivated exercises and carefully chosen illustrative examples. Numerous sections of the book are suitable for use in courses in introductory and advanced calculus as well as the general history of mathematics.",N/A,N/A,en
Course of Pure Mathematics,['G. H. Hardy'],2018-07-18,['Mathematics'],"This classic calculus text remains a must-read for all students of introductory mathematical analysis. Clear, rigorous explanations of the mathematics of analytical number theory and calculus cover single-variable calculus, sequences, number series, more. 1921 edition.",N/A,N/A,en
Calculus of Several Variables,['Serge Lang'],1979,['Mathematics'],"This is a new, revised edition of this widely known text. All of the basic topics in calculus of several variables are covered, including vectors, curves, functions of several variables, gradient, tangent plane, maxima and minima, potential functions, curve integrals, Green's theorem, multiple integrals, surface integrals, Stokes' theorem, and the inverse mapping theorem and its consequences. The presentation is self-contained, assuming only a knowledge of basic calculus in one variable. Many completely worked-out problems have been included.",N/A,N/A,en
Essays on Several Curious and Useful Subjects,['Thomas Simpson'],1740,['Astronomy'],N/A,N/A,N/A,en
"From the Earth to the Moon Direct in Ninety-seven Hours and Twenty Minutes, and a Trip Round it",['Jules Verne'],1874,['Adventure stories'],"Written almost a century before the daring flights of the astronauts, the author's prophetic novel of man's race to the stars is a classic adventure tale enlivened by broad satire and scientific acumen. When the members of the elite Baltimore Gun Club find themselves lacking any urgent assignments at the close of the Civil War, their president, Impey Barbicane, proposes that they build a gun big enough to launch a rocket to the moon. But when Barbicane's adversary places a huge wager that the project will fail and a daring volunteer elevates the mission to a ""manned"" flight, one man's dream turns into an international space race.",5,N/A,en
Calculus Made Easy,['Silvanus Phillips Thompson'],1959,['Calculus'],N/A,N/A,N/A,en
Calculus and Analytic Geometry,['George Brinton Thomas'],1951,['Calculus'],N/A,4,N/A,en
Opticks:,['Isaac Newton'],1704,['Calculus'],N/A,N/A,N/A,en
A Brief Introduction to the Infinitesimal Calculus,['Irving Fisher'],1897,['Calculus'],N/A,N/A,N/A,en
Inequalities,"['G. H. Hardy', 'J. E. Littlewood', 'George Pólya']",1952,['Mathematics'],"This classic of the mathematical literature forms a comprehensive study of the inequalities used throughout mathematics. First published in 1934, it presents clearly and lucidly both the statement and proof of all the standard inequalities of analysis. The authors were well-known for their powers of exposition and made this subject accessible to a wide audience of mathematicians.",N/A,N/A,en
The Calculus Wars,['Jason Socrates Bardi'],2006,['Mathematics'],"Traces the embittered seventeenth-century feud between Sir Isaac Newton and Gottfried Wilhelm Leibniz over the invention of calculus, describing how each claimed the mathematical innovation's discovery and what their rivalry revealed about their characters.",4,N/A,en
A Course of Pure Mathematics,['Godfrey Harold Hardy'],1928,['Calculus'],N/A,N/A,N/A,en
Working Analysis,['Jeffery Cooper'],2005,['Computers'],"Working Analysis is for a two semester course in advanced calculus. It develops the basic ideas of calculus rigorously but with an eye to showing how mathematics connects with other areas of science and engineering. In particular, effective numerical computation is developed as an important aspect of mathematical analysis. Maintains a rigorous presentation of the main ideas of advanced calculus, interspersed with applications that show how to analyze real problems Includes a wide range of examples and exercises drawn from mechanics, biology, chemical engineering and economics Describes links to numerical analysis and provides opportunities for computation; some MATLAB codes are available on the author's webpage Enhanced by an informal and lively writing style",N/A,N/A,en
Calculus and Analytic Geometry,['Al Shenk'],1988,['Mathematics'],N/A,N/A,N/A,en
The History of the Calculus and Its Conceptual Development,['Carl Benjamin Boyer'],1959,['Calculo - Historia'],N/A,3,N/A,en
The Principles of Mathematics,['Bertrand Russell'],1996,['Mathematics'],Russell's classic The Principles of Mathematics sets forth his landmark thesis that mathematics and logic are identical--that what is commonly called mathematics is simply later deductions from logical premises.,5,N/A,en
Calculus and Analytic Geometry,"['George Brinton Thomas (Jr.)', 'Ross L. Finney']",1979,['Calculus'],"This book contains a variety of interesting professional applications of calculus to business, economics, and the life sciences.",N/A,N/A,en
