title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Major Works,['Alexander Pope'],2006-10-12,['Literary Collections'],"This authoritative edition was first published in the acclaimed Oxford Authors series under the general editorship of Frank Kermode. It brings together a unique combination of Pope's poetry and prose - the major poems in their entirety, together with translations, criticism, letters and other prose - to give the essence of his work and thinking. Pope has often been termed the first truly professional poet in English, whose dealings with the book trade helped to produce the literary market-place of the nineteenth and twentieth centuries. In this representative selection of Pope's most important work, the texts are presented in chronological sequence so that the Moral Essays and Imitations of Horace are restored to their original position in his career. The Dunciad, The Rape of the Lock, and Peri Bathous are presented in full, together with a characteristic sample of Pope's prose, including satires, pamphlets, and periodical writing. The influential preface to his edition of Shakespeare is here, as well as passages from his conversations with Joseph Spence and examples of his wide-ranging correspondence. This fine edition features a comprehensive biographical index, as well as an introduction and invaluable notes.",N/A,N/A,en
The Power and the Glory,['Graham Greene'],1982,['Fiction'],"In a poor, remote section of southern Mexico, the Red Shirts have taken control, God has been outlawed, and the priests have been systematically hunted down and killed. Now, the last priest strives to overcome physical and moral cowardice in order to find redemption. 240 pp.",N/A,N/A,en
Brideshead Revisited,['Evelyn Waugh'],1993,['Fiction'],"Written at the end of the World War II, this novel mourns the passing of the aristocratic world which Waugh knew in his youth and recalls the sensuous pleasures denied him by the austerities of war. In so doing, it provides a study of the conflict between the demands of religion and of the flesh.",N/A,N/A,en
The Innocence of Father Brown,['Gilbert Keith Chesterton'],1911,"['Brown, Father (Fictitious character)']",N/A,4.5,N/A,en
The Courage To Be Catholic,['George Weigel'],2002-08-21,['Political Science'],"From a leading expert on American Catholic life, a bracing challenge to the Church to seize the current crisis as an opportunity to return to the core of classic Catholicism.",N/A,N/A,en
The Power and the Glory,['Graham Greene'],1991,['Anti-clericalism'],"In a poor, remote section of southern Mexico, the Red Shirts have taken control, God has been outlawed, and the priests have been systematically hunted down and killed. Now, the last priest strives to overcome physical and moral cowardice in order to find redemption. 240 pp.",N/A,N/A,en
Rome Sweet Home,"['Scott Hahn', 'Kimberly Hahn']",1993,['Religion'],"Scott and Kimberly Hahn tell the stories of their lives and religious backgrounds, and explain how they came to be converted to the Catholic faith.",5,N/A,en
The Heart of the Matter,['Graham Greene'],1971,['Fiction'],An assistant police commissioner in a West African coastal town lets passion overrule his honor,3.5,N/A,en
Memories of a Catholic Girlhood,['Mary McCarthy'],1957,['Biography & Autobiography'],"The author and her three brothers, left orphans at an early age, were raised together by guardians.",N/A,N/A,en
The Catholic Imagination in American Literature,['Ross Labrie'],1997,['Literary Criticism'],"A concluding chapter examines the significance of the corpus of Catholic American writing in the years 1940 to 1980, considering it parallel in substance to the body of Jewish American literature of the same period.",N/A,N/A,en
Catholic Immigrants in America,['James Stuart Olson'],1987,['Religion'],"""...The story of the ethnic diversity of the Catholic church has not been told with such illuminating clarity before this ground-breaking book. The author focuses on the conflicting religious and ethnic forces--both in and out of the church--to explore the history of American Catholicism""--Book jacket.",N/A,N/A,en
Death Comes for the Archbishop,['Willa Cather'],1927,['American fiction'],"Set in the mid-nineteenth century, this is the story of a priest who sets out to win the Southwest for Catholicism.",N/A,N/A,en
The Seville Communion,['Arturo Pérez-Reverte'],2004-06-07,['Fiction'],"A hacker breaks into the pope's computer, asking him to save from demolition a 17th century church in Seville. The Vatican dispatches handsome Father Lorenzo Quart who quickly attracts the attention of an aristocratic beauty embroiled in the affair. By the author of The Flanders Panel.",N/A,N/A,en
Eureka Street,['Robert McLiam Wilson'],1997,['Fiction'],"Romantic Ireland is definitely dead and gone. With the exhilarating Eureka Street, Robert McLiam Wilson cheerfully and obscenely sends it to its grave. Jake Jackson, his thoughtful anti-hero, finds Belfast's tragedies are built on comedy: Catholics and Protestants so intent on declaring their differences ""resembled no one now as much as they resembled each other…. That was what I liked about Belfast hatred. It was a lumbering hatred that could survive completely on the memories of things that never existed in the first place."" He spends a certain amount of time worrying about seeming too Catholic and an equal amount worrying about not seeming sufficiently Catholic. Sometimes, after several drinks, Jake forgets that he's not a Protestant. Each position is as dangerous, and absurd, as the other. His best friend is less torn up. Chuckie Lurgan is a chubby Methodist whose only accomplishments so far have been shaking Reagan's hand, appearing in the same photo as the Pope, and having ""an intense and troubling relationship with mail-order catalogues."" But Chuckie suddenly surprises Jake with his first entrepreneurial scheme. Though he's placed an ad for an enormous sex toy in Northern Ireland's ""only mucky paper,"" he hasn't any intention of ever fulfilling an order. Instead, he follows legal protocol and sends each disappointed customer a refund check, in the proper amount, stamped GIANT DILDO REFUND. The gamble is that most people will be too embarrassed to cash them. ""Chuckie smiled the smile of the just-published poet."" And soon he has more than 40,000 pounds in the bank and a lust for big money. He also has a rich, new girlfriend: ""He hoped his dreams wouldn't suffer from all this reality.""Jake is more preoccupied with the day-to-day. His construction site job gives him ample opportunity to consider his romantic failures and the ever-present symbols of war. There's also a new graffito that has sprouted among the various deadly acronyms. IRA, UVF, and UDA make no more sense than OTG, but at least everyone knows what they stand for. OTG becomes a puzzle to all of Belfast--is it, the authorities wonder, a new terrorist group? (Jake also notes several other phrases, FTP, FTQ, and FTNP--the ""T"" stands for the and ""P"" and ""Q"" for Pope and Queen. The ""N"" is for Next.) Despite his love for Belfast, Jake loses heart with its zealots and fanatics and, halfway through, Eureka Street threatens to slide into windy bathos. It's only a momentary lapse amid energetic, colloquial poetry and comic realism.",4.5,N/A,en
The Annotated Innocence of Father Brown,['Gilbert Keith Chesterton'],1987,['Fiction'],"Listed in C̀rime and mystery : the 100 best books"". First pub. in 1911. The unassuming East Anglia priest solving crime by the intuitive method.",N/A,N/A,en
The Relic,['Jose Maria Eca de Queiros'],2023-04-21,['Fiction'],"The Relic tells the story of an orphaned young man, Teodorico Raposo, who is brought to Lisbon from a provincial town in Portugal to live with his aunt, a rigid, stern—and oftentimes—forbidding Catholic. Her devout circle of acquaintances is made up almost entirely of priests, many of whom are more concerned with appearances than spirituality, and seeking her and their approval, Teodorico is driven to attend Mass, say rosaries, and frequent churches, all the while awakening to sensuality, women, and the material life in conflict with “Auntie’s” devotions, which are—inwardly—devoid of the charity preached by Christ. When Teodorico obtains a degree from the University of Coimbra, Auntie sends him to the Holy Land to search for a relic to cure her ills. He meets up with a learned German author and, after a sojourn to Egypt, the two make their way to the land trod by Jesus. It is there that Teodorico has the dream that takes up nearly one third of the novel: he witnesses the travails that lead to the Passion and Crucifixion, as well as the aftermath of Christ’s death. Faced now with his mission, Teodorico embarks on a search. He soon comes upon an item, a “true” relic authenticated by his German friend, the sanctity of which will send Auntie to the heights of spiritual bliss, so much so that she will make him her heir. But when Teodorico returns to Lisbon with it, deception awaits her as the result of a simple mistake that had been made, and disinheritance awaits him as a result of Auntie’s anger and vindictiveness.",N/A,N/A,en
Between Heaven and Earth,['Robert A. Orsi'],2005,['Religion'],"Publisher description: Explores the relationships men, women, and children have formed with the Virgin Mary and the saints in twentieth-century American Catholic history, and reflects, more broadly, on how people live in the company of sacred figures and how these relationships shape the ties between people on earth. Author Robert Orsi also considers how scholars of religion occupy the ground in between belief and analysis, faith and scholarship.",4.5,N/A,en
The Rape of the Lock,['Alexander Pope'],1897,['Catholics'],N/A,N/A,N/A,en
Communion of Immigrants,['James T. Fisher'],2008,['History'],"Tracing more than four centuries of Catholics in America, this concise study is a fascinating look at the history of the country's largest religious denomination. 15 photos.",N/A,N/A,en
Cradle and All,['James Patterson'],2000,['Boston (Mass.)'],"In Boston, a young woman finds herself pregnant--even though she is still a virgin. In Ireland, another young woman discovers she is in the same impossible condition. And in cities all around the world, medical authorities are overwhelmed by epidemics, droughts, famines, floods, and worse. It all feels like a sign that something awful is coming. Anne Fitzgerald, a former nun turned private investigator, is hired by the Archdiocese of Boston to investigate the immaculate conceptions. Even as she comes to care about and trust the young women, she realizes that both are in great danger. Terrifying forces of light and darkness are gathering. Stepping into uncharted territory where the unknown is just the beginning, Anne must discover the truth--to save the young women, to save herself, and to protect the future of all mankind.",N/A,N/A,en
The Hessian,['Howard Fast'],1972,['Catholics'],"When his entire brigade is wiped out by the colonists, a sixteen-year-old German drummer boy survives with the aid of a Quaker family and the local doctor.",N/A,N/A,en
Lord of the World,['Robert Hugh Benson'],1918,['Catholics'],N/A,N/A,N/A,en
The Secret of Father Brown,['Gilbert Keith Chesterton'],1927,"['Brown, Father (Fictitious character)']",N/A,N/A,N/A,en
Abbé Mouret's Transgression,['Emile Zola'],2005,['Fiction'],"Serge Mouret, the younger son of Francois Mouret (see La Conquete de Plassans), was ordained to the priesthood and appointed Cure of Les Artaud, a squalid village in Provence, to whose degenerate inhabitants he ministered with small encouragement. He had inherited the family taint of the Rougon-Macquarts, which in him took the same form as in the case of his mother-a morbid religious enthusiasm bordering on hysteria. Brain fever followed, and bodily recovery left the priest without a mental past. Dr. Pascal Rougon, his uncle, hoping to save his reason, removed him from his accustomed surroundings and left him at the Paradou, the neglected demesne of a ruined mansion-house near Les Artaud, where he was nursed by Albine, niece of the caretaker. The Abb fell in love with Albine, and, oblivious of his vows, broke them... (J. G. Patterson)",N/A,N/A,en
Raised Italian-American,['Joseph Bonocore'],2005,['Biography & Autobiography'],"Raised Italian-American remembers the history, stories, traditions, and values of growing up in an Italian neighborhood. One of my fondest memories as a child was to take a ride and view the beautiful nativity scenes that were erected throughout the neighborhood each Christmas. The popularity of these large statues, they are called presepi in Italy, started in Italy in the 17th century when it was fashionable to find them in palaces and homes of wealthy citizens. The newfound enthusiasm of erecting a presepi during Christmas may be contributed to Saint Gaetano who openly encouraged people to create the presepi as a sign of devotion. It wasn't until the later part of the 19th century that these presepi became a part of family traditions in nearly every home in Italy. This set is a beautiful piece of art and is a prized possession of the families that own them. I know that Phyllis' grandmother cherished her presepi until the day she died and the family still think fondly of their grandmother every time they see it at Christmas time.",N/A,N/A,en
American Catholicism,['John Tracy Ellis'],1969-06-15,['History'],"The Catholic Church remains one of the oldest institutions of Western civilization. It continues to withstand attack from without and defection from within. In his revision of American Catholicism, Monsignor Ellis has added a new chapter on the history of the Church since 1956. Here he deals with developments in Catholic education, with the changing relations of the Church to its own members and to society in general, and especially with arguments for and against the ecumenical movement brought about by Vatican Council II. The author gives an updated historical account of the part played by Catholics in both the American Revolution and the Civil War, and of the difficulties within the Church that came with the clash of national interests among Irish, French, and Germans in the nineteenth century. He regards immigration as the key to the increasingly important role of American Catholicism in the nation after 1820. For contemporary America, the author counts among the signs of the mature Church an increase in Church membership, the presence of nine Americans in the College of Cardinals in May, 1967, and the expansion of American effort in Catholic missions throughout the world.",N/A,N/A,en
The Rape of the Lock,['Alexander Pope'],2003-09-02,['Literary Collections'],"First published in 1971. Routledge is an imprint of Taylor & Francis, an informa company.",N/A,N/A,en
The Sin of Abbé Mouret,['Émile Zola'],2017,['Fiction'],"The Sin of Abbe Mouret is the fifth novel in Zola's Rougon-Macquart series. It follows Serge Mouret, a young priest, aspiring to perfect purity and sanctity. An illness leaves him with amnesia, and no longer knowing he is a priest, he falls in love with his nurse. Together they roam an Eden-like garden called the 'Paradou'.",N/A,N/A,en
Monsignor Quixote,['Graham Greene'],2008-09-30,['Fiction'],"When Father Quixote, a local priest of the Spanish village of El Toboso who claims ancestry to Cervantes’ fictional Don Quixote, is elevated to the rank of monsignor through a clerical error, he sets out on a journey to Madrid to purchase purple socks appropriate to his new station. Accompanying him on his mission is his best friend, Sancho, the Communist ex-mayor of the village who argues politics and religion with Quixote and rescues him from the various troubles his innocence lands him in along the way. Published in 1932, Monsignor Quixote is Graham Greene’s last religious novel, a fond homage to Cervantes, and a sincere exploration into the meaning of faith in the modern world. This edition features a new introduction by John Auchard. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",N/A,N/A,en
History of the Catholic Church in Indiana ...,['Charles Blanchard'],1898,['Catholics'],N/A,N/A,N/A,en
Rome,['Émile Zola'],1896,['Catholics'],N/A,N/A,N/A,en
Schindler's List,['Thomas Keneally'],1993-12,['Fiction'],Historical fiction about a man and the Jews he saved from the Holocaust in Poland.,N/A,N/A,en
The Opinions of Jérôme Coignard,['Anatole France'],1913,['Booksellers and bookselling'],"This is a lovely collection of short pieces of conversation with the “Abbe” having a mildly anarchistic but strong humanistic bent. Very odd, cultured and entertaining. The book centers around the character of M. l'abbé Jérôme Coignard, a professor, a librarian, and a philosopher known for his witty observations on politics, morality, and human nature. Through a series of dialogues and reflections, the narrative explores themes of skepticism, the folly of mankind, and the complexities of faith and knowledge, highlighting Coignard's unique blend of liberal ideas rooted in his Catholic faith. The opening of the work introduces M. Jérôme Coignard and establishes his background as a learned yet disillusioned man who has encountered tragic experiences, foreshadowing his philosophical musings. A disciple named Jacques Tournebroche admires Coignard and recounts his teachings, which reflect a deep skepticism about human nature and society. Coignard's views on various subjects, including politics and religion, are outlined through lively conversations, particularly one with a bookseller where he critiques the roles of politicians. This initial setting paints a vivid portrait of Coignard's character and sets the stage for deeper explorations of his philosophical insights as the story unfolds.",N/A,N/A,en
The Ball and the Cross,['Gilbert Keith Chesterton'],1909,['Atheists'],"Chronicles a hot dispute between two Scotsmen, a Roman Catholic and an atheist, whose fanatically held opinions inspire a host of comic adventures. The story's allegorical levels vigorously explore the debate between theism and atheism.",N/A,N/A,en
The Wisdom of Father Brown,['Gilbert Keith Chesterton'],1928,['Catholics'],"The small Catholic priest at his best again! ""The Wisdom of Father Brown"" is full of tales of crime and discovery, clues and false leads and all the rest of the thrilling material which will make any normal human being sit up and keep on sitting up long past the proper hour for bed. The stories deal with the different strata of society, from the ventriloquist (in a London lodging house, who was found tied and apparently gagged, but instead of being the victim of a supposed murderer, was simply interrupted in his secret practice of new tricks) to the mysterious death of a celebrated actress almost in the presence of her five suitors, and the death of a German prince in his forest. Each story is utterly different from the others and each is told with the author's gift to create atmosphere and to keep the reader intensely entertained.",N/A,N/A,en
P.S. I Miss You,['Jen Petro-Roy'],2018-03-06,['Juvenile Fiction'],"In this epistolary middle-grade debut, a girl who's questioning her sexual orientation writes letters to her sister, who was sent away from their strict Catholic home after becoming pregnant.",5,N/A,en
Catholics and the American Revolution,['Martin Ignatius Joseph Griffin'],1907,['Catholics'],N/A,N/A,N/A,en
Hadrian the Seventh,['Frederick Rolfe'],1929,['Catholics'],N/A,N/A,N/A,en
The Thorn Birds,['Colleen McCullough'],2013-03-28,['Fiction'],"A sweeping saga of dreams, titanic struggles, dark passions, and forbidden love in the Outback.",N/A,N/A,en
Apologia Pro Vita Sua,['Saint John Henry Newman'],1882,['Catholics'],N/A,N/A,N/A,en
Black and Green,['Brian Dooley'],1998-01-15,['History'],"'An excellent book.' Irish Voice (New York)Ties between political activists in Black America and Ireland span several centuries, from the days of the slave trade to the close links between Frederick Douglass and Daniel O'Connell, and between Marcus Garvey and Eamon de Valera. This timely book traces those historic links and examines how the struggle for black civil rights in America in the 1960s helped shape the campaign against discrimination in Northern Ireland. The author includes interviews with key figures such as Angela Davis, Bernadette McAliskey and Eamonn McCann.",N/A,N/A,en
"Confederate Catholics at War, 1641-49",['Pádraig Lenihan'],2001,['History'],"This book evaluates the Confederate Catholic war effort from the preceeding phase of localized insurgency, through the formation of a national self-government in 1642, until the Confederate Catholic regime was finally subsumed in a broad pan-Royalist alliance in 1649. While this alliance held out the prospect of significant religious and constitutional concessons this achievement was nullified by the subsequent Cromwellian catastrophe: the Confederate regime failed. In attributing this failure to political factionalism, historians have neglected the potential and limitations of the Confederate war effort. This study does not substitute crude military determinism but acknowledges that political indecision and strategic incoherence inhibited the war effort at critical junctures. From the conflicting political priorities of Confederates two partially exclusive military strategies, insular, and expeditionary, can be identified. Both strategies were proactive and so demanded standing armies rather than local militia units. This book emphasizes the crucial importance of the tax gathering apparatus in fueling the incremental growth of standing armies. In the absence of large scale foreign patronage, exacting money from an agrarian economy, rather than the shortages of material, or still less, manpower representing the crucial extrinsic limit to Confederate military potential. Given these limits, it was a considerable achievement to contain two British interventions (in 1642 and 1646/7 respectively). The influence of the contemporaneous ""military revolution"" on the European mainland was mediated by the cadre of returned mercenary officers. Consequently, the Confederates developed a qualitative edge in fortification and siegecraft. The application of the continental model and the shift from putatively ""celtic"" or irregular tactics of raiding and running battles would be more problematic. This and other explanations for the poor battlefield performance of the Confederate armies are discussed.",5,N/A,en
Catholic Spirituality and Prayer in the Secular City,['Robert A. Burns'],2008,['Religion'],"""In the United States, against the background of secularization, the religious atmospheres have changed radically in the past forty years. In 1965, President Lyndon Johnson signed the Immigration and Naturalization Act, which opened America's doors to immigrants from all over the world. As a result, approximately one million immigrants legally enter the United States each year and bring with them religious traditions such as Islam, Buddhism, and Hinduism. Catholic Spirituality and Prayer in the Secular City presents the role of religion and spirituality in a rapidly changing religious scenario. Author Robert A. Burns explores ways Catholics have been called upon to develop their spiritual lives in the most religiously pluralistic society that has ever existed. Burns acknowledges the struggle that many people face when seeking a deeper spirituality and do not know where or how to begin, and seeks to guide readers through the confusion and back to the meaning of spirituality.""--BOOK JACKET.",N/A,N/A,en
Supremacy and Survival,['Stephanie A. Mann'],2007,['History'],"The persecution of Catholics began in 16th century England and tested the Church for over 250 years. Penal laws labeled Catholic believers as traitors and brought fines, imprisonment, and even execution. Prominent persons such as Thomas More, Edmund Campion, and Margaret Clitherow were martyred, while others quietly endured suspicion or harassment to teach and pass on their faith to others, but died peacefully in their beds.",N/A,N/A,en
"Tom Playfair, Or Making a Start",['Francis James Finn'],1919,['Boarding schools'],N/A,N/A,N/A,en
