title,authors,publishedDate,categories,description,averageRating,textSnippet,language
"Quantities, Units and Symbols in Physical Chemistry",['International Union of Pure and Applied Chemistry. Physical and Biophysical Chemistry Division'],2007,['Reference'],"Prepared by the IUPAC Physical Chemistry Division this definitive manual, now in its third edition, is designed to improve the exchange of scientific information among the readers in different disciplines and across different nations. This book has been systematically brought up to date and new sections added to reflect the increasing volume of scientific literature and terminology and expressions being used. The Third Edition reflects the experience of the contributors with the previous editions and the comments and feedback have been integrated into this essential resource. This edition has been compiled in machine-readable form and will be available online.",3,N/A,en
Mendeleyev's Dream,['Paul Strathern'],2000,['Biography & Autobiography'],"Unravels the history of chemistry, from the ancient Greek philosophers to the Age of Enlightenment and beyond, focusing on the life of the Russian chemist who conceived the periodic table of elements marking the birth of modern chemistry.",N/A,N/A,en
Cavendish,"['Christa Jungnickel', 'Russell McCormmach']",1996,['Biography & Autobiography'],"""The Cavendishes flourished during the high tide of British aristocracy following the revolution of 1688-89, and the case can be made that this aristocracy knew its finest hour when Henry Cavendish gently laid his delicate weights in the pan of his incomparable precision balance. For this it took two generations and two kinds of invention, one in social forms and the other in scientific technique. This biography tells how it came to pass.""--Book jacket",N/A,N/A,en
Experiments and Observations on Different Kinds of Air,['Joseph Priestley'],1781,['Air'],N/A,N/A,N/A,en
The Gases of the Atmosphere,['William Ramsay'],1896,['Air'],N/A,N/A,N/A,en
Advanced Quantum Mechanics,['Franz Schwabl'],2005,['Science'],"This second volume on quantum mechanics by Franz Schwabl discusses nonrelativistic multi-particle systems, relativistic wave equations and relativistic fields. As usual the text follows a compelling mathematical presentation where all intermediate steps are given and where numerous examples for application and exercises help the student to gain thorough knowledge of the subject. The presentation of relativistic wave equations and their symmetries and the fundamentals of quantum field theory lay the foundations for advanced studies in solid-state physics, nuclear and elementary particle physics. The new edition is carefully revised and the special focus on step by step approach is buttressed even more.",5,N/A,en
The Elements: A Very Short Introduction,['Philip Ball'],2004-04-08,['Science'],"This Very Short Introduction is an exciting and non-traditional approach to understanding the terminology, properties, and classification of chemical elements. It traces the history and cultural impact of the elements on humankind from ancient times through today. Packed with anecdotes, The Elements is a highly engaging and entertaining exploration of the fundamental question: what is the world made from?",N/A,N/A,en
A Course of Six Lectures on the Chemical History of a Candle,['Michael Faraday'],1861,['Candles'],N/A,N/A,N/A,en
Origin of Elements in the Solar System,['Oliver Manuel'],2000,['Science'],"Based on an American Chemical Society Symposium organized by Professors Glenn Seaborg and Oliver Manuel, this volume provides a comprehensive record of different views on this important subject at the end of the 20th century. They have assembled a blend of highly respected experimentalists and theorists from astronomy, geology, meteoritics, planetology and nuclear chemistry and physics to discuss the origin of elements in the solar system. The intent was to include all points of view and let history judge their validity.",N/A,N/A,en
Elements of Chemistry and Natural History,['comte Antoine-François de Fourcroy'],1800,['Chemistry'],N/A,N/A,N/A,en
Ullmann's Encyclopedia of Industrial Chemistry,['Fritz Ullmann'],1992,['Chemistry'],N/A,N/A,N/A,en
Elements of Chemistry,['William Allen Miller'],1867,['Chemistry'],N/A,N/A,N/A,en
The Principles of Chemistry,['Dmitry Ivanovich Mendeleyev'],1891,['Argon'],N/A,N/A,N/A,en
Materials in Eighteenth-century Science,"['Ursula Klein', 'Wolfgang Lefèvre']",2007,['History'],"In this history of materials, the authors link chemical science with chemical technology, challenging our current understandings of objects in the history of science and the distinction between scientific and technological objects. They further show that chemits' experimental production and understanding of materials changed over time, first in the decades around 1700 and then around 1830, when mundane materials became clearly distinguished from true chemical substances.",N/A,N/A,en
Ullmann's Encyclopedia of Industrial Chemistry,['Fritz Ullmann'],1991,['Science'],N/A,N/A,N/A,en
Elements of Chemistry: Theoretical and Practical: Chemical physics,['William Allen Miller'],1867,['Chemistry'],N/A,N/A,N/A,en
Filosofija buduare : romanas,"['marquis de Sade', 'David William Arthur Sharp']",1994,['Chemistry'],N/A,N/A,N/A,lt
