title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Prince Caspian Movie Tie-in Edition (rack),['C. S. Lewis'],2008-04,['Fiction'],"This movie tie-in edition of the full original PRINCE CASPIAN novel will be rack size, and feature a movie cover and an 8-page movie still insert.",5,N/A,en
The Resilience of Language,['Susan Goldin-Meadow'],2003,['Family & Relationships'],"Imagine a child who has never seen or heard any language at all. Would such a child be able to invent a language on her own? Despite what one might guess, the children described in this book make it clear that the answer to this question is 'yes'. The children are congenitally deaf and cannot learn the spoken language that surrounds them. In addition, they have not yet been exposed to sign language, either by their hearing parents or their oral schools. Nevertheless, the children use their hands to communicate - they gesture - and those gestures take on many of the forms and functions of language. The properties of language that we find in the deaf children's gestures are just those properties that do not need to be handed down from generation to generation, but can be reinvented by a child de novo - the resilient properties of language. This book suggests that all children, deaf or hearing, come to language-learning ready to develop precisely these language properties. In this way, studies of gesture creation in deaf children can show us the way that children themselves have a large hand in shaping how language is learned.",N/A,N/A,en
Little Lord Fauntleroy,['Frances Hodgson Burnett'],1886,['Juvenile Fiction'],"Burnett's conviction that love conquers all is memorably embodied in this tale of an American boy who is transported from the mean streets of 19th-century New York to the splendor of his titled grandfather's English manor. ""Compellingly readable."" - Horn Book.",N/A,N/A,en
Elementary Children's Literature,['Nancy A. Anderson'],2006,['Education'],MyLabSchool - Where the classroom comes to life! bull; bull;Watch real classrooms in action in the MLS VideoLab. bull;Study for the PRAXIS exam using our video cases and practice test! bull;Prepare for your first (or next!) job interview with the MLS Career Center. bull;Learn how to write effective research papers with Research Navigator. Contact your local Allyn & Bacon sales representative for more information about this great tool or for the Valuepack ISBN.,N/A,N/A,en
Olivia,[],2000-10,['Juvenile Fiction'],Have fun with Olivia... dressing up singing songs building sand castles napping (maybe) dancing painting on walls and -- whew! -- going to sleep at last.,N/A,N/A,en
Reading Contemporary Picturebooks,['David Lewis'],2001,['Education'],"Reading Contemporary Picturebooks takes a look at one of the most vibrant branches of children's literature - the modern picturebook. This exciting new book takes a sample of contemporary picturebooks and closely examines the features that make them distinctive and then suggests a way of characterising the 'interanimation' of words and pictures that is the essence of the form. The reasons for the picturebook's vitality and flexibility are also explored and the close bond between the picturebook and its readers is analyzed. Advances in our understanding of how visual images are organized are examined and the book concludes with an attempt to redescribe the picturebook in such a way that pictures, readers and text may be drawn together. Picturing Text will be of interest to students, teachers and researchers interested in reading, children's literature and media studies.",N/A,N/A,en
˜Derœ Outsider,['Stephen King'],2019,[],N/A,N/A,N/A,de
Clinical Pediatric Neurology,['Gerald M. Fenichel'],2009,['Health & Fitness'],"This 6th Edition, offers you a practical assistance in diagnosing and managing the primary neurologic disorders of childhood. Simply look up the presenting symptoms, and you'll be guided step by step through evaluation and management. Thorough coverage for each neurological disease clearly defines age at onset, course of illness, clinical features, and treatment options. Differential diagnosis tables and treatment algorithms expedite clinical decision making.",N/A,N/A,en
Robinson Crusoe,['Daniel Defoe'],1920,['Adventure stories'],During one of his several adventurous voyages in the 1600's an Englishman becomes the sole survivor of a shipwreck and lives for nearly thirty years on a deserted island.,N/A,N/A,en
Sylvie and Bruno,['Lewis Carroll'],1889,['Juvenile Fiction'],"First published in 1889, this novel has two main plots; one set in the real world at the time the book was published (the Victorian era), the other in the fictional world of Fairyland.",5,N/A,en
Protection of Children During Armed Political Conflict,"['Charles W. Greenbaum', 'Philip E. Veerman', 'Naomi Bacon-Shnoor']",2006,['Law'],"This volume attempts to examine the issue of prevention of violence to children in violent political conflicts from a multidisciplinary perspective that includes international law, developmental psychology, education, communications and police science. While this volume concentrates mainly on the Israeli-Palestinian conflict, it also presents the experience of others in different parts of the world who have coped successfully with prevention of violence to civilian populations, and particularly to children. The editors aim to engage military and police communities world-wide, and especially in our society, Israel, in a dialogue concerning the most effective ways to abide by international conventions of human rights and childrens rights to which Israeli society is committed. The volume reports on practical methods to save the lives of civilians and children in political conflicts that have been tried and which serve to protect children.",N/A,N/A,en
An Old-fashioned Girl,['Louisa May Alcott'],1883,['Children'],"Story of Polly, an old fashioned girl, and her friendship with the wealthy Shaw family of Boston.",5,N/A,en
