title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Pilgrim's Progress in Modern English,['John Bunyan'],1964,['Allegories'],N/A,N/A,N/A,en
A Voyage Long and Strange,['Tony Horwitz'],2009-04,['America'],"As is his style, Horwitz combines history with his own exploration of the routes taken by the early French, Viking, and most notably Spanish explorers of the North American continent. It makes for interesting and often humorous reading.",N/A,N/A,en
The Story of a Soul,['St Therese of Lisieux'],2010,['Biography & Autobiography'],"Originally published: Burns, Oates and Washbourne, 1951.",N/A,N/A,en
In This Moment,['Karen Kingsbury'],2017-11-07,['Fiction'],Luke Baxter enters the fight of his career when principal Wendel Quinn is sued for starting an after-school bible study program at his school.,N/A,N/A,en
Gospel in Life Study Guide,['Timothy Keller'],2010,['Religion'],"Gospel in Life is an intensive eight-session course on the gospel and how it is lived out in all of life. First in your heart, then in your community, and then out into the world.",N/A,N/A,en
The Story of a Soul,['Saint Therese Saint Therese of Lisieux'],2016-03-27,[],"The autobiography of Therese of Lisieux, a French Discalced Carmelite nun, later recognized as a saint.",N/A,N/A,en
Tilly,['Frank E. Peretti'],2003,['Fiction'],A deeply moving story of forgiveness for a woman who struggles to reconcile herself with the memory of a child she aborted nine years previously.,4,N/A,en
The Jesus Storybook Bible,['Sally Lloyd-Jones'],2017-02-07,['Bible stories'],A collection of Bible stories invites young readers to discover that Jesus is the center of God's great story of salvation.,N/A,N/A,en
The Jesus Storybook Bible,['Sally Lloyd-Jones'],2007,['Juvenile Nonfiction'],A collection of Bible stories invites young readers to discover that Jesus is the center of God's great story of salvation.,N/A,N/A,en
Memories Under the Linden Tree,['G. Marie Meier'],2010-08,['Biography & Autobiography'],"Verdant, heart shaped leaves fragrant with white flower blossoms were drooping heavily from the Linden tree. The fragrant aroma from it's flowers wafted lazily through the air; making it seem as though I was drinking in creation at it's fullest. The awesome Linden tree truly appeared vibrantly green brimming with life and activity, as I listened to the humming, whirring sounds of millions of buzzing bees. Thus, it revealed itself as truly being a tree of life!",N/A,N/A,en
The Door Within,['Wayne Thomas Batson'],2013-05,['Juvenile Fiction'],"Three ancient scrolls beckon high school student Aidan Thomas to enter a realm of knights, kings, and unusual creatures, but he must rely on instinct and his latent athletic ability to deal with the terror, tempest, and treason in this new world.",N/A,N/A,en
The Yellow Star,['Carmen Agra Deedy'],2000-09-05,['Juvenile Nonfiction'],"Without the yellow star to point them out, the Jews looked like any other Danes. For centuries, the Star of David was a symbol of Jewish pride. But during World War II, Nazis used the star to segregate and terrorize the Jewish people. Except in Denmark. When Nazi soldiers occupied his country, King Christian X of Denmark committed himself to keeping all Danes safe from harm, and the bravery of the Danes and their king during that dangerous time has inspired many legends. The most enduring is the legend of the yellow star, which symbolizes the loyalty and fearless spirit of the king and his people. New York Times best-selling author and storyteller Carmen Agra Deedy has poignantly recreated this legend, which is accompanied by Danish illustrator Henri S rensen's arresting full-color portraits. The result is a powerful and dignified story of heroic justice, a story for all people and all times.",N/A,N/A,en
To the Moon and Back,['Karen Kingsbury'],2018,['FICTION'],"Brady Bradshaw was a child when the Oklahoma City bombing took his mother from him. Every year, Brady visits the site on the anniversary to remember her. A decade ago on that day, he met Jenna Phillips, who was also a child when her parents were killed in the attack. Brady and Jenna shared a deep heart connection and a single beautiful day together at the memorial. But after that, Brady never saw Jenna again. Every year when he returns, he leaves a note for her in hopes that he might find her again. This year, Ashley Baxter Blake and her sister Kari Ryan take a spring break trip with their families that includes a visit to the site to see the memorial's famous Survivor Tree. While there, Ashley spots a young man, alone and troubled. A chance moment leads Ashley to help the young man find the girl he can't forget -- Jenna Phillips. Ashley's family is skeptical, but in the end everyone comes together to support Ashley's efforts to find the girl and bring them together. But will it work? And is a shared heartache enough reason to fall in love?",N/A,N/A,en
A Baxter Family Christmas,['Karen Kingsbury'],2017-03-01,[],"Karen Kingsbury's most beloved characters are back! From No. 1 New York Times bestselling author Karen Kingsbury comes A Baxter Family Christmas, a life-changing story of love and hope featuring the Baxter family. Whether you're meeting the Baxter family for the first time, or finding them all over again... A Baxter Family Christmas will leave fingerprints on your heart forever. Two years have passed since the terrible car accident that took the life of John Baxter's daughter, Erin, her husband and three of their four daughters. Prompted by grief, and missing his daughter, John has invited a stranger for Christmas Eve dinner - Kendra Bryant, the transplant recipient who now has Erin's heart. Ashley and her brother Luke don't think it is right; they want to protect their ten-year-old niece, Amy - the only surviving member of the accident. But John is determined and believes meeting this woman is something his deceased daughter would want. At the same time, Maddie West, the eighteen-year-old daughter of Brooke Baxter West, is praying for meaning this Christmas. Could she find it in a newfound friendship with a boy she never expected to see again? Maddie believes in miracles, especially at Christmastime, but this is a stretch even she can't imagine. Meanwhile, Kendra Bryant has been struggling these past few years to find purpose in the tragedy that gave her a second chance. She believes the invitation to see the Baxters and witness their unwavering faith in God can instil peace and happiness back into her life. Heart-warming and touching, filled with love and redemption, A Baxter Family Christmas brings together two families in the aftermath of loss and in the midst of an unfolding love story, all with the help of one very special child.",N/A,N/A,en
Music & Silence,"['Anne Redmon', 'Rose Tremain']",2001-05,['Fiction'],"This is the story of a young English lutenist named Peter Claire who, in 1629, arrives at the Danish Court to join King Christian IV's Royal Orchestra.",4,N/A,en
Aftershock,['M. A. Coulter'],2011-07,['Social Science'],"For four consecutive days in early 2010, it was the number one news story in the world. Ten Americans left the security and comfort of their homes, placed jobs on hold, and left family and friends behind to help Haitian children victimized by the January 12, 2010, earthquake. Despite their admirable intents, the Christians were charged with kidnapping, criminal association, and attempting to arrange ""irregular"" travel. What Satan intended for evil, God used for good. Experience their unwavering faith. Experience their reliance on God's sustaining power, His endless grace, and His abiding presence. And trust, as they trust, that God will use their sacrifices to bring about meaningful change in Haiti. The full measure of their service is yet to be realized",N/A,N/A,en
Chicken Soup for the Christian Teenage Soul,['Jack Canfield'],2003,['Juvenile Nonfiction'],"For teens who make God an integral part of their lives, teens who are sorting through doubts about whether God really cares about them, and teens who don't know God at all, Chicken Soup for the Christian Teenage Soul may be one of the most influential books they'll ever read. These stories about love, friendship, forgiveness, making a difference, courage, dating (and lots more) show how God is at work in teenagers' lives. Teens share stories about how God has given them the courage to cope with the tough stuff, the joy to live a fulfilling life, the strength to persevere when they feel alone, and the love and confidence they need to feel good about themselves. This very special volume will also help them to use other teens' experiences to build a stronger relationship with God. For teens tempted to use drugs, alcohol or other substances, Chicken Soup for the Christian Teenage Soul can be a lifeline to God. They will know that God cares what they think when it feels as if no one else does, and that He loves them no matter what.",5,N/A,en
Breach of Trust,['DiAnn Mills'],2009,['Christian'],"Paige Rogers is a former CIA agent who survived every CIA operative's worst nightmare - she lost all she treasured seven years ago when her entire team was killed in a covert mission. Paige believes their leader, Daniel Keary, betrayed the team. Disillusioned and afraid for her life, Paige disappeared and started a new life as a small-town librarian. But when Keary announces his candidacy for governor of her state, he comes after Paige to ensure that she won't ruin his bid for office. Once again, he threatens everything she holds dear. Now, Paige must choose between a life of hiding - or risking everything in one last, desperate attempt to right old wrongs. ""Featuring a well-paced plot and an engaging protagonist, Mills's new series launch his a solid... suspense title. Recommended for public libraries."" - Library Journal",N/A,N/A,en
Colors of Truth,['Tamera Alexander'],2020-09-26,['Fiction'],"""Based on the real history of Carnton, an antebellum home that served as a Confederate hospital, Colors of Truth follows the journey of an Irish immigrant arriving in a country where her kind isn't wanted, and of a former Federal soldier returning to the scene of a battle that almost destroyed him""--",N/A,N/A,en
Word Gets Around,['Lisa Wingate'],2009,['Fiction'],"Lauren Eldridge had avoided returning home to Daily, Texas, until one day, her father admits that he's in over his head. Paying back an old favor, he's invested in a horse that's supposed to be the star of a new Hollywood movie. But the horse won't behave -- and Lauren is the best trainer in the state. Convinced to return, she soon finds more than she bargained for when the movie's screenwriter turns out to be leading-man handsome. This movie may be Nate Heath's last shot at turning his career around. Though he doesn't have high hopes at first, the town of Daily may be just what he needs to find hope, healing -- and maybe even a little more.",N/A,N/A,en
Three Times Blessed,['Lori Copeland'],2009,['Fiction'],"Stranded in a flooded town overcome by a violent disease, teacher Audrey Pride helps to care for the sick while realizing her growing attraction to a widower in spite of his continuing bitterness over the death of his wife.",N/A,N/A,en
A Bride in the Bargain,['Deeanne Gist'],2009,['Christian'],"In 1860s Seattle, redwoods were plentiful but women scarce. Yet a man with a wife could secure 640 acres of timberland for free. Joe Denton doesn't have a wife, though. His died before she could follow him to Seattle, and now the local judge is threatening to take away his claim. In desperation, he buys himself a Mercer bride -- one of the eastern widows and orphans brought to the Territory by entrepreneur Asa Mercer. Anna Ivey's journey west with Mercer is an escape from the aftermath of the Civil War. She signed on to become a cook, and when she's handed over to Denton, her stubborn refusal to wed jeopardizes his land. With only a few months before he loses his claim, can he convince this provoking, but beguiling, easterner to become his lawfully wedded wife;",N/A,N/A,en
From Faith to Faith,"['Kenneth Copeland', 'Gloria Copeland']",2012-09-25,['Christian'],"Now you can have a word of encouragement a word of inspiration a word of faith every day of the year! Written by Kenneth and Gloria Copeland, ""From Faith to Faith Gift Edition"" daily devotional deals with real living. From their own experience, the Copelands know the fight of faith isn't won overnight. It's won little by little in the practical territory of everyday life. ""From Faith to Faith Gift Edition"" talks about the struggles you face every day struggles with weariness, irritation, children, finances, even overeating. Kenneth and Gloria show you how, by applying the Word of God, you can make major changes for victory in every area of your life. Just think breakfast, your Bible, and a big word of encouragement and faith from Kenneth and Gloria Copeland every day of the year. You will grow ""From Faith to Faith.""",N/A,N/A,en
Where My Heart Belongs,['Tracie Peterson'],2007,['Fiction'],The tale of the prodigal plays out between two sisters. Kathy struggles with feelings of betrayal when Amy shows up years after abandoning the family's Kansas farm.,N/A,N/A,en
Shadowlands,['William Nicholson'],1991,['Authors'],"William Nicholsons Tony nominated stage adaptation of his award-winning BBC Teleplay relates the story of shy Oxford don and childrens author C.S. Lewis and American poet Joy Gresham. Shadowlands shows how love, and the risk of loss, transformed this great mans relationships, even with God. A full-cast production featuring: Arthur Hanket, Harriet Harris, Nicholas Hormann, Martin Jarvis, Christopher Neame, Kenneth Schmidt and W. Morgan Sheppard.",N/A,N/A,en
"Missing, The",['Beverly Lewis'],2009-09-01,['Fiction'],"Longing to find her missing mother and uncover the secrets that led to her leaving three weeks earlier, Grace befriends the non-Amish Heather, and the two travel together in hopes of finding Grace's mother and bringing her home.",N/A,N/A,en
Every Secret Thing,['Ann Tatlock'],2008,['Fiction'],"When Elizabeth Gunnar accepts a teaching position at the preparatory school she attended as a girl, she is returning to memories, mysteries, and an old love. Once there, she finds that God somehow takes four broken people and forms a new, complete family.",N/A,N/A,en
As the Tide Comes In,['Cindy & Erin Woodsmall Woodsmall'],N/A,['Christian'],"From splintered roots she built an unexpected life. A beautiful one. Will an unshakable nightmare steal it all away? After an unthinkable loss sends Tara Abbott's life spiraling out of control, she flees North Carolina for Georgia's St. Simons Island. Although confused and scared, she hopes to find answers about her past-her life before the years of foster care and raising her two half brothers. But there among moss-clad live oaks and along pristine beaches, her disorientation blurs the lines between imagination and reality, past and present. Will she find steady ground on the island with the help of an eccentric but kind-hearted group of older women called the Glynn Girls and a determined firefighter? Or will the truth take what's left of her identity out with the tide?",N/A,N/A,en
The Maverick,['Lori Copeland'],2019-09-13,['Fiction'],"Award-winning inspirational novelist Lori Copeland sets this tale of adventure, faith, romance, and humor on the 1870s Kansas-Missouri frontier. When devious spitfire Susanne McCord convinces Papa that Cass Claxton sullied her virtue, the ensuing shotgun wedding provides the escort she wants for her trek to St. Louis. At journey's end, the hostile travelers part-vowing to annul their paper marriage. Six years later, Susanne desperately seeks refuge for nine orphans. But when her only hope lies in unfriendly hands, she uses a clever strategy to rope a maverick named Claxton.",N/A,N/A,en
Hidden,['Shelley Shepard Gray'],2008,['Fiction'],"Fleeing from the abusive boyfriend who has completely won over her parents, Anna hides at an Amish country bed-and-breakfast run by a childhood friend and finds herself in an unlikely relationship with her friend's disapproving older brother. (Religious Fiction)",N/A,N/A,en
A Measure of Mercy,['Lauraine Snelling'],2009,['Christian'],"Eighteen-year-old Astrid Bjorklund has always dreamed of becoming a doctor. She had intended to study medicine in Chicago or Grand Forks, but when a disaster wiped out a major portion of her family's income, Astrid stayed home instead, receiving hands-on training from Dr. Elizabeth. Joshua Landsverk left Blessing two years ago, but he's never forgotten Astrid. Returning to town, he seeks to court her. Astrid is attracted to him, and when the opportunity unexpectedly opens for her to go to Chicago for medical training, she finds it difficult to leave. Love blossoms through their letters, but upon her return to Blessing, she makes a heartbreaking discovery. Will she have to give up love to pursue her dream;",N/A,N/A,en
The Drifter,['Lori Copeland'],2019-07-02,[],"This is the story of Beau Claxton, a cowboy who finds himself obliged to a young widow after she saves him from near death on the prairie. Beau and Charity face the difficulties of life on the prairie and ultimately find joy and hope.",N/A,N/A,en
