title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Mere Christianity,['Clive Staples Lewis'],1952,['Religion'],"""Mere Christianity"" is the most popular of C. S. This book brings together Lewis's legendary radio broadcast talks in which he set out simply ""to explain and defend the belief that has been common to nearly all Christians at all times"". Rejecting the boundaries that divide Christianity's many denominations, ""Mere Christianity"" is Lewis's term for the essential Christian message--the theological core on which diverse Christian traditions can stand together.",N/A,N/A,en
Fundamentalism and American Culture,['George M. Marsden'],1982,['History'],"Chronicles the history of the fundamentalist movement in the United States and discusses how the social, political, and intellectual aspects of Protestant fundamentalism affected the movement.",4,N/A,en
The Kingdom of God is Within You,['graf Leo Tolstoy'],1913,['Christianity'],N/A,N/A,N/A,en
Concise Theology,['J. I. Packer'],2001-02,['Religion'],"Theology matters! At last it can be understood easily, thanks to this “layman's language” approach to biblical belief. Authored by J. I. Packer, one of the premier theologians of Christianity, this summary of Christian teaching covers nearly 100 major Christian beliefs from a Reformed perspective. Brief, easy-to-understand chapters offer precise descriptions without sacrificing depth. Thoughtfully arranged and refreshingly readable, this is a book that belongs on the shelf of every Christian.",5,N/A,en
Christianity in China,['Daniel H. Bays'],1996,['History'],"This pathbreaking volume will force a reassessment of many common assumptions about the relationship between Christianity and modern China. The overall thrust of the twenty essays is that despite the conflicts and tension that often have characterized relations between Christianity and China, in fact Christianity has been, for the past two centuries or more, putting down roots within Chinese society, and it is still in the process of doing so. Thus Christianity is here interpreted not just as a Western religion that imposed itself on China, but one that was becoming a Chinese religion, as Buddhism did centuries ago. Eschewing the usual focus on foreign missionaries, as is customary, this research effort is China-centered, drawing on Chinese sources, including government and organizational documents, private papers, and interviews. The essays are organized into four major sections: Christianitys role in Qing society, including local conflicts (6 essays); ethnicity (3 essays); women (5 essays); and indigenization of the Christian effort (6 essays). The editor has provided sectional introductions to highlight the major themes in each section, as well as a general Introduction.",N/A,N/A,en
The Gospel in a Pluralist Society,['Lesslie Newbigin'],1989-10-30,['Religion'],INSPIRATIONAL,4,N/A,en
The Genius of Christianity,"['François-René vicomte de Chateaubriand', 'Charles Ignatius White']",1884,['Art and religion'],N/A,N/A,N/A,en
The New Answers Book 1,['Ken Ham'],2007-01-15,['Religion'],"Christians live in a culture with more questions than ever - questions that affect one's acceptance of the Bible as authoritative and trustworthy. Now, discover easy-to-understand answers that reach core truths of the Christian faith and apply the biblical worldview to a wide variety of subjects.",N/A,N/A,en
The Essence of Christianity,['Ludwig Feuerbach'],1855,['Christianity'],N/A,3,N/A,en
The Marketplace of Christianity,"['Robert Burton Ekelund', 'Robert F. Hébert', 'Robert D. Tollison']",2006,['Business & Economics'],"The Marketplace of Christianity applies the tools of economic theory to illuminate the emergence of Protestantism in the sixteenth century and to examine contemporary religion-influenced issues, including evolution and gay marriage. --From publisher's description.",N/A,N/A,en
Paul and Jesus,['James D. Tabor'],2013-11-26,['Art'],Draws on St. Paul's letters and other early sources to reveal the apostles' sharply competing ideas about the significance of Jesus and his teachings while demonstrating how St. Paul independently shaped Christianity as it is known today.,N/A,N/A,en
"""The Kingdom of God is Within You""",['graf Leo Tolstoy'],1894,['Christianity'],N/A,4,N/A,en
Religio Medici,['Sir Thomas Browne'],1883,['Christian ethics'],N/A,N/A,N/A,en
The Bible Exposition Commentary,['Warren W. Wiersbe'],2003,['Religion'],Volume 6 of the Bible Exposition Commentary 6-volume set,5,N/A,en
