title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Church Dogmatics,"['Karl Barth', 'Thomas Forsyth Torrance']",2004,['Religion'],N/A,N/A,N/A,en
The Churches the Apostles Left Behind,['Raymond Edward Brown'],1984,['Religion'],This book is a study of seven very different churches in the New Testament period after the death of the apostles.,N/A,N/A,en
The Concise Oxford Dictionary of the Christian Church,"['E. A. Livingstone', 'Elizabeth A. Livingstone']",2013-09-12,['Reference'],"Based on the acclaimed 'Oxford Dictionary of the Christian Church', this is a guide for both students and the general reader. It contains over 5,000 entries, and is suitable for those with an interest in Christianity.",N/A,N/A,en
Beginning from Jerusalem,['James D.G. Dunn'],2009-03-16,['History'],"Beginning from Jerusalem covers the early formation of the Christian faith from 30 to 70 C.E. After outlining the quest for the historical church (parallel to the quest for the historical Jesus) and reviewing the sources, James Dunn follows the course of the movement stemming from Jesus beginning from Jerusalem. / He opens with a close analysis of what can be said of the earliest Jerusalem community, the Hellenists, the mission of Peter, and the emergence of Paul. Then Dunn focuses solely on Paul the chronology of his life and mission, his understanding of his call as apostle, and the character of the churches that he founded. The third part traces the final days and literary legacies of the three principal figures of first-generation Christianity: Paul, Peter, and James the brother of Jesus. Each section includes detailed interaction with the vast wealth of secondary literature on the many subjects covered.",N/A,N/A,en
The Church in the Power of the Spirit,['Jürgen Moltmann'],1977,['Religion'],N/A,N/A,N/A,en
The Didache,['Aaron Milavec'],2003,['Religion'],"""In this study, Aaron Milavec comprehensively examines how the first-century pastoral manual known as the Didache enumerated the step-by-step training of converts for the full, active participation in the earliest Jewish-Christian communities. Milavec shows how the Didache can, in turn, illuminate our understanding of how these first Christian men and women organized their community life socially, religiously, and politically in order to safeguard its members from the challenges of the surrounding Roman, pagan society of the first-century Mediterranean basin. He argues not only that the Didache's textual and contextual clues demonstrate the document's organic unity from beginning to end, but also that it dates from a period before the gospels were written and had gained acceptance.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved",N/A,N/A,en
The First Coming,['Thomas Sheehan'],1986,['Philosophy'],N/A,N/A,N/A,en
Lectures on the History of the Eastern Church,['Arthur Penrhyn Stanley'],1862,['Church'],N/A,N/A,N/A,en
Ascension and Ecclesia,['Douglas Farrow'],1999-11,['Religion'],"Recent theology offers few attempts to come to grips with the meaning and implications of the ascension of Jesus. Ascension and Ecclesia promises to refocus attention on this crucial Christian doctrine. Farrow begins with a discussion of the biblical treatment of the ascension and eucharistic celebration, from which emerges a unique ecclesial worldview. Succeeding chapters explore the link between the ascension, cosmology, and ecclesiology and examine the difficulties faced by the doctrine of ascension in our modern scientific world.",N/A,N/A,en
Saeculum,"['R. A. Markus', 'Robert Austin Markus']",1988,['Biography & Autobiography'],The main concern of this book is with those aspects of Augustine's thought which help to answer questions about the purpose of human society.,N/A,N/A,en
