title,authors,publishedDate,categories,description,averageRating,textSnippet
The Little Prince,['Antoine de Saint-Exupéry'],1995,['Juvenile Fiction'],The story of an airman's discovery in the desert of a small boy from another planet.ther planet._,4.5,N/A
The Mystery of the Blue Train,['Agatha Christie'],1985,['Fiction'],"A BBC full-cast radio drama starring Maurice Denham as the great Belgian detective. A millionaire strikes a deal on the seedier side of Paris and gives to his heartsick daughter, Ruth Kettering, the ""Heart of Fire,"" one of the world's legendary jewels. Legend has it that the possession of the jewel leads to death - but despite her father's protests, young Ruth decides to take it with her on the Blue Train to the French Riviera, where she has planned a reunion with her former lover. A few days into the journey, Ruth is found dead and her priceless rubies stolen. The suspects line up: could the murderer be Derek, her weak and greedy husband; Ruth's former lover, the Comte de la Roche; or the beautiful but tempestuous dancer Mirelle? Only master sleuth Hercule Poirot can unravel the mystery and find the truth.",N/A,N/A
Lord Edgware Dies,['Agatha Christie'],1984,['Fiction'],"John Moffatt stars as the great Belgian detective in this BBC Radio full-cast dramatization. ""Monsieur Poirot, somehow or other I've just got to get rid of my husband!"" No sooner had she uttered the words than Lady Edgware's husband was dead, brutally stabbed in the neck. The evidence against her is overwhelming, the case cut and dried. But what was the truth behind it all? What enemies lurked in the background of the victim's life? Hercule Poirot is on the case, intrigued once more, ready to investigate murder in the library...",N/A,N/A
A Translation of the First Book of Ovid's Tristia,['Ovid'],1821,['Classic'],N/A,N/A,N/A
David Balfour,['Robert Louis Stevenson'],1994,['Fiction'],"The further adventures of David Balfour in which he continues his friendship with Alan Breck Stewart and support of the Scottish highlanders' cause, travels abroad to complete his education, and finds romance.",N/A,N/A
Little Lord Fauntleroy,['Frances Hodgson Burnett'],1994,['Juvenile Fiction'],"Burnett's conviction that love conquers all is memorably embodied in this tale of an American boy who is transported from the mean streets of 19th-century New York to the splendor of his titled grandfather's English manor. ""Compellingly readable."" - Horn Book.",N/A,N/A
The Mayor of Casterbridge,['Thomas Hardy'],1978,['Fiction'],"From the stunning opening wife-selling scene (at one time a not uncommon phenomenon in England) to the final playing out his tragedy, Michael Henchard proves to be violent, selfish, greedy and crude. At the same time he possesses magnanimity, humility and a comparison that always pleased Hardy.",N/A,N/A
The Canterbury Tales,"['Geoffrey Chaucer', 'David Wright']",2008,['Fiction'],A group of pilgrims entertain each other with stories on the road to Canterbury.,N/A,N/A
The Power and the Glory,['Graham Greene'],1982,['Fiction'],"In a poor, remote section of southern Mexico, the Red Shirts have taken control, God has been outlawed, and the priests have been systematically hunted down and killed. Now, the last priest strives to overcome physical and moral cowardice in order to find redemption. 240 pp.",N/A,N/A
The Time Machine,['H. G. Wells'],2005-05-31,['Fiction'],"The first and greatest portrayal of time travel is printed with a newly established text, a full biographical essay on Wells, a list of further reading, and detailed notes.",N/A,N/A
The Murder at the Vicarage,['Agatha Christie'],1984,['Fiction'],"Colonel Protheroe, St. Mary Mead's most loathed magistrate, has been found shot through the head. It isn't his murder that raises eyebrows, but rather the scandalous secrets it exposes which send Miss Marple on the trail of a killer with something to hide. Reissue.",3.5,N/A
