title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Munch,"['Steffen Kverneland', 'Johann Ulrich']",2013,['Comic'],N/A,N/A,N/A,de
Manga! Manga!,['Frederik L. Schodt'],1986,['Art'],"Illustrated with the most representative examples of the genre, this book in English explores the world of Japanese comics. Since first published in 1983, Manga! Manga!: The World of Japanese Comics has been the book to read for all those interested in Japanese comics. It is virtually the bible' from which all studies and appreciation of manga begins. More than that, given the influence of Japanese manga on animation and on American-produced comics as well, Manga! Manga! provides the background against which these other arts can be understood. The book includes 96 pages'",N/A,N/A,en
Comic Transformations in Shakespeare,['Ruth Nevo'],1980,['Drama'],"In this study of Shakespeare's ten early comedies, from ""The Comedy of Errors"" to ""Twelfth Night,"" the concept of a dynamic of comic form is developed.",N/A,N/A,en
Dragon Ball,['Akira Toriyama'],2001,['Juvenile Fiction'],"Recounts the adventures of Son Goku, a boy martial artist with a monkey tail, and his friends as they search for the seven magical Dragon Balls, in a graphic novel that reveals the early days of the heroes of ""Dragon Ball Z.""",N/A,N/A,en
Hilda and the Mountain King,['Luke Pearson'],2021-06,['JUVENILE FICTION'],"""We rejoin our heroine for her latest adventure just as she awakes to find herself ... in the body of a troll! Her mother is worried sick, and is perplexed by the strange creature that seems to have taken Hilda's place. Now, both of them are in a race to be reunited before Ahlberg and his safety patrol get the chance to use their new secret weapon to lay waste to the trolls, and Hilda along with them!""--Provided by publisher.",N/A,N/A,en
Like a Velvet Glove Cast in Iron,['Daniel Clowes'],2017,['Comic'],"This is a redesigned reprint of Daniel Clowes's early, unsettling graphic novel.",N/A,N/A,en
The Language of Humour,['Walter Nash'],2001,['Comic'],N/A,N/A,N/A,en
"Cartoonists, Works, and Characters in the United States Through 2005",['John Lent'],2006-04-30,['Art'],"This penultimate work in John Lent's series of bibliographies on comic art gathers together an astounding array of citations on American cartoonists and their work. Author John Lent has used all manner of methods to gather the citations, searching library and online databases, contacting scholars and other professionals, attending conferences and festivals, and scanning hundreds of periodicals. He has gone to great length to categorize the citations in an easy-to-use, scholarly fashion, and in the process, has helped to establish the field of comic art as an important part of social science and humanities research. The ten volumes in this series, covering all regions of the world, constitute the largest printed bibliography of comic art in the world, and serve as the beacon guiding the burgeoning fields of animation, comics, and cartooning. They are the definitive works on comic art research, and are exhaustive in their inclusiveness, covering all types of publications (academic, trade, popular, fan, etc.) from all over the world. Also included in these books are citations to systematically-researched academic exercises, as well as more ephemeral sources such as fanzines, press articles, and fugitive materials (conference papers, unpublished documents, etc.), attesting to Lent's belief that all pieces of information are vital in a new field of study such as comic art.",N/A,N/A,en
"Keeper of the Lost Cities - Die Graphic Novel, Teil 1 (Keeper of the Lost Cities)",['Shannon Messenger'],2024,[],N/A,N/A,N/A,de
Top Shelf Asks the Big Questions,"['Brett Warnock', 'Robert Goodin']",2003,['Comics & Graphic Novels'],"Edited by Brett Warnock and Robert Goodin, this issue of Top Shelf includes Alan Moore and Melinda Gebbie's banned DC Comics ""Cobweb"" story; a Peanuts tribute featuring Chris Ware, Seth, and a host of other cartoonists; a brand new section by the Swiss avant-garde cartoonist collective Arta Bile; an excerpt of a graphic novel by Martin Tom Dieck; new contributions by the entire Robot Publishing gang (a group of professional animators led by Robert Goodin who make amazing comics); an interview with David Chelsea that includes a portfolio; and new strips by Steve Weissman, James Kochalka, Matt Madden, James Sturm, Mack White, and many more!",N/A,N/A,en
