title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Words and Minds,['Neil Mercer'],2000,['Language Arts & Disciplines'],Words and Minds takes a lively and accessible look at the evolution of language and how we use language in joint activities.,N/A,N/A,en
Rumor Psychology,"['Nicholas DiFonzo', 'Prashant Bordia']",2007,['Business & Economics'],"In """"Rumor Psychology: Social and Organizational Approaches"""", expert rumor researchers Nicholas DiFonzo and Prashant Bordia investigate how rumors start and spread, the accuracy of different types of rumor, and how rumors can be controlled, particularly given their propagation across media outlets and within organizations. Rumors are an enduring feature of our social and organizational landscapes. They attract attention, evoke emotion, incite involvement, affect attitudes and actions - and they are ubiquitous. Rumor transmission is motivated by three broad psychological motivations - fact-finding, relationship-enhancement, and self-enhancement - all of which help individuals and groups make sense in the face of uncertainty. Rumor is closely entwined with a host of social and organizational phenomena, including social cognition, attitude formation and maintenance, prejudice and stereotyping, group dynamics, interpersonal and intergroup relations, social influence, and organizational trust and communication. Organizational rumors, in contrast with natural disaster rumors, tend to be highly accurate, with accuracy being affected by cognitive, motivational, situational, group, and network factors. DiFonzo and Bordia describe how managers can most effectively manage and refute rumors and infer that employee trust in management inhibits rumor activity.",N/A,N/A,en
Toward a Philosophy of the Act,['Mikhail Mikhaĭlovich Bakhtin'],1993,['Language Arts & Disciplines'],"Toward a Philosophy of the Act contains the first occurrences of themes that occupied Bakhtin throughout his long career. The topics of authoring, responsibility, self and other, the moral significance of ""outsideness,"" participatory thinking, the implications for the individual subject of having ""no-alibi in existence,"" the relation between the world as experienced in actions and the world as represented in discourse - all are broached here in the white heat of discovery.",N/A,N/A,en
Empire and Information,['Christopher Alan Bayly'],1996,['History'],"In a penetrating account of the evolution of British intelligence gathering in India, C. A. Bayly shows how networks of Indian spies were recruited by the British to secure military, political and social information about their subjects. He also examines the social and intellectual origins of these 'native informants', and considers how the colonial authorities interpreted and often misinterpreted the information they supplied. It was such misunderstandings which ultimately contributed to the failure of the British to anticipate the rebellions of 1857. The author argues, however, that even before this, complex systems of debate and communication were challenging the political and intellectual dominance of the European rulers.",N/A,N/A,en
A Dictionary of Media and Communication,"['Daniel Chandler', 'Rod Munday']",2020,['Communication'],"This authoritative and up-to-date A-Z covers all aspects of interpersonal, mass, and networked communication in over 3500 entries, including digital and mobile media, advertising, journalism, social media, and nonverbal communication.--Provided by publisher.",N/A,N/A,en
Theories of the Information Society,['Frank Webster'],2007-01-24,['Social Science'],"Coping in an era of information flows, of virtual relationships and breakneck change poses challenges to one and all. In Theories of the Information Society Frank Webster makes sense of the information explosion, taking a sceptical look at what thinkers mean when they refer to the 'Information Society' and critically examines the major post-war theories and approaches to informational development. This third edition brings the book right up to date with both new theoretical work and, social and technological changes (such as the rapid growth of the Internet and accelerated globalization), reassessing the work of key theorists in light of these changes. This book is essential reading for students of contemporary social theory and anybody interested in social and technological change in the post-war era. It addresses issues of central concern to students of sociology, politics, communications, information science, cultural studies, computing and librarianship.",N/A,N/A,en
Linguistic Anthropology,['Alessandro Duranti'],1997-09-04,['Language Arts & Disciplines'],"Alessandro Duranti introduces linguistic anthropology as an interdisciplinary field which studies language as a cultural resource and speaking as a cultural practice. The theories and methods of linguistic anthropology are introduced through a discussion of linguistic diversity, grammar in use, the role of speaking in social interaction, the organisation and meaning of conversational structures, and the notion of participation as a unit of analysis. Linguistic Anthropology will appeal to undergraduate and graduate students.",3,N/A,en
Gatekeeping Theory,"['Pamela J. Shoemaker', 'Timothy Vos']",2009-09-10,['History'],Gatekeeping Theory examines the process by which the billions of messages that are available in today's media world get cut down and transformed into the hundreds of messages that reach a given person on a given day.,N/A,N/A,en
The Art of Making Relationships,['Saha Nathan'],2005-06,['Family & Relationships'],"Do you find yourself constantly at odds with your significant other? Are you frustrated by the lack of communication with your friends? Our relationships impact our lives in a variety of ways, and it is imperative to learn how to spot potential problems before they lead to disputes. Let renowned relationship management expert Saha Nathan show you how to improve your relationships at work, at home, and with your friends. In The Art of Making Relationships, author Saha Nathan explains: § The importance of relationships § How to plan and cultivate healthy relationships § How to discover your soul mate § How to cultivate a long-lasting relationship with your soul mate § The warning signs of relationship breakdown § How meditation can improve all aspects of your relationship With his easy-to-read style and proven techniques, Nathan teaches how to bridge the communication gap. Strengthen your existing relationships and forge new ones with The Art of Making Relationships!",N/A,N/A,en
"Living, Loving & Learning",['Leo F. Buscaglia'],1982,['Communication'],A collection of his lectures between 1970 and 1981.,N/A,N/A,en
The Interpretation of Dialogue,['Tulio Maranhao'],1990-02-13,['Language Arts & Disciplines'],"This superb collection offers an array of rich variations on a theme central to a multitude of disciplines: the nature of dialogue. Drawing on literary, philosophical, and linguistic concepts, the essays range from broad questions of the representation of knowledge and interpretation of meaning to case studies of dialogue's function in specific fields.",N/A,N/A,en
Introduction to Communication Course Book 1,['S. Steinberg'],1995,['Business & Economics'],"Introduces history and basics of human communication, covering the communication process, functions of communication, language and communication, non-verbal communication, interpersonal communication, listening, public speaking, and mass communication.",5,N/A,en
Content Analysis,['Klaus Krippendorff'],1980-10,['Language Arts & Disciplines'],History; Conceptual foundations; Uses and kinds of inference; The logic of content analysis designs; Unitizing; Sampling; Recording; Data languages; Constructs for inference; Analytical techniques; The use of computers; Reliability; Validity; A practical guide.,N/A,N/A,en
