title,authors,publishedDate,categories,description,averageRating,textSnippet
Ada und die Gleichung des Glücks,['Sienna David'],2022-08-26,['Fiction'],N/A,N/A,N/A
Arduino-Workshops,['John Boxall'],2013,[],N/A,N/A,N/A
Das Buch zu Android-Tablets,['Hans Dorsch'],2015-04-30,['Android (Electronic resource)'],N/A,N/A,N/A
CHECKER TOBI - Der große Digital-Check,['Gregor Eisenbeiß'],2021-03,[],N/A,N/A,N/A
IPad zwei,['Paul McFedries'],2011-09-06,['Computers'],"Wollen Sie noch mehr aus Ihrem iPad herausholen? Dann lernen Sie hier, wie Sie mit dem iPad noch effizienter arbeiten können um das Beste aus ihm rauszuholen.",N/A,N/A
Zukünfte des Computers,['Claus Pias'],2005,['Computer'],N/A,N/A,N/A
Das Buch zu Android-Tablets,['Hans Dorsch'],2015,['Android (Electronic resource)'],N/A,N/A,N/A
Das intelligente Haus - Heimautomation mit Arduino und Android und PC,['Mike Riley'],2012-08,['Computer'],"In Das intelligente Haus -- Heimautomation mit Arduino, Android und PC fuhrt Sie der Technologie-begeisterte Autor Mike Riley durch eine Reihe von Heimautomations-Projekten - von einer Telefon-App, die Sie informiert, wenn ein Paket vor Ihrer Haustur abgelegt wurde, bis zu einem elektronischen Wachhund, der unerwunschte Besucher fernhalt.Geekige ProjekteOffnen Sie Turen mit Ihrem Smartphone. Bauen Sie ein Vogelhauschen, das sich via Twitter meldet, wenn die Vogel zum Fressen kommen oder das Futter ausgeht. Lassen Sie Ihr Haus sprechen, wenn Sie eine E-Mail erhalten, Besucher kommen und vieles mehr.Spannende ProjekteSie werden lernen, wie Sie Android-Smartphones, Arduinos und eine ganze Reihe von Sensoren, Servos, Programmiersprachen, Web-Frameworks und mobile SDKs einsetzen. Das intelligente Haus -- Heimautomation mit Arduino, Android und PC ist fur Smartphone-Programmierer, Webentwickler, Technik-Bastler und alle anderen, die Spa daran haben, als Heimwerker spannende elektronische Projekte zu verwirklichen.Innovative ProjekteDieses Buch soll Sie inspirieren und Ihnen die notwendigen Fertigkeiten zum Bauen erstaunlicher Automationsprojekte vermitteln, so dass Sie Ihr Haus in das intelligenteste Haus der ganzen Nachbarschaft verwandeln konnen!Was Sie brauchenUm Das intelligente Haus -- Heimautomation mit Arduino, Android und PC richtig einsetzen zu konnen, sollte Ihnen die Arduino-Plattform nicht ganz fremd sein und Sie sollten Spa am Basteln haben. Und naturlich sollten Sie neugierig sein und dazulernen wollen. Auch ein bisschen Erfahrung bei der Anwendungsentwicklung ist nicht verkehrt.",N/A,N/A
Intelligente Haus? Heimautomation mit Arduino und Android und PC,['Mike Riley'],2012,[],N/A,N/A,N/A
Sketches of Thought,['Vinod Goel'],1995,['Psychology'],"Much of the cognitive lies beyond articulate, discursive thought, beyond the reach of current computational notions. In Sketches of Thought, Vinod Goel argues that the cognitive computational conception of the world requires our thought processes to be precise, rigid, discrete, and unambiguous; yet there are dense, ambiguous, and amorphous symbol systems, like sketching, painting, and poetry, found in the arts and much of everyday discourse that have an important, non-trivial place in cognition. Goel maintains that while on occasion our thoughts do conform to the current computational theory of mind, they often are - indeed must be - vague, fluid, ambiguous, and amorphous. He argues that if cognitive science takes the classical computational story seriously, it must deny or ignore these processes, or at least relegate them to the realm of the nonmental. Along the way, Goel makes a number of significant and controversial interim points. He shows that there is a principled distinction between design and nondesign problems, that there are standard stages in the solution of design problems, that these stages correlate with the use of different types of external symbol systems, that these symbol systems are usefully individuated in Nelson Goodman's syntactic and semantic terms, and that different cognitive processes are facilitated by different types of symbol systems.",N/A,N/A
Raspberry Pi für Kids,['Michael Weigend'],2014,['Computer'],"Einzige Anleitung zur beliebten Platine für Kids und jüngere Leser Projekte aus Wissenschaft und Technik: Autosimulator, interaktive Animationen und Spiele, Sensoren, Verarbeitung von Kamerabildern, Steuerung von Leuchtdioden und Funksteckdosen Einfache Programmierbeispiele mit Scratch und Python Du findest Elektronik und Computertechnik spannend? Du hast Spaß daran, Spiele zu programmieren und Leuchtdioden zum Blinken zu bringen? Du möchtest neuartige Geräte mit Kamera und Sensoren entwickeln? Dann ist der Raspberry Pi genau das Richtige für dich! Du wirst damit Dinge machen können, zu denen der Laptop deiner Eltern nicht in der Lage ist. Der Raspberry Pi ist ein kleiner Computer zum Basteln und Erfinden. Das Besondere daran ist, dass du ihn verändern und erweitern kannst: Im Prinzip baust du bei jedem Projekt deine eigene Maschine, so wie du sie für deine Zwecke brauchst. Das Buch besteht aus drei Teilen: Im ersten Teil machst du den Raspberry Pi einsatzbereit. Du erfährst, wie du damit im Internet surfen, Musik hören und Filme ansehen kannst. Im zweiten Teil steigst du in die Programmierung mit Scratch ein und entwickelst Spiele, einen Autosimulator und prüfst, wie viel Fruchtsaft in einer Limonade ist. Im dritten Teil lernst du die Programmiersprache Python kennen. Du schreibst Programme, die Blinkmuster und Buchstaben auf einer LED-Matrix erzeugen, Haushaltsgeräte ein- und ausschalten, mit Ultraschall Hindernisse im Dunkeln erkennen, Morsezeichen senden oder mit Sensoren Temperaturen messen. Mit einer Kamera beobachtet dein Raspberry Pi den Garten und wertet das Livebild automatisch aus. Im letzten Kapitel geht es darum, wie du den Raspberry Pi als Webserver einsetzen kannst. Am Ende jedes Kapitels findest du Aufgaben mit Lösungen und erhältst so weitere Anregungen für deine eigenen Projekte. Zum Download: Zwei Bonuskapitel und der Code für alle Projekte Ab 12 Jahre, aber auch für Erwachsene, die eine wirklich einfache Einführung suchen. Aus dem Inhalt: Von der Hauptplatine zum lauffähigen Computer Den Raspberry Pi das erste Mal starten und konfigurieren Der Raspberry Pi als Mediecenter und Kiosk Autorennen und Meteore - Wie programmiert man Scratch? Animierte Geschichten Projekte mit dem PicoBoard Interaktive Spiele und Simulatoren Das erste Python-Skript Was blinkt denn da? Mit dem Raspberry Pi Leuhtdioden steuern Datensammlungen verarbeiten LCD-Anzeigen Temperaturmessung und Hausautomatisierung Projekte mit der Kamera Stets zu Diensten...",N/A,N/A
Embedded Linux lernen mit dem Raspberry Pi,['Jürgen Quade'],2014,[],N/A,N/A,N/A
Measuring Computer Performance,['David J. Lilja'],2005-09-08,['Computers'],Sets out the fundamental techniques used in analyzing and understanding the performance of computer systems.,5,N/A
Computer und Psyche,['Alexander Krafft'],1988,['Anxiety'],N/A,N/A,N/A
Computers in Your Future,['Marilyn Wertheimer Meyer'],1997,['Computers'],This work covers hardware before software to help students build a foundation for later concepts such as file management. Exercises include critical thinking questions.,N/A,N/A
Modeling with Technology,['David H. Jonassen'],2006,['Education'],"Well-known for addressing the use of computers to foster critical-thinking and problem solving, this text was written to teach current and future teachers how to better engage learners more mindfully and meaningfully in the process of learning. Available now in it's Third Edition, it focuses on how to use technology to support meaningful learning through model building, providing powerful strategies for engaging, supporting, and assessing coonceptual change in learners.",N/A,N/A
