title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Butterfly's Daughter,['Mary Alice Monroe'],2012-04-17,['Fiction'],"Now in paperback from ""New York Times""-bestselling author Monroe, the story of four very different women who embark on a transformational journey following the migrating monarchs across the United States.",N/A,N/A,en
David's Gift,['Kay Moser'],2000-10,['Fiction'],"David Randolph, owner of an international corporation, is one of Dallas' most admired men. His enormous wealth and power give him control over thousands of lives, including that of his beautiful wife, Caroline. From Texas to London to Tokyo, David wields his power ruthlessly just as his father taught him to.However, behind his facade of bravado, David is crumbling and tormented by nightmares. What is disturbing him so drastically? Why the anxiety, the doubts, the shattered self-image?Only David knows the truth about his first marriage and the death of his first wife, Danielle. Can he continue to hide the truth about his past deeds from Caroline? If he does, will he miss out on the greatest gift of his life?Can anyone or anything teach David that happiness grows from one's center to one's surface and that joy comes only when one gives oneself away?",N/A,N/A,en
Big Sky Mountain,['Linda Lael Miller'],2012-07-31,['Fiction'],"With his rugged good looks, vast wealth and family name, hell-raiser Hutch Carmody is still the golden boy of Parable, Montana. But he's done some growing up—making peace with his illegitimate half brother and inheriting half of Whisper Creek Ranch, which should have been all his. These days, Hutch knows there are some things money can't buy: like the heart of loving, ladylike divorcée Kendra Shepherd. Kendra's quiet mansion reminds her of what she wants most—a devoted husband and the pitter-patter of little feet. She can't get Hutch Carmody out of her mind. But a rough-and-tumble cowboy like Hutch, coming home for family dinner? Seems crazy! Then again, crazier dreams have become reality under the vast Montana sky.",4,N/A,en
Oxygen,['Nick Lane'],2002,['Health & Fitness'],"Oxygen offers fresh perspectives on our own lives and deaths, explaining modern killer diseases, why we age, and what we can do about it. Advancing revelatory new ideas, following chains of evidence, the book ranges through many disciplines, from environmental sciences to molecular medicine. Damage to DNA caused by oxidative stress appears to explain aging and many of its diseases, hence the popularity in alternative health circles of antioxidants. But antioxidants alone fail to prevent aging. Lane suggests two different avenues of study: modulation of the immune system, which generates free radicals as part of its defense against infectious diseases; and ways of improving the health of our cellular mitochondria, on which many age-related ailments seem to depend. Provocative and complexly argued. Copyright ©Kirkus Reviews, used with permission.",N/A,N/A,en
The Girls of Mischief Bay,['Susan Mallery'],2016-11-29,['Female friendship'],"Through romance and heartbreak, laughter and tears, the girls of Mischief Bay will discover that life is richer with friends at your side Nicole Lord wants to be a good wife, but there's a difference between being supportive and supporting her husband, who quit his job to write a screenplay she's never seen. He won't even help take care of their son, leaving Nicole to run the house and work full-time. Sacrificing a personal life for her career is how Shannon Rigg became a VP at her firm, but she wonders now whether she made the right choice. An exciting new relationship with a great guy convinces her that it might not be too late--until he drops a bombshell that has her questioning whether she really can have it all. Although Pam Eiland adores her husband, she feels restless now that the kids are grown. Finding sexy new ways to surprise him brings the heat and humor back to their marriage, but when unexpected change turns her life upside down, she'll have to redefine herself. Again. Through romance and heartbreak, laughter and tears, the girls of Mischief Bay will discover that life is richer with friends at your side.",N/A,N/A,en
Voices in the Night,['Steven Millhauser'],2015,['Fiction'],"""A new collection of sixteen stories that explore disturbing, magical, and delightful phenomena in everyday American life, and the deepest and darkest desires that we keep hidden from even ourselves""--",N/A,N/A,en
Sister Friends Forever,['Kimberla L. Roby'],2023-06-13,['Fiction'],"This emotional novel from a New York Times bestselling author follows four lifelong friends as each faces a crisis in family, love, and forgiveness. Serena, Michelle, Kenya, and Lynette have been best friends since they were small children. And as sister friends forever, they have always been there for one another, through good times and bad, no matter what. This year is a crucial turning point for each woman. Serena, still single, is questioning why love hasn't found her yet. Michelle is engaged and ready to walk down the aisle-until an old flame strolls back into her life. Kenya is happily married, but at the same time, her husband's ex-wife won't allow them or their family to live in peace. And Lynette's divorce from her cheating husband has her nervously dating for the first time in well over a decade. During this difficult period, their friendship will be tested like never before. Yet it is that sisterly love that they will need . . . more than ever.",N/A,N/A,en
A Season on the Wind,['Suzanne Woods Fisher'],2022,['Fiction'],"""Ben Zook had only two loves in his life: books and birds. In a stroke of good fortune, he'd stumbled onto a way to cobble together those two loves into a career, writing books about rare birds. He was as free as a bird--until a chase for a rare White-winged Tern takes him to the one place on earth he planned to never return: his Amish home in Stoney Ridge. Desperate for photographs of the elusive tern, Ben hires a local field guide, Micah Weaver, and boards at Micah's farm, planning to ""bag the bird"" and leave Stoney Ridge before anyone recognizes him. But he neglected to plan for Micah's sister, Penny. Ben. One long-ago summer, Penny had introduced Ben to birding, even sharing with him a hidden eagle aerie. That was when she knew true love. She'd always hoped he would come back to Stoney Ridge. Back to his Amish roots. Back to her. The only problem? Ben has absolutely no memory of Penny.Bestselling author Suzanne Woods Fisher welcomes her readers to the Amish community at Stoney Ridge in this engaging story of discovering just who the rare birds are in life""--",N/A,N/A,en
The Butterfly's Daughter,['Mary Alice Monroe'],2012-04-17,['Fiction'],"Now in paperback from ""New York Times""-bestselling author Monroe, the story of four very different women who embark on a transformational journey following the migrating monarchs across the United States.",N/A,N/A,en
Big Sky Mountain,['Linda Lael Miller'],2012-07-31,['Fiction'],"With his rugged good looks, vast wealth and family name, hell-raiser Hutch Carmody is still the golden boy of Parable, Montana. But he's done some growing up—making peace with his illegitimate half brother and inheriting half of Whisper Creek Ranch, which should have been all his. These days, Hutch knows there are some things money can't buy: like the heart of loving, ladylike divorcée Kendra Shepherd. Kendra's quiet mansion reminds her of what she wants most—a devoted husband and the pitter-patter of little feet. She can't get Hutch Carmody out of her mind. But a rough-and-tumble cowboy like Hutch, coming home for family dinner? Seems crazy! Then again, crazier dreams have become reality under the vast Montana sky.",4,N/A,en
