title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Big Sky Mountain,['Linda Lael Miller'],2012-07-31,['Fiction'],"With his rugged good looks, vast wealth and family name, hell-raiser Hutch Carmody is still the golden boy of Parable, Montana. But he's done some growing up—making peace with his illegitimate half brother and inheriting half of Whisper Creek Ranch, which should have been all his. These days, Hutch knows there are some things money can't buy: like the heart of loving, ladylike divorcée Kendra Shepherd. Kendra's quiet mansion reminds her of what she wants most—a devoted husband and the pitter-patter of little feet. She can't get Hutch Carmody out of her mind. But a rough-and-tumble cowboy like Hutch, coming home for family dinner? Seems crazy! Then again, crazier dreams have become reality under the vast Montana sky.",4,N/A,en
The Butterfly's Daughter,['Mary Alice Monroe'],2012-04-17,['Fiction'],"Now in paperback from ""New York Times""-bestselling author Monroe, the story of four very different women who embark on a transformational journey following the migrating monarchs across the United States.",N/A,N/A,en
David's Gift,['Kay Moser'],2000-10,['Fiction'],"David Randolph, owner of an international corporation, is one of Dallas' most admired men. His enormous wealth and power give him control over thousands of lives, including that of his beautiful wife, Caroline. From Texas to London to Tokyo, David wields his power ruthlessly just as his father taught him to.However, behind his facade of bravado, David is crumbling and tormented by nightmares. What is disturbing him so drastically? Why the anxiety, the doubts, the shattered self-image?Only David knows the truth about his first marriage and the death of his first wife, Danielle. Can he continue to hide the truth about his past deeds from Caroline? If he does, will he miss out on the greatest gift of his life?Can anyone or anything teach David that happiness grows from one's center to one's surface and that joy comes only when one gives oneself away?",N/A,N/A,en
Big Sky Mountain,['Linda Lael Miller'],2012-07-31,['Fiction'],"With his rugged good looks, vast wealth and family name, hell-raiser Hutch Carmody is still the golden boy of Parable, Montana. But he's done some growing up—making peace with his illegitimate half brother and inheriting half of Whisper Creek Ranch, which should have been all his. These days, Hutch knows there are some things money can't buy: like the heart of loving, ladylike divorcée Kendra Shepherd. Kendra's quiet mansion reminds her of what she wants most—a devoted husband and the pitter-patter of little feet. She can't get Hutch Carmody out of her mind. But a rough-and-tumble cowboy like Hutch, coming home for family dinner? Seems crazy! Then again, crazier dreams have become reality under the vast Montana sky.",4,N/A,en
The Girls of Mischief Bay,['Susan Mallery'],2016-11-29,['Female friendship'],"Through romance and heartbreak, laughter and tears, the girls of Mischief Bay will discover that life is richer with friends at your side Nicole Lord wants to be a good wife, but there's a difference between being supportive and supporting her husband, who quit his job to write a screenplay she's never seen. He won't even help take care of their son, leaving Nicole to run the house and work full-time. Sacrificing a personal life for her career is how Shannon Rigg became a VP at her firm, but she wonders now whether she made the right choice. An exciting new relationship with a great guy convinces her that it might not be too late--until he drops a bombshell that has her questioning whether she really can have it all. Although Pam Eiland adores her husband, she feels restless now that the kids are grown. Finding sexy new ways to surprise him brings the heat and humor back to their marriage, but when unexpected change turns her life upside down, she'll have to redefine herself. Again. Through romance and heartbreak, laughter and tears, the girls of Mischief Bay will discover that life is richer with friends at your side.",N/A,N/A,en
A Walk to Remember,['Nicholas Sparks'],2004-09,['Fiction'],"Every April, when the wind smells of both the sea and lilacs, Landon Carter remembers 1958, his last year at Beaufort High. Landon had dated a girl or two, and even once sworn that he'd been in love. Certainly the last person he thought he'd fall for was Jamie Sullivan, the shy, almost ethereal daughter of the town's Baptist minister ... Jamie, who was destined to show him the depths of the human heart--and the joy and pain of living.",N/A,N/A,en
The Priest,['Tiffany Reisz'],2020,['Electronic books'],"When a New Orleans parish priest is found dead of an apparent suicide, the police see no reason to investigate. Private detective Cyrus Tremont knows a cover-up when he sees it, however. A former cop, he's seen it all...or so he thought. Clues point him in the direction of Nora Sutherlin, an erotic romance writer who moonlights as a dominatrix. Together, they form an unlikely bond built on their shared need for justice. As Cyrus is drawn deeper into Nora's underground world of pleasure and pain, what lines will he cross to discover the truth about the priest? And what will he and Nora do with the truth once they find it?",N/A,N/A,en
A Season on the Wind,['Suzanne Woods Fisher'],2022,['Fiction'],"""Ben Zook had only two loves in his life: books and birds. In a stroke of good fortune, he'd stumbled onto a way to cobble together those two loves into a career, writing books about rare birds. He was as free as a bird--until a chase for a rare White-winged Tern takes him to the one place on earth he planned to never return: his Amish home in Stoney Ridge. Desperate for photographs of the elusive tern, Ben hires a local field guide, Micah Weaver, and boards at Micah's farm, planning to ""bag the bird"" and leave Stoney Ridge before anyone recognizes him. But he neglected to plan for Micah's sister, Penny. Ben. One long-ago summer, Penny had introduced Ben to birding, even sharing with him a hidden eagle aerie. That was when she knew true love. She'd always hoped he would come back to Stoney Ridge. Back to his Amish roots. Back to her. The only problem? Ben has absolutely no memory of Penny.Bestselling author Suzanne Woods Fisher welcomes her readers to the Amish community at Stoney Ridge in this engaging story of discovering just who the rare birds are in life""--",N/A,N/A,en
"Same Time, Next Year",['Debbie Macomber'],1995,['Contemporary'],"James Wilkens was almost a Manning groom--because he almost married one of the Manning sisters. With that broken engagement behind him, he spends New Year's Eve in Las Vegas where he meets Summer Lawton. She's just suffered a painful betrayal, and James promises her that in a year, she'll be over it. To prove his point, he makes a date to meet her in Vegas Same Time, Next Year.",N/A,N/A,en
We Shouldn't,"['Keeland, Vi']",2019,['Man-woman relationships'],"From #1 New York Times Bestseller Vi Keeland, comes a new, sexy standalone novel. Bennett Fox walked into my life on one hell of a crappy Monday morning. I was late for the first day at my new job--a job I'd now have to compete for even though I'd already worked eight years to earn it, because of an unexpected merger. While I lugged my belongings up to my new office, a meter maid wrote me a parking summons. She'd ticketed a long line of cars--except for the Audi parked in front of me, which happened to be the same make and model as mine. Annoyed, I decided to regift my ticket to the car that had evaded a fine. Chances were, the owner would pay it and be none the wiser. Except, I accidentally broke the windshield wiper while slipping the ticket onto the car's window. Seriously, my day couldn't get any worse.Things started to perk up when I ran into a gorgeous man in the elevator. We had one of those brief moments that only happened in movies. You know the deal...your body lights up, fireworks go off, and the air around you crackles with electricity. His heated stare left me flush when I stepped off the elevator. Maybe things here wouldn't be so bad after all. Or so I thought. Until I walked into my new boss's office and met my competition. The gorgeous man from the elevator was now my nemesis. His heated stare wasn't because of any mutual attraction. It was because he'd saw me vandalize his car. And now he couldn't wait to annihilate his rival. There's a fine line between love and hate--and we shouldn't cross it. We shouldn't--but straddling that line could be so much fun.",N/A,N/A,en
