title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Industrial Chocolate Manufacture and Use,['Steve T. Beckett'],2011-09-07,['Technology & Engineering'],"Since the third edition of this standard work in 1999, there has been a significant increase in the amount of chocolate manufactured worldwide. The fourth edition of Industrial Chocolate Manufacture and Use provides up-to-date coverage of all major aspects of chocolate manufacture and use, from the growing of cocoa beans to the packaging and marketing of the end product. Retaining the important and well-received key features of the previous edition, the fourth edition also contains completely new chapters covering chocolate crumb, cold forming technologies, intellectual property, and nutrition. Furthermore, taking account of significant changes and trends within the chocolate industry, much new information is incorporated, particularly within such chapters as those covering the chemistry of flavour development, chocolate flow properties, chocolate packaging, and chocolate marketing. This fully revised and expanded new edition is an essential purchase for all those involved in the manufacture and use of chocolate.",4,N/A,en
Street Food around the World,"['Bruce Kraig', 'Colleen Taylor Sen']",2013-09-09,['Cooking'],"In this encyclopedia, two experienced world travelers and numerous contributors provide a fascinating worldwide survey of street foods and recipes to document the importance of casual cuisine to every culture, covering everything from dumplings to hot dogs and kebabs to tacos. Street foods run deep throughout human history and show the movements of peoples and their foods across the globe. For example, mandoo, manti, momo, and baozi: all of these types of dumplings originated in Central Asia and spread across the Old World beginning in the 12th century. This encyclopedia surveys common street foods in about 100 countries and regions of the world, clearly depicting how ""fast foods of the common people"" fit into a country or a region's environments, cultural history, and economy. The entries provide engaging information about specific foods as well as coverage of vendor and food stall culture and issues. An appendix of recipes allows for hands-on learning and provides opportunities for readers to taste international street foods at home.",N/A,N/A,en
Curry,['Lizzie Collingham'],2006-02-06,['History'],"Curry serves up a delectable history of Indian cuisine, ranging from the imperial kitchen of the Mughal invader Babur to the smoky cookhouse of the British Raj. In this fascinating volume, the first authoritative history of Indian food, Lizzie Collingham reveals that almost every well-known Indian dish is the product of a long history of invasion and the fusion of different food traditions. We see how, with the arrival of Portuguese explorers and the Mughal horde, the cooking styles and ingredients of central Asia, Persia, and Europe came to the subcontinent, where over the next four centuries they mixed with traditional Indian food to produce the popular cuisine that we know today. Portuguese spice merchants, for example, introduced vinegar marinades and the British contributed their passion for roast meat. When these new ingredients were mixed with native spices such as cardamom and black pepper, they gave birth to such popular dishes as biryani, jalfrezi, and vindaloo. In fact, vindaloo is an adaptation of the Portuguese dish ""carne de vinho e alhos-""-the name ""vindaloo"" a garbled pronunciation of ""vinho e alhos""--and even ""curry"" comes from the Portuguese pronunciation of an Indian word. Finally, Collingham describes how Indian food has spread around the world, from the curry houses of London to the railway stands of Tokyo, where ""karee raisu"" (curry rice) is a favorite Japanese comfort food. We even visit Madras Mahal, the first Kosher Indian restaurant, in Manhattan. Richly spiced with colorful anecdotes and curious historical facts, and attractively designed with 34 illustrations, 5 maps, and numerous recipes, Curry is vivid, entertaining, and delicious--a feast for food lovers everywhere.",4,N/A,en
The Physiology of Taste,['Jean Anthelme Brillat-Savarin'],2009-10-06,['Cooking'],"A culinary classic on the joys of the table—written by the gourmand who so famously stated, “Tell me what you eat, and I will tell you what you are”—in a handsome new edition of M. F. K. Fisher’s distinguished translation and with a new introduction by Bill Buford. First published in France in 1825 and continuously in print ever since, The Physiology of Taste is a historical, philosophical, and ultimately Epicurean collection of recipes, reflections, and anecdotes on everything and anything gastronomical. Brillat-Savarin, who spent his days eating through the famed food capital of Dijon, lent a shrewd, exuberant, and comically witty voice to culinary matters that still resonate today: the rise of the destination restaurant, diet and weight, digestion, and taste and sensibility.",N/A,N/A,en
The Invention of the Restaurant,['Rebecca L. Spang'],2020-01-14,['History'],"As Spang explains, during the 1760s and 1770s, sensitive, self-described sufferers made public show of their delicacy by going to the new establishments known as “restaurateurs’ rooms” to sip bouillons. But these locations soon became sites for extending frugal, politically correct hospitality and later became symbols of aristocratic greed.",N/A,N/A,en
Food and Drink in Medieval Poland,['Maria Dembinska'],1999-08-20,['Cooking'],"Topics examined include not just the personal eating habits of kings, queens, and nobles but also those of the peasants, monks, and other social groups not generally considered in medieval food studies.""--BOOK JACKET.",4,N/A,en
Pizza,"['Diane Morgan', 'Tony Gemignani']",2012-01-13,['Cooking'],"The ultimate pizza cookbook with more than sixty classic and creative recipes from a thirteen-time World Pizza Champion and a James Beard Award–winning author. Pizza master Tony Gemignani teams up with acclaimed cookbook author Diane Morgan to offer the definitive tome on the art of pizza-making. There are more than sixty selections on the menu, including the thick, rounded-edge crust of classic Neapolitan pizza Margherita, the thin crust New York style Italian Sausage and Three Pepper Pizza, and the stick-to-your-ribs, deep-dish kind, smothered in spinach and mozzarella. There are also plenty of new-fangled pizzas: layered with Thai curry flavored chicken or pineapple; cooked on the grill; even quick and easy versions using store-bought crust. Aficionados will find six pizza dough recipes ready to suit anyone’s crust preferences. Dough-tossing techniques and tips on using peels, stones, tiles, pans, grills, ovens, and more make this a complete pizza package.",N/A,N/A,en
Original 1896 Boston Cooking-School Cook Book,['Fannie Merritt Farmer'],1997-01-01,['Cooking'],"A cookbook classic, acclaimed for such innovations as simple directions, concern with nutrition and terms now standard in American cooking. Detailed methods for preparing soups, seafood, meat, vegetables, poultry, salads, hot and cold desserts, and many other dishes. A delightful repository of information for nostalgia buffs and a useful aid for today's homemaker.",N/A,N/A,en
The Cook's Oracle; and Housekeeper's Manual,['William Kitchiner'],2022-07-20,['Cooking'],"William Kitchiner's ""The Cook's Oracle; and Housekeeper's Manual"" serves as a quintessential guide to the culinary arts of the early 19th century, deftly marrying practical cooking methods with domestic management. Written with an engaging and instructional tone, Kitchiner's work reflects the burgeoning interest in gastronomy during the Regency era, marked by a shift towards more refined culinary techniques and diverse ingredients. This authoritative manual offers an extensive collection of recipes, coupled with wisdom on the organization and operation of a household, revealing the social dynamics and culinary trends of the time. Kitchiner, a physician by profession and a fervent culinary enthusiast, draws upon his diverse background to present his compendium. His insights are shaped not only by his medical expertise but also by his experiences in aristocratic households, which informed his understanding of dietary needs and preferences. This unique perspective enables him to blend health consciousness with the joy of cooking, making his manual a notable contribution to both the culinary and domestic spheres of his era. For anyone passionate about historical gastronomy or the evolution of cooking techniques, Kitchiner's ""The Cook's Oracle"" is indispensable. It provides a window into the culture of the time while also offering timeless culinary advice, rendering it useful for contemporary cooks and historians alike. Dive into its pages to explore the intersection of cuisine and domestic art, and let it inspire your own culinary journey.",N/A,N/A,en
Pasta,"['Silvano Serventi', 'Françoise Sabban']",2002-11-06,['Cooking'],"Ranging from the imperial palaces of ancient China and the bakeries of fourteenth-century Genoa and Naples all the way to the restaurant kitchens of today, Pasta tells a story that will forever change the way you look at your next plate of vermicelli. Pasta has become a ubiquitous food, present in regional diets around the world and available in a host of shapes, sizes, textures, and tastes. Yet, although it has become a mass-produced commodity, it remains uniquely adaptable to innumerable recipes and individual creativity. Pasta: The Story of a Universal Food shows that this enormously popular food has resulted from of a lengthy process of cultural construction and widely diverse knowledge, skills, and techniques. Many myths are intertwined with the history of pasta, particularly the idea that Marco Polo brought pasta back from China and introduced it to Europe. That story, concocted in the early twentieth century by the trade magazine Macaroni Journal, is just one of many fictions umasked here. The true homelands of pasta have been China and Italy. Each gave rise to different but complementary culinary traditions that have spread throughout the world. From China has come pasta made with soft wheat flour, often served in broth with fresh vegetables, finely sliced meat, or chunks of fish or shellfish. Pastasciutta, the Italian style of pasta, is generally made with durum wheat semolina and presented in thick, tomato-based sauces. The history of these traditions, told here in fascinating detail, is interwoven with the legacies of expanding and contracting empires, the growth of mercantilist guilds and mass industrialization, and the rise of food as an art form. Whether you are interested in the origins of lasagna, the strange genesis of the Chinese pasta bing or the mystique of the most magnificent pasta of all, the timballo, this is the book for you. So dig in!",N/A,N/A,en
