title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Cross Stitch Celebrations: Bundle of Joy!,['Mollie Johanson'],2022-07-05,['Crafts & Hobbies'],"Whether you are new to cross stitch or already skilled in the craft, Cross Stitch Celebrations teaches you how to create personalized pieces that celebrate life's major milestones. Cross Stitch Celebrations: Bundle of Joy! focuses on adorable birth announcements and keepsakes. This step-by-step cross stitch guide includes all of the basics you need to create perfect personalized gifts for the new parents or grandparents in your life. With the ability to mix and match the fonts, border designs, color schemes, and baby animal motifs featured inside this book, the possibilities are endless! Book jacket.",N/A,N/A,en
Felt Decorations,['Rachel Beyer'],2018,['Crafts & Hobbies'],"A charming felt project book guiding you through the fundamentals of choosing your felts, all the necessary materials and step-by-step instructions on the basic stitching techniques. Once you've mastered the preparations, there are 15 gorgeous felt decorations for you to make by craft artist Rachel Beyer, all with step-by-step photography and delightful hand-drawn illustrations.",N/A,N/A,en
Learn and Play in the Garden,['Meg Herd'],1997,['Gardening'],"A collection of garden related games, crafts and educational activities.",N/A,N/A,en
Arts & Crafts of South America,"['Lucy Davies', 'Mo Fini']",1995,['Art'],"In this informative and spectacularly photographed volume, Mo Fini and Lucy Davies have drawn upon their extensive research into the traditional handicrafts of South America and the artisans who create them. Combining historical perspectives and cultural insights with descriptions of present-day techniques, the authors examine the full range of this vast area's indigenous arts and crafts: contemporary pottery inspired by ancient cultures, such as the Moche; jewelry and metal work in a multitude of forms; enduring textile traditions of the Wayuu, Aymara, and Kuna Indians; painting on clay, leather, and glass; wood carving and decoration of dried gourds; and other extraordinary crafts from around the continent. Full-color photography illustrates each of the crafts described, and a comprehensive reference section offers detailed advice on collecting and conserving these native treasures.",N/A,N/A,en
The Crafty Chica Creates!,['Kathy Cano Murillo'],2022-01-04,['Art'],"In The Crafty Chica Creates, Kathy Cano-Murillo (IG: @craftychica) presents the vivid world of Latinx crafts, offering simple step-by-step instructions to make appealing home décor projects, sparkly accessories, eye-catching wearables, festive garden decorations, and much more. An assortment of clever techniques give creativity a boost, including sewing, painting, working with resin, and sculpting clay. These mood-lifting DIY projects are designed to spark tons of fun! Transform blah wardrobes with a bright painted jacket, appliqué skirt, and sequined sweater. Bring fresh style to every room in the house with a personalized shadow box, a sirena gorda pillow, and an embroidered picture frame. Make artful affirmations more meaningful with la diosa empowerment guardian, repujado dicho matchboxes, and a Chicana love wall tapestry. Discover all the joyful treasures you can make in The Crafty Chica Creates! Book jacket.",N/A,N/A,en
Art for All Seasons,['Marilyn Barnes'],2002,['Education'],"This book ""provides a variety of new and exciting ways to celebrate art throughout the year. The 33 themes offer creative and original ideas for art and display originating from popular seasonal events. Themes include harvest, fireworks, winter vegetables, Christmas, spring cleaning, summer grasses and many more.""--Back cover.",N/A,N/A,en
Creative Polymer Clay,['Heidi Helyard'],2021-06-08,['Crafts & Hobbies'],"Discover a world of creative and colourful jewellery making from the comfort of your own home. In this comprehensive guide to modern polymer clay techniques, artist and designer Heidi Helyard reveals the simple techniques that can be used to create one-off, contemporary jewellery pieces with minimal tools and equipment. Polymer clay is possibly one of the most accessible yet versatile art materials currently available. As readily accessible and easy to use as paint, you can make everything (and anything) with it, from sculptures and figurines, to artworks, decorations, homewares, and wearable jewellery. It's lightweight, flexible and strong. No special tools or equipment is required to cure it, it is relatively cheap, and you only need to start with the primary colours, plus black and white, to mix any colour you like. Polymer clay, which has been around for nearly 80 years, is currently finding itself popular amongst contemporary jewellery makers as the bright colours and sheer versatility of the material allows makers to create bold and graphic modern designs. The beauty of polymer clay is that it presents so many opportunities to explore colour combinations, patterns and texture. In this book you will learn 10 easy yet exciting techniques including slab and cane making, marbling and colour mixing, inlay techniques, printing onto clay, surface embellishments and more to create 20 unique jewellery pieces. The projects in this book vary in complexity, but are accessible to both novice and advanced makers alike. If you are a beginner, the extensive step-by-step photos and instructions will help you develop your polymer clay skills and complete the projects with confidence. As you build your skills and learn the techniques via the book, you will realise that you can combine techniques to create all-new results. The skills you learn in this book will open up a limitless world of further experimentation for you to discover. Just make, bake and wear!",N/A,N/A,en
123 I Can Build!,['Irene Luxbacher'],2009-09,['Juvenile Nonfiction'],A fun and simple introduction to architectural terms and techniques.,N/A,N/A,en
Pinch Your Pottery,['Jacqui Atkin'],2021-06-29,['Art'],"In Pinch Your Pottery, Jacqui Atkin, one of the UK's foremost ceramic teacher-writers, shows the range that this simple technique is able to achieve with a superb collection of step-by-step pinched projects.",N/A,N/A,en
"Totally Cool Journals, Notebooks & Diaries",['Janet Pensiero'],2005,['Crafts & Hobbies'],"Simple instructions explain how to create different kinds of journals, notebooks, and diaries.",N/A,N/A,en
