title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Crime and Punishment,['Fyodor Dostoyevsky'],2010-02-01,['Crime'],N/A,N/A,N/A,en
Crime and Punishment,['Fyodor Dostoyevsky'],1994,['Fiction'],A man must endure relentless physical and mental punishments as retribution for his act of murder.,4,N/A,en
Dumas' Romances: The vicomte de Bragelonne,['Alexandre Dumas'],1893,['Crime'],N/A,N/A,N/A,en
Oliver Twist,['Charles Dickens'],2002,['Crime'],N/A,N/A,N/A,pt-BR
Genocide at the Dawn of the Twenty-First Century,['D. Tatum'],2010-07-05,['Law'],"At the end of World War II, the international community deemed genocide a crime against humanity. Yet, at the dawn of the twenty-first century it has occurred repeatedly. This book explains why genocide began to occur in the twenty-first century and why the United States has been ineffective at preventing it and stopping it once it occurs.",N/A,N/A,en
Criminal Sociology,['Enrico Ferri'],1896,['Crime'],N/A,N/A,N/A,en
Dumas' Romances: The page of the Duke of Savoy,['Alexandre Dumas'],1896,['Crime'],N/A,N/A,N/A,en
An Introduction to the Principles of Morals and Legislation,['Jeremy Bentham'],1823,['Civil law'],N/A,N/A,N/A,en
Yakuza,"['David E. Kaplan', 'Alec Dubro']",2012-10-22,['History'],"Yakuza tells the story of Japan's remarkable crime syndicates, from their feudal start as bands of medieval outlaws to their emergence as billion-dollar investors in real estate, big business, art, and more. This 25th Anniversary edition has an updated preface from the authors and remains the definitive study of Japan's crime syndicates.",4,N/A,en
The Last Duel,['Eric Jager'],2004,['History'],"Set during the Hundred Years War, this is the gripping, atmospheric true story of the ""duel to end all duels"" in medieval France: a trial by combat pitting a knight against a squire accused of violating the knight's beautiful young wife.",N/A,N/A,en
City of Walls,['Teresa P. R. Caldeira'],2000,['Political Science'],"""This is an extraordinary treatment of a difficult problem. . . . Much more than a conventional comparative study, City of Walls is a genuinely transcultural, transnational work—the first of its kind that I have read.""—George E. Marcus, author of Ethnography Through Thick & Thin ""Caldeira's work is wonderfully ambitious-theoretically bold, ethnographically rich, historically specific. Anyone who cares about the condition and future of cities, of democracy, of human rights should read this book.""—Thomas Bender, Director of the Project on Cities and Urban Knowledges ""City of Walls is a brilliant analysis of the dynamics of urban fear. The sophistication of Caldeira's arguments should stimulate new discussion of cities and urban life. Its significance goes far beyond the borders of Brazil.""—Margaret Crawford, Professor of Urban Planning and Design Theory, Graduate School of Design, Harvard University ""Caldeira's insight illuminates the geography of the city as well as the boundaries—or the lack of boundaries—of violence.""—Paul Chevigny, author of Edge of the Knife: Police Violence in the Americas ""An extraordinary account of violence in the city. . . . Caldeira brings to this task a rare depth of knowledge and understanding.""—Saskia Sassen, author of Globalization and Its Discontents ""An outstanding contribution to understanding authoritarian continuity under political reform. Caldeira has written a brilliant and bleak analysis on the many challenges and obstacles which government and civil society face in new democracies.""—Paulo Sérgio Pinheiro, Director of the Center for the Study of Violence, University of São Paulo and Member of the United Nations Sub-Commission for the Promotion and Protection of Human Rights",3.5,N/A,en
Cousin Betty,['Honoré de Balzac'],1901,['Crime'],N/A,N/A,N/A,en
Scum,['Isaac Bashevis Singer'],1992,['Fiction'],"An authentic literary great, Singer was an author whose extraordinary talents won him a worldwide audience. And with this impressive novel, he proved that he was at the height of his creative power until his recent death at age 86. Scum evokes the teeming life of 1906 Warsaw's backstreets.",N/A,N/A,en
The Frozen Deep,['Wilkie Collins'],1875,['Arctic regions'],N/A,N/A,N/A,en
On Crimes and Punishments and Other Writings,['Cesare marchese di Beccaria'],2008,['Biography & Autobiography'],"This volume offers a new English translation of On Crimes and Punishments alongside writings by a number of Beccaria's contemporaries. Enlightened luminaries and monarchs alike looked to this text for ideas that might help guide the various reform projects of the day. Of particular interest is Voltaire's commentary on the text, which is included in its entirety. The supplementary materials testify not only to the power and significance of Beccaria's ideas, but to the controversial reception of his book. At the same that philosophes proclaimed that it contained principles of enduring importance to any society grappling with matters of political and criminal justice, allies of the ancien régime roundly denounced it, fearing that the book's attack on feudal privileges and its call to separate law from religion (and thus crime from sin) would undermine their longstanding privileges and powers.",N/A,N/A,en
'Honour' Killing and Violence,"['Aisha K. Gill', 'C. Strange', 'K. Roberts']",2014-05-07,['Psychology'],"In this interdisciplinary collection leading experts and scholars from criminology, psychology, law and history provide a compelling analysis of practices and beliefs that lead to violence against women, men and children in the name 'honour'.",N/A,N/A,en
Crime and Punishment,['Fyodor Dostoevsky'],2022-10-25,['Fiction'],"Poverty-stricken and cut off from society, former law student Rodion Romanovich Raskolnikov leads a desolate life in a dreary little room in St Petersburg. Having abandoned all hopes of sustaining himself through work, he now obsesses over the idea of changing his fortunes through an act of extreme violence: the killing of an elderly pawnbroker. His mind baulks at the horror of his plan, but when he hears that his sister Dunya is about to agree to a loveless marriage in order to escape the advances of her employer, his disgust for the world becomes unbounded, and his feelings of rebellion and revenge push him closer and closer to the edge of the precipice. A masterpiece of psychological insight, Dostoevsky's 1866 novel features some of its author's most memorable characters – from the temperamental protagonist Raskolnikov to the amoral sensualist Svidrigailov and the immoral lawyer Luzhin. Presented here in a sparkling new translation by Roger Cockerell, Crime and Punishment is a towering work in nineteenth-century Russian fiction and a landmark of world literature.",N/A,N/A,en
Les Misérables,['Victor Hugo'],1909,[],N/A,N/A,N/A,en
The golden gate,['Alistair MacLean'],1976,['Fiction'],"An ingenious, puzzlingly motivated megalomaniac and his hand-chosen, professional cohorts hold the President of the United States, two Arab potentates, and a motorcade of reporters in the middle of San Francisco's Golden Gate Bridge, demanding an exorbita",5,N/A,en
Crime and Punishment,['Fyodor Dostoevsky'],2023-12-22,['Literary Collections'],"Dive into the dark recesses of the human soul in Fyodor Dostoevsky's Crime and Punishment. Follow the tormented Raskolnikov as he grapples with guilt, morality, and redemption in 19th-century St. Petersburg. A gripping exploration of the psyche, this timeless classic delves into the consequences of a daring and desperate act.",N/A,N/A,en
End in Tears,['Ruth Rendell'],2005,['Fiction'],"A lump of concrete dropped deliberately from a little stone bridge kills the wrong person. The driver behind is spared. But, only for a while ... it is impossible for Chief Inspector Wexford not to wonder how terrible it would be to discover that one of his daughters had been murdered.",2,N/A,en
Criminology,"['Eamonn Carrabine', 'Paul Iganski', 'Nigel South', 'Maggy Lee']",2004,['Law'],"Covering all the major areas of the subject, this introduction to criminology features specific topics such as the history and theory of criminology and categories of crime.",N/A,N/A,en
Terrorism: A Philosophical Enquiry,['A. Schwenkenbecher'],2012-08-13,['Philosophy'],"This book engages with the most urgent philosophical questions pertaining to the problem of terrorism. What is terrorism? Could it ever be justified? Assuming that terrorism is just one of many kinds of political violence, the book denies that it is necessarily wrong and worse than war. In fact, it may be justifiable under certain circumstances.",N/A,N/A,en
American Tabloid,['James Ellroy'],1995,['Fiction'],"Three renegade law-enforcement officers--a former LA cop and two FBI agents--are shaping events and riding shotgun into history. This novel is behind and below the scenes of the JFK election and assassination, the Bay of Pigs, and the underworld that connects Miami, LA, Chicago, and DC.",4.5,N/A,en
"Memoirs of Vidocq, Principal Agent of the French Police Until 1827",['Eugène François Vidocq'],1834,['Crime'],N/A,N/A,N/A,en
The Sea-hawk,['Rafael Sabatini'],1923,"['Africa, North']","Oliver Tressilian, a Cornish gentleman, is blessed with 'youth, wealth, and good digestion'. When he is betrayed by his half-brother he becomes a Barbary pirate and wins the title of Sakr-el-Bahr - Hawk of the Sea. He becomes the scourge of the Mediterranean and the terror of Christians.",N/A,N/A,en
The Principles of Morals and Legislation,['Jeremy Bentham'],1879,['Civil law'],"Discusses morals' functions and natures that affect the legislation in general. Bases the discussions on pain and pleasure as basic principle of law embodiment. Mentions of the circumstance influencing sensibility, general human actions, intentionality, conciousness, motives, human dispositions, consequencess of mischievous act, case of punishment, and offences' division.",1,N/A,en
The Strange History of Bonnie and Clyde,['J. E. Treherne'],1984,['Biography & Autobiography'],N/A,N/A,N/A,en
Crime and Punishment,"['Fyodor Dostoyevsky', 'Constance Garnett Garnett']",2014-08-07,[],"Fyodor Mikhailovich Dostoyevsky (Dostoevsky), born on 11 November [O.S. 30 October] 1821, was the second child of Dr. Mikhail Dostoyevsky and Maria Dostoyevskaya (née Nechayeva). He was raised in the family home in the grounds of the Mariinsky Hospital for the Poor, which was in Moscow. Dostoyevsky was introduced to literature at an early age through fairy tales and legends, and through books by Russian and foreign authors. His mother died in 1837, when he was 15, and around the same time he left school to enter the Nikolayev Military Engineering Institute. After graduating, he worked as an engineer and briefly enjoyed a lavish lifestyle, translating books to earn extra money. In the mid-1840s he wrote his first novel, Poor Folk, which gained him entry into St. Petersburg's literary circles.In 1849 he was arrested for his involvement in the Petrashevsky Circle, a secret society of liberal utopians that also functioned as a literary discussion group. He and other members were condemned to death, but at the last moment, a note from Tsar Nicholas I was delivered to the scene of the firing squad, commuting the sentence to four years' hard labour in Siberia. His seizures, which may have started in 1839, increased in frequency there, and he was diagnosed with epilepsy. On his release, he was forced to serve as a soldier, before being discharged on grounds of ill health.In the following years, Dostoyevsky worked as a journalist, publishing and editing several magazines of his own and later A Writer's Diary, a collection of his writings. He began to travel around western Europe and developed a gambling addiction, which led to financial hardship. For a time, he had to beg for money, but he eventually became one of the most widely read and highly regarded Russian writers. His books have been translated into more than 170 languages. Dostoyevsky influenced a multitude of writers and philosophers, from Anton Chekhov and Ernest Hemingway to Friedrich Nietzsche and Jean-Paul Sartre.On 25 January 1881, while searching for members of the terrorist organisation Narodnaya Volya (""The People's Will"") who would soon assassinate Tsar Alexander II, the Tsar's secret police executed a search warrant in the apartment of one of Dostoyevsky's neighbour. On the following day, Dostoyevsky suffered a pulmonary haemorrhage. Anna denied that the search had caused it, saying that the haemorrhage had occurred after her husband had been looking for a dropped pen holder. After another haemorrhage, Anna called the doctors, who gave a poor prognosis. A third haemorrhage followed shortly afterwards.Among Dostoyevsky's last words was his quotation of Matthew 3:14-15: ""But John forbad him, saying, I have need to be baptised of thee, and comest thou to me? And Jesus answering said unto him, Suffer it to be so now: for thus it becometh us to fulfil all righteousness"", and he finished with ""Hear now-permit it. Do not restrain me!"" When he died, his body was placed on a table, following Russian custom. He was interred in the Tikhvin Cemetery at the Alexander Nevsky Convent, near his favourite poets, Karamsin and Zhukovsky. It is unclear how many attended his funeral. According to one reporter, more than 100,000 mourners were present, while others describe attendance between 40,000 and 50,000. His tombstone is inscribed with lines from the New Testamen.",N/A,N/A,en
The Strange Case of Dr. Jekyll and Mr. Hyde,['Robert Louis Stevenson'],2000,['Crime'],"This intriguing novel, both fantasy thriller and moral allegory, depicts the struggle of two opposing personalities -- one essentially good, the other evil -- for the soul of one man.",N/A,N/A,en
The Wonders of the Invisible World,['Cotton Mather'],1862,['Crime'],N/A,N/A,N/A,en
Cigars of the Pharaoh,['Hergé'],2012-09-26,['Adventure stories'],Tintin arrives in Egypt and is caught up in an adventure.,N/A,N/A,en
The Fortunes and Misfortunes of the Famous Moll Flanders,['Daniel Defoe'],1983,['Crime'],N/A,N/A,N/A,en
Tintin and the Picaros,['Hergé'],2003-06,['Adventure and adventurers'],"The world’s most famous travelling reporter gets caught up in a revolutionary adventure. Bianca Castafiore has been imprisoned by General Tapioca! Also accused of threatening Tapioca’s dictatorship, Tintin, Calculus and Haddock jet off to the jungle HQ of the revolutionaries, and hatch a plot surrounding the upcoming carnival and Haddock’s sudden and mysterious disgust for whiskey . . . Join the most iconic character in comics as he embarks on an extraordinary adventure spanning historical and political events, and thrilling mysteries. Still selling over 100,000 copies every year in the UK and having been adapted for the silver screen by Steven Spielberg and Peter Jackson in 2011. The Adventures of Tintin continue to charm more than 80 years after they first found their way into publication. Since then an estimated 230 million copies have been sold, proving that comic books have the same power to entertain children and adults in the 21st century as they did in the early 20th.",N/A,N/A,en
