title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Dada Almanch,"['Richard Huelsenbeck', 'Malcolm Green']",1993,[],N/A,N/A,N/A,en
Proceedings of the 2nd International Conference on Interaction Sciences,"['Association for Computing Machinery', 'ACM Digital Library']",2009-11-24,['Computer security'],"ICIS 2009: The 2nd International Conference on Interaction Sciences: Information Technology, Culture and Human Nov 24, 2009-Nov 26, 2009 Seoul, Republic of Korea. You can view more information about this proceeding and all of ACMs other published conference proceedings from the ACM Digital Library: http://www.acm.org/dl.",N/A,N/A,en
Economic Well-being of the Elderly,"['Tine Stanovnik', 'Nada Stropnik']",2000,['Business & Economics'],"Providing an in-depth analysis of the economic well-being of the elderly in the UK, Austria, Hungary, Poland and Slovenia, this book offers an assessment of the performance of national social security systems in terms of income provision for the elderly. Each country analysis strictly adheres to a common methodological framework. This enables meaningful cross-country comparisons, revealing important common developments in the economic well-being of the elderly in all five countries. The authors also examine country-specific features, and every country chapter is written by an expert in the field who has a thorough knowledge of both the national pension systems and the data sets on which the empirical analyses are based.",N/A,N/A,en
Objectives and Design of Environmental Monitoring Programmes for Radioactive Contaminants,"['International Atomic Energy Agency', 'World Health Organization']",1975,['Business & Economics'],N/A,N/A,N/A,en
Education and Informatics Worldwide,['Jacques Hebenstreit'],1992,['Education'],"The micro computer has had a revolutionary impact on many aspects of society though its success has not been universal and unrestricted. This book looks at the current use of information technology in education and examines why the main objectives behind its introduction in this area have not been achieved. The various political, social and economic reasons behind the failure to maximize the use of informatics are examined on the one hand whilst, on the other, basic strategies and prescriptions are outlined for seizing the opportunities which will be presented by the availability of cheaper, more accessible technology in the future. One chapter describes in detail the situation in seven different regions, presenting the needs, possibilities, obstacles and prospects in each one. Finally, the book draws on the trends and issues that have emerged from previous experience in the planning and implementation of national policies to make proposals for improving the practices of international co-operation by using the full potential of informatics.",N/A,N/A,en
UbiComp 2016,[],N/A,[],N/A,N/A,N/A,en
Manual of Food Irradiation Dosimetry,['International Atomic Energy Agency'],1977,['Science'],"Abstract: A manual for food processing plant operators presents and discusses the basic problems relevant to the dosimetry of food irradiation, treating dosimetry in sufficient practical and theoretical detail to enable technical staff to make any requisite dosimetric measurements. The material is organized among 5 major areas: (1) the basics of dosimetry (measuring absorbed doses; the physical aspects of radiation absorption; dosimetry systems and guidelines); (2) characteristics of irradiators (design criteria; radiation source selection; specific irradiator designs; practical designs); (3) dose-distribution patterns in large-scale irradiators and dose-distribution measurements); (4) the control of irradiation processing conditions in plant operation; and (5) detailed protocols for using different dose-meter systems (including, specific standardized procedures, the calibration of spectrophotometers, and the characteristics of other possibly useful dosimetry systems). Numerous illustrations and expamples are presented throughout the manual, and literature references and an expanded glossary are appended. (wz.",N/A,N/A,en
Provenance and Annotation of Data,['Luc Moreau'],2006-09-27,['Business & Economics'],"This book constitutes the thoroughly referred post-proceedings of the International Provenance and Annotation Workshops, IPAW 2006, held in Chicago, Il, USA in May 2006. The 26 revised full papers presented together with two keynote papers were carefully selected for presentation during two rounds of reviewing and improvement. The papers are organized in topical sections.",N/A,N/A,en
Age Factors in Biometric Processing,['Michael Fairhurst'],2013-10-04,['Computers'],"Age Factors in Biometric Processing explores the implications of ageing on biometric technologies, and how such factors can be managed in practical situations.",N/A,N/A,en
Big Data,"['Nathan Marz', 'James Warren']",2015,['Computers'],"Summary Big Data teaches you to build big data systems using an architecture that takes advantage of clustered hardware along with new tools designed specifically to capture and analyze web-scale data. It describes a scalable, easy-to-understand approach to big data systems that can be built and run by a small team. Following a realistic example, this book guides readers through the theory of big data systems, how to implement them in practice, and how to deploy and operate them once they're built. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the Book Web-scale applications like social networks, real-time analytics, or e-commerce sites deal with a lot of data, whose volume and velocity exceed the limits of traditional database systems. These applications require architectures built around clusters of machines to store and process data of any size, or speed. Fortunately, scale and simplicity are not mutually exclusive. Big Data teaches you to build big data systems using an architecture designed specifically to capture and analyze web-scale data. This book presents the Lambda Architecture, a scalable, easy-to-understand approach that can be built and run by a small team. You'll explore the theory of big data systems and how to implement them in practice. In addition to discovering a general framework for processing big data, you'll learn specific technologies like Hadoop, Storm, and NoSQL databases. This book requires no previous exposure to large-scale data analysis or NoSQL tools. Familiarity with traditional databases is helpful. What's Inside Introduction to big data systems Real-time processing of web-scale data Tools like Hadoop, Cassandra, and Storm Extensions to traditional database skills About the Authors Nathan Marz is the creator of Apache Storm and the originator of the Lambda Architecture for big data systems. James Warren is an analytics architect with a background in machine learning and scientific computing. Table of Contents A new paradigm for Big Data PART 1 BATCH LAYER Data model for Big Data Data model for Big Data: Illustration Data storage on the batch layer Data storage on the batch layer: Illustration Batch layer Batch layer: Illustration An example batch layer: Architecture and algorithms An example batch layer: Implementation PART 2 SERVING LAYER Serving layer Serving layer: Illustration PART 3 SPEED LAYER Realtime views Realtime views: Illustration Queuing and stream processing Queuing and stream processing: Illustration Micro-batch stream processing Micro-batch stream processing: Illustration Lambda Architecture in depth",N/A,N/A,en
