title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Democracy in America,['Alexis de Tocqueville'],1998,['Political Science'],"Tocqueville examines the structures, institution and operation of democracy, and analyzes the lessons that Europe could learn from American successes and failures. It continues to be an influential text on both sides of the Atlantic, especially in the emerging democracies of Eastern Europe.",2.5,N/A,en
The Democratic Paradox,['Chantal Mouffe'],2000,['Philosophy'],No Marketing Blurb,N/A,N/A,en
Political Man,['Seymour Martin Lipset'],1981,['Business & Economics'],"""The most important single volume on the sociology of voting yet to appear in the United States or anywhere else.""-- Political Science Quarterly. ""Lipset has once again demonstrated his preeminence in the fields of both sociology and political science.""-- Commentary.",N/A,N/A,en
Good Governance,['Henk Addink'],2019,['Law'],"This book explores how good governance has become the third dominant concept in the modern state. It examines the concept and how it relates to the rule of law and democracy, and breaks it down into six categories: transparency, participation, effectiveness, accountability, human rights protections, and propriety.",5,N/A,en
Sowing the Seeds of Democracy in China,['Merle Goldman'],1994,['History'],"When they found their efforts had produced negligible results, they tried to introduce new institutions such as a free press, a legislature with real power, the rule of law, and truly competitive elections.",N/A,N/A,en
Conditions of Liberty,['Ernest Gellner'],1994,['Political Science'],"As Ernest Gellner shows in this path-breaking book, the most significant difference between communism (and other totalitarian ideologies) and Western liberalism is the existence of the civil society - the intermediary institutions like trade unions, political parties, religions, pressure groups and clubs which fill the gap between the family and the state. Under communism the civil society was suppressed. In liberal democracy it thrives. If life is to improve in Eastern Europe, the civil society must be encouraged to grow and prosper: the early signs - as observed by the doyen of British social anthropology - are good. The contrast with militant Islam is extraordinary: while Marxism as a faith has collapsed, Islam has been growing ever stronger. In fundamentalist states like Iran there is little civil society and apparently not much pressure for one, either. Why is there so little resistance or opposition? How can this be understood?"" ""This is an extremely important book and a major contribution to the 'end of history' debate by one of the most distinguished scholars working in Europe today",N/A,N/A,en
Politics in Taiwan,['Shelley Rigger'],2002-05-03,['Philosophy'],"This book shows that Taiwan, unlike other countries, avoided serious economic disruption and social conflict, and arrived at its goal of multi-party competition with little blood shed. Nonetheless, this survey reveals that for those who imagine democracy to be the panacea for every social, economic and political ill, Taiwan's continuing struggles against corruption, isolation and division offer a cautionary lesson. This book is an ideal, one-stop resource for undergraduate and postgraduate students of political science, particuarly those interested in the international politics of China, and the Asia-Pacific.",N/A,N/A,en
The Resilience of Democracy,"['Peter J. Burnell', 'Peter Calvert']",1999,['Political Science'],"This volume brings together studies of the small number of previously established states that have retained and/or restored democracy despite - in many cases - formidable economic, social or political challenges. It seeks to establish common themes, whether or not they appear to fit a grand casual theory. It is, after all, the very adaptability of democratic systems that characterises their persistence, durability and resilience.",N/A,N/A,en
Jihad,['Gilles Kepel'],2002,['History'],"Kepel has traveled throughout the Muslim world gathering documents, interviews, and archival materials, in order to give readers a comprehensive understanding of the scope of Islamist movements, their past, and their present. 7 maps.",1,N/A,en
Political Man,['Seymour Martin Lipset'],1960,['Democracy'],Animals from the tropics to the arctic regions are pictured in their natural habitats.,N/A,N/A,en
Islam and Democracy,"['John L. Esposito', 'John Obert Voll']",1996,['Language Arts & Disciplines'],"Are Islam and democracy on a collision course? Do Islamic movements seek to ""hijack democracy?"" How have governments in the Muslim world responded to the many challenges of Islam and democracy today? A global religious resurgence and calls for greater political participation have been major forces in the post-Cold War period. Across the Muslim world, governments and Islamic movements grapple with issues of democratization and civil society. Islam and Democracy explores the Islamic sources (beliefs and institutions) relevant to the current debate over greater political participation and democratization. Esposito and Voll use six case studies--Algeria, Egypt, Iran, Malaysia, Pakistan, and Sudan--to look at the diversity of Muslim experiences and experiments. At one end of the spectrum, Iran and Sudan represent two cases of militant, revolutionary Islam establishing political systems. In Pakistan and Malaysia, however, the new movements have been recognized and made part of the political process. Egypt and Algeria reveal the coexistence of both extremist and moderate Islamic activism and demonstrate the complex challenges confronting ruling elites. These case studies prove that despite commonalities, differing national contexts and identities give rise to a multiplicity of agendas and strategies. This broad spectrum of case studies, reflecting the multifaceted relationship of Islam and Democracy, provides important insight into the powerful forces of religious resurgence and democratization which will inevitably impact global politics in the twenty first century.",N/A,N/A,en
In Search of a Better World,['Karl Raimund Popper'],1992,['Philosophy'],"""In Search of a Better World is a collection of Popper's essays and lectures covering a range of subjects from the beginning of scientific speculation in classical Greece to the need for a new professional ethic based on the ideas of tolerance and intellectual responsibility. Popper discusses major figures of the Enlightenment sucha s Voiltaire and Kant, as well as logic of the social sciences and the role of science and self-criticism in the arts.""--Back cover",N/A,N/A,en
