title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Discovering Nutrition,"['Paul M. Insel', 'Don Ross', 'Kimberley McMahon', 'Melissa Bernstein']",2013,['Health & Fitness'],"Rev. ed. of: Discovering nutrition / Paul Insel, R. Elaine Turner, Don Ross. 3rd ed. c2010.",4,N/A,en
Revolution at the Table,['Harvey Levenstein'],2003-05-30,['Cooking'],"This book, first published by OUP, is a classic of culinary history; with his discussion of the revolution that took place in American attitudes toward food between 1880 and 1930, Levenstein laid the the foundation for the social history of food in modern America.",N/A,N/A,en
The FastDiet - Revised & Updated,"['Dr Michael Mosley', 'Mimi Spencer']",2015-01-06,['Cooking'],"""This new diet allows users to eat whatever they like five days a week and then fast (consuming 500-600 calories/day) for two nonconsecutive days-- and lose weight quickly and easily""--",N/A,N/A,en
Paradox of Plenty,['Harvey Levenstein'],2003-05-30,['Cooking'],"This book is intended for those interested in US food habits and diets during the 20th century, American history, American social life and customs.",N/A,N/A,en
The Modern Rise of Population,['Thomas McKeown'],1976,['Medical'],"""One of the truly important books of our time."" The modern rise of population is one of the great themes of history. Ten thousand years ago thee were less than 10 million people in the world. By 1750 there were 750 million and, from that time to the present, the growth has continued at a rapid and ever advancingrate. World population reached 1,000 million in 1830, 2,000 million a century later, and today exceeds 4,000 million. Although the phenomenon has received considerable attention, interest has centered on its iplications for the future and the causes have been neglected. This study rights the balance. The approach is both novel and comprehensive, and the conclusions are controversial. The author challenges manu common assumptions and argues, for instance, that the health of man 'is only marginally influenced by personal medical care'. Notable for its grasp of complex and biological and medical issues and for its lucid style, this is a thorough interpretation of a subject which must concern us all."" -- Publisher description.",N/A,N/A,en
The Dietitian's Guide to Vegetarian Diets,"['Reed Mangels', 'Virginia Messina', 'Mark Messina']",2011,['Family & Relationships'],"Full of vital information on vegetarian nutritional needs and healthier, more satisfying diets, the Third Edition can be used as an aid for counseling vegetarian clients and those interested in becoming vegetarians, or serve as a textbook for students who have completed introductory coursework in nutriation. --Book Jacket.",N/A,N/A,en
A Treatise on Food and Dietetics,['Frederick William Pavy'],1874,['Diet'],N/A,3,N/A,en
The Fyrst Boke of the Introduction of Knowledge,['Andrew Boorde'],1870,['Beards'],N/A,2,N/A,en
"The Pantropheon, Or, History of Food, and Its Preparation, from the Earliest Ages of the World",['Alexis Soyer'],1853,['Cookery'],"Soyer presents a history of food focusing on the table of classical antiquity and food in ancient times: agriculture, milling, recipes, mythological origin, ingredients, utensils, exotic dishes, dining habits and customs, and spices and seasonings.",N/A,N/A,en
The Complete Guide to Sports Nutrition,['Anita Bean'],2000-01-01,['Health & Fitness'],"Covers training diets, carbohydrate requirements, fluid intake, weight management, body fat and performance, disordered eating and sports supplements.",N/A,N/A,en
The China Study,"['T. Colin Campbell', 'Thomas M. Campbell (II.)']",2006,['Health & Fitness'],"These issues all come down to three things: breakfast, lunch and dinner.",4.5,N/A,en
Diet for a New America,['John Robbins'],1998,['Health & Fitness'],"How your food choices afffect your health, happiness, and the future of life on earth.",4,N/A,en
Evolution of the Human Diet,['Peter S. Ungar'],2007,['Health & Fitness'],"We are interested in the evolution of hominin diets for several reasons. One is the fundamental concern over our present-day eating habits and the consequences of our societal choices, such as obesity prevalent in some cultures and starvation in others. Another is that humans have learned to feed themselves in extremely varied environments, and these adaptations, which are fundamentally different from those of our closest biological relatives, have to have had historical roots of varying depth. The third, and the reason why most paleoanthropologists are interested in this question, is that a species' trophic level and feeding adaptations can have a strong effect on body size, locomotion, ""life history strategies"", geographic range, habitat choice, and social behavior. Diet is key to understanding the ecology and evolution of our distant ancestors and their kin, the early hominins. A study of the range of foods eaten by our progenitors underscores just how unhealthy many of our diets are today. This volume brings together authorities from disparate fields to offer new insights into the diets of our ancestors. Paleontologists, archaeologists, primatologists, nutritionists and other researchers all contribute pieces to the puzzle. This volume has at its core four main sections: · Reconstructed diets based on hominin fossils--tooth size, shape, structure, wear, and chemistry, mandibular biomechanics · Archaeological evidence of subsistence--stone tools and modified bones · Models of early hominin diets based on the diets of living primates--both human and non-human, paleoecology, and energetics · Nutritional analyses and their implications for evolutionary medicine New techniques for gleaning information from fossil teeth, bones, and stone tools, new theories stemming from studies of paleoecology, and new models coming from analogy with modern humans and other primates all contribute to our understanding. When these approaches are brought together, they offer an impressive glimpse into the lives of our distant ancestors. The contributions in this volume explore the frontiers of our knowledge in each of these disciplines as they address the knowns, the unknowns, and the unknowables of the evolution of hominin diets.",N/A,N/A,en
Prophetess of Health,['Ronald L. Numbers'],2008-07-02,['Biography & Autobiography'],"Respected historian of science Ronald Numbers here examines one of the most influential, yet least examined, religious leaders in American history -- Ellen G. White, the enigmatic visionary who founded the Seventh-day Adventist Church. Numbers scrutinizes White's life (1827-1915), from her teenage visions and testimonies to her extensive advice on health reform, which influenced the direction of the church she founded. This third edition features a new preface and two key documents that shed further light on White -- transcripts of the trial of Elder Israel Dammon in 1845 and the proceedings of the secret Bible Conferences in 1919.",1,N/A,en
"The Fyrst Boke of the Introduction of Knowledge Made by Andrew Borde, of Physycke Doctor",['Andrew Boorde'],1870,['Beard'],"""A facsimile reproduction of the famous Dyetary of Helth of Andrew Boorde (1542). The foreword contains a bibliography of the works of Andrew Boorde, as well as a short biography.""--Catalog description, B & L Rootenberg.",N/A,N/A,en
Asian Food,"['Katarzyna Joanna Cwiertka', 'Boudewijn Walraven']",2002,['Cooking'],"By documenting, analysing and interpreting the transformations in the local diets of Asian peoples within the last hundred years, this volume pinpoints the consequences of the tension between homogenisation and cultural heterogenisation, which is so characteristic for today's global interaction.",N/A,N/A,en
Manual of Nutrition,"['Great Britain. Ministry of Agriculture, Fisheries and Food']",1985,['Medical'],N/A,N/A,N/A,en
Diet for a Large Planet,['Chris Otter'],2023-06-05,['History'],"""In this magisterial study, Chris Otter traces Britain's transition to a diet rich in animal proteins and refined carbohydrates like wheat and sugar, a diet that required more acreage than that of Britain itself and that, if followed everywhere, would soon deplete the planet's resources-as the title announces, this was truly a ""diet for a large planet."" From the late 1700s to the end of World War II, Otter accounts for the structures, practices, and ideologies generated by Britain's nutrition transition. He shows how Britain was the first nation to undergo the population explosion, urbanization, and industrialization we associate with modernity, and how it managed the unprecedented problem of how to feed its growing population. Its radical solution would be to outsource its food production, leading away from a locally produced, plant-based diet to one reliant on global markets, international trade networks, and enormous agro-food systems that would have planetary effects on famine, war, the world economy, and the wider earth-system. Not only did this phase in Britain's history make the consumption of meat, white bread, sugar, and butter a coveted diet, linked to development, luxury, and power--it also opened up a new phase in economic history, one whose dramatic effects endure to this day, whether in terms of health problems, eating disorders, or the seemingly endless world food crisis""--",N/A,N/A,en
Culinary Nutrition,['Jacqueline B. Marcus'],2013,['Medical'],"Culinary Nutrition: The Science and Practice of Healthy Cooking is the first textbook specifically written to connect food science, nutrition and culinology. The book uses real-life applications, recipes and color photographs of finished dishes to emphasize the necessity of sustainably deliverable, health-beneficial and taste-desirable products. With pedagogical elements to enhance and reinforce learning opportunities, this book explores the basics of proteins, carbohydrates, and lipids, issues of diet and disease, including weight management, and food production and preparation topics. Gourmand World Cookbook Awards 2014: USA, Best Author or Chef for Professionals, Gourmand International Global Food Industry Awards 2014: Special Mention in Communicating Science-Related Knowledge to Consumers Aimed at Improving their Lifestyle, International Union of Food Science and Technology (IUFoST) Explores the connections among the technical sciences of nutrition, food science and the culinary arts as well as consumer choices for diet, health and enjoyment Presents laboratory-type, in-class activities using limited materials and real-life applications of complex concepts Includes photographs and recipes to enhance learning experience",N/A,N/A,en
Consuming the Inedible,"['Jeremy M. MacClancy', 'C. J. K. Henry', 'Helen Macbeth']",2009-10,['Health & Fitness'],"Everyday, millions of people eat earth, clay, nasal mucus, and similar substances. Yet food practices like these are strikingly understudied in a sustained, interdisciplinary manner. This book aims to correct this neglect. Contributors, utilizing anthropological, nutritional, biochemical, psychological and health-related perspectives, examine in a rigorously comparative manner the consumption of foods conventionally regarded as inedible by most Westerners. This book is both timely and significant because nutritionists and health care professionals are seldom aware of anthropological information on these food practices, and vice versa. Ranging across diversity of disciplines Consuming the Inedible surveys scientific and local views about the consequences - biological, mineral, social or spiritual - of these food practices, and probes to what extent we can generalize about them.",N/A,N/A,en
Shelley and the Revolution in Taste,['Timothy Morton'],1994,['Literary Criticism'],"This book brings together the themes of diet, consumption, the body, and human relationships with the natural world, in a highly original study of Shelley. A campaigning vegetarian and proto-ecological thinker, Shelley may seem to us curiously modern, but Morton offers an illuminatingly broad context for Shelley's views in eighteenth-century social and political thought concerning the relationships between humanity and nature. The book is at once grounded in the revolutionary history of the period 1790-1820, and informed by current theoretical issues and anthropological and sociological approaches to literature. Morton provides challenging new readings of much-debated poems, plays, and novels by both Percy and Mary Shelley, as well as the first sustained interpretation of Shelley's prose on diet. With its stimulating literary-historical reassessment of questions about nature and culture, this study will provoke fresh discussion about Shelley, Romanticism, and modernity.",N/A,N/A,en
"Food, the Body and the Self",['Deborah Lupton'],1996-04-25,['Cooking'],"This book is a wide-ranging and thought-provoking analysis of the sociocultural and personal meanings of food and eating. The author explores the relationship between food and embodiment, childhood and family & the social construction of food & eating.",N/A,N/A,en
The Fast Diet,"['Michael Mosley', 'Mimi Spencer']",2014,['Cooking'],"""Two years on from first publication of The fast diet, which outlined a radical new approach to weight loss, intermittent fasting and the 5:2 programme is still the diet everyone is talking about. In this fully updated and expanded edition for 2015, Dr Michael Mosley and Mimi Spencer revisit the health phenomenon of the decade.",N/A,N/A,en
Indonesian Regional Food and Cookery,['Sri Owen'],1999,"['Cookery, Indonesian']","Introducing the delights of Indonesian cuisine, this cookbook combines traditional recipes with a voyage of discovery which dips into the cultural history of Indonesia.",N/A,N/A,en
Modern Japanese Cuisine,['Katarzyna Joanna Cwiertka'],2006,"['Cooking, Japanese']","'Modern Japanese Cuisine' explores the origins of Japanese cuisine as we know it today, investigating the transformations and developments food culture in Japan has undergone since the late 19th century.",N/A,N/A,en
Nutrition Through the Life Cycle,['Judith E. Brown'],2023-03-31,['Health & Fitness'],N/A,N/A,N/A,en
The World Peace Diet,['Will Tuttle'],2007,['Diet'],"Incorporating systems theory, teachings from mythology and religions, and the human sciences, The World Peace Diet presents the outlines of a more empowering understanding of our world, based on a comprehension of the far-reaching implications of our food choices and the worldview those choices reflect and mandate. The author offers a set of universal principles for all people of conscience, from any religious tradition, that they can follow to reconnect with what we are eating, what was required to get it on our plate, and what happens after it leaves our plates.",5,N/A,en
Rational Diet,['Otto Carqué'],1923,['Diet'],N/A,N/A,N/A,en
The Dietitian's Guide to Vegetarian Diets,"['Reed Mangels', 'Virginia Messina', 'Mark Messina']",2004,['Health & Fitness'],"The Dietitians Guide to Vegetarian Diets, Second Edition highlights the trends and research on vegetarian diets and provides practical ideas in the form of counseling points to help dietitians and other health care providers convey information to their clients. The text presents vital information on vegetarian nutritional needs, healthier and more satisfying diets, and guidelines for treating clients of all ages and clients with special considerations, such as pregnant women, athletes, and diabetics.",4,N/A,en
Nutrition and Physical Degeneration,['Weston Andrew Price'],1970,['Health & Fitness'],N/A,N/A,N/A,en
Nutrition and Diet Therapy,['Sue Rodwell Williams'],1969,['Diet'],N/A,N/A,N/A,en
Indonesian Food and Cookery,['Sri Owen'],1986,['Cooking'],N/A,N/A,N/A,en
Eating India,['Chitrita Banerji'],2009,['Cooking'],"In Eating India, the award-winning writer Chitrita Banerji takes us on a thrilling journey through a national food formed by generations of arrivals, assimilations and conquests. In mouth-watering prose, she explores how each wave of newcomers brought innovative new ways to combine the subcontinent's rich native spices, poppy seeds, saffron and mustard with the vegetables, fish, grains and pulses that are the staples of the Indian kitchen. Along the way, she visits traditional weddings, tiffin rooms, city markets, roadside cafes and tribal villages, to find out how India's turbulent history has shaped its people and its cuisine. Beautifully illustrated throughout, Eating India will stand as an authority on Indian food for years to come.",N/A,N/A,en
The Newer Knowledge of Nutrition,['Elmer Verner McCollum'],1919,['Diet'],N/A,N/A,N/A,en
Science in the Kitchen,['Ella Ervilla Kellogg'],1892,['Cooking'],"Science in the Kitchen. is presented here in a high quality paperback edition. This popular classic work by Mrs. E. E. Kellogg is in the English language, and may not include graphics or images from the original edition. If you enjoy the works of Mrs. E. E. Kellogg then we highly recommend this publication for your book collection.",N/A,N/A,en
The Newer Knowledge of Nutrition,"['Elmer Verner McCollum', 'Nina Simmonds']",1925,['Diet'],N/A,N/A,N/A,en
Feeding China’s Little Emperors,['Jun Jing'],2000,['Social Science'],"This book focuses on how the transformation of the food habits of Chinese children—involving snack foods, soft drinks, and fast foods from such Western outlets as McDonald's and Kentucky Fried Chicken—has changed the intimate relationship of childhood, parenthood, and family life.",N/A,N/A,en
"Academy of Nutrition and Dietetics Complete Food and Nutrition Guide, 5th Ed",['Roberta Larson Duyff'],2017,['Health & Fitness'],"The latest edition of the bible on healthy eating, incorporating newly revised 2016 USDA Dietary Guidelines, by the world's leading authority on food and nutrition.",N/A,N/A,en
The Wheel of Health,['Guy Theodore Wrench'],1945,['Diet'],N/A,N/A,N/A,en
"Domestic Medicine, Or, A Valuable Treatise on the Prevention and Cure of Diseases by Regimen and Simple Medicines",['William Buchan'],1804,['Diet'],N/A,N/A,N/A,en
The Fyrst Boke of the Introduction of Knowledge: Text,['Andrew Boorde'],1979,['Diet'],N/A,N/A,N/A,en
The Moral Basis of Vegetarianism,['Mahatma Gandhi'],1991,['Diet'],N/A,N/A,N/A,en
