title,authors,publishedDate,categories,description,averageRating,textSnippet
"Seurat, 1859-1891","['Robert L. Herbert', 'Georges Seurat']",1991,['Architecture'],A volume which embodies an entire generation of scholarship on the artist. Seurat's brief but brilliant career is traced from his early academic drawings of the 1870s to the paintings of popular entertainments and the serene landscapes of his final years.,N/A,N/A
The New Drawing on the Right Side of the Brain,['Betty Edwards'],1999,['Art'],"Whether you feel you have little talent and you doubt you could ever learn, or you enjoy drawing, but have not been able to get much beyond a childlike level, this book aims to give you the skill you have always wanted.",4,N/A
The Drawings of Leonardo Da Vinci,['Leonardo (da Vinci)'],1945,['Art'],N/A,N/A,N/A
The Natural Way to Draw,['Kimon Nicolaïdes'],1941,['Art'],"A series of exercises designed to assist the art student to develop his own creativity, rather than imitate that of others.",5,N/A
The Analysis of Beauty,['William Hogarth'],1772,['Aesthetics'],N/A,N/A,N/A
3 X Abstraction: New Methods of Drawing,['Catherine de Zegher'],2005-06-11,['Art'],An engaging look at three women artists' pathbreaking explorationof abstraction,N/A,N/A
The Elements of Drawing,['John Ruskin'],1857,['Drawing'],N/A,N/A,N/A
Drawing/thinking,['Marc Treib'],2008,['Architecture'],"This book addresses the question ‘Why draw?’ by examining the various dynamic relationships between media, process, thought and environment. Highly illustrated, the book brings together authors from the fields of architecture, landscape architecture and art and demonstrates that designing through drawing is fundamentally different from designing on a screen.",N/A,N/A
The Odyssey of Homer,['Homer'],1891,['Crayons'],N/A,N/A,N/A
Architects Draw,['Sue Ferguson Gussow'],2008-04-17,['Architecture'],"While the practical value of computer-aided drafting and photorealistic modeling are invaluable, you won't find the soul of architecture in a machine. This volume offers students and sketchers a practical way to translate what they see onto the page, not as an imitation of reality, but as a union of voids and solids, lines and shapes.",4,N/A
The Little Prince,[],2000,['Juvenile Fiction'],"An aviator whose plane is forced down in the Sahara Desert encounters a little prince from a small planet who relates his adventures in seeking the secret of what is important in life. Howard's new translation of this beloved classic beautifully reflects Saint-Exupery's unique, gifted style. Color and b&w illustrations.",4,N/A
The Practice and Science of Drawing,['Harold Speed'],1927-01-01,['Fiction'],N/A,N/A,N/A
The Animator's Survival Kit,['Richard Williams'],2012-09-25,['Art'],"""A manual of methods, principles and formulas for classical, computer, games, stop motion and internet animators""--Cover.",N/A,N/A
Secret Knowledge,['David Hockney'],2001,['Art'],"""Come with David Hockney on a journey as he rewrites the story of how the masterpieces of Western art were created."" ""It was after a chance observation in London's National Gallery that Hockney became gripped by a desire to find out how the artists of the past managed to depict the world so accurately and vividly. As a painter constantly faced with similar technical problems, he asked himself: ""How did they do this?"" He set aside his brushes, stopped painting and, for the next two years, sacrificed his own time as an artist to follow this mystery trail, obsessively tracking down the hidden secrets of the Old Masters."" ""Now, Hockney recounts the story of his quest as it unfolded. He explains how he uncovered piece after piece of scientific and visual evidence, each one yielding further revelations about the past."" ""Hundreds of paintings and drawings - among them the best known and best loved works in the history of Western art - are reproduced and accompanied by Hockney's close, passionate and accessible decriptions. His own photographs and drawing illustrate the various methods used by past artists to capture accurate likenesses and present the results they would have achieved. In addition, extracts from the many historical and modern documents that he uncovered offer further intriguing evidence while correspondence between him and an array of international experts provides an exciting account of the remarkable story as it happened.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved",N/A,N/A
