title,authors,publishedDate,categories,description,averageRating,textSnippet
Snow Crash,['Neal Stephenson'],2022,['Fiction'],"In the Metaverse - cyberspace home to avatars and software daemons - there is a new drug available- Snow Crash. A cyberdrug that reduces avatars in the digital world to dust, it also infects users in real life, leaving them in a vegetative state. This is bad news for Hiro, a freelance hacker and the Metaverse's best swordfighter, and mouthy skateboard courier Y. T. Together, investigating the Infocalypse, they trace back the roots of language itself to an ancient Sumerian priesthood and find they must race to stop a shadowy virtual villain hell-bent on world domination.",N/A,N/A
Blood Red Road,['Moira Young'],2012,['Adventure stories'],"Winner of the Costa Children's Book Award 2011. ""I ain't afeared of nuthin."" Saba's twin is golden. She is his living shadow. He is strong and beautiful. She is scrawny and dark. Nothing will separate them... Raised in isolated Silverlake, Saba is ignorant of the harsh and violent world beyond her home. But when her twin is snatched by black-robed riders, red rage fills her soul. How will Saba find him in a wild, scorching and lawless land? Racing across the cruel dustlands to find him, she can spare no one. Not even the boy who saves her life. She must silence her heart to survive. Blood will spill. Every step of Saba's journey sizzles with danger in this futuristic thriller, which beats with a powerful, red-blooded heart. ""A shot of pure adrenalin. Exuberant, exciting and charged with emotion... If a better book for teenagers is published this year, I'll be surprised."" The Times ""Has an elemental power, unfolding across achingly barren landscapes, full of blistering hotwinds and swirling clouds of orange dust."" New York Times",N/A,N/A
Technik in Dystopien,"['Viviana Chilese', 'Heinz-Peter Preusser']",2013,['Dystopia'],"In der literarischen und filmischen Produktion der letzten Jahre begegnet man technischen Innovationen haufig mit eindeutiger Ablehnung. Die Lesbarkeit des Gehirns oder die Ersetzbarkeit des Korpers in der immateriellen Internetwelt etwa werden zu Schreckensszenarien einer diktatorischen Macht mit omniprasenter Kontrolle ausgedeutet. Dieser technikkritische Diskurs ignoriert aber oft die tatsachlichen Errungenschaften der Technik. Der Band 'Technik in Dystopien' strebt an, den Hiatus zwischen den getrennten Diskursen von Forschung einerseits und ihrem gesellschaftlichen Bild andererseits zu verringern, indem er eine Plattform bietet, die Wechselwirkung von Dystopien und Technik interdisziplinar zu erortern. Wie kann Wissen oder Nichtwissen kunftige Szenarien bestimmen und problematisieren? Wie wird Technik moralisch bewertet, diskreditiert oder gefeiert? Antworten darauf geben die AutorInnen in den Sektionen Gesellschaftstechnologien, Medien- und Informations- sowie Biotechnologien.",N/A,N/A
Modern Utopia and Dystopia in the Novel Never Let Me Go by Kazuo Ishiguro,['Enikő Jakus'],2011-05,['Language Arts & Disciplines'],"Seminar paper from the year 2010 in the subject English Language and Literature Studies - Literature, grade: sehr gut, Eotvos Lorand Tudomanyegytem, language: English, abstract: In this paper - as the title says - I would like to write about utopian and dystopian elements in the modern, contemporary world using a novel from this decade, titled Never Let Me Go (1995) by Kazuo Ishiguro. The novel highlights some deep problems of humanity around the beginning of the 21st century using a combination of utopia and dystopia. On the following pages I present these elements and I also try to interpret them: what problems of modern society they reveal and what solutions they might offer.",N/A,N/A
Julia,['Sandra Newman'],2023-10-19,['Fiction'],Julia is a bold feminist retelling of Nineteen Eighty-Four that goes beyond Winston Smith's story to finally reveal what life in Oceania was like for women,N/A,N/A
Specials,['Scott Westerfeld'],2012,"['Beauty, Personal']","Tally has become one of them: a super-amped fighting machine, engineered to keep the Uglies down and the Pretties stupid. But one tiny corner of Tally's heart remembers something different.",N/A,N/A
The Arrest,['Jonathan Lethem'],2020-11-10,[],"From the award-winning author of The Feral Detective and Motherless Brooklyn comes an utterly original postapocalyptic yarn about two siblings, the man that came between them, and a nuclear-powered super car. The Arrest isn't post-apocalypse. It isn't a dystopia. It isn't a utopia. It's just what happens when much of what we take for granted--cars, guns, computers, and airplanes, for starters--quits working. . . . Before the Arrest, Sandy Duplessis had a reasonably good life as a screenwriter in L.A. An old college friend and writing partner, the charismatic and malicious Peter Todbaum, had become one of the most powerful men in Hollywood. That didn't hurt. Now, post-Arrest, nothing is what it was. Sandy, who calls himself Journeyman, has landed in rural Maine. There he assists the butcher and delivers the food grown by his sister, Maddy, at her organic farm. But then Todbaum shows up in an extraordinary vehicle: a retrofitted tunnel-digger powered by a nuclear reactor. Todbaum has spent the Arrest smashing his way across a fragmented and phantasmagorical United States, trailing enmities all the way. Plopping back into the siblings' life with his usual odious panache, his motives are entirely unclear. Can it be that Todbaum wants to produce one more extravaganza? Whatever he's up to, it may fall to Journeyman to stop him. Written with unrepentant joy and shot through with just the right amount of contemporary dread, The Arrest is speculative fiction at its absolute finest.",N/A,N/A
Hungry,['H. A. Swain'],2014-06-03,['Juvenile Fiction'],"In the future, there is no food, and hunger has become a relic of the past. That is, until a girl named Thalia Apple begins to feel something unfamiliar and uncomfortable. She's hungry.",5,N/A
Patriots,['James Wesley Rawles'],2009-04-07,['Fiction'],"'Patriots' is a man's action-adventure novel set in the near future, as America is torn-by a full scale socio-economic collapse.",4,N/A
The Perseid Collapse,['Steven Konkoly'],2013-12-06,[],"In the face of an unthinkable catastrophe, how far would you go to protect your family?In the very near future, an inconceivable attack against the United States will unleash a human darkness over the country--with a vast appetite for chaos and violence. Alex Fletcher, former Marine, will wake to this brutally hostile landscape, thrown headfirst into an epic, impossibly grueling journey to save his family and friends.The Alex Fletcher Books: The Jakarta Pandemic, Book OneThe Perseid Collapse, Book TwoEvent Horizon, Book ThreePoint of Crisis, Book FourDispatches, Book Fiv",N/A,N/A
O segredo das larvas (Vol. 1),['Stefano Volp'],2024-05-06,['Fiction'],"O maior medo de Freya é ser escolhida para morar na capital, onde supostamente viveria uma vida melhor. Afinal, nada do que vem da capital deve ser coisa boa. O segredo das larvas , de Stefano Volp, autor de Nunca vi a chuva , apresenta uma distopia intrigante com referências afrofuturistas. Em um futuro não tão distante, Freya mora em uma colônia onde pessoas de pele negra são confinadas. Lá, além de lidar com os transtornos mentais da mãe, ela vive constantemente assombrada pela Filtragem, o programa da metrópole que promete selecionar as garotas mais belas para passarem o restante de suas vidas em Éden, desfrutando dos privilégios da capital tão desejada. Apesar de não conhecer o mundo do outro lado da cerca, Freya se recusa a acreditar nessas promessas. Ela tem certeza de que a convocação é um disfarce para os piores pesadelos. Algo terrível acontece nas beiras do mundo e as garotas filtradas correm perigo. Freya sabe de tudo isso porque sua própria mãe foi uma Filtrada. A única que retornou... Chegou novamente o período da Filtragem e só o que resta a fazer é escapar. Só que agora, nada será igual e Freya precisará decidir até onde está disposta a ir para não mais apenas sobreviver, mas finalmente se vingar. O segredo das larvas é a eletrizante e brutal estreia de Stefano Volp na distopia. Ao revisitar o passado para imaginar o futuro, Volp esmiúça um tema que as distopias costumam evitar: raça.",N/A,N/A
Charlotte & Dash,['J L Weil'],2023-04-15,[],"A power-hungry father, terrible secrets, and laiders await you. Back at the Institute, Dash and Charlotte wonder if they have made the right choice in returning to Diamond Towers. Toxic zombies, called the Forsaken, emerge out of the mist. And Charlotte's powers are on the fritz. Charlotte knows evil walks with them in the new world, and she's ready to take action. With Dash by her side, no one stands a chance. But learning humans can be as malevolent as the monsters in the Heights makes Charlotte question everything. The only way they can protect their future is to destroy the Institute brick by white brick. It will take more than mere strength and an act of God. It will take trust and a kind of love that is not easily broken. A change of power needs to happen. A war is on their doorstep. And it is up to the Slayer and the girl with rainbow eyes to fight it. The gleaming white city must fall.",N/A,N/A
Dystopic elements in Lord of the Flies and One Hundred Years of Solitude,['Ebru Türk'],2019,['Dystopia'],N/A,N/A,N/A
Hell on Earth,['Tony Urban'],2016-10-07,[],"When civilization ends - When hundreds of millions of the dead return to eat the living - How will the remaining humans survive? One week ago there were over 300 million people living in America. Today there are less than 5000. After a man-made plague destroys the population cities burn, and the government crumbles when the dead come back to life as flesh-hungry zombies. Wim, a 30-year-old farmer, purposely kept himself cut off from other people, but when the undead arrive at his farm, intent on eating him, he's forced to venture out into the land around him and fight to save a world on which he long ago turned his back. Survivors from all walks of life - criminals and fry cooks, teenagers and soldiers - battle to survive zombies and each other as mankind races toward extinction. Book 1 in the epic ""Life of Dead"" zombie apocalypse saga.",N/A,N/A
Retribution,['Carrie Mac'],2007-05-01,['Brothers and sisters'],"With thousands of Triskelians dead at the hands of the Keyland Guard, the Maddox siblings struggle separately with the tragedy and its aftermath.",N/A,N/A
Deep Into the Game,['Saul Tanpepper'],2013-12-21,['Fiction'],"A reckless, end-of-summer plan leads Jessie and her friends onto Long Island hoping to catch a glimpse of the infected victims of a decades-old outbreak. But while breaking in might be easy, getting back out is a hell of a killer. It doesn't take long before they realize they're part of The Game. Deep Into the Game is the first book in the hi-tech dystopian thriller GAMELAND. Structured on television's The Walking Dead and Law and Order, the nearly 400,000-word series consists of eight individual episodes, first published monthly between May and December 2012. All are available digitally in single and multi-episode packages, as well as in an omnibus edition.",N/A,N/A
The Red String,['D. Marie Prokop'],2013-09-12,['Juvenile Fiction'],"The year is 2053. Ainsling Reid is a girl with a singular dream- to be normal. When selected for surgery to cure her epilepsy and rid her of the seizures causing her to be labeled ""unproductive,"" she believes her dream is about to come true. Li Griffin has no dreams. At least, that's what his genius father thinks. Labeled anti -social, he is resigned to working at his father's clinic, yet doing his best to carve a different path for himself, his own path. When Li is assigned to be Ainsling's caretaker at the Clinic, their lives are changed forever. Despite their extreme differences, they share much in common- missing mothers, lonely hearts...and a red string. Pulling on the ends of the rope in the tug-of-war between fate and free will, they learn that dreams can let you down, that the best thing one can do is hold on to something bigger, and simply wait for a rescue.",N/A,N/A
Moonray,['Brandon Graham'],2023-10-17,[],"In a post-human world, the man of miium is born. Created to avenge a slain goddess, our nameless warrior travels an unrecognizable landscape, constantly evolving with new wonders and terrors: Zanikam pirates, deadly reflections, a living bridge, and a red tear in the sky. Written and drawn by Eisner-award-winning author and artist Brandon Graham (Prophet, King City, Rain Like Hammers) and featuring artist Xurxo G. Penalta, Moonray presents a mind-altering new dawn for a distant sci-fi future unlike any other.",N/A,N/A
Cirque Du Lisette,['Miguel R Bojorquez'],2023-07-30,[],"What was once nothing is now an entire series. Follow the story of Breanna Marie as she maneuvers herself through an ever-changing dystopic universe set in the not too distant future; where technology and fantasy meld to create a creepy and poetic thriller that is sure to keep you up late at night. Follow her journey as she unravels the truth behind her origin through the incredible power of her dreams. Her will alone sustains her purpose and through it all, she always manages to smile.",N/A,N/A
Tech Agnostic,['Greg M. Epstein'],2024,['Religion'],"""Today's tech has overtaken religion as the chief shaper of 21st-century human lives and communities. In this book, Greg M. Epstein, the influential humanist chaplain at Harvard and MIT, explores what it means to be a critical thinker about this new faith, taking readers on a journey towards reasserting our common humanity""--",N/A,N/A
