title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Coexisting Contemporary Civilizations,['Guy Ankerl'],2000,['History'],"Some important questions are discussed in this book: Are there any civilisations other than the Western one living in our so-called Global-Age? 'Eastern civilisation'? Is the concept of East anything more than non-West? Or does there exist, in reality, a distinct Chinese, Indian, Arabo-Muslim, and Western civilisation? Is the construction of large civilisation-states such as China and India an unparalleled historical achievement? Do economic ties always eclipse other forms of affiliation such as those formed through kinship or between speech communities? What is the role of the 'Latin' and the Jewish Peoples in our Anglo-American-led Western world? Is English today the global language or merely an international one? Is the Chinese thought pattern closely related to its writing system? Is today's world one of (symmetrical) interdependence? Or rather one of hegemony? If the so-called North-South or East-West dialogue fails in constructing a universally accepted world civilisation, then what is the appropriate arrangement for reaching such a consensus within humankind?",N/A,N/A,en
To xeno kephalaio stēn Hellada,"['Nikos Belogiannēs', 'Giannēs Antōniou', 'Katerina Lamprinou']",2010,"['Debts, External']",N/A,N/A,N/A,el
"The New Cambridge Modern History: Volume 3, Counter-Reformation and Price Revolution, 1559-1610",['R. B. Wernham'],1957,['History'],"This volume examines the period of history which looks at counter-reformation and the price revolution, 1559-1610.",N/A,N/A,en
The Contemporary Turkish Economy,['Zvi Yehuda Hershlag'],1988,['Business & Economics'],"This comprehensive book presents a detailed analysis of the Turkish economy and its current difficulties. A valuable reference for those in the fields of geography, development and economics, it argues that Turkey is in fact a country with considerable economic potential which is at present not fully utilised.",N/A,N/A,en
Long-distance Dependencies,['Mihoko Zushi'],2001,['Language Arts & Disciplines'],"First Published in 2001. Routledge is an imprint of Taylor & Francis, an informa company.",N/A,N/A,en
System Zoo 3 Simulation Models,['Hartmut Bossel'],2007,['Business & Economics'],"About the book: Mathematical modeling and computer simulation make it possible to understand and control the dynamic processes taking place in complex systems. Simulation provides insights into the often surprising diversity of possible behaviors, and allows identifying possibilities for intervention and options for alternative development. About one hundred simulation models from all areas of life are fully documented in the three volumes of the 'System Zoo'. They can be quickly implemented and easily operated using freely available system dynamics software. Volume 3 of the System Zoo contains simulation models of economic and social systems and global development, among them: production, stocks and orders, marketing and consumption, competition, life planning, employment, ecotax, escalation, dependence, aggression, population and community development, debt crisis, globalization, the world models of the Club of Rome (by Forrester and the Meadows group) and examples of nonnumerical knowledge processing applied to impact assessment and decision processes. The System Zoo collection of simulation models is particularly well-suited for teaching, training, and research projects at all levels from high school to university, and for individual study. Volume 1 of the System Zoo contains simulation models of elementary systems, and of systems from the fields of physics and engineering. Volume 2 of the System Zoo presents simulation models related to climate, vegetation, ecosystems and resources. About the author: Hartmut Bossel is Professor Emeritus of environmental systems analysis. He taught for many years at the University of California in Santa Barbara and the University of Kassel, Germany, where he was director of the Center for Environmental Systems Research until his retirement. He holds an engineering degree from the Technical University of Darmstadt, and a Ph.D. degree from the University of California at Berkeley. With a background in engineering, systems science, and mathematical modeling, he has led many research projects and future studies in different countries, developing computer simulation models and decision support systems in the areas of energy supply policy, global dynamics, orientation of behavior, agricultural policy, and forest dynamics and management. He has written numerous books on modeling and simulation of dynamic systems, social change and future paths, and has published widely in the scientific literature in several fields.",N/A,N/A,en
Strategic Partners,['Jeanne Lorraine Wilson'],2004,['Armed Forces'],"Analysing Russia's evolving foreign policy with regard to China, Jeanne Wilson considers the various infuences and constraints on this policy, looking particularly at economic policy, integration into global economic structures and military relations.",N/A,N/A,en
The Politics of Cultural Work,['Mark Banks'],2007-11-09,['Business & Economics'],"What is 'cultural work'? How are we to understand the 'art-commerce relation'? The Politics of Cultural Work answers these questions through a wide-ranging study of labour in the cultural industries. It critically evaluates how various sociological traditions - including critical theory, governmentality and liberal-democratic approaches - have sought to theorize the creative cultural worker, in art, music, media and design-based occupations. It evaluates whether the cultural worker should be seen as a creative, autonomous subject - or as a mere victim of the 'culture industry'",N/A,N/A,en
Well-being for Public Policy,[],2009,['Psychology'],"The authors explain why subjective indicators of well-being are needed, showing how these can offer useful input and giving examples of policy uses of well-being measures. They also describe the validity of the subjective well-being measures as well as potential problems, then delve into objections to their use for policy purposes.",N/A,N/A,en
New Structural Economics,['Justin Yifu Lin'],2010,[],N/A,N/A,N/A,en
A Bibliographical Guide to Japanese Research on the Chinese Economy (1958-1970),['William P. J. Hall'],1972,['Business & Economics'],This bibliography has been published in the hope that it will serve as a guide for non-Japanese speaking scholars of China's economy who wish to make use of the large volume of research done on the Chinese economy by Japanese scholars.,N/A,N/A,en
Principles of political economy with some of their applications to social philosophy,['John Stuart Mill'],1963,['Economics'],N/A,N/A,N/A,en
"Problems of To-day: Wealth, Labor, Socialism",['Andrew Carnegie'],1933,['Economics'],N/A,N/A,N/A,en
Complexity Science and Social Entrepreneurship,"['Jeffrey A. Goldstein', 'James K. Hazy', 'Joyce Silberstang']",2009,['Community development'],"This ground-breaking volume explores social entrepreneurship from the perspective of complexity science and systems thinking. Case studies, models, simulations, and theoretical papers advance both theory and practice, providing an innovative and comprehensive look at these dynamic topics. Written by complexity theorists, international development practitioners, and experts in a variety of other disciplines, this must-have book is mandatory reading for everyone interested in this newly developing field.",N/A,N/A,en
The Cost of Freedom,['Henry Christopher Wallich'],1960,['Capitalism'],N/A,N/A,N/A,en
Essays on the Economic Role of Government,['Warren J. Samuels'],1992,['Capitalism'],N/A,N/A,N/A,en
Structural Adjustment,"['Angela Llanas', 'Libby Williams']",2001,['Foreign Language Study'],"Domino is a communicative six-level primary course for learners of American English. Together with the Domino Street kids, students should enjoy the variety of lively activities which reflect their development at each stage of the course.",N/A,N/A,en
The Wall Street Journal Almanac 1998,['Wall Street Journal'],1997-11-11,['Business & Economics'],"Readers already depend on ""The Wall Street Journal"" for its eye-opening analyses and incisive interpretations of events, trends, and issues. Now ""Wall Street Journal"" writers and editors from around the world draw on their extensive knowledge and access to the most authoritative sources of information to produce this useful almanac. Contents include 1997 in review, business and the economy, politics and policy issues, technology and science, sports, media and entertainment coverage, and much more. Web page feature.",N/A,N/A,en
The Role of Economy Principles in Linguistic Theory,"['Chris Wilder', 'Hans-Martin Gärtner', 'Manfred Bierwisch']",1997,['Business & Economics'],Chiefly selected papers from a conference held in Feb. 1995 in Berlin.,N/A,N/A,en
Tobacco,['Rachel Lynette'],2008,['Juvenile Nonfiction'],What are bidis and kreteks? How does cigarette smoke affect the body? Why are there warnings on tobacco packages? Find the answers to these questions and more! Learn about the different forms of tobacco and how each affects the body.,N/A,N/A,en
Capitalism Carries on,['Walter B. Pitkin'],1935,['Capitalism'],N/A,N/A,N/A,en
