title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Modern Dictionary of Electronics,['Rudolf F. Graf'],1999-06-30,['Language Arts & Disciplines'],"Included in this revised classic are terminologies from the worlds of consumer electronics, optics, microelectronics, communications, medical electronics, and packaging and production. 150 line drawings.",3.5,N/A,en
Electrical and Electronic Principles and Technology,['John Bird'],2007,['Technology & Engineering'],"Bird introduces electrical principles and technology through examples rather than theory, enabling students to develop a sound understanding of the principles needed by technicians in fields such as electrical engineering, electronics and telecommunications. No previous background in engineering is assumed.",N/A,N/A,en
Fundamentals of Semiconductors,"['Peter YU', 'Manuel Cardona']",2007-05-08,['Technology & Engineering'],"This third updated edition of Fundamentals of Semiconductors attempts to fill the gap between a general solid-state physics textbook and research articles by providing detailed explanations of the electronic, vibrational, transport, and optical properties of semiconductors. The approach is physical and intuitive rather than formal and pedantic. Theories are presented to explain experimental results. This textbook has been written with both students and researchers in mind. Its emphasis is on understanding the physical properties of Si and similar tetrahedrally coordinated semiconductors. The explanations are based on physical insights. Each chapter is enriched by an extensive collection of tables of material parameters, figures, and problems. Many of these problems ""lead the student by the hand"" to arrive at the results.",N/A,N/A,en
Fundamentals of Semiconductor,"['Peter YU', 'Manuel Cardona']",2013-11-11,['Science'],"Fundamentals of Semiconductors attempts to fill the gap between a general solid-state physics textbook and research articles by providing detailed explanations of the electronic, vibrational, transport, and optical properties of semiconductors. The approach is physical and intuitive rather than formal and pedantic. Theories are presented to explain experimental results. This textbook has been written with both students and researchers in mind. Its emphasis is on understanding the physical properties of Si and similar tetrahedrally coordinated semiconductors. The explanations are based on physical insights. Each chapter is enriched by an extensive collection of tables of material parameters, figures and problems. Many of these problems 'lead the student by the hand' to arrive at the results.",N/A,N/A,en
Electronics and Instrumentation for Scientists,"['Howard V. Malmstadt', 'Christie G. Enke', 'Stanley R. Crouch']",1981,['Technology & Engineering'],N/A,N/A,N/A,en
Handbook of Modern Sensors,['Jacob Fraden'],2015-10-15,['Technology & Engineering'],"This book presents a comprehensive and up-to-date account of the theory (physical principles), design, and practical implementations of various sensors for scientific, industrial, and consumer applications. This latest edition focuses on the sensing technologies driven by the expanding use of sensors in mobile devices. These new miniature sensors will be described, with an emphasis on smart sensors which have embedded processing systems. The chapter on chemical sensors has also been expanded to present the latest developments. Digital systems, however complex and intelligent they may be, must receive information from the outside world that is generally analog and not electrical. Sensors are interface devices between various physical values and the electronic circuits that ""understand"" only a language of moving electrical charges. In other words, sensors are the eyes, ears, and noses of silicon chips. Unlike other books on sensors, the Handbook of Modern Sensors is organized according to the measured variables (temperature, pressure, position, etc.). This book is a reference text for students, researchers interested in modern instrumentation (applied physicists and engineers), sensor designers, application engineers and technicians whose job it is to understand, select and/or design sensors for practical systems.",N/A,N/A,en
Electromagnetic Theory for Microwaves and Optoelectronics,"['Keqian Zhang', 'Dejie Li']",2008,['Mathematics'],"A text on electromagnetic fields and waves. It is useful reference for researchers and engineers in the areas of microwaves and optoelectronics. It discusses the field analysis of electromagnetic waves confined in material boundaries, or so-called guided waves, and electromagnetic waves in the dispersive media and anisotropic media.",N/A,N/A,en
Electronic Principles,"['Albert Paul Malvino', 'David J. Bates']",2007,['Technology & Engineering'],"""This seventh edition of Malvino's classic Electronic Principles offers students a definitive overview of electronic circuits and devices. Expert knowledge of electronic devices is presented in a stimulating, clearly written, conversational style. The new, streamlined book design is full-color throughout, with ample, clear illustrations. Greater emphasis on modern integrated circuit (IC) technology, and the revision of nearly one third of the previous edition's chapter problems and review questions refresh this text while retaining its proven approach. In addition to the text there is a wealth of supplementary material included for both student and instructor. An upgraded Experiments Manual, the optional use of MultiSIM software, an instructor's manual with an Instructor Productivity Center CD-ROM, and the brand new Online Learning Center website make this text a powerful learning tool."" Electronic Principles is written for electronics students who have done course work in basic DC/AC circuit analysis, along with algebra and trigonometry prerequisites. The book gives clear, accessible coverage of basic electronics concepts in the first half of the book, then applies these to the important electronic circuits and devices most widely used in today's industry.""--Publisher's website.",4,N/A,en
Electromechanical Design Handbook,['Ronald A. Walsh'],1995,['Technology & Engineering'],"The term electromechanical designer refers to a product designer involved with components and assemblies that contain elements that are mechanical, electrical and electronic by nature, all dependently combined to form the finished product. In many small companies, the electromechanical designer is responsible for the entire product - all aspects included.",N/A,N/A,en
Basic Electronics,['United States. Bureau of Naval Personnel'],1955,['Electronics'],N/A,N/A,N/A,en
