title,authors,publishedDate,categories,description,averageRating,textSnippet
To the Lighthouse,['Virginia Woolf'],1927,['Domestic fiction'],N/A,N/A,N/A
The Screens,['Jean Genet'],1994-01-20,['Antiques & Collectibles'],"Jean Genet was one of the world's greatest contemporary dramatists, and his last play, The Screens, is his crowning achievement. It strikes a powerful, closing chord to the formidable theatrical work that began with Deathwatch and continued, with even bolder variations, in The Maids, The Balcony, and The Blacks. Explicitly political, The Screens is set within the context of the Algerian War. The play's cast of over fifty characters moves through seventeen scenes, the world of the living breaching the world of the dead by means of shifting the screens--the only scenery--in a brilliant tour de force of spectacle and drama.",N/A,N/A
The ABC Murders,['Agatha Christie'],1986,['Fiction'],N/A,N/A,N/A
Murder in Mesopotamia,['Agatha Christie'],1964,['Fiction'],"""I have arrived"", said the note. Louise Leidner claimed the writer had followed her halfway around the world and was now coming to kill her. But the others on the dig in Iraq thought the archeologist's wife was suffering from hysteria...until she was found bludgeoned in her bedroom. Copyright © Libri GmbH. All rights reserved.",4,N/A
To the Lighthouse,['Virginia Woolf'],1982,['Fiction'],"""To the Lighthouse features the serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests who are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Virginia Woolf constructs a moving examination of the complex tensions and allegiances of family life and the conflicts within a marriage.""--BOOK JACKET.",N/A,N/A
A Course in Language Teaching Trainee Book Trainee's Book,['Penny Ur'],1999-09-30,['Education'],This book provides all the task material from 'A Course in Language Teaching'.,N/A,N/A
Treasure Island,"['Robert Louis Stevenson', 'Earle Hitchner']",1998-09-04,['Juvenile Nonfiction'],"While going through the possessions of a deceased guest who owed them money, the mistress of the inn and her son find a treasure map that leads them to a pirate's fortune.",N/A,N/A
Thousand Cranes,['Yasunari Kawabata'],1996-11-26,['Fiction'],"A young man is involved briefly with the two mistresses of his dead father and with the daughter of one of them. In these limited relationships, the limitless human capacity for inertia and illusion is suggested and the infinite strange combinations of human joy and suffering.",N/A,N/A
Memories of Midnight,['Sidney Sheldon'],1990,['Fiction'],"The internationally best-selling 'The Other Side of Midnight' was dominated by the man who is Sheldon's most magnificent creation... 'Constantin Demiris' Billionaire, art lover, womaniser...and killer. To Noelle, the woman who betrayed him, and Larry, the man who stole her, Demiris brought a chilling retribution. But Demiris' terrible revenge is far from complete... 'Ioannina, Greece' In the seclusion of a remote convent a young woman emerges from the trauma of memory loss... 'Catherine Alexander' Larry's widow, sees Demiris as a benefactor, the man who restores her faith in the future. How can she know the fate he has in store, or that her life is bound up with other victims of his mighty ego? From the exotic shores of the Mediterranean to post-war London, 'Memories of Midnight' is a passionate, unforgettable story of an innocent woman's fight against a terrifying destiny",N/A,N/A
"20,000 Leagues Under the Sea",['Jules Verne'],2003-05,['Juvenile Fiction'],A huge sea monster has attacked and wrecked several ships from beneath the sea.,4,N/A
Flashman in the Great Game,['George MacDonald Fraser'],1975,['Fiction'],One of literature's most delightful rakes is back in another tale of rollicking adventure and tantalizing seduction. The plucky Flashman's latest escapades are sure to entertain devotees as well as attract new aficionados.,3,N/A
Swastika Night,['Katharine Burdekin'],1985,['Fiction'],"In a ""feudal Europe seven centuries into post-Hitlerian society, Burdekin's novel explores the connection between gender and political power and anticipates modern feminist science fiction.""--Cover.",N/A,N/A
Robinson Crusoe,[],2013,[],N/A,N/A,N/A
