title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Innovation and Entrepreneurship,['Peter Drucker'],2012-08-06,['Business & Economics'],"Still a neglected area of business, the ability to innovate and be a systematic entrepreneur is the focus of Peter Drucker's study, that deals with the practicalities of opportunities, risks, structures, strategies, staffing and remuneration.",N/A,N/A,en
The Entrepreneurial Society,['David B. Audretsch'],2007-07-02,['Business & Economics'],"In the depiction of the post-World War II economy, two factors mattered for economic growth: capital and labor. Economists were thus focused on macroeconomic policy, in order to induce investment in capital, while social institutions like education were oriented towards producing a labor force equipped to work in an economy consisting of large-scale factories. However, in the leading developed economies, globalization and technology have triggered a shift away from capital, which can be moved to lower-cost locations through downsizing and outsourcing of employment, and towards knowledge. Audretsch argues in this book that the entrepreneurial economy is the strategic response to this shift. In this economy, a new growth policy has emerged, focusing on promoting knowledge capital and entrepreneurship capital with programs like incubators, science parks, and start-up programs. In addition, knowledge-based geographic clusters have arisen, like Silicon Valley, Cambridge, and Bangalore. This book will provide a lens for understanding and interpreting the emergence of entrepreneurship policy. Audretsch will make connections between entrepreneurship and economic growth at the levels of individual firms and entire regions. He concludes that entrepreneurship contributes to economic growth by serving as a conduit for knowledge spillovers, injecting competition into the market for new ideas, and increasing the amount of diversity. This book should appeal to researchers and students in developmental economics.",N/A,N/A,en
Achieving Society,['David C. McClelland'],1961,['Business & Economics'],"This book provides a factual basis for evaluating economic, historical, and sociological theories that explain the rise and fall of civilizations.",N/A,N/A,en
The Innovator's DNA,"['Jeff Dyer', 'Hal B. Gregersen', 'Clayton M. Christensen']",2011,['Business & Economics'],"Master the discovery skills that distinguish innovative entrepreneurs and executives from ordinary managers. In ""The Innovator's DNA,"" the authors identify five capabilities demonstrated by the best innovators.",N/A,N/A,en
Multiple Perspectives of Entrepreneurship,['Daniel F. Jennings'],1994,['Business & Economics'],"This book contains text, cases and readings describing the different schools of entrepreneurial thought including economic theory and entrepreneurship, behavioural aspects of entrepreneurs, and corporate entrepreneurship. It concludes with a chapter on the future of entrepreneurship.",N/A,N/A,en
The House of Saud in Commerce,['Sharaf Sabri'],2001,['Business & Economics'],"In the evolutionary process of Saudi Arabia, the period beginning with the seventies marked by the 'oil revolution' can be described as the turning point. With this began a phase of consolidation and institutionalisation of the royal government. One important development having bearing on its nation building project has been the participation of the Royal Family members in economic activities of the country. Since the seventies, over the last three decades, it is clearly visible that the engagement of the Saudi Royal Family in economy and business has grown not only in volume but in form also. This study has attemped to look at the sprawling business activities of the Royal Family members, not merely as a profile but relate it to the evolutionary context. The first major study that examines the gradual process of emerging entrepreneurship in the Saudi Royal Family. It highlights the role of the royal entrepreneurs in the development of the Saudi private sector. The study shows that their investments have created a positive climate for the growth of entrepreneurship, especially productive entrepreneurship, on the Saudi business scene. An indispensable store-house of detailed account of the investments made by more that 600 royal members, including princesses in 1050 Saudi companies. Supported with 28 pages of index and 14 tables, this data-packed book is a bonanza for businessmen, diplomats, laymen, and all those interested in Saudi Arabia and its Royal Family. A must-have book that contains biographical and kinship details of the Aal Saud. The book is one of its kind and is fully based on firsthand local sources. Apart from numerous published sources in Arabic, the official gazette of the government of Saudi Arabis, Umm Al-Qura, has been extensively consulted.",N/A,N/A,en
"The Jewish Century, New Edition",['Yuri Slezkine'],2019-05-28,['History'],"This masterwork of interpretative history begins with a bold declaration: “The Modern Age is the Jewish Age, and the twentieth century, in particular, is the Jewish Century.” The assertion is, of course, metaphorical. But it drives home Yuri Slezkine’s provocative thesis: Jews have adapted to the modern world so well that they have become models of what it means to be modern. While focusing on the drama of the Russian Jews, including émigrés and their offspring, The Jewish Century is also an incredibly original account of the many faces of modernity—nationalism, socialism, capitalism, and liberalism. Rich in its insight, sweeping in its chronology, and fearless in its analysis, this is a landmark contribution to Jewish, Russian, European, and American history.",N/A,N/A,en
"Risk, Uncertainty and Profit","['Frank Hyneman Knight', 'David E. Jones']",2002,['Business & Economics'],Role of the entrepreneur in a distinct role of profit.,N/A,N/A,en
The 100 Absolutely Unbreakable Laws of Business Success,['Brian Tracy'],2000,['Business & Economics'],"One of the world's most popular business speakers reveals the techniques, principles, and laws that govern all business activity.",N/A,N/A,en
Social Entrepreneurship,['Johanna Mair'],2006-04-27,['Business & Economics'],Social Entrepreneurship is a global phenomenon that impacts the lives of citizens by using innovative approaches to solving social problems. This book offers a comprehensive examination of this growing area of research and provides an excellent introduction to social entrepreneurship theory and a framework for future research.,N/A,N/A,en
