title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Minima Moralia,['Theodor W. Adorno'],1978,['Biography & Autobiography'],"A reflection on everyday existence in the 'sphere of consumption of late Capitalism', this work is Adorno's literary and philosophical masterpiece. Built from aphorisms and reflections, he shifts in register from personal experience to the most general theoretical problems.",N/A,N/A,en
Essays of Elia,['Charles Lamb'],1835,['Essays'],N/A,N/A,N/A,en
The Complete Essays of Montaigne,['Michel de Montaigne'],1965,['Literary Collections'],"The works of the French essayist reflect his views of morality, society, and customs in the late sixteenth century",3,N/A,en
Cassandra,['Christa Wolf'],1988-05,['Fiction'],"""Retells the story of the fall of Troy ... from the point of view of the woman whose visionary powers earned her contempt and scorn. Written as a result of the author's Greek travels and studies, Cassandra speaks to us in a pressing monologue whose inner focal points are patriarchy and war. In the four accompanying pieces, which take the form of travel reports, journal entries, and a letter, Wolf describes the novel's genesis.""--Cover p. [4].",3,N/A,en
Beyond Culture,['Lionel Trilling'],1978,['Literary Criticism'],N/A,N/A,N/A,en
Currents and Counter-currents in Medical Science,['Oliver Wendell Holmes'],1878,['Essays'],N/A,N/A,N/A,en
Marginal Notes,['Thomas Babington Macaulay Baron Macaulay'],1907,['Essays'],N/A,N/A,N/A,en
"The Life of Francis Bacon, Lord Chancellor of England",['David Mallet'],1740,['English prose literature'],N/A,N/A,N/A,en
Van Gogh and the Seasons,['Sjraar van Heugten'],2018-03-06,['Art'],"A new look at the ways van Gogh represented the seasons and the natural world throughout his career The changing seasons captivated Vincent van Gogh (1853–90), who saw in their unending cycle the majesty of nature and the existence of a higher force. Van Gogh and the Seasons is the first book to explore this central aspect of van Gogh's life and work. Van Gogh often linked the seasons to rural life and labor as men and women worked the land throughout the year. From his depictions of peasants and sowers to winter gardens, riverbanks, orchards, and harvests, he painted scenes that richly evoke the sensory pleasures and deprivations particular to each season. This stunning book brings to life the locales that defined his tumultuous career, from Arles, where he experienced his most crucial period of creativity, to Auvers-sur-Oise, where he committed suicide. It looks at van Gogh's interpretation of nature, the religious implications of the seasons in his time, and how his art was perceived against the backdrop of various symbolist factions, antimaterialist debates, and esoteric beliefs in fin de siècle Paris. The book also features revealing extracts from the artist's correspondence and artworks from his own collection that provide essential context to the themes in his work. Breathtakingly illustrated and featuring informative essays by Sjraar van Heugten, Joan Greer, and Ted Gott, Van Gogh and the Seasons shines new light on the extraordinary creative vision of one of the world's most beloved artists.",N/A,N/A,en
The Unseen World and Other Essays,['John Fiske'],1899,['Essays'],N/A,5,N/A,en
Collection of Sand,['Italo Calvino'],2013,['Architecture'],"Published for the first time in English, a final collection of essays by the renowned fabulist writer tours the visual world through explorations of subjects ranging from cuneiform and antique maps to Mexican temples and Japanese gardens.",N/A,N/A,en
Essays and Treatises on Several Subjects,['David Hume'],1779,['Essays'],N/A,N/A,N/A,en
Words are My Matter,['Ursula K. Le Guin'],2019,['Fiction'],"A bright and wide-ranging collection of essays, reviews, talks, and more fromone of today's best and most thoughtful writers.",N/A,N/A,en
The Oxford Handbook of Computational Linguistics,['Ruslan Mitkov'],2022,['Computers'],"Provides a comprehensive account of current research in computational linguistics, Fully revised and updated throughout, including 37 new chapters, Features an extended glossary to explain key terms and concepts Book jacket.",N/A,N/A,en
The Treasure of the Humble,['Maurice Maeterlinck'],1897,['Aesthetics'],N/A,N/A,N/A,en
