title,authors,publishedDate,categories,description,averageRating,textSnippet
Letters from a Stoic,['Lucius Annaeus Seneca'],1969-07-30,['History'],"A philosophy that saw self-possession as the key to an existence lived ‘in accordance with nature’, Stoicism called for the restraint of animal instincts and the severing of emotional ties. These beliefs were formulated by the Athenian followers of Zeno in the fourth century BC, but it was in Seneca (c. 4 BC– AD 65) that the Stoics found their most eloquent advocate. Stoicism, as expressed in the Letters, helped ease pagan Rome’s transition to Christianity, for it upholds upright ethical ideals and extols virtuous living, as well as expressing disgust for the harsh treatment of slaves and the inhumane slaughters witnessed in the Roman arenas. Seneca’s major contribution to a seemingly unsympathetic creed was to transform it into a powerfully moving and inspiring declaration of the dignity of the individual mind.",N/A,N/A
The Rebel,['Albert Camus'],1956,['Philosophy'],"By one of the most profoundly influential thinkers of our century, The Rebel is a classic essay on revolution. For Albert Camus, the urge to revolt is one of the "" essential dimensions"" of human nature, manifested in man's timeless Promethean struggle against the conditions of his existence, as well as the popular uprisings against established orders throughout history. And yet, with an eye toward the French Revolution and its regicides and deicides, he shows how inevitably the course of revolution leads to tyranny. As old regimes throughout the world collapse, The Rebel resonates as an ardent, eloquent, and supremely rational voice of conscience for our tumultuous times. Translated from the French by Anthony Bower.",N/A,N/A
Plutarchi Chaeronensis Moralia,['Plutarch'],1892,['Ethics'],N/A,N/A,N/A
"Nietzsche, Philosopher, Psychologist, Antichrist",['Walter Kaufmann'],1974,['Philosophy'],A most sensible exposition of Nietzsche's philosophy.,5,N/A
Groundwork for the Metaphysics of Morals,"['Immanuel Kant', 'Jerome B. Schneewind']",2002-01-01,['Philosophy'],Immanuel Kant's Groundwork for the Metaphysics of Morals is one of the most important texts in the history of ethics. In it Kant searches for the supreme principle of morality and argues for a conception of the moral life that has made this work a continuing source of controversy and an object of reinterpretation for over two centuries. This new edition of Kant's work provides a fresh translation that is uniquely faithful to the German original and more fully annotated than any previous translation. There are also four essays by well-known scholars that discuss Kant's views and the philosophical issues raised by the Groundwork. J.B. Schneewind defends the continuing interest in Kantian ethics by examining its historical relation both to the ethical thought that preceded it and to its influence on the ethical theories that came after it; Marcia Baron sheds light on Kant's famous views about moral motivation; and Shelly Kagan and Allen W. Wood advocate contrasting interpretations of Kantian ethics and its practical implications.,N/A,N/A
On the Basis of Morality,['Arthur Schopenhauer'],1998-01-01,['Philosophy'],"This edition originally published by Berghahn Books. Schopenhauer's treatise on ethics is presented here in E. F. J. Payne's definitive translation, based on the Hubscher edition (Wiesbaden, 1946-1950). This edition includes an Introduction by David Cartwright, a translator's preface, biographical note, selected bibliography, and an index. For convenient reference to passages in Kant's work discussed by Schopenhauer, Academy edition numbers have been added.",5,N/A
Protagoras,['Plato'],2002,['History'],"The dialog in Greek with introduction, notes and appendices in English",5,N/A
Politics,['Aristotle'],1944,['Philosophy'],"Aristotle, great Greek philosopher, researcher, reasoner, and writer, born at Stagirus in 384 BCE, was the son of Nicomachus, a physician, and Phaestis. He studied under Plato at Athens and taught there (367-47); subsequently he spent three years at the court of a former pupil, Hermeias, in Asia Minor and at this time married Pythias, one of Hermeias's relations. After some time at Mitylene, in 343-2 he was appointed by King Philip of Macedon to be tutor of his teen-aged son Alexander. After Philip's death in 336, Aristotle became head of his own school (of ""Peripatetics""), the Lyceum at Athens. Because of anti-Macedonian feeling there after Alexander's death in 323, he withdrew to Chalcis in Euboea, where he died in 322.Nearly all the works Aristotle prepared for publication are lost; the priceless ones extant are lecture-materials, notes, and memoranda (some are spurious). They can be categorized as follows:I. Practical: Nicomachean Ethics; Great Ethics (Magna Moralia); Eudemian Ethics; Politics; Oeconomica (on the good of the family); Virtues and Vices. II. Logical: Categories; On Interpretation; Analytics (Prior and Posterior); On Sophistical Refutations; Topica. III. Physical: Twenty-six works (some suspect) including astronomy, generation and destruction, the senses, memory, sleep, dreams, life, facts about animals, etc. IV. Metaphysics: on being as being. V. On Art: Art of Rhetoric and Poetics. VI. Other works including the Athenian Constitution; more works also of doubtful authorship. VII. Fragments of various works such as dialogues on philosophy and literature; and of treatises on rhetoric, politics and metaphysics.The Loeb Classical Library? edition of Aristotle is in twenty-three volumes.",N/A,N/A
Oneself as Another,['Paul Ricœur'],1992,['Philosophy'],"Self that require solicitude, he indicates the direction from the self to the other and clarifies moral problems that appear to founder on the issue of identity. His identification of the nonpersonal concept of the self with the concept of the other thus exposes the key to the Moral Law. Oneself as Another expands on the Gifford Lectures that Ricoeur gave in Edinburgh in 1986 and published in French in 1990. It will be widely discussed among philosophers, literary.",5,N/A
Gorgias. Translated with an Introduction by Walter Hamilton. (Reissued.).,['Plato'],1971,['Philosophy'],"Taking the form of a dialogue among Socrates, Gorgias, Polus, and Callicles, the ""Gorgias"" debates crucial questions about the nature of government. While the aspiring politician Callicles propounds the view that might is right, and the rhetorician Gorgias argues that oratory and the power to persuade represent athe greatest good, a Socrates insists on the duty of politicians to consider the welfare of their citizensaa duty he believed had been dishonored in the Athens of his time. The dialogue offers fascinating insights into how classical Athens was governed and creates a theoretical framework that has been highly influential on subsequent political debate.",N/A,N/A
The Ethics of Aristotle,['Aristotle'],1874,['Ethics'],N/A,N/A,N/A
Groundwork of the Metaphysics of Morals,['Immanuel Kant'],2012,['Philosophy'],"""Published in 1785, Immanuel Kant's Groundwork of the Metaphysics of Morals ranks alongside Plato's Republic and Aristotle's Nicomachean Ethics as one of the most profound and influential works in moral philosophy ever written. In Kant's own words, its aim is to identify and corroborate the supreme principle of morality, the categorical imperative. He argues that human beings are ends in themselves, never to be used by anyone merely as a means, and that universal and unconditional obligations must be understood as an expression of the human capacity for autonomy and self-governance. As such, they are laws of freedom. This volume contains Mary Gregor's acclaimed translation of the work, sympathetically revised by Jens Timmermann, and an accessible, updated introduction by Christine Korsgaard""--",N/A,N/A
Nicomachean Ethics,['Aristotle'],1998,['Literary Collections'],"In Books VIII and IX of his masterpiece of moral philosophy, the Nicomachean Ethics, Aristotle gives perhaps the most famous of all philosophical discussions of friendship. Michael Pakaluk presents the first systematic study in English of these books, showing how important Aristotle's treatment of friendship is to his ethics as a whole. Pakaluk's fresh and scrupulously accurate translation is accompanied by a detailed philosophical commentary which reveals the remarkably coherent structure of the books and unfolds with lucidity the various arguments contained within Aristotle's terse and compressed text. Pakaluk looks at the logical form of Aristotle's analysis of friendship, at his subtle view of the relationship between friendship and justice, at the role of reciprocity in friendship, at civic friendship and its relation to the family, and at the development of friendship out of self-love and reflexive consciousness. This volume will be a valuable tool for anyone studying Aristotle's ethics, especially readers with no Greek.",N/A,N/A
De Officiis,['Marcus Tullius Cicero'],1899,['Ethics'],N/A,N/A,N/A
Protagoras,['Plato'],2004,['History'],"This volume contains new translations of two dialogues of Plato, the Protagoras and the Meno, together with explanatory notes and substantial interpretive essays. Robert C. Bartlett's translations are as literal as is compatible with sound English style and take into account important textual variations. Because the interpretive essays both sketch the general outlines of the dialogues and take up specific theoretical or philosophic difficulties, they will be of interest not only to those reading the dialogues for the first time but also to those already familiar with them.The Protagoras and the Meno are linked by the attention each pays to the idea of virtue: the latter dialogue focuses on the fundamental Socratic question, ""What is virtue?""; the former on the specific virtue of courage, especially in its relation to wisdom. An appendix contains a short extract from Xenophon's Anabasis of Cyrus that vividly portrays the figure of Meno.",N/A,N/A
The Theory of Moral Sentiments,['Adam Smith'],1982,['Business & Economics'],"'How selfish soever man may be supposed, there are evidently some principles in his nature, which interest him in the fortune of others, and render their happiness necessary to him, though he derives nothing from it except the pleasure of seeing it.' So begins The Theory of Moral Sentiments (1759), the first major text by Adam Smith, who, seven years later, was to publish what was to become one of the major economic classics, The Wealth of Nations (1776). However, Smith regarded The Theory of Moral Sentiments as his most important work because in it he identified the profound human instinct to act not necessarily in self-interest but through, as he phrased it, a 'mutual sympathy of sentiments'. The work is divided into seven parts, starting with Part 1: Of the Propriety of Action, in which Smith proposes the idea that 'Sympathy' can underlie human actions towards others, prompted by various emotions, be it perception of misfortune in others or simply 'the pleasure of mutual sympathy'. Other parts include 'Of the Effect of Utility upon the Sentiment of Approbation', 'Of the Character of Virtue' and finally 'Of Systems of Moral Philosophy'. In this concluding section, Smith considers the views of other philosophers, including Epicurus, Zeno, Plato, Aristotle, Cicero and Hobbes, as well as the opinions of his mentor, Dr Francis Hutchison, an important influence. In short, Smith proposes that man's sense of morality is interwoven with social instincts as much as reason or self-interest. Sympathy - the contemporary word we would use is empathy - is a universal and strongly held emotion in mankind, he says, imbued with virtue, prudence, justice and beneficence. The Theory of Moral Sentiments was, and remains, a milestone in Western philosophy.",N/A,N/A
"The theory of moral sentiments, or, An essay towards an analysis of the principles by which men naturally judge. To which is added, A dissertation on the origin of languages",['Adam Smith'],1853,['Ethics'],N/A,5,N/A
Essays on Aristotle's Ethics,['Amélie Rorty'],1980,['Literary Criticism'],"""Uniformly distinguished. . . . The cream of the philosophical thinking that has been done by students of Aristotle in this country and in Britain in the last few years. This compilation will mark a high point of excellence in its genre.""—Gregory Vlastos, University of California, Berkeley",3,N/A
The Analects,['Confucius'],1998,['Literary Collections'],"The Analects has been translated many times -- by Ezra Pound, Arthur Waley, Lin Yutang, Raymond Dawson, D.C. Lau, and most recently Simon Leys -- and the translations vary widely in style and substance. Waley's Analects, translated in 1938, has dominated the academic marketplace but today seems dated. Hinton's translation breathes new life into Confucius's majestic vision of the human community nestled in the primal ecology of a harmonious cosmos.",N/A,N/A
