title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Rebel with a Cause,['Franklin Graham'],1997-06-15,['Biography & Autobiography'],"Autobiography of Franklin Graham tells of growing up as the son of the best-known evangelist in the world, running away from what others expected of him, and details his involvement in relief work and evangelism during Desert Storm and in war-torn Rwanda, Croatia, and Nicaragua.",3,N/A,en
"John Wesley ""being Dead, Yet Speaketh""",['Joseph Hammond'],1891,['Evangelicalism (Methodist)'],N/A,N/A,N/A,en
The Life of Wesley; and the Rise and Progress of Methodism,['Robert Southey'],1820,[],N/A,N/A,N/A,en
"Select Letters, chiefly on personal religion, by the Rev. J. W. With a sketch of his character, by the Rev. S. Bradburn. [With a preface by T. Jackson.]",['John Wesley'],1837,['Evangelist'],N/A,N/A,N/A,en
John Wesley,['Matthieu Lelièvre'],1889,['Anti-Methodism'],N/A,N/A,N/A,en
George Whitefield and the Great Awakening,['John Pollock'],1972,['Calvinism'],A biography of a clergyman who with John and Charles Wesley founded the Methodist Church.,N/A,N/A,en
Life of the Rev. John Wesley,['John Wesley'],1833,['Evangelicalism (Methodist)'],N/A,N/A,N/A,en
The Life of John Wesley,['John Telford'],1899,['Anti-Methodism'],N/A,N/A,N/A,en
"The Oxford Methodist; Or, The Early Life of John Wesley ...","['George E. Sargent', 'George Etell Sargent']",1850,['Christian literature for children'],N/A,N/A,N/A,en
John Wesley,['Richard Green'],1881,['Emotions'],N/A,N/A,N/A,en
The Life of John Wesley,['C. T. Winchester'],1924,[],N/A,N/A,N/A,en
"The burning heart: John Wesley, evangelist",['Arthur Skevington Wood'],1976,['Emotions'],N/A,N/A,N/A,en
The Radical Wesley and Patterns for Church Renewal,['Howard A. Snyder'],1980,[],N/A,N/A,N/A,en
John Wesley,['Ingvar Haddal'],1961,['Clergy'],N/A,N/A,N/A,en
Wrestling Jacob,['Marjorie Bowen'],1938,['Emotions'],N/A,N/A,N/A,en
John Wesley and His Horse,['Thomas Ferrier Hulme'],1933,['Bristol'],N/A,N/A,N/A,en
Rebel With a Cause,['Franklin Graham'],1995,['Evangelist'],N/A,N/A,N/A,en
"The Life of the Rev. John Wesley, A.M.","['Richard Watson', 'John Wesley']",186?,['Methodists'],N/A,N/A,N/A,en
"Giovanni Wesley, sua vita e sua opera",['Matthieu Lelièvre'],1877,['Evangelist'],N/A,N/A,N/A,it
Markus und der Löwe,['Willibrord Neumüller'],1977,['Apostles'],N/A,N/A,N/A,de
John Wesley as Seen by Contemporaries and Biographers,['Richard P. Heitzenrater'],1984,['Religion'],N/A,N/A,N/A,en
Heart Set Free,['Arnold Dallimore'],1988,['Biography & Autobiography'],"Charles Wesley is well known as the sweet singer of Methodism the most gifted and most prolific of all English hymnwriters. His hymns are an exhilarating expression of the evangelical faith and mood of the revival of the eighteenth century. His gift of expressing prayer and praise in great simplicity, and faithfully recording the ups and downs of the Christian life, has enriched and encouraged the whole church. It is, however, a popular misconception that Charles was the hymnwriter and his brother John the preacher. In this new biography Arnold Dallimore firmly establishes Charles as much more than just a poet and puts him in his rightful place in Methodisms history, as one of the most powerful of the open-air field preachers of the revival and an indefatigable evangelist who spoke in demonstration of the Spirit and of power.",N/A,N/A,en
The Evangelist and Pastor,['Joseph Whitehead'],1879,['Evangelist'],N/A,N/A,N/A,en
From the Prize Ring to the Pulpit,['John D. Rhame'],1935,['Evangelist'],N/A,N/A,N/A,en
Preachers of Today,"['Batsell Barrett Baxter', 'M. Norvel Young']",1964,['Christian leadership'],N/A,N/A,N/A,en
