title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Adventures of Augie March,['Saul Bellow'],1984,['Fiction'],"Augie's nonconformity leads him into an eventful, humorous, and sometimes earthy way of life.",N/A,N/A,en
The Satanic Verses,['Salman Rushdie'],2000-12,['Fiction'],"Just before dawn one winter's morning, a hijacked jetliner explodes above the English Channel. Through the falling debris, two figures, Gibreel Farishta, the biggest star in India, and Saladin Chamcha, an expatriate returning from his first visit to Bombay in fifteen years, plummet from the sky, washing up on the snow-covered sands of an English beach, and proceed through a series of metamorphoses, dreams, and revelations.",3.5,N/A,en
Pride and Prejudice,['Jane Austen'],2000,['Fiction'],"A perennial favorite in the Norton Critical Editions series, Pride and Prejudice is based on the 1813 first edition text, which has been thoroughly annotated for undergraduate readers. ""Backgrounds and Sources"" includes biographical portraits of Austen by members of her family and by acclaimed biographers Claire Tomalin and David Nokes. Seventeen of Austen's letters—eight of them new to the Third Edition—allow readers to glimpse the close-knit society that was Austen's world, both in life and in her writing. Samples of Austen's early writing—from the epistolary Love and FriendshipA Collection of Letters—allow readers to trace her growth as a writer as well as to read her fiction comparatively. ""Criticism"" features eighteen assessments of the novel by nineteenth- and twentieth-century commentators, six of them new to the Third Edition. Among them is an interview with Colin Firth on the recent BBC television adaptation of the novel. Also included are pieces by Richard Whately, Margaret Oliphant, Richard Simpson, D. W. Harding, Dorothy Van Ghent, Alistair Duckworth, Stuart Tave, Marilyn Butler, Nina Auerbach, Susan Morgan, Claudia L. Johnson, Susan Fraiman, Deborah Kaplan, Tara Goshal Wallace, Cheryl L. Nixon, David Spring, Edward Ahearn, and Donald Gray. Also included are a Note on Money, a Chronology of Austen's life and work—new to the Third Edition—and an updated Selected Bibliography. About the Series: No other series of classic texts equals the caliber of the Norton Critical Editions. Each volume combines the most authoritative text available with the comprehenive pedagogical apparatus necessary to appreciate the work fully. Careful editing, first-rate translation, and thorough explanatory annotations allow each text to meet the highest literary standards while remaining accessible to students. Each edition is printed on acid-free paper and every text in the series remains in print. Norton Critical Editions are the choice for excellence in scholarship for students at more than 2,000 universities worldwide.",N/A,N/A,en
Growth of the Soil,['Knut Hamsun'],1958,['Fiction'],"""Story revolves around two individuals, Inger and Isak, and their elemental existence in the rough, open country of Norway."" *** ""I do not know how to express the admiration I feel for this wonderful book without seeming to be extravagant. I am not usually lavish with my praise, but indeed the book impresses me as among the very greatest novels I have ever read. It is wholly beautiful; it is saturated with wisdom and humor and tenderness."" H.G. Wells *** ""As a young man, Isak begins to farm some unclaimed land in the hills. He is soon joined by INger, who works hard beside him, bears him a son and becomes his wife. Together the family turns the small holding into a large estate that becomes the envy of the townsfolk who then move to Isak's mountain to try their luck. The successes, the failures, and the intertwining of the several families on the mountain form the theme for a story that is a powerful evocation of the strength people draw from the land."" Shapiro. Fic for Youth. 3rd ed.",N/A,N/A,en
Little Lord Fauntleroy,['Frances Hodgson Burnett'],1886,['Juvenile Fiction'],"Burnett's conviction that love conquers all is memorably embodied in this tale of an American boy who is transported from the mean streets of 19th-century New York to the splendor of his titled grandfather's English manor. ""Compellingly readable."" - Horn Book.",N/A,N/A,en
Pride and Prejudice,['Jane Austen'],1998,['Fiction'],"Jane Austen's elegant novel reveals her complex view of the human condition. The story centers around the charming and vibrant Elizabeth Bennett, one of five sisters whose family circumstance dictates that they marry well, and the misunderstandings that can result--sometimes hilariously--from hasty judgements.",N/A,N/A,en
Olivia,[],2000-10,['Juvenile Fiction'],Have fun with Olivia... dressing up singing songs building sand castles napping (maybe) dancing painting on walls and -- whew! -- going to sleep at last.,N/A,N/A,en
The Glory of Hera,['Philip Elliot Slater'],1968,['Families'],"""The mother-son relationship is the focus of this major study of Greek family and Greek mythology. Greek women married early, were excluded from public life, and had little legal protection; yet females figure prominently in Greek mythology and the maternal goddesses are often represented as powerful and aggressive. It is Slater's contention that women in Greek society exerted a strong matriarchal dominance, which simultaneously encouraged and stymied the exploits of the fable Greed hero. Slater pursues the themes of narcissism and psychological ambivalence as he studies the myths of Zeus, Apollo, Orestes, and Dionysus; and particularly Heracles (literally, 'the glory of Hera'), whose several responses to his persecutory mother, Hera, exemplify every mode of response to maternal threat. In a concluding section, Slater suggests cross-cultural and contemporary parallels to the Greek situation, notably in the life of the American middle class today""--Back cover.",N/A,N/A,en
Dombey and Son,['Charles Dickens'],1970,['Fiction'],"Mr. Dombey's idealistic vision of his ""Dombey and Son"" shipping firm rests on the shoulders of his delicate son Paul. However, when the firm faces ruin, and Dombey's second marriage ends in disaster, it is his devoted daughter Florence, unloved and neglected, who comes to his aid.This new edition contains Dickens's prefaces, his working plans, and all the original illustrations. The text is that of the definitive Clarendon edition, which is supplemented by a wide-ranging Introduction that highlights Dickens's sensitivity to the problems of his day, including those of familyrelationships, giving the novel added depth and relevance. The Notes and Bibliography have been substantially revised, extended, and updated.",N/A,N/A,en
Oxford Textbook of Palliative Care for Children,"['Richard Hain', 'Ann Goldman', 'Adam Rapoport', 'Michelle Meiring']",2021,['Medical'],"Comprehensive in scope, exhaustive in detail, and definitive in authority, this third edition has been thoroughly updated to cover new practices, current epidemiological data, and the evolving models that support the delivery of palliative medicine to children. This book is an essential resource for anyone who works with children worldwide.",N/A,N/A,en
