title,authors,publishedDate,categories,description,averageRating,textSnippet
The Magician's Nephew Color Gift Edition,['C. S. Lewis'],2003-11-04,['Fiction'],"The first book in The Chronicles of Narnia is now available in a full-color, unabridged gift edition that includes all of the original Pauline Baynes illustrations.",N/A,N/A
Through the Looking-Glass,['Lewis Carroll'],1993-04-23,['Juvenile Fiction'],Publisher description,N/A,N/A
A Wizard of Earthsea,['Ursula K. Le Guin'],2012,['Juvenile Fiction'],A boy grows to manhood while attempting to subdue the evil he unleashed on the world as an apprentice to the Master Wizard.,N/A,N/A
"The Hobbit, Or, There and Back Again",['John Ronald Reuel Tolkien'],1996,['Fiction'],"This definitive paperback edition features nine illustrations and two maps drawn by J.R.R. Tolkien, and a preface by Christopher Tolkien. Bilbo Baggins is a hobbit who enjoys a comfortable, unambitious life, rarely travelling further than the pantry of his hobbit-hole in Bag End. But his contentment is disturbed when the wizard, Gandalf, and a company of thirteen dwarves arrive on his doorstep one day to whisk him away on an unexpected journey 'there and back again'. They have a plot to raid the treasure hoard of Smaug the Magnificent, a large and very dangerous dragon... The prelude to The Lord of the Rings, The Hobbit has sold many millions of copies since its publication in 1937, establishing itself as one of the most beloved and influential books of the twentieth century.",N/A,N/A
Prince Caspian Movie Tie-in Edition (rack),['C. S. Lewis'],2008-04,['Fiction'],"This movie tie-in edition of the full original PRINCE CASPIAN novel will be rack size, and feature a movie cover and an 8-page movie still insert.",5,N/A
"Moomin, Mymble and Little My",['Tove Jansson'],2001,['Juvenile Fiction'],"Finnish artist Tove Jansson's Moomin stories have been continually in print for more than half a century, in 35 languages. They are among Europe's best loved and enduring children's classics, and through the TV animation (BBC2), the warm-hearted, whimsical creatures of Moomin valley have been brought to a new younger British audience.Introducing the first Sort Of Children's Classic in a new English version by Sophie Hannah. Sort of Books proudly presents the original full colour Moomin picture book with its irresistible cut-out page designs and playful rhyming text in a new version by one of Britain's star poets.",N/A,N/A
The Lord of the Rings,"['j.r.r. tolkien', 'John Ronald Reuel Tolkien']",2001,['Fiction'],Contains the complete set of the six books of Lord of the Rings.,4.5,N/A
Bloodmarked,['Tracy Deonn'],2022-11-08,['Young Adult Fiction'],"""When the leaders of the Order reveal that they will do everything in their power to keep the approaching demon war a secret, Bree and her friends go on the run so she can learn how to control her devastating new powers.""--",N/A,N/A
"The Lion, the Witch and the Wardrobe",['Clive Staples Lewis'],1950,['JUVENILE FICTION'],"The best-selling rack edition of The Lion, the Witch and the Wardrobe now has a movie still cover and an eight-page movie still insert! ""Excellent for Homeschool Use""",N/A,N/A
The Wind in the Willows,['Kenneth Grahame'],1908,['Family & Relationships'],"The escapades of four animal friends who live along a river in the English countryside--Toad, Mole, Rat, and Badger.",4,N/A
Charlie and the Great Glass Elevator,['Roald Dahl'],1988,['Juvenile Fiction'],"Mr. Willy Wonka might be a genius with chocolate, but Charlie and his family don't trust his flying skills one bit. And right now, he's at the helm of a giant glass elevator that's picking up speed and hurtling through space -- with Charlie and the entire Bucket family stuck inside! Roald Dahl's uproarious sequel to ""Charlie and the Chocolate Factory"" is certain to delight and entertain a new generation of readers. ""From the Hardcover edition.""",N/A,N/A
The Golden Compass,['Philip Pullman'],1997,['Fiction'],"Accompanied by her daemon, Lyra Belacqua sets out to prevent her best friend and other kidnapped children from becoming the subject of gruesome experiments in the Far North.",N/A,N/A
Prince Caspian,['Clive Staples Lewis'],2009,['Fiction'],"A beautiful paperback edition of Prince Caspian, book four in the classic fantasy series, The Chronicles of Narnia. This edition is complete with cover and interior art by the original illustrator, Pauline Baynes. The Pevensie siblings are back to help a prince denied his rightful throne as he gathers an army in a desperate attempt to rid his land of a false king. But in the end, it is a battle of honour between two men alone that will decide the fate of an entire world. A battle is about to begin in Prince Caspian, the fourth book in C. S. Lewis's classic fantasy series, which has been enchanting readers of all ages for over sixty years. This is a stand-alone novel, but if you would like to see more of Prince Caspian's adventures, read The Voyage of the Dawn Treader, the fifth book in The Chronicles of Narnia.",N/A,N/A
"The Hobbit, Or, There and Back Again",['John Ronald Reuel Tolkien'],1981,['Fiction'],"Bilbo Baggins an unambitious hobbitt, and a company of dwarves meet high adventure with trolls, goblins, elves and giant spiders, in search of dragon guarded gold.",5,N/A
Peter and Wendy,['James Matthew Barrie'],1911,['Children'],"The adventures of Peter Pan, the boy who would not grow up.",N/A,N/A
The Wind in the Willows,['Kenneth Grahame'],1993,['Fiction'],"Rat, Mole, Badger and the preposterous Mr Toad, have brought delight to many through the years with their odd adventures on and by the river, and at the imposing residence of Toad Hall.",N/A,N/A
