title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Lean Farm,['Ben Hartman'],2015,['Business & Economics'],"A practical, systems-based approach for a more sustainable farming operation To many people today, using the words ""factory"" and ""farm"" in the same sentence is nothing short of sacrilege. In many cases, though, the same sound business practices apply whether you are producing cars or carrots. Author Ben Hartman and other young farmers are increasingly finding that incorporating the best new ideas from business into their farming can drastically cut their wastes and increase their profits, making their farms more environmentally and economically sustainable. By explaining the lean system for identifying and eliminating waste and introducing efficiency in every aspect of the farm operation, The Lean Farm makes the case that small-scale farming can be an attractive career option for young people who are interested in growing food for their community. Working smarter, not harder, also prevents the kind of burnout that start-up farmers often encounter in the face of long, hard, backbreaking labor. Lean principles grew out of the Japanese automotive industry, but they are now being followed on progressive farms around the world. Using examples from his own family's one-acre community-supported farm in Indiana, Hartman clearly instructs other small farmers in how to incorporate lean practices in each step of their production chain, from starting a farm and harvesting crops to training employees and selling goods. While the intended audience for this book is small-scale farmers who are part of the growing local food movement, Hartman's prescriptions for high-value, low-cost production apply to farms and businesses of almost any size or scale that hope to harness the power of lean in their production processes.",N/A,N/A,en
How to Farm Profitably,['John Joseph Mechi'],1864,['Agriculture'],N/A,N/A,N/A,en
"All the Birds, Singing",['Evie Wyld'],2013,['Fiction'],"Jake Whyte, a single woman is the sole resident of an old farmhouse on an unnamed island, a place of ceaseless rains and battering winds. It's just her, her untamed companion, Dog, and a flock of sheep. But something is coming for the sheep, every few nights it picks one off and leaves it in rags",N/A,N/A,en
Bamboo,['Paul Yee'],2005,['Fiction'],"This tale is set in turn-of-the-century China. When Bamboo, a young farmer, sets off to try to earn his fortune in the New World, his sister-in-law schemes to steal his ancestral lands. But the magic bamboo that his new wife, Ming, has brought as a gift saves his life and brings the family life-long prosperity.",N/A,N/A,en
"So Long, See You Tomorrow",['William Maxwell'],2011,['Fiction'],"WITH AN INTRODUCTION BY ANN PATCHETTIn rural Illinois two tenant farmers share much, finally too much, until jealously leads to murder and suicide. A tenuous friendship between lonely teenagers - the narrator, whose mother has died young, and Cletus Smith, the troubled witness to his parent's misery - is shattered. Fifty years on, the narrator mourns words left unsaid, and attempts a reconstruction of those devastating events and the atonement of a lifetime's regret.",N/A,N/A,en
Redstone Station,['Therese Creed'],2013-04-28,['Fiction'],"Alice Wilson is happy to be returning home to Redstone Station after two years at Ag College. On various placements at farms and stations during her college days she's been shocked by some of the attitudes to women. By contrast, her grandfather Sam has always treated her as an equal. For his part, Sam is delighted to have his granddaughter back on board. In shaping Alice he and his wife tried to avoid the mistakes they made bringing up her mother, Lara, and Alice has more than lived up to their expectations, graduating from college with flying colours. Sam now sees Alice as the key to taking Redstone Station into a successful future. Exceptionally hard-working, with an instinctive understanding of animals and a natural aptitude for farming, Alice is determined to justify her grandfather's faith in her. But will the arrival of stockman Jeremy, a good-looking larrikin with a bad boy reputation, throw her - and the path of Redstone Station - off track?",N/A,N/A,en
Silver Clouds,['Fleur McDonald'],2013-03-25,['Fiction'],"An enthralling rural saga about a young woman who must come to term with past mistakes and a major tragedy in order to find peace, happiness and love.",N/A,N/A,en
Golden Apples,['Paul Heiney'],1999,['Farming'],"Kathy Foley doesn't know what she's letting herself in for when she comes to Ballymagee to run international conglomerate ChipCo's Ireland factory. Not only is there more to making crisps than she realised, but she is also plunged into a situation where history is all-important, and events from years ago prove to have as much relevance today as they did in the last century. Conspiracy, cover-ups, kidnapping and crisps: it's an explosive situation.",N/A,N/A,en
Beef Cattle,[],2006,['Agriculture'],N/A,N/A,N/A,en
Little Farmer of the Middle West,['Madeline Brandeis'],1937,"['Dust Bowl Era, 1931-1939']",N/A,N/A,N/A,en
Changing European Farming Systems for a Better Future,"['Hans Langeveld', 'Niels G. Röling']",2006,['Business & Economics'],"Changes in market organisation, climatic conditions and societal demands on food quality, animal welfare and environmental quality have created new conditions for farming families as well as for researchers and policy makers. New social, technical and economic solutions are needed for farming and rural areas. This book presents new perspectives for farms, farm products and rural areas, many of which were collectively developed by coalitions of farmers, farmer representatives, researchers, civilians and/or policy makers. Contributions are made from those involved in crop and animal production worldwide offering sections on natural resources management, development of sustainable rural systems, future perspectives for farming families, knowledge systems in transition and learning processes in multi-stakeholder processes. This unique collection of contributions, presenting insights from bio-physical as well as social sciences, shows where practice meets analysis and reflection and offers new perspectives for rural areas throughout the world.",N/A,N/A,en
Nederlandsche Boeren in de Oost,['M. C. Steinmetz'],1941,['Agriculture'],N/A,N/A,N/A,nl
Plantenteeltkundige vraagstukken in verband met het herstel van landbouwbedrijven in Indonesië,['Casper Coolhaas'],1948,['Agriculture'],N/A,N/A,N/A,nl
甘肃省志,[],1993,['Farm management'],限国内发行,N/A,N/A,zh-CN
African Agriculture and the World Bank,"['Kjell J. Havnevik', 'Nordiska Afrikainstitutet']",2007,['Social Science'],Publishier's description :,N/A,N/A,en
Nkumba,['Ian Campbell Thomson'],2014-08-01,['Biography & Autobiography'],"Today much of Africa is troubled. Perhaps in 1971 Zambia was less so, but it still had poverty, shanty towns, border closures and banditry. The ebb and flow of world copper prices was reflected in the prosperity or otherwise of the country and the wellbeing of its people. The sun is ever-present in Zambia, with sunsets that are breathtaking swathes of colour. Sometimes the throb of drums will carry on the night air, telling of some celebration deep in the bush. The drums seem to speak of an ancient culture unchanged by the passing years - but there is much going on beneath the surface; there is much to tell.",N/A,N/A,en
Exchange,"['Kay Syrad', 'Chris Drury']",2015-08-15,['Agriculture'],"Chris Drury s artwork and Kay Syrad s prose poetry combine here to form a sensitive and authentic portrait of a group of men and women whose lives are shaped by the land. It is a rich exploration of work, soil and the sustainability of their farming practice. """,N/A,N/A,en
DK Super Planet Farming and Food Security,[],2025-04,['Juvenile Nonfiction'],"Modern, authentic topic books which improve literacy and are mapped to the IB PYP, Cambridge Primary and the UK National Curriculum Aligned with science and earth science curricula, this title is part of the dynamic new DK Super Planet series which invites young minds to delve into the mysteries of our planet and beyond. Captivating and curriculum-aligned, each book in the series features engaging content, infographics, and hands-on experiments, providing an immersive learning experience. Dive into the wonders of Earth and space, with specially designed spreads that build scientific vocabulary, making complex concepts accessible to children. DK Super Planet goes beyond traditional topic books by incorporating interactive elements. Transform learning into an adventure with DK Super Planet, where science comes to life on every page, fostering a love for discovery and understanding.",N/A,N/A,en
Comments on the Reports of the Rural Reconstruction Commission,[],1948,['Agriculture'],N/A,N/A,N/A,en
Laglnaab a Tigr zabr ne komã,['Awa Tiendrebeogo'],2019,['Crop diversification'],N/A,N/A,N/A,en
Chasing Me to Hell,['C. W. Goldsworthy'],2024,['Farmers'],"""The letters cover farming, gossip, military service & family affairs ... the years 1895 to 1930, mainly family writing to one another with the odd non family member contributing.""--Foreword.",N/A,N/A,en
Green family of Hampshire to Farmer family of New Zealand,['Marjorie Prictor'],2023,['Farming'],N/A,N/A,N/A,en
Livestock of New Zealand,[],1971,['Livestock'],N/A,N/A,N/A,en
To Build a Dream,['Edith Williamson'],1991,['Farmers'],N/A,N/A,N/A,en
Right You Are!,['John Gilder'],2010,['Australia'],N/A,N/A,N/A,en
The Henty Journals,['Edward Henty'],1996,['History'],"The Henty brothers were pioneer settlers from 1834 at Portland Bay. The journals tell of the lives of four young men variously engaged in farming, whaling and coastal shipping, providing a record of the introduction of well-ordered English farming methods to a new land as well as a whaling logbook.",N/A,N/A,en
A Farmer's Year,['Angus Buchan'],2007,['Religion'],"365 simple yet profound daily reflections for people in every walk of life, from the author of the bestselling 'Faith Like Potatoes' Now comes a fine companion volume, offering reflections about the Christian path of discipleship. These are laced with striking stories and illustrations drawn from Angus's farming career, where life is a daily struggle against the elements, and is always unpredictable. 'How arrogant we farmers sometimes become when we see a beautiful crop of wheat or corn, and have the audacity to take the credit ... we plant, and do our best to cultivate, but we must leave the rest to God.'",N/A,N/A,en
Grains and Cereals,['Ann Squire'],2017,['JUVENILE NONFICTION'],"""This book explains how grains are grown, harvested, and processed. It also explores the debate around genetically modified crops""--",N/A,N/A,en
Blue Skies,['Fleur McDonald'],2010,['Fiction'],"Armed with an honours degree in Agribusiness, Amanda Greenfield dreams of employing all the skills she's learnt at college to help her father turn the family farm from a debt-ridden, run-down basket case into a thriving enterprise. Then tragedy strikes with the death of Amanda's mother in a car accident. Having inherited half the farm from her beloved mother, whom she also grieves for, Amanda determines to summon all her strength, grit and know-how to save Kyleena.",N/A,N/A,en
"Preventing Injuries from Slips, Trips and Falls",['William J. Becker'],1990,['Accidents'],N/A,N/A,N/A,en
AgInsights 2004,['Holmes Sackett & Associates'],2004,['Agriculture'],N/A,N/A,N/A,en
Among the Mountains,"['D. Lothrop & Company', 'G.T. Day & Co']",1872,['Agriculture'],N/A,N/A,N/A,en
Farm Industry,[],2002*,['Agriculture'],N/A,N/A,N/A,en
"Some Economic Considerations of Farming with Graded Contour Banks in the Douglas Daly Region, N.T. 1986","['D. W. G. Hanlon', 'M. Van Cuylenburg']",1986,['Agriculture'],N/A,N/A,N/A,en
Adjusting for Catchment Management,[],2000,['Agriculture'],N/A,N/A,N/A,en
Tomorrow Is Sunday,"[""Miriam O'Connor""]",2017,[],N/A,N/A,N/A,en
Final Workshop of Rice-Shrimp Project,[],2000,['Agriculture'],N/A,N/A,N/A,en
Factors Influencing the Use of Personal Protective Equipment by Farmers,['Jodie Doyle'],2000,['Agriculture'],N/A,N/A,N/A,en
