title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Operette Morali,['Giacomo Leopardi'],1983-12-09,['Literary Collections'],"This series is conceived as a library of bilingual editions of works chosen for their importance to Italian literature and to the international tradition of art and thought Italy has nurtured. In each volume an Italian text in an authoritative edition is paired with a new facing-page translation supplemented by explanatory notes and a selected bibliography. An introduction provides a historical and critical interpretation of the work. The scholars preparing these volumes hope through Biblioteca ltaliana to point a straight way to the Italian classics. GENERAL EDITOR: Louise George ClubbEDITORIAL BOARDPaul J. Alpers, Vittore BrancaGene Brucker, Fredi ChiappelliPhillip W. Damon, Robert M. DurlingGianfranco Folena, Lauro MartinesNicolas J. Perella",N/A,N/A,en
Feeding the Eye,['Anne Hollander'],2000-10-02,['Art'],"""Only a learned and daring intelligence could produce these dazzling essays on clothes, painting, literature, movies, and much more.""—Elizabeth Hardwick",N/A,N/A,en
Système de la mode,['Roland Barthes'],1983,['Clothing and dress'],"Ce livre, devenu un classique, est un des exemples les plus brillants d'application de la sémiologie à un phénomène culturel.",N/A,N/A,fr
Consuming Fashion,"['Anne Brydon', 'Sandra Niessen']",1998-09,['Design'],"Drawing on ethnographic knowledge to connect theory & practice, the authors reveal links between material culture, social & economic forces & personal performance to explain clothing choices through time and across cultures.",N/A,N/A,en
The Fashion System,['Roland Barthes'],1990-07-25,['Design'],"On semiotics, fashion and philosophy",3,N/A,en
Empire de L'éphémère,['Gilles Lipovetsky'],2002-07-21,['Business & Economics'],"This text draws on the history of fashion to demonstrate that the modern cult of appearance and superficiality actually serves the common good. It argues that mass produced fashion offers many choices, which in turn enable consumers to become complex individuals within a consolidated society.",4,N/A,en
The Essence of Style,['Joan E. DeJean'],2005,['Cooking'],"Writing with great elan, DeJean explains how the glittering world of Louis XIV set the standards of sophistication, style, and glamour that still rule today's lifestyles.",N/A,N/A,en
The Dictionary of Fashion History,"['Valerie Cumming', 'C. W. Cunnington', 'P. E. Cunnington']",2010-11-15,['Crafts & Hobbies'],"A landmark volume - the most comprehensive fashion history on the market, now completely updated.",N/A,N/A,en
Punk,"['Andrew Bolton', 'Richard Hell', 'John Lydon', 'Jon Savage']",2013-05-15,['Art'],"DIV Since its origins in the 1970s, punk has had an explosive influence on fashion. With its eclectic mixing of stylistic references, punk effectively introduced the postmodern concept of bricolage to the elevated precincts of haute couture and directional ready-to-wear. As a style, punk is about chaos, anarchy, and rebellion. Drawing on provocative sexual and political imagery, punks made fashion overtly hostile and threatening. This aesthetic of violence â€“ even of cruelty â€“ was intrinsic to the clothes themselves, which were often customized with rips, tears, and slashes, as well as studs, spikes, zippers, D-Rings, safety pins, and razor blades, among other things. This extraordinary publication examines the impact of punkâ€™s aesthetic of brutality on high fashion, focusing on its do-it-yourself, rip-it-to-shreds ethos, the antithesis of coutureâ€™s made-to-measure exactitude. Indeed, punkâ€™s democracy stands in opposition to fashionâ€™s autocracy. Yet, as this book reveals, even haute couture has readily appropriated the visual and symbolic language of punk, replacing beads with studs, paillettes with safety pins, and feathers with razor blades in an attempt to capture the styleâ€™s rebellious energy. Focusing on high fashionâ€™s embrace of punkâ€™s aesthetic vocabulary, this book reveals how designers have looked to the quintessential anti-establishment style to originate new ideals of beauty and fashionability. /div",N/A,N/A,en
Fetish Style,['Frenchy Lunning'],2013-04-11,['Social Science'],"Fetish Style traces the history, forms and tendencies of fetish fashions popular in both mainstream and subcultural fashion.",N/A,N/A,en
Fashion,['Lars Svendsen'],2006-10-30,['Design'],Lars Svendsen draws upon the writings of thinkers from Adam Smith to Roland Barthes to analyze fashion as both a historical phenomenon and a philosophy of aesthetics.,5,N/A,en
"Reforming Women's Fashion, 1850-1920",['Patricia A. Cunningham'],2003,['Design'],"This work focuses on the efforts toward reforming women's dress that took place in Europe and America in the latter half of the 18th century and the first decade of the 20th century, and the types of garments adopted by women to overcome the challenges posed by fashionable dress. It considers the many advocates for reform and examines their motives, their arguments for change, and how they promoted improvements in women's fashion. Though there was no single overarching dress reform movement, it reveals similarities among the arguments posed by diverse groups of reformers, including especially the equation of reform with an ideal image of improved health. Drawing on a variety of primary and secondary sources in the USA and Europe - including the popular press, advice books for women, allopathic and alternative medical literature, and books on aesthetics, art, health, and physical education - the text makes a significant contribution to costume studies, social history, and women's studies.",5,N/A,en
Nylon,['Susannah Handley'],1999,['Business & Economics'],"In Nylon: The Story of a Fashion Revolution, Handley folds together an array of topics: the role of technology in modern life, the changing nature of popular taste, the fortunes of the late-twentieth-century garment industry, and the design innovations and artistry that synthetics permit, even encourage. Handley tells behind-the-scenes stories about companies like DuPont (inventors of Nylon, the first pure synthetic fabric) and its competitors and imitators. She introduces readers to the world of clothing design and manufacture, tracing the development of fabrics from the semisynthetic ""Art Silk"" early in the century to polyester, Lycra, and the newest technological fibers and desirable weaves. She examines the advertising strategies that played on and built up consumer expectations. And she describes a not-too-distant future of interactive textiles, solar units, intelligent jackets, and the ""wearable office.""",N/A,N/A,en
Second Chance,['Danielle Steel'],2004,['Fiction'],A free-wheeling NYC high fashion magazine editor falls for a conservative widower with two children.,N/A,N/A,en
The Culture of Fashion,['Christopher Breward'],1995-05-15,['Art'],"This illustrated survey of 600 years of fashion investigates its cultural and social meaning from medieval Europe to twentieth-century America. Breward's work provides the reader with a clear guide to the changes in style and taste and shows that clothes have always played a pivotal role in defining a sense of identity and society, especially when concerned with sexual and body politics.",3,N/A,en
