title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Historical Novel from Scott to Sabatini,['H. Orel'],1995-02-15,['Literary Criticism'],"Sir Walter Scott defined the parameters of the historical novel and illustrated his concept of the genre by writing a long series of novels dealing with medieval times, the Elizabethan Age and the 18th Century. Later novels written by his contemporaries and successors attracted smaller audiences. When Robert Louis Stevenson, in the early 1880s, enthusiastically expanded the boundaries of romantic fiction, he became a standard-bearer and an inspiration to many of his fellow-novelists: Walter Besant, Richard Doddridge Blackmore, Arthur Quiller-Couch, Arthur Conan Doyle, Stanley John Weyman, Anthony Hope, Henry Rider Haggard, and Rafael Sabatini.",N/A,N/A,en
The Historical Novel in Nineteenth-Century Europe,['Brian Hamnett'],2011-11-24,['History'],"Even at the height of its popularity in the early nineteenth century the historical novel faced criticism at many levels. After its predominance in the 1810s and 1820s writers and historians shunned it as a travesty of their respective disciplines. Even so, the historical novel has frequently attracted a wide-ranging public right up to the present day. Brian Hamnett examines key novels, by authors including Scott, Balzac, Manzoni, Dickens, Eliot, Flaubert, Fontane, Galdós, and Tolstoy, revealing the contradictions inherent in this form of fiction and exposing the challenges writers faced in attempting to represent a reality that linked past and present. He argues that the historical novel in the nineteenth century was a common European phenomenon with considerable interconnection of themes and periods. Accordingly, the book ranges from the British Isles and France through the Germanic territories, Italy and Spain, to the Russian Empire, identifying the different objectives and phases of the historical novel. Although historical novels did appear in the two previous centuries, the form came to maturity in the nineteenth century, a consequence of the developing nature of history as a discipline distinct from literature and philosophy, and the increasing primacy of the novel for writers and the reading public. Yet, the frontiers between history and literature remained blurred, and the two disciplines continued to influence one another as each sought a faithful representation of human experience.",N/A,N/A,en
The Woman's Historical Novel,['D. Wallace'],2004-11-19,['Literary Criticism'],"The historical novel has been one of the most important forms of women's reading and writing in the twentieth century, yet it has been consistently under-rated and critically neglected. In the first major study of British women writers' use of the genre, Diana Wallace tracks its development across the century. She combines a comprehensive survey with detailed readings of key writers, including Naomi Mitchison, Georgette Heyer, Sylvia Townsend Warner, Margaret Irwin, Jean Plaidy, Mary Renault, Philippa Gregory and Pat Barker.",N/A,N/A,en
British Historical Fiction before Scott,['A. Stevens'],2010-04-09,['Fiction'],"In the half century before Walter Scott's Waverley , dozens of popular novelists produced historical fictions for circulating libraries. This book examines eighty-five popular historical novels published between 1762 and 1813, looking at how the conventions of the genre developed through a process of imitation and experimentation.",N/A,N/A,en
The Contemporary British Historical Novel,['M. Boccardi'],2009-06-25,['Literary Criticism'],"A detailed study of an increasingly popular genre, this book offers readings of a group of significant and representative works, drawing on a range of interpretative strategies to examine the ways in which the contemporary historical novel engages with questions of nation and identity to illuminate Britain's post-imperial condition.",N/A,N/A,en
The Postcolonial Historical Novel,['H. Dalley'],2014-10-17,['Literary Criticism'],"The Postcolonial Historical Novel is the first systematic work to examine how the historical novel has been transformed by its appropriation in postcolonial writing. It proposes new ways to understand literary realism, and explores how the relationship between history and fiction plays out in contemporary African and Australasian writing.",N/A,N/A,en
Proceedings of the New York Historical Society for the Year 1846,['Anonymous'],2025-08-08,['Fiction'],"Reprint of the original, first published in 1847. The Antigonos publishing house specialises in the publication of reprints of historical books. We make sure that these works are made available to the public in good condition in order to preserve their cultural heritage.",N/A,N/A,en
The New-England Historical & Genealogical Register and Antiquarian Journal,['Anonymous'],2023-06-12,['Fiction'],"Reprint of the original, first published in 1872. The publishing house Anatiposi publishes historical books as reprints. Due to their age, these books may have missing pages or inferior quality. Our aim is to preserve these books and make them available to the public so that they do not get lost.",N/A,N/A,en
Proceedings of the Rhode Island Historical Society,['Anonymous'],2023-02-07,['Fiction'],Reprint of the original.,N/A,N/A,en
"Transactions of the Kansas State Historical Society, 1905-1906",['Anonymous'],2025-08-12,['Fiction'],"Reprint of the original, first published in 1881. The Antigonos publishing house specialises in the publication of reprints of historical books. We make sure that these works are made available to the public in good condition in order to preserve their cultural heritage.",N/A,N/A,en
