title,authors,publishedDate,categories,description,averageRating,textSnippet,language
If She Saw (A Kate Wise Mystery—Book 2),['Blake Pierce'],2018-12-11,['Fiction'],"“A masterpiece of thriller and mystery. Blake Pierce did a magnificent job developing characters with a psychological side so well described that we feel inside their minds, follow their fears and cheer for their success. Full of twists, this book will keep you awake until the turn of the last page.” --Books and Movie Reviews, Roberto Mattos (re Once Gone) IF SHE SAW (A Kate Wise Mystery) is book #2 in a new psychological thriller series by bestselling author Blake Pierce, whose #1 bestseller Once Gone (Book #1) (a free download) has received over 1,000 five star reviews. When a couple is found murdered and no suspects are apparent, 55 year old empty nester Kate Wise, after a 30 year career with the FBI, finds herself called out of retirement (and her quiet suburban life) to come back and work for the bureau. Kate’s brilliant mind and unrivaled ability to enter the mind of serial killers is just too indispensable, and the FBI needs her to crack this baffling case. Why were two couples found murdered, 50 miles apart, and in the same manner? What can they possibly have in common? The answer, Kate realizes, is urgent—as she is certain the killer is about to strike again. But in the deadly game of cat and mouse that follows, Kate, entering the dark canals of the killer’s twisted mind, may just find herself a moment too late. An action-packed thriller with heart-pounding suspense, IF SHE SAW is book #2 in a riveting new series that will leave you turning pages late into the night. Book #3 in the KATE WISE MYSTERY series is now also available!",N/A,N/A,en
Earl Grey Alibi (A Penny Hawthorne Cozy Mystery—Book 7),['Fiona Grace'],2025-04-08,['Fiction'],"“A great story of murder, romance, new beginnings, love, friendships and a wonderful cascade of mystery.” --Amazon reviewer (regarding Murder in the Manor) ⭐⭐⭐⭐⭐ EARL GREY ALIBI: A PENNY HAWTHORNE COZY MYSTERY (BOOK #7) is the seventh book in a new cozy mystery series by Fiona Grace, #1 bestselling author of Murder in the Manor, which has over 10,000 five star reviews! Penelope “Penny” Hawthorne, an herbalist with a knack for creating unique teas, travels to exotic locations worldwide to source only the best and rarest herbs and roots. But in England, Penny’s serene life swirls into chaos when a nobleman's body is found amidst the petals of his own garden. Rooted in the idyllic English countryside, Penny will need to blend her unique skills with her detective beau's insights to infuse justice into a high-society scandal. Dive into the charm of the Penny Hawthorne series, a cozy mystery filled with clever humor and captivating quirkiness that transports you to far-flung locales. Combining comedic elements with emotional depth and surprising twists, this series promises to introduce you to a delightful new hero who's set to capture your affection and captivate you well into the night. Future books in the series are also available! ""Very entertaining. I highly recommend this book to the permanent library of any reader that appreciates a very well written mystery, with some twists and an intelligent plot. You will not be disappointed. Excellent way to spend a cold weekend!"" --Books and Movie Reviews, Roberto Mattos (regarding Murder in the Manor) ⭐⭐⭐⭐⭐ “The story line wasn't just a who done it, but had a story about her life and romance, including village life. Very entertaining.” --Amazon reviewer (regarding Murder in the Manor) ⭐⭐⭐⭐⭐ “It has endearing and sometimes quirky characters, a plot that keeps you reading and the right amount of romance. I can’t wait to start book two!” --Amazon reviewer (regarding Murder in the Manor) ⭐⭐⭐⭐⭐ “What a great story of murder, romance, new beginnings, love, friendships and a wonderful cascade of mystery.” --Amazon reviewer (regarding Murder in the Manor) ⭐⭐⭐⭐⭐ “This is a clean contemporary romance that you will find hard to put down!” --Amazon reviewer (regarding Always, Forever) ⭐⭐⭐⭐⭐ “A bit of romance and a very determined woman! I have read many of Fiona Grace's novels and loved every one of them—this was no exception. I am looking forward to reading the rest of this new series!” --Amazon reviewer (regarding Always, With You) ⭐⭐⭐⭐⭐",N/A,N/A,en
Next Door (A Chloe Fine Psychological Suspense Mystery—Book 1),['Blake Pierce'],2018-10-02,['Fiction'],"""NEXT DOOR is full of completely unexpected twists—you will read it on the edge of your chair. It is Blake Pierce at his best! Another masterpiece of suspense and mystery. I highly recommend it to the permanent library of all readers that appreciate an excellent thriller, full of psychological suspense and with a completely unexpected ending. This is the first in what promises to be another excellent series. I can hardly wait to read the sequel."" --Books and Movie Reviews, Roberto Mattos NEXT DOOR (A Chloe Fine Mystery) is book #1 in a new psychological suspense series by bestselling author Blake Pierce, whose #1 bestseller Once Gone (Book #1) (a free download) has received over 1,000 five star reviews. FBI Evidence Response Team intern Chloe Fine, 27, finds herself forced to confront her own dark past when her troubled twin sister needs her help—and when a body turns up dead in her small, suburban town. Chloe feels life is finally perfect as she moves back into her home town, and into a new house with her fiancé. Her career with the FBI looks promising, and her wedding is on the horizon. But, she learns, all is not as it seems in suburbia. Chloe begins to see the underside—the gossip, the secrets, the lies—and she finds herself haunted by her own demons: her mother’s mysterious death when she was 10, and her father’s imprisonment. And when a fresh body is found, Chloe soon realizes that her past, and this small town, might hold the key to solving both. An emotionally wrought psychological suspense with layered characters, small-town ambiance and heart-pounding suspense, NEXT DOOR is book #1 in a riveting new series that will leave you turning pages late into the night. Book #2 in the CHLOE FINE series is also now available!",4,N/A,en
The Egyptian Cross Mystery,['Ellery Queen'],2021-11-25,['Fiction'],"'Murder on Christmas day' is the newspaper headline no one wanted to read... A true classic from the golden age of crime fiction. 'Brilliant' PUBLISHERS WEEKLY When a small-town schoolteacher is discovered dead, beheaded, and tied to a T-shaped cross on December 25th, Ellery Queen is intrigued enough to take a closer look. But when he arrives, Queen is met with too few clues and too little evidence to produce a satisfactory verdict, even for a master sleuth such as himself, and so returns home, defeated. But when an identical murder occurs - followed by several more - Queen discovers a horrific connection to a strange cult. This is a disturbing puzzle unlike anything he's encountered before, and it will take all of his powers of deduction to uncover the killer.",N/A,N/A,en
Once Bound (A Riley Paige Mystery—Book 12),['Blake Pierce'],2018-02-26,['Fiction'],"“A masterpiece of thriller and mystery! The author did a magnificent job developing characters with a psychological side that is so well described that we feel inside their minds, follow their fears and cheer for their success. The plot is very intelligent and will keep you entertained throughout the book. Full of twists, this book will keep you awake until the turn of the last page.” --Books and Movie Reviews, Roberto Mattos (re Once Gone) ONCE BOUND is book #12 in the bestselling Riley Paige mystery series, which begins with the #1 bestseller ONCE GONE (Book #1)—a free download with over 1,000 five star reviews! In this heart-pounding thriller, women are being found dead on train tracks across the country, forcing the FBI into a mad race against time to catch the serial killer. FBI Special Agent Riley Paige may have finally met her match: a sadistic killer, binding victims to the tracks to be killed by incoming trains. A killer smart enough to evade capture across many states—and charming enough to go unseen. She soon learns it will require all of her faculties to enter into his sick mind—a mind which she unsure she wants to enter. And all with a final twist that is so shocking, even Riley could not expect it. A dark psychological thriller with heart-pounding suspense, ONCE BOUND is book #12 in a riveting new series—with a beloved new character—that will leave you turning pages late into the night. Book #13 in the Riley Paige series is also now available!",N/A,N/A,en
The Richard Deming Mystery MEGAPACK ®,['Richard Deming'],2015-06-19,['Fiction'],"Richard Deming (1915-1983) wrote prolifically for magazines (more than 200 short stories) as well as for major book publishers (more than two dozen novels, ranging from original crime novels to media tie-ins (Dragnet and The Mod Squad) to even a pseudonymous nautical series involving submarines. He was a meticulous professional who never disappointed readers. Included here are 15 of his best crime tales, including: THE ART OF DEDUCTION THE CLOCK IS CUCKOO SAY IT WITH FLOWERS STOLEN GOODS MR. OLEM'S SECRET CHEERS HE'LL KILL YOU A GIRL MUST BE PRACTICAL ACTING JOB BLACK BELT A PUTTING AWAY OF TOYS DAN AND THE DEATH-CELL BLUFF HOUSEBOAT NICE GUY A GOOD FRIEND THIS IS MY NIGHT (Novel Sample) DRAGNET: THE CASE OF THE COURTEOUS KILLER (Novel Sample) PACIFIC STANDOFF (Novel Sample) If you enjoy this book, search your favorite ebook store for ""Wildside Press Megapack"" to see the 200+ other entries in the series, covering science fiction, fantasy, mysteries, westerns, classics, adventure stories, and much, much more!",N/A,N/A,en
A Rachel Gift Mystery Bundle: Her Last Chance (#2) and Her Last Hope (#3),['Blake Pierce'],2022-06-01,['Fiction'],"A bundle of books #2 (HER LAST CHANCE) and #3 (HER LAST HOPE) in Blake Pierce’s Rachel Gift Mystery series! This bundle offers books two and three in one convenient file, with over 100,000 words of reading. In HER LAST CHANCE (Book #2), with a rash of people dying suspiciously from high bridges, jumping to their deaths in apparent suicides, the FBI is called in to investigate. On suspicion of a serial killer, FBI Special Agent Rachel Gift is assigned the case, and soon realizes she is up against something more diabolical than she could have imagined. In an epic game of cat and mouse, can she stay healthy enough to outsmart the killer and catch him before it’s too late? And can she keep her own demons—and her own traumatic past—at bay? In HER LAST HOPE (Book #3), when a series of different organ donors are murdered, Rachel is determined to track down the killer. But Rachel herself is faltering, beginning to succumb to her illness. Can she keep it together long enough to catch this killer before her own death? And can she keep her own demons—and her own traumatic past—at bay? A riveting and chilling crime thriller featuring a brilliant and flailing FBI agent, the RACHEL GIFT series is an unputdownable mystery, packed with suspense, twists and shocking secrets, propelled by a page-turning pace that will keep you bleary-eyed late into the night. Books #4-#6 are also available!",N/A,N/A,en
Herbal Homicide (A Penny Hawthorne Cozy Mystery—Book 1),['Fiona Grace'],2024-08-31,['Fiction'],"“A great story of murder, romance, new beginnings, love, friendships and a wonderful cascade of mystery.” --Amazon reviewer (regarding Murder in the Manor) ⭐⭐⭐⭐⭐ HERBAL HOMICIDE: A PENNY HAWTHORNE COZY MYSTERY (BOOK #1) is the first book in a new cozy mystery series by Fiona Grace, #1 bestselling author of Murder in the Manor, which has over 10,000 five star reviews! Penelope “Penny” Hawthorne, an herbalist with a knack for creating unique teas, travels to exotic locations worldwide to source only the best and rarest herbs and roots. But during a trip to the breathtaking Swiss Alps, Penny’s rare aconite tea brews up more than relaxation when a famed alpinist's death makes her a prime suspect. As she sifts through clues and uncovers bitter rivalries, Penny must steep herself in the art of deduction to clear her name and unmask a killer, with the unexpected help of a dashing British detective. Dive into the charm of the Penny Hawthorne series, a cozy mystery filled with clever humor and captivating quirkiness that transports you to far-flung locales. Combining comedic elements with emotional depth and surprising twists, this series promises to introduce you to a delightful new hero who's set to capture your affection and captivate you well into the night. Future books in the series are also available! ""Very entertaining. I highly recommend this book to the permanent library of any reader that appreciates a very well written mystery, with some twists and an intelligent plot. You will not be disappointed. Excellent way to spend a cold weekend!"" --Books and Movie Reviews, Roberto Mattos (regarding Murder in the Manor) ⭐⭐⭐⭐⭐ “The story line wasn't just a who done it, but had a story about her life and romance, including village life. Very entertaining.” --Amazon reviewer (regarding Murder in the Manor) ⭐⭐⭐⭐⭐ “It has endearing and sometimes quirky characters, a plot that keeps you reading and the right amount of romance. I can’t wait to start book two!” --Amazon reviewer (regarding Murder in the Manor) ⭐⭐⭐⭐⭐ “What a great story of murder, romance, new beginnings, love, friendships and a wonderful cascade of mystery.” --Amazon reviewer (regarding Murder in the Manor) ⭐⭐⭐⭐⭐ “This is a clean contemporary romance that you will find hard to put down!” --Amazon reviewer (regarding Always, Forever) ⭐⭐⭐⭐⭐ “A bit of romance and a very determined woman! I have read many of Fiona Grace's novels and loved every one of them—this was no exception. I am looking forward to reading the rest of this new series!” --Amazon reviewer (regarding Always, With You) ⭐⭐⭐⭐⭐",N/A,N/A,en
"A Zoe Prime Mystery Bundle: Face of Madness (#4), Face of Fury (#5), and Face of Darkness (#6)",['Blake Pierce'],2021-06-02,['Fiction'],"A bundle of books #4 (FACE OF MADNESS), #5 (FACE OF FURY), and #6 (FACE OF DARKNESS) in Blake Pierce’s Zoe Prime Mystery series! This bundle offers books four, five, and six in one convenient file, with over 100,000 words of reading. In FACE OF MADNESS (#4), a truly awful serial killer is targeting women in FBI Special Agent Zoe Prime’s home state of Nebraska, using methods reminiscent of Ted Bundy. Zoe sees all the numbers—but for the first time in her life, it doesn’t help. This killer may be driven by human and social reasons—something that Zoe struggles to understand. Is this the case that proves her limits? Or is there a pattern to everything—even social interactions? And as Zoe battles her own demons, will her disastrous decision to visit her family finally lead to her breaking point? In FACE OF FURY (#5), women are turning up dead, victims of a serial killer who carves a mysterious symbol on their bodies. The symbol holds some mathematical significance, and Zoe struggles to know if he is killing in the order of PI. But when her theory falls apart, Zoe must second guess everything she thought she knew. Has Zoe’s talent met its match? And can she save the next victim in time? In FACE OF DARKNESS (#6), victims are being found murdered in Salem, in ways and on dates which correlate to the infamous witch trials. Is a serial killer trying to recreate the past? What can the numbers mean? Zoe, meanwhile, has hit her own internal wall, as her personal life begins to unravel under the weight of her condition. Will this be the case that sets her over the edge? An action-packed thriller with heart-pounding suspense, The Zoe Prime mystery series will leave you turning pages late into the night.",N/A,N/A,en
The Pulp Mystery MEGAPACK®,"['George Harmon Coxe', 'Murray Leinster ', 'J. Allan Dunn', 'David H. Keller ', 'Robert Turner', 'David Wright O’Brien ', 'Chester S. Geier', 'Norbert Davis', 'Frank Gruber ', 'Arthur J. Burks ', 'Mort Lansing', 'Norbert Davis ', 'Tedd Thomey']",2023-11-14,['Fiction'],"This fine collection of vintage mysteries from the pulp magazines presents 13 tales sure to thrill the armchair detective. Included are: HANDS OF DOOM, by David H. Keller EVIDENCE, by Murray Leinster THE DRUMS OF DEATH, by J. Allan Dunn HAIR OF THE CAT, by Robert Turner HELL’S SIPHON, by George Harmon Coxe DIBBLE DABBLES IN DEATH, by David Wright O’Brien CLOSE TO MY HEART, by Chester S. Geier THE RAG-TAG GIRL, by Norbert Davis MASTER OF FEAR, by Frank Gruber GREEN-EYED VENGEANCE, by Arthur J. Burks A HUNDRED GRAND, by Mort Lansing DEAD MAN’S CHEST, by Norbert Davis $10,000 AN INCH, by Tedd Thomey If you enjoy this volume of our best-selling MEGAPACK® ebook series, check out the rest of the line! We have more than 400 volumes, covering mysteries, westerns, science fiction, romance, classics—and much, much more. Search your favorite ebook store for ""Wildside Press Megapack"" to see them all.",N/A,N/A,en
