title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Schandalige romance,['Sophie Barnes'],2020-10-08,['Fiction'],"Een lady, een markies, een schandaal… Om te voorkomen dat haar inhalige tante haar opzadelt met een hoogbejaarde fat, heeft Lady Rebecca twee jaar lang gedaan alsof ze krankzinnig was. de huwelijkskandidaten liggen daarom nu niet meteen voor het oprapen. Maar Rebecca is vastbesloten om zo snel mogelijk, én op eigen kracht, een geschikte echtgenoot te vinden. Als Lord Daniel Neville niet binnen een maand een vrouw vindt, zal zijn oom zijn toelage voorgoed stopzetten en kan hij de titel van markies van Wolvington op zijn buik schrijven. Alleen is hij gezien zijn turbulente verleden niet bepaald de ideale bruidegom. Tijdens een dans op het beroemde Kingsborough-bal springt de vonk tussen Rebecca en Daniel meteen over. Zal er iets moois tussen hen opbloeien, of is hun beider reputatie een te groot obstakel voor het huwelijksgeluk? Dit verhaal is eerder verschenen",N/A,N/A,nl
Zwoele Liefdes - Mediterrane romance,"['Anne McAllister', 'Carole Mortimer', 'Christina Hollis']",2023-09-19,['Fiction'],"Er gaat toch niets boven een zongebruinde minnaar met een opwindend accent! In Een gewaagde kans treft Martha in het familiehuis op Santorini een wildvreemde – én adembenemende – man aan. Theo Savas, zoals hij blijkt te heten, beweert de nieuwe eigenaar te zijn, maar zo gemakkelijk laat Martha zich haar huis niet afpakken. In plaats daarvan sluit ze een gewaagde overeenkomst met hem… In Siciliaanse trots vermoedt Wolf Gambrelli dat de beeldschone Angelica op het fortuin van zijn goede vriend Stephen aast. Hij besluit in te grijpen, maar Angelica is absoluut niet onder de indruk van hem. Dat kan hij maar moeilijk verkroppen, vooral omdat hij zeer onder de indruk is van haar… In Bitterzoet aanbod is Gwen woedend op Etienne Moreau. Ze mag dan een spannende nacht hebben beleefd met de miljonair, het aanbod om zijn minnares te worden is bespottelijk. En dan éíst hij ook nog dat ze op zijn chateau blijft! Wat Gwen niet weet, is dat hij niet anders kan dan zich zo meedogenloos opstellen… Deze verhalen zijn eerder verschenen.",N/A,N/A,nl
Silent Fury: Dark Mafia Romance,['Alessa Steel'],N/A,['Fiction'],"Running from hell isnʼt easy. Especially when someoneʼs dragging you back down into it. Bold, rebellious, and always dressed in black, Ivana is no delicate flower. Sheltered by her father, she’s managed to live a relatively normal life—despite being born into the shadows of New York’s criminal underworld. Vasco is ruthless, merciless, and dangerously calculated. As the untouchable boss of the city’s most depraved crime syndicate, even the most hardened Made Men fear him. Ivana despises his arrogance, his possessiveness—the way he thinks he can own her. But she can’t ignore the way her pulse races at his touch, the low rasp of his voice, or the fire in his dark, commanding gaze. Vasco loathes her defiance, her recklessness, the chaos she brings into his world. To him, she’s something wild that needs to be broken. So when he slides a ring onto her finger, stealing away her future, she makes only one promise—she’ll be his greatest torment. This is the first book of the Silent Desire Series. Reading order: Silent Fury, Silent Sins.",N/A,N/A,en
An Heir for the Boss: A Billionaire Boss Romance,['Alice Fox'],N/A,['Fiction'],"With her fathers business hitting rock bottom, Alley Rose turns to the one man who will take the greatest of pleasures in this whole complicated mess. Her fathers mortal enemy. Her one and only love. And the man who took her virginity and stamped on her heart in the blink of an eye. Felix Mendez, spanish billionaire and notorious playboy, will help sweet Alley Rose save her fathers business empire, but for a price. Felix needs a heir. Revenge has never been so sweet. Lust stirs and the flame ignites again for these old lovers, and Felix can't help but think this could be the most rewarding deal he's ever struck.",N/A,N/A,en
"Silk Scars Stay: Love, Hurts, Beautifully, Emotional, Billionaire Romance",['KELAKKIYAR SIDDHAR '],N/A,['Fiction'],"Elena Hart was never supposed to be a headline. Once the woman behind New York's most powerful billionaire, she vanished from the world the day he let her fall in silence. But silence, as she learns, doesn't protect—it erases. Now, years later, she returns not to reclaim love but to reclaim herself. In a world that once fed off her stillness, Elena becomes the story: raw, unedited, and unstoppable. When Vincent Saito—still ruthless, still haunted—steps back into her path, neither of them can hide behind the lies they used to wear so well. What begins as confrontation unfolds into something far more complicated: a quiet unraveling of the past, a reckoning of love shaped by guilt, and a battle between pain that lingers and healing that dares to begin. Set against backdrops of luxury and loneliness, this is a love story born not in perfection but in the ashes of everything that broke them. Emotional, bold, and fiercely honest, Silk Scars Stay explores the beauty of rebuilding, the ache of what could have been, and the power of a woman who learns that her story was never someone else's to tell. This isn't about forgiveness. It's about becoming.",N/A,N/A,en
Sampled: A Steamy Opposites Attract New Adult College Girl meets Tattooed Hero Medical and Firefighter Romance,['Carina Alyce'],2022-08-02,['Fiction'],"Pick your favorite 21st birthday present. One evening with your parents at the theater or one night with a tattooed firefighter. (Seriously, what college girl won't go for the skinny-dipping with this hot tattooed firefighter - don't get the feels on this one night stand to more...right?) Good girls like Vandy Patel spend their days behind books in the library. But when her twenty-first birthday rolls around, she meets Royce Murphy with his tattoos and gorgeous red hair. Just the guy her mom would tell her never to date. Firefighter Royce Murphy knows he's not permanent dating material for a college girl like Vandy. Still, something about her draws him to her, and he soon discovers how eager she is for anything he can teach her - in and outside of the bedroom. And their passion is more than enough to lead them both astray... Warning: This steamy new adult romance is the perfect for readers who want some HFN summer fling catnip. Please avoid if you hate smoking hot sex on the beach that leaves you with hickeys in very interesting places. You will love this new adult one-night stand turned more, featuring an Indian heroine and the firefighter who's hiding his secret pain. These books are perfect for readers of AWWM, IWWM, protector romance, action romance, romantic suspense, medical romance, firefighter romance, police romance, Asian woman White man romance, Indian woman romance, new adult romance, one-night stand romance, scarred hero romance, summer romance, birthday romance, 21st birthday romance, college student romance, secret romance - you got the idea. If you personally wish Grey's Anatomy and Chicago Fire (and every single medical drama you watch) had were heavier on the kink, sex scenes, and erotic, you need to read MetroGen! This book is perfect for readers who love Brittany Sahin, Nicole Snow, K.C. Crowne, Lucy Score, and J. Saman.",N/A,N/A,en
True Romance,['Lashell Collins'],N/A,['Fiction'],"Sweet, sexy Thaddeus Kyle is not like the spoiled, ego-driven rock stars with fame and fortune at his fingertips and a different beautiful woman in his bed each night. Not anymore anyway. Nearly forty, he's been in the game all his life, just a blue-collar working class musician chasing dreams of rock superstardom amid the crushing weight of a loveless marriage and brutal breakup. But when a real rock and roll legend offers Tad a spot in his band, the sudden worldwide exposure leads him to the woman who could be the greatest thing to ever happen to him. If he can only manage not to screw it up. Shelby Finnegan is a woman on the go. A celebrated wildlife photographer with a yen for conservation and saving endangered animals, she hasn't had much time in her life for things like romance. The painful past she keeps buried deep doesn't help matters on that front either. But when her love of rock and roll gives rise to an infatuation with her favorite rocker's new bass player, she suddenly finds herself daydreaming about little else. Sparks fly during a chance encounter backstage, sending Tad and Shelby down a path of friendship that hints at something much deeper. Is the burning promise of passion only wishful thinking, or could it be true romance?",N/A,N/A,en
Onstuimige romance,['Jane Porter'],2019-06-11,['Fiction'],"Wie is de knappe vreemdeling die ze heeft gered? Josephine aarzelt geen moment als ze 's nachts een man overboord ziet vallen van een luxejacht vol feestende mensen: ze duikt de Griekse golven in om hem te redden. Al snel raakt ze helemaal in de ban van deze knappe, charmante man. Er is alleen één probleem: hij weet niet meer wie hij is. Wat de drenkeling wél weet, is dat hij hevig naar de beeldschone Josephine verlangt. Dus wanneer ze hem vraagt haar in te wijden in de liefde, is de verleiding domweg te groot. Dan wordt hij op een ochtend wakker in haar bed en herinnert zich alles. Hij is kroonprins Alexander van Aargau... en verloofd met een ander!",N/A,N/A,nl
Making Meaning in Popular Romance Fiction,['Jayashree Kamblé'],2014-08-07,['Literary Criticism'],"Despite pioneering studies, the term 'romance novel' itself has not been subjected to scrutiny. This book examines mass-market romance fiction in the U.K., Canada, and the U.S. through four categories: capitalism, war, heterosexuality, and white Protestantism and casts a fresh light on the genre.",N/A,N/A,en
Joseph Conrad and the Imperial Romance,['L. Dryden'],1999-11-24,['Literary Criticism'],"Linda Dryden places Almayer's Folly, An Outcast of the Islands , 'Karain', and Lord Jim in the context of the nineteenth-century imperial romance. Through the thwarted dreams and aspirations of his central characters she argues that Conrad exposes the empty promises of such fiction and challenges assumptions about the superiority of European imperialists and the imperial venture itself. Using illustrations from and references to many well-known novels of Empire, Dryden demonstrates how Conrad's Malay fiction alludes to the conventions and stereotypes of popular imperial fiction.",N/A,N/A,en
Unholy Flame: Dark Mafia Romance,['Alice Reyes'],2025-07-23,['Fiction'],"🔥 SHE WAS THE QUIET ONE… UNTIL SHE BECAME THE ONLY THING THAT COULD RUIN HIM 🔥 ★★★★★ ""Beautifully haunting and emotionally lethal. Alessia and Matteo broke me and rebuilt me in shadows."" — Reader Review My name is Matteo Moretti, and I do my best work in silence. I'm the strategist, the ghost, the man behind the blood-soaked curtain. No one sees me coming—especially not my new wife, Alessia Falcone. She was meant to be forgettable. Soft. Simple. An easy win in a war already decided. Quiet. Perceptive. Underestimated. But Alessia watches everything. She sees me—truly sees me—without fear, without flinching. Her silence is not submission; it's strategy. Her presence is not weakness; it's power. And the closer she gets, the harder it is to keep the darkness in me from reaching for her light. She thinks she's walking beside a monster. She's right. But what neither of us saw coming is this: she's the only one who could bring me to my knees. And in the end, love might not save us. It might destroy us both. Book 3 of 3 in the House of Brothers Series — a dark, obsessive mafia romance where the quietest hearts hold the deadliest truths, and redemption is just another kind of ruin. ⚠️ Contains calculated obsession, slow-burn danger, and a love that lives in the silence between shadows.",N/A,N/A,en
Monster Romance Coloring Book,['Editors of Chartwell Books'],2025-02-11,['Games & Activities'],"Discover beauty beyond the boundaries of the ordinary with the Monster Romance Coloring Book. Monster romance is the hottest new literary phenomenon. Building off the popular genre of Romantasy, these stories blend elements of horror and romance and offer a fresh take on love stories. Now you can celebrate the dark beauty of the genre with Monster Romance Coloring Book. Let your imagination run wild as you color your way through the enchanted designs. From aliens and vampires to mermen and minotaurs, this coloring book is full of extraordinary creatures and the heroines who love them. Features: More than 100 fantastical pages to color Incredible monster romance images to inspire you Intricate meditative patterns on the back of each page Monster Romance Coloring Book is a perfect gift for fantasy and romance fans who enjoy creative pastimes. Chartwell Coloring Books is the ultimate coloring book series, encompassing designs of every kind. From intriguing abstract patterns to beautiful pictures from the natural, technological, and fantasy worlds, each of these coloring books will soothe the mind and inspire the inner creative in anyone. With so many variations of complex, beautiful designs in each book, you'll have plenty of pages to bring to life. Whether young or old, creative or not, this series has something for you.",N/A,N/A,en
Last Time We Loved: A Second Chance Small Town Romance,['Alice Fox'],N/A,['Fiction'],"""Forever was a simple promise before it became a difficult task"" Your first love is always the hardest to let go of, which is why Melina and Austin had promised each other that after college they'd make it work. Unfortunately for them both, their forever had an expiration date. Now it's four years later and they're strangers again. But these strangers have a past, and that past is determined to find its way back to them. When a weekend home causes their paths to cross for the first time in years, they're reminded of just how much they've missed out on. So when a tragedy strikes that forces Austin back to their hometown at the same time Melina is doing her clinical hours for PA school, their lives are once again intertwined. Will they make it through this time? Or will the past pressure be too much of a reminder that they couldn't make it work?",N/A,N/A,en
